DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08DB001,94.6999969482422,
2022-01-02,08DB001,94.0999984741211,
2022-01-03,08DB001,93.5,
2022-01-04,08DB001,92.9000015258789,
2022-01-05,08DB001,92.3000030517578,
2022-01-06,08DB001,91.6999969482422,
2022-01-07,08DB001,91.0999984741211,
2022-01-08,08DB001,90.6999969482422,
2022-01-09,08DB001,90.4000015258789,
2022-01-10,08DB001,90.0,
2022-01-11,08DB001,89.69999694824219,
2022-01-12,08DB001,89.5,
2022-01-13,08DB001,89.4000015258789,
2022-01-14,08DB001,89.69999694824219,
2022-01-15,08DB001,93.0,
2022-01-16,08DB001,98.9000015258789,
2022-01-17,08DB001,103.0,
2022-01-18,08DB001,104.0,
2022-01-19,08DB001,100.0,
2022-01-20,08DB001,96.8000030517578,
2022-01-21,08DB001,99.1999969482422,
2022-01-22,08DB001,106.0,
2022-01-23,08DB001,114.0,
2022-01-24,08DB001,123.0,
2022-01-25,08DB001,129.0,
2022-01-26,08DB001,129.0,
2022-01-27,08DB001,126.0,
2022-01-28,08DB001,122.0,
2022-01-29,08DB001,121.0,
2022-01-30,08DB001,120.0,
2022-01-31,08DB001,119.0,
2022-02-01,08DB001,117.0,
2022-02-02,08DB001,117.0,
2022-02-03,08DB001,119.0,
2022-02-04,08DB001,123.0,
2022-02-05,08DB001,129.0,
2022-02-06,08DB001,135.0,
2022-02-07,08DB001,142.0,
2022-02-08,08DB001,154.0,
2022-02-09,08DB001,190.0,
2022-02-10,08DB001,457.0,
2022-02-11,08DB001,455.0,
2022-02-12,08DB001,417.0,
2022-02-13,08DB001,369.0,
2022-02-14,08DB001,329.0,
2022-02-15,08DB001,294.0,
2022-02-16,08DB001,268.0,
2022-02-17,08DB001,271.0,
2022-02-18,08DB001,281.0,
2022-02-19,08DB001,320.0,
2022-02-20,08DB001,306.0,
2022-02-21,08DB001,264.0,
2022-02-22,08DB001,223.0,
2022-02-23,08DB001,207.0,
2022-02-24,08DB001,197.0,
2022-02-25,08DB001,189.0,
2022-02-26,08DB001,184.0,
2022-02-27,08DB001,180.0,
2022-02-28,08DB001,177.0,
2022-03-01,08DB001,174.0,
2022-03-02,08DB001,174.0,
2022-03-03,08DB001,174.0,
2022-03-04,08DB001,171.0,
2022-03-05,08DB001,164.0,
2022-03-06,08DB001,159.0,
2022-03-07,08DB001,158.0,
2022-03-08,08DB001,155.0,
2022-03-09,08DB001,149.0,
2022-03-10,08DB001,145.0,
2022-03-11,08DB001,147.0,
2022-03-12,08DB001,149.0,
2022-03-13,08DB001,147.0,
2022-03-14,08DB001,147.0,
2022-03-15,08DB001,154.0,3.052999973297119
2022-03-16,08DB001,164.0,3.0840001106262207
2022-03-17,08DB001,170.0,3.1080000400543213
2022-03-18,08DB001,178.0,3.1410000324249268
