DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-12-01,08JA018,,
2022-12-02,08JA018,,
2022-12-03,08JA018,,
2022-12-04,08JA018,,
2022-12-05,08JA018,,
2022-12-06,08JA018,,
2022-12-07,08JA018,,
2022-12-08,08JA018,,
2022-12-09,08JA018,,
2022-12-10,08JA018,,
2022-12-11,08JA018,,
2022-12-12,08JA018,,
2022-12-13,08JA018,,
2022-12-14,08JA018,,
2022-12-15,08JA018,,
2022-12-16,08JA018,,
2022-12-17,08JA018,,
2022-12-18,08JA018,,
2022-12-19,08JA018,,
2022-12-20,08JA018,,
2022-12-21,08JA018,,
2022-12-22,08JA018,,
2022-12-23,08JA018,,
2022-12-24,08JA018,,
2022-12-25,08JA018,,
2022-12-26,08JA018,,
2022-12-27,08JA018,,
2022-12-28,08JA018,,
2022-12-29,08JA018,,
2022-12-30,08JA018,,
2022-12-31,08JA018,,2.7149999141693115
2023-01-01,08JA018,,2.7149999141693115
2023-01-02,08JA018,,2.713000059127808
2023-01-03,08JA018,,2.7109999656677246
2023-01-04,08JA018,,2.7109999656677246
2023-01-05,08JA018,,2.713000059127808
2023-01-06,08JA018,,2.711999893188477
2023-01-07,08JA018,,2.7100000381469727
2023-01-08,08JA018,,2.7079999446868896
2023-01-09,08JA018,,2.7079999446868896
2023-01-10,08JA018,,2.7070000171661377
2023-01-11,08JA018,,2.7049999237060547
2023-01-12,08JA018,,2.7049999237060547
2023-01-13,08JA018,,2.7090001106262207
2023-01-14,08JA018,,2.7090001106262207
2023-01-15,08JA018,,2.7070000171661377
2023-01-16,08JA018,,2.7070000171661377
2023-01-17,08JA018,,2.7100000381469727
2023-01-18,08JA018,,2.7070000171661377
2023-01-19,08JA018,,2.7049999237060547
2023-01-20,08JA018,,2.7039999961853027
2023-01-21,08JA018,,2.700999975204468
2023-01-22,08JA018,,2.700000047683716
2023-01-23,08JA018,,2.697000026702881
2023-01-24,08JA018,,2.697000026702881
2023-01-25,08JA018,,2.694000005722046
2023-01-26,08JA018,,2.696000099182129
2023-01-27,08JA018,,2.700000047683716
2023-01-28,08JA018,,2.700999975204468
2023-01-29,08JA018,,2.697000026702881
2023-01-30,08JA018,,2.696000099182129
2023-01-31,08JA018,,2.697999954223633
2023-02-01,08JA018,,2.7060000896453857
2023-02-02,08JA018,,2.7070000171661377
2023-02-03,08JA018,,2.7049999237060547
2023-02-04,08JA018,,2.7039999961853027
2023-02-05,08JA018,,2.6989998817443848
2023-02-06,08JA018,,2.700000047683716
2023-02-07,08JA018,,2.70199990272522
2023-02-08,08JA018,,2.70199990272522
2023-02-09,08JA018,,2.7049999237060547
2023-02-10,08JA018,,2.6989998817443848
2023-02-11,08JA018,,2.697999954223633
2023-02-12,08JA018,,2.700000047683716
2023-02-13,08JA018,,2.696000099182129
2023-02-14,08JA018,,2.694999933242798
2023-02-15,08JA018,,2.697000026702881
2023-02-16,08JA018,,2.694000005722046
2023-02-17,08JA018,,2.694000005722046
2023-02-18,08JA018,,2.693000078201294
2023-02-19,08JA018,,2.690000057220459
2023-02-20,08JA018,,2.697999954223633
2023-02-21,08JA018,,2.700000047683716
2023-02-22,08JA018,,2.697999954223633
2023-02-23,08JA018,,2.696000099182129
2023-02-24,08JA018,,2.697999954223633
2023-02-25,08JA018,,2.7039999961853027
2023-02-26,08JA018,,2.703000068664551
2023-02-27,08JA018,,2.70199990272522
2023-02-28,08JA018,,2.6989998817443848
2023-03-01,08JA018,,2.700000047683716
2023-03-02,08JA018,,2.700000047683716
2023-03-03,08JA018,,2.6989998817443848
2023-03-04,08JA018,,2.6989998817443848
2023-03-05,08JA018,,2.696000099182129
2023-03-06,08JA018,,2.694999933242798
2023-03-07,08JA018,,2.694999933242798
2023-03-08,08JA018,,2.694000005722046
2023-03-09,08JA018,,2.694000005722046
2023-03-10,08JA018,,2.691999912261963
2023-03-11,08JA018,,2.690999984741211
2023-03-12,08JA018,,2.690000057220459
2023-03-13,08JA018,,2.688999891281128
2023-03-14,08JA018,,2.690999984741211
2023-03-15,08JA018,,2.687999963760376
2023-03-16,08JA018,,2.687999963760376
2023-03-17,08JA018,,2.684999942779541
2023-03-18,08JA018,,2.686000108718872
2023-03-19,08JA018,,2.691999912261963
2023-03-20,08JA018,,2.696000099182129
2023-03-21,08JA018,,2.6989998817443848
2023-03-22,08JA018,,2.703000068664551
2023-03-23,08JA018,,2.7070000171661377
2023-03-24,08JA018,,2.7090001106262207
2023-03-25,08JA018,,2.713000059127808
2023-03-26,08JA018,,2.7170000076293945
2023-03-27,08JA018,,2.719000101089477
