DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08LE031,259.0,2.677000045776367
2022-01-02,08LE031,256.0,2.6410000324249268
2022-01-03,08LE031,252.0,2.5510001182556152
2022-01-04,08LE031,250.0,2.4679999351501465
2022-01-05,08LE031,248.0,2.559999942779541
2022-01-06,08LE031,246.0,2.463000059127808
2022-01-07,08LE031,244.0,2.407999992370605
2022-01-08,08LE031,243.0,2.3489999771118164
2022-01-09,08LE031,242.0,2.282000064849853
2022-01-10,08LE031,240.0,2.177999973297119
2022-01-11,08LE031,236.0,2.072999954223633
2022-01-12,08LE031,229.0,1.996000051498413
2022-01-13,08LE031,221.0,1.937999963760376
2022-01-14,08LE031,212.0,1.8960000276565552
2022-01-15,08LE031,208.0,1.875
2022-01-16,08LE031,205.0,1.8580000400543213
2022-01-17,08LE031,202.0,1.843000054359436
2022-01-18,08LE031,202.0,1.843999981880188
2022-01-19,08LE031,198.0,1.8209999799728396
2022-01-20,08LE031,196.0,1.815000057220459
2022-01-21,08LE031,197.0,1.8179999589920044
2022-01-22,08LE031,193.0,1.7990000247955322
2022-01-23,08LE031,191.0,1.7869999408721924
2022-01-24,08LE031,189.0,1.7799999713897705
2022-01-25,08LE031,186.0,1.7610000371932983
2022-01-26,08LE031,184.0,1.753999948501587
2022-01-27,08LE031,181.0,1.7380000352859497
2022-01-28,08LE031,179.0,1.72599995136261
2022-01-29,08LE031,177.0,1.715999960899353
2022-01-30,08LE031,175.0,1.7039999961853027
2022-01-31,08LE031,176.0,1.7100000381469729
2022-02-01,08LE031,174.0,1.7000000476837158
2022-02-02,08LE031,170.0,1.6770000457763672
2022-02-03,08LE031,168.0,1.6670000553131104
2022-02-04,08LE031,165.0,1.6519999504089355
2022-02-05,08LE031,165.0,1.6540000438690186
2022-02-06,08LE031,163.0,1.6390000581741333
2022-02-07,08LE031,161.0,1.63100004196167
2022-02-08,08LE031,160.0,1.6239999532699585
2022-02-09,08LE031,158.0,1.6150000095367432
2022-02-10,08LE031,158.0,1.6150000095367432
2022-02-11,08LE031,156.0,1.6030000448226929
2022-02-12,08LE031,154.0,1.593000054359436
2022-02-13,08LE031,152.0,1.5839999914169312
2022-02-14,08LE031,151.0,1.5770000219345093
2022-02-15,08LE031,150.0,1.5740000009536743
2022-02-16,08LE031,150.0,1.569000005722046
2022-02-17,08LE031,147.0,1.555999994277954
2022-02-18,08LE031,147.0,1.5540000200271606
2022-02-19,08LE031,146.0,1.5470000505447388
2022-02-20,08LE031,146.0,1.5479999780654907
2022-02-21,08LE031,144.0,1.565000057220459
2022-02-22,08LE031,143.0,1.565999984741211
2022-02-23,08LE031,141.0,1.5299999713897705
2022-02-24,08LE031,139.0,1.5130000114440918
