DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08MC018,314.0,
2022-01-02,08MC018,318.0,
2022-01-03,08MC018,322.0,3.595000028610229
2022-01-04,08MC018,327.0,3.874000072479248
2022-01-05,08MC018,330.0,4.336999893188477
2022-01-06,08MC018,333.0,4.541999816894531
2022-01-07,08MC018,336.0,4.868000030517578
2022-01-08,08MC018,337.0,4.933000087738037
2022-01-09,08MC018,339.0,4.965000152587891
2022-01-10,08MC018,339.0,5.171000003814697
2022-01-11,08MC018,339.0,5.052000045776367
2022-01-12,08MC018,339.0,5.019999980926514
2022-01-13,08MC018,339.0,4.811999797821045
2022-01-14,08MC018,340.0,4.728000164031982
2022-01-15,08MC018,342.0,4.611000061035156
2022-01-16,08MC018,343.0,4.484000205993652
2022-01-17,08MC018,343.0,4.415999889373779
2022-01-18,08MC018,343.0,
2022-01-19,08MC018,345.0,3.973999977111816
2022-01-20,08MC018,348.0,4.031000137329102
2022-01-21,08MC018,350.0,4.138999938964844
2022-01-22,08MC018,353.0,4.125999927520752
2022-01-23,08MC018,356.0,4.307000160217285
2022-01-24,08MC018,360.0,4.302000045776367
2022-01-25,08MC018,362.0,4.250999927520752
2022-01-26,08MC018,364.0,4.189000129699707
2022-01-27,08MC018,368.0,4.09499979019165
2022-01-28,08MC018,370.0,3.990000009536743
2022-01-29,08MC018,373.0,3.921000003814697
2022-01-30,08MC018,376.0,3.8329999446868896
2022-01-31,08MC018,379.0,3.755000114440918
2022-02-01,08MC018,379.0,3.694000005722046
2022-02-02,08MC018,379.0,3.697000026702881
2022-02-03,08MC018,379.0,3.684999942779541
2022-02-04,08MC018,377.0,3.67300009727478
2022-02-05,08MC018,377.0,3.6559998989105225
2022-02-06,08MC018,377.0,3.63100004196167
2022-02-07,08MC018,380.0,3.601999998092652
2022-02-08,08MC018,383.0,3.628000020980835
2022-02-09,08MC018,387.0,3.6540000438690186
2022-02-10,08MC018,391.0,3.776999950408936
2022-02-11,08MC018,394.0,3.857000112533569
2022-02-12,08MC018,401.0,3.8310000896453857
2022-02-13,08MC018,406.0,3.8010001182556152
2022-02-14,08MC018,412.0,3.920000076293945
2022-02-15,08MC018,422.0,4.3480000495910645
2022-02-16,08MC018,425.0,4.486000061035156
2022-02-17,08MC018,422.0,4.172999858856201
2022-02-18,08MC018,420.0,3.8450000286102295
2022-02-19,08MC018,417.0,3.164999961853028
2022-02-20,08MC018,414.0,3.039999961853028
2022-02-21,08MC018,409.0,2.9749999046325684
2022-02-22,08MC018,403.0,3.0859999656677246
2022-02-23,08MC018,399.0,
2022-02-24,08MC018,395.0,
2022-02-25,08MC018,391.0,
2022-02-26,08MC018,387.0,3.20199990272522
2022-02-27,08MC018,384.0,3.244999885559082
2022-02-28,08MC018,380.0,
2022-03-01,08MC018,377.0,
2022-03-02,08MC018,376.0,
2022-03-03,08MC018,377.0,2.9119999408721924
2022-03-04,08MC018,381.0,2.86899995803833
2022-03-05,08MC018,384.0,2.825999975204468
2022-03-06,08MC018,390.0,
2022-03-07,08MC018,395.0,2.515000104904175
2022-03-08,08MC018,399.0,2.489000082015991
2022-03-09,08MC018,402.0,2.430999994277954
2022-03-10,08MC018,406.0,2.4030001163482666
2022-03-11,08MC018,409.0,2.378999948501587
2022-03-12,08MC018,412.0,2.220000028610229
2022-03-13,08MC018,416.0,2.2109999656677246
2022-03-14,08MC018,421.0,1.986999988555908
2022-03-15,08MC018,426.0,1.996000051498413
2022-03-16,08MC018,433.0,1.9520000219345093
2022-03-17,08MC018,442.0,1.8980000019073489
2022-03-18,08MC018,456.0,1.930999994277954
2022-03-19,08MC018,474.0,1.962000012397766
2022-03-20,08MC018,503.0,2.005000114440918
2022-03-21,08MC018,521.0,2.0439999103546143
2022-03-22,08MC018,549.0,2.1070001125335693
2022-03-23,08MC018,592.0,2.197999954223633
2022-03-24,08MC018,671.0,2.3559999465942383
2022-03-25,08MC018,759.0,2.5239999294281006
2022-03-26,08MC018,823.0,2.640000104904175
2022-03-27,08MC018,841.0,2.6710000038146973
2022-03-28,08MC018,862.0,2.7070000171661377
2022-03-29,08MC018,868.0,2.7179999351501465
2022-03-30,08MC018,881.0,2.739000082015991
2022-03-31,08MC018,908.0,2.7860000133514404
2022-04-01,08MC018,934.0,2.8289999961853027
2022-04-02,08MC018,970.0,2.888000011444092
2022-04-03,08MC018,983.0,2.9089999198913574
2022-04-04,08MC018,975.0,2.8959999084472656
2022-04-05,08MC018,962.0,2.875999927520752
2022-04-06,08MC018,936.0,2.8320000171661377
2022-04-07,08MC018,950.0,2.8559999465942383
2022-04-08,08MC018,959.0,2.869999885559082
2022-04-09,08MC018,1070.0,3.049000024795532
2022-04-10,08MC018,1290.0,3.372999906539917
2022-04-11,08MC018,1440.0,3.571000099182129
2022-04-12,08MC018,1380.0,3.490999937057495
2022-04-13,08MC018,1240.0,3.299999952316284
2022-04-14,08MC018,1110.0,3.1059999465942383
2022-04-15,08MC018,1020.0,2.963000059127808
2022-04-16,08MC018,929.0,2.819999933242798
2022-04-17,08MC018,870.0,2.720999956130981
2022-04-18,08MC018,831.0,2.6540000438690186
2022-04-19,08MC018,817.0,2.628999948501587
2022-04-20,08MC018,801.0,2.5999999046325684
2022-04-21,08MC018,781.0,2.563999891281128
2022-04-22,08MC018,773.0,2.549999952316284
2022-04-23,08MC018,787.0,2.575000047683716
2022-04-24,08MC018,841.0,2.6710000038146973
2022-04-25,08MC018,947.0,2.8499999046325684
2022-04-26,08MC018,1120.0,3.119999885559082
2022-04-27,08MC018,1320.0,3.4140000343322754
2022-04-28,08MC018,1480.0,3.628999948501587
2022-04-29,08MC018,1510.0,3.66100001335144
2022-04-30,08MC018,1500.0,3.6549999713897705
2022-05-01,08MC018,1520.0,3.677000045776367
2022-05-02,08MC018,1580.0,3.760999917984009
2022-05-03,08MC018,1720.0,3.927000045776367
2022-05-04,08MC018,1890.0,4.133999824523926
2022-05-05,08MC018,2170.0,4.439000129699707
2022-05-06,08MC018,2610.0,4.895999908447266
2022-05-07,08MC018,3100.0,5.355999946594238
2022-05-08,08MC018,3360.0,5.5879998207092285
2022-05-09,08MC018,3250.0,5.493000030517578
2022-05-10,08MC018,3050.0,5.311999797821045
2022-05-11,08MC018,2840.0,5.117000102996826
2022-05-12,08MC018,2670.0,4.956999778747559
2022-05-13,08MC018,2570.0,4.855000019073486
2022-05-14,08MC018,2500.0,4.790999889373779
2022-05-15,08MC018,2410.0,4.702000141143799
2022-05-16,08MC018,2350.0,4.640999794006348
2022-05-17,08MC018,2410.0,4.698999881744385
2022-05-18,08MC018,2550.0,4.836999893188477
2022-05-19,08MC018,2620.0,4.912000179290772
2022-05-20,08MC018,2600.0,4.88700008392334
2022-05-21,08MC018,2520.0,4.813000202178955
2022-05-22,08MC018,2480.0,4.764999866485596
2022-05-23,08MC018,2450.0,4.735000133514404
2022-05-24,08MC018,2470.0,4.75600004196167
2022-05-25,08MC018,2530.0,4.815000057220459
2022-05-26,08MC018,2650.0,4.936999797821045
2022-05-27,08MC018,2860.0,5.142000198364258
2022-05-28,08MC018,3130.0,5.388000011444092
2022-05-29,08MC018,3380.0,5.60699987411499
2022-05-30,08MC018,3510.0,5.7170000076293945
2022-05-31,08MC018,3410.0,5.630000114440918
2022-06-01,08MC018,3320.0,5.557000160217285
2022-06-02,08MC018,3340.0,5.567999839782715
2022-06-03,08MC018,3530.0,5.735000133514404
2022-06-04,08MC018,3790.0,5.948999881744385
2022-06-05,08MC018,4050.0,6.158999919891357
2022-06-06,08MC018,4300.0,6.3480000495910645
2022-06-07,08MC018,4520.0,6.51800012588501
2022-06-08,08MC018,4730.0,6.672999858856201
2022-06-09,08MC018,4880.0,6.78000020980835
2022-06-10,08MC018,4920.0,6.806000232696533
2022-06-11,08MC018,5020.0,6.88100004196167
2022-06-12,08MC018,5150.0,6.96999979019165
2022-06-13,08MC018,5150.0,6.9720001220703125
