DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08MD013,369.0,4.15399980545044
2022-01-02,08MD013,392.0,4.142000198364258
2022-01-03,08MD013,422.0,4.296999931335449
2022-01-04,08MD013,433.0,4.316999912261963
2022-01-05,08MD013,427.0,4.395999908447266
2022-01-06,08MD013,421.0,4.4070000648498535
2022-01-07,08MD013,415.0,4.394000053405762
2022-01-08,08MD013,412.0,4.352000236511231
2022-01-09,08MD013,427.0,4.243000030517578
2022-01-10,08MD013,446.0,4.109000205993652
2022-01-11,08MD013,470.0,4.183000087738037
2022-01-12,08MD013,503.0,4.242000102996826
2022-01-13,08MD013,527.0,4.264999866485596
2022-01-14,08MD013,533.0,4.291999816894531
2022-01-15,08MD013,552.0,4.276000022888184
2022-01-16,08MD013,560.0,4.265999794006348
2022-01-17,08MD013,548.0,4.241000175476074
2022-01-18,08MD013,555.0,4.25600004196167
2022-01-19,08MD013,563.0,4.2729997634887695
2022-01-20,08MD013,550.0,4.245999813079834
2022-01-21,08MD013,546.0,4.236000061035156
2022-01-22,08MD013,584.0,4.314000129699707
2022-01-23,08MD013,623.0,4.394999980926514
2022-01-24,08MD013,663.0,4.474999904632568
2022-01-25,08MD013,679.0,4.507999897003174
2022-01-26,08MD013,649.0,4.447000026702881
2022-01-27,08MD013,625.0,4.39900016784668
2022-01-28,08MD013,595.0,4.3379998207092285
2022-01-29,08MD013,575.0,4.296000003814697
2022-01-30,08MD013,572.0,4.289999961853027
2022-01-31,08MD013,565.0,4.276000022888184
2022-02-01,08MD013,552.0,4.249000072479248
2022-02-02,08MD013,525.0,4.192999839782715
2022-02-03,08MD013,493.0,4.125
2022-02-04,08MD013,486.0,4.111999988555908
2022-02-05,08MD013,502.0,4.145999908447266
2022-02-06,08MD013,501.0,4.144000053405762
2022-02-07,08MD013,491.0,4.122000217437744
2022-02-08,08MD013,485.0,4.109000205993652
2022-02-09,08MD013,486.0,4.111999988555908
2022-02-10,08MD013,496.0,4.132999897003174
2022-02-11,08MD013,519.0,4.181000232696533
2022-02-12,08MD013,522.0,4.186999797821045
2022-02-13,08MD013,548.0,4.241000175476074
2022-02-14,08MD013,590.0,4.327000141143799
