DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08MF005,1050.0,3.25600004196167
2022-01-02,08MF005,1090.0,3.302000045776367
2022-01-03,08MF005,1090.0,3.311000108718872
2022-01-04,08MF005,1180.0,3.4119999408721924
2022-01-05,08MF005,1170.0,3.400000095367432
2022-01-06,08MF005,1170.0,3.436000108718872
2022-01-07,08MF005,1130.0,3.3989999294281006
2022-01-08,08MF005,1130.0,3.3580000400543213
2022-01-09,08MF005,1110.0,3.3320000171661377
2022-01-10,08MF005,1120.0,3.3469998836517334
2022-01-11,08MF005,1180.0,3.4100000858306885
2022-01-12,08MF005,1300.0,3.588000059127808
2022-01-13,08MF005,1360.0,3.700000047683716
2022-01-14,08MF005,1340.0,3.651999950408936
2022-01-15,08MF005,1340.0,3.663000106811523
2022-01-16,08MF005,1330.0,3.641999959945679
2022-01-17,08MF005,1310.0,3.6050000190734863
2022-01-18,08MF005,1300.0,3.5980000495910645
2022-01-19,08MF005,1300.0,3.5969998836517334
2022-01-20,08MF005,1360.0,3.687000036239624
2022-01-21,08MF005,1370.0,3.703000068664551
2022-01-22,08MF005,1330.0,3.63700008392334
2022-01-23,08MF005,1320.0,3.628999948501587
2022-01-24,08MF005,1320.0,3.621999979019165
2022-01-25,08MF005,1330.0,3.63700008392334
2022-01-26,08MF005,1320.0,3.628999948501587
2022-01-27,08MF005,1290.0,3.578000068664551
2022-01-28,08MF005,1270.0,3.5369999408721924
2022-01-29,08MF005,1240.0,3.494999885559082
2022-01-30,08MF005,1250.0,3.506999969482422
2022-01-31,08MF005,1260.0,3.5299999713897705
2022-02-01,08MF005,1250.0,3.496999979019165
2022-02-02,08MF005,1220.0,3.4560000896453857
2022-02-03,08MF005,1190.0,3.4200000762939453
2022-02-04,08MF005,1150.0,3.381999969482422
2022-02-05,08MF005,1160.0,3.3929998874664307
2022-02-06,08MF005,1160.0,3.388000011444092
2022-02-07,08MF005,1160.0,3.384999990463257
2022-02-08,08MF005,1160.0,3.384999990463257
2022-02-09,08MF005,1150.0,3.378000020980835
2022-02-10,08MF005,1160.0,3.384999990463257
2022-02-11,08MF005,1170.0,3.3970000743865967
2022-02-12,08MF005,1180.0,3.407999992370605
2022-02-13,08MF005,1170.0,3.4019999504089355
2022-02-14,08MF005,1200.0,3.430999994277954
2022-02-15,08MF005,1230.0,3.4779999256134038
2022-02-16,08MF005,1270.0,3.539999961853028
2022-02-17,08MF005,1280.0,3.562000036239624
2022-02-18,08MF005,1310.0,3.6059999465942383
2022-02-19,08MF005,1320.0,3.622999906539917
2022-02-20,08MF005,1310.0,3.6040000915527344
2022-02-21,08MF005,1280.0,3.553999900817871
2022-02-22,08MF005,1230.0,3.476999998092652
2022-02-23,08MF005,1180.0,3.4089999198913574
2022-02-24,08MF005,1190.0,3.4189999103546143
2022-02-25,08MF005,1230.0,3.4760000705718994
2022-02-26,08MF005,1250.0,3.505000114440918
2022-02-27,08MF005,1270.0,3.532000064849853
2022-02-28,08MF005,1260.0,3.5160000324249268
2022-03-01,08MF005,1290.0,3.572000026702881
2022-03-02,08MF005,1290.0,3.569000005722046
2022-03-03,08MF005,1270.0,3.5360000133514404
2022-03-04,08MF005,1260.0,3.5209999084472656
2022-03-05,08MF005,1240.0,3.494999885559082
2022-03-06,08MF005,1230.0,3.4779999256134038
2022-03-07,08MF005,1220.0,3.453000068664551
2022-03-08,08MF005,1170.0,3.4059998989105225
2022-03-09,08MF005,1160.0,3.388999938964844
2022-03-10,08MF005,1130.0,3.351999998092652
2022-03-11,08MF005,1100.0,3.312000036239624
2022-03-12,08MF005,1090.0,3.305999994277954
2022-03-13,08MF005,1080.0,3.2929999828338623
2022-03-14,08MF005,1080.0,3.289999961853028
2022-03-15,08MF005,1090.0,3.309999942779541
2022-03-16,08MF005,1080.0,3.2939999103546143
2022-03-17,08MF005,1090.0,3.303999900817871
2022-03-18,08MF005,1100.0,3.315999984741211
2022-03-19,08MF005,1110.0,3.3340001106262207
2022-03-20,08MF005,1120.0,3.344000101089477
2022-03-21,08MF005,1090.0,3.305999994277954
2022-03-22,08MF005,1170.0,3.4049999713897705
2022-03-23,08MF005,1180.0,3.4130001068115234
2022-03-24,08MF005,1270.0,3.5450000762939453
2022-03-25,08MF005,1310.0,3.6029999256134033
2022-03-26,08MF005,1350.0,3.680999994277954
2022-03-27,08MF005,1420.0,3.788000106811523
2022-03-28,08MF005,1520.0,3.9149999618530273
2022-03-29,08MF005,1600.0,3.996999979019165
2022-03-30,08MF005,1600.0,3.996000051498413
2022-03-31,08MF005,1600.0,3.994999885559082
2022-04-01,08MF005,1630.0,4.026000022888184
2022-04-02,08MF005,1650.0,4.047999858856201
2022-04-03,08MF005,1680.0,4.074999809265137
2022-04-04,08MF005,1760.0,4.15500020980835
2022-04-05,08MF005,1760.0,4.150000095367432
2022-04-06,08MF005,1720.0,4.114999771118164
2022-04-07,08MF005,1700.0,4.0929999351501465
2022-04-08,08MF005,1760.0,4.15399980545044
2022-04-09,08MF005,1800.0,4.190000057220459
2022-04-10,08MF005,1820.0,4.2129998207092285
2022-04-11,08MF005,1980.0,4.355000019073486
2022-04-12,08MF005,2160.0,4.517000198364258
2022-04-13,08MF005,2190.0,4.539000034332275
2022-04-14,08MF005,2070.0,4.436999797821045
2022-04-15,08MF005,1930.0,4.307000160217285
2022-04-16,08MF005,1820.0,4.204999923706055
2022-04-17,08MF005,1710.0,4.107999801635742
2022-04-18,08MF005,1630.0,4.026000022888184
2022-04-19,08MF005,1580.0,3.9800000190734863
2022-04-20,08MF005,1500.0,3.900000095367432
2022-04-21,08MF005,1520.0,3.9170000553131104
2022-04-22,08MF005,1510.0,3.901000022888184
2022-04-23,08MF005,1490.0,3.88700008392334
2022-04-24,08MF005,1500.0,3.8959999084472656
2022-04-25,08MF005,1560.0,3.950999975204468
2022-04-26,08MF005,1660.0,4.057000160217285
2022-04-27,08MF005,1800.0,4.190000057220459
2022-04-28,08MF005,1990.0,4.36899995803833
2022-04-29,08MF005,2200.0,4.547999858856201
2022-04-30,08MF005,2300.0,4.632999897003174
2022-05-01,08MF005,2320.0,4.64900016784668
2022-05-02,08MF005,2360.0,4.684999942779541
2022-05-03,08MF005,2440.0,4.750999927520752
2022-05-04,08MF005,2590.0,4.875
2022-05-05,08MF005,2860.0,5.084000110626221
2022-05-06,08MF005,3100.0,5.264999866485596
2022-05-07,08MF005,3480.0,5.5329999923706055
2022-05-08,08MF005,4020.0,5.895999908447266
2022-05-09,08MF005,4540.0,6.2220001220703125
2022-05-10,08MF005,4670.0,6.301000118255615
2022-05-11,08MF005,4520.0,6.214000225067139
2022-05-12,08MF005,4320.0,6.090000152587891
2022-05-13,08MF005,4130.0,5.965000152587891
2022-05-14,08MF005,3980.0,5.867000102996826
2022-05-15,08MF005,3920.0,5.828000068664551
2022-05-16,08MF005,3950.0,5.852000236511231
2022-05-17,08MF005,3890.0,5.809999942779541
2022-05-18,08MF005,3870.0,5.797999858856201
2022-05-19,08MF005,4010.0,5.890999794006348
2022-05-20,08MF005,4120.0,5.960999965667725
2022-05-21,08MF005,4150.0,5.98199987411499
2022-05-22,08MF005,4100.0,5.949999809265137
2022-05-23,08MF005,4090.0,5.941999912261963
2022-05-24,08MF005,4080.0,5.936999797821045
2022-05-25,08MF005,4120.0,5.9629998207092285
2022-05-26,08MF005,4280.0,6.061999797821045
2022-05-27,08MF005,4600.0,6.26200008392334
2022-05-28,08MF005,4920.0,6.451000213623047
2022-05-29,08MF005,5180.0,6.605999946594238
2022-05-30,08MF005,5580.0,6.833000183105469
2022-05-31,08MF005,5960.0,7.043000221252441
2022-06-01,08MF005,6150.0,7.140999794006348
2022-06-02,08MF005,6330.0,7.239999771118164
2022-06-03,08MF005,6680.0,7.421999931335449
2022-06-04,08MF005,6990.0,7.574999809265137
2022-06-05,08MF005,7320.0,7.743000030517578
2022-06-06,08MF005,7840.0,7.992000102996826
2022-06-07,08MF005,8110.0,8.121999740600586
2022-06-08,08MF005,8550.0,8.324000358581543
2022-06-09,08MF005,8920.0,8.491999626159668
2022-06-10,08MF005,9220.0,8.62600040435791
2022-06-11,08MF005,9480.0,8.739999771118164
2022-06-12,08MF005,9550.0,8.769000053405762
2022-06-13,08MF005,9680.0,8.822999954223633
2022-06-14,08MF005,9760.0,8.859000205993652
2022-06-15,08MF005,9630.0,8.802000045776367
2022-06-16,08MF005,9470.0,8.734000205993652
2022-06-17,08MF005,9230.0,8.630000114440918
2022-06-18,08MF005,9130.0,8.583000183105469
2022-06-19,08MF005,9310.0,8.663999557495117
2022-06-20,08MF005,9480.0,8.739999771118164
2022-06-21,08MF005,9510.0,8.753000259399414
2022-06-22,08MF005,9650.0,8.812999725341797
2022-06-23,08MF005,9710.0,8.838000297546387
2022-06-24,08MF005,9780.0,8.869999885559082
2022-06-25,08MF005,10200.0,9.029000282287598
2022-06-26,08MF005,10400.0,9.126999855041504
2022-06-27,08MF005,10100.0,9.013999938964844
2022-06-28,08MF005,9620.0,8.79800033569336
2022-06-29,08MF005,9260.0,8.640999794006348
2022-06-30,08MF005,9140.0,8.586999893188477
2022-07-01,08MF005,9380.0,8.694000244140625
2022-07-02,08MF005,9870.0,8.906999588012695
2022-07-03,08MF005,10200.0,9.04699993133545
2022-07-04,08MF005,10100.0,9.024999618530272
2022-07-05,08MF005,9790.0,8.87399959564209
2022-07-06,08MF005,9570.0,8.779000282287598
2022-07-07,08MF005,9530.0,8.76099967956543
2022-07-08,08MF005,9480.0,8.73900032043457
2022-07-09,08MF005,9310.0,8.661999702453613
2022-07-10,08MF005,9180.0,8.607000350952148
2022-07-11,08MF005,9140.0,8.586999893188477
2022-07-12,08MF005,9140.0,8.586999893188477
2022-07-13,08MF005,9030.0,8.541999816894531
2022-07-14,08MF005,8860.0,8.46500015258789
2022-07-15,08MF005,8800.0,8.437000274658203
2022-07-16,08MF005,8820.0,8.446000099182129
2022-07-17,08MF005,8710.0,8.39799976348877
2022-07-18,08MF005,8340.0,8.225000381469727
2022-07-19,08MF005,8040.0,8.085000038146973
2022-07-20,08MF005,7790.0,7.967999935150146
2022-07-21,08MF005,7530.0,7.84499979019165
2022-07-22,08MF005,7360.0,7.760000228881836
2022-07-23,08MF005,7160.0,7.660999774932861
2022-07-24,08MF005,6850.0,7.506999969482422
2022-07-25,08MF005,6590.0,7.373000144958496
2022-07-26,08MF005,6380.0,7.26200008392334
2022-07-27,08MF005,6200.0,7.169000148773193
2022-07-28,08MF005,6040.0,7.085999965667725
2022-07-29,08MF005,5900.0,7.008999824523926
2022-07-30,08MF005,5750.0,6.927999973297119
2022-07-31,08MF005,5670.0,6.880000114440918
2022-08-01,08MF005,5600.0,6.84499979019165
2022-08-02,08MF005,5520.0,6.801000118255615
2022-08-03,08MF005,5400.0,6.729000091552734
2022-08-04,08MF005,5260.0,6.651999950408936
2022-08-05,08MF005,5160.0,6.593999862670898
2022-08-06,08MF005,5040.0,6.525000095367432
2022-08-07,08MF005,4940.0,6.4629998207092285
2022-08-08,08MF005,4790.0,6.375
2022-08-09,08MF005,4560.0,6.234000205993652
2022-08-10,08MF005,4320.0,6.0879998207092285
2022-08-11,08MF005,4160.0,5.986999988555908
2022-08-12,08MF005,4060.0,5.923999786376953
2022-08-13,08MF005,3970.0,5.863999843597412
2022-08-14,08MF005,3890.0,5.809999942779541
2022-08-15,08MF005,3840.0,5.78000020980835
2022-08-16,08MF005,3830.0,5.7729997634887695
2022-08-17,08MF005,3790.0,5.747000217437744
2022-08-18,08MF005,3700.0,5.686999797821045
2022-08-19,08MF005,3610.0,5.625
2022-08-20,08MF005,3540.0,5.573999881744385
2022-08-21,08MF005,3460.0,5.5229997634887695
2022-08-22,08MF005,3390.0,5.468999862670898
2022-08-23,08MF005,3330.0,5.426000118255615
2022-08-24,08MF005,3320.0,5.420000076293945
2022-08-25,08MF005,3290.0,5.400000095367432
2022-08-26,08MF005,3210.0,5.3429999351501465
2022-08-27,08MF005,3150.0,5.297999858856201
2022-08-28,08MF005,3070.0,5.239999771118164
2022-08-29,08MF005,2990.0,5.178999900817871
2022-08-30,08MF005,2960.0,5.160999774932861
2022-08-31,08MF005,2940.0,5.144000053405762
2022-09-01,08MF005,2890.0,5.109000205993652
2022-09-02,08MF005,2830.0,5.061999797821045
2022-09-03,08MF005,2750.0,4.999000072479248
2022-09-04,08MF005,2700.0,4.956999778747559
2022-09-05,08MF005,2670.0,4.939000129699707
2022-09-06,08MF005,2620.0,4.896999835968018
2022-09-07,08MF005,2540.0,4.831999778747559
2022-09-08,08MF005,2500.0,4.798999786376953
2022-09-09,08MF005,2480.0,4.787000179290772
2022-09-10,08MF005,2410.0,4.724999904632568
2022-09-11,08MF005,2260.0,4.599999904632568
2022-09-12,08MF005,2050.0,4.421000003814697
2022-09-13,08MF005,2020.0,4.394000053405762
2022-09-14,08MF005,1960.0,4.340000152587891
2022-09-15,08MF005,1880.0,4.263999938964844
2022-09-16,08MF005,1810.0,4.195000171661377
2022-09-17,08MF005,1820.0,4.204999923706055
2022-09-18,08MF005,1790.0,4.181000232696533
2022-09-19,08MF005,1770.0,4.158999919891357
2022-09-20,08MF005,1770.0,4.162000179290772
2022-09-21,08MF005,1770.0,4.1579999923706055
2022-09-22,08MF005,1750.0,4.144999980926514
2022-09-23,08MF005,1680.0,4.078000068664551
2022-09-24,08MF005,1600.0,4.0
2022-09-25,08MF005,1530.0,3.924999952316284
2022-09-26,08MF005,1470.0,3.858999967575073
2022-09-27,08MF005,1440.0,3.819999933242798
2022-09-28,08MF005,1430.0,3.808000087738037
2022-09-29,08MF005,1420.0,3.795000076293945
2022-09-30,08MF005,1410.0,3.7829999923706055
2022-10-01,08MF005,1410.0,3.7709999084472656
2022-10-02,08MF005,1400.0,3.766000032424927
2022-10-03,08MF005,1400.0,3.765000104904175
2022-10-04,08MF005,1400.0,3.75600004196167
2022-10-05,08MF005,1380.0,3.7269999980926514
2022-10-06,08MF005,1370.0,3.7090001106262207
