DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08MG020,,25.02300071716309
2022-01-02,08MG020,,25.04800033569336
2022-01-03,08MG020,,25.062000274658203
2022-01-04,08MG020,,25.069000244140625
2022-01-05,08MG020,,25.06599998474121
2022-01-06,08MG020,,25.06100082397461
2022-01-07,08MG020,,25.05500030517578
2022-01-08,08MG020,,25.042999267578125
2022-01-09,08MG020,,25.03300094604492
2022-01-10,08MG020,,25.027999877929688
2022-01-11,08MG020,,25.03300094604492
2022-01-12,08MG020,,25.0629997253418
2022-01-13,08MG020,,25.125999450683597
2022-01-14,08MG020,,25.198999404907227
2022-01-15,08MG020,,25.239999771118164
2022-01-16,08MG020,,25.25300025939941
2022-01-17,08MG020,,25.253999710083008
2022-01-18,08MG020,,25.25
2022-01-19,08MG020,,25.24099922180176
2022-01-20,08MG020,,25.24399948120117
2022-01-21,08MG020,,25.257999420166016
2022-01-22,08MG020,,25.25900077819824
2022-01-23,08MG020,,25.2450008392334
2022-01-24,08MG020,,25.224000930786133
2022-01-25,08MG020,,25.201000213623047
2022-01-26,08MG020,,25.179000854492188
2022-01-27,08MG020,,25.15699958801269
2022-01-28,08MG020,,25.131000518798828
2022-01-29,08MG020,,25.11000061035156
2022-01-30,08MG020,,25.108999252319336
2022-01-31,08MG020,,25.118000030517575
2022-02-01,08MG020,,25.10300064086914
2022-02-02,08MG020,,25.07999992370605
2022-02-03,08MG020,,25.06599998474121
2022-02-04,08MG020,,25.05299949645996
2022-02-05,08MG020,,25.048999786376957
2022-02-06,08MG020,,25.03899955749512
2022-02-07,08MG020,,25.02899932861328
2022-02-08,08MG020,,25.02199935913086
2022-02-09,08MG020,,25.01799964904785
2022-02-10,08MG020,,25.016000747680664
2022-02-11,08MG020,,25.013999938964844
2022-02-12,08MG020,,25.01099967956543
2022-02-13,08MG020,,25.006999969482425
2022-02-14,08MG020,,25.0049991607666
2022-02-15,08MG020,,25.00200080871582
2022-02-16,08MG020,,24.999000549316406
2022-02-17,08MG020,,24.993000030517575
2022-02-18,08MG020,,24.992000579833984
2022-02-19,08MG020,,24.989999771118164
2022-02-20,08MG020,,24.99799919128418
2022-02-21,08MG020,,24.983999252319336
2022-02-22,08MG020,,24.9689998626709
2022-02-23,08MG020,,24.95400047302246
2022-02-24,08MG020,,24.950000762939453
