DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08NB017,,742.239013671875
2022-01-02,08NB017,,741.9459838867188
2022-01-03,08NB017,,741.6740112304688
2022-01-04,08NB017,,741.3699951171875
2022-01-05,08NB017,,741.0469970703125
2022-01-06,08NB017,,740.7009887695312
2022-01-07,08NB017,,740.406982421875
2022-01-08,08NB017,,740.1279907226562
2022-01-09,08NB017,,739.8300170898438
2022-01-10,08NB017,,739.572021484375
2022-01-11,08NB017,,739.35400390625
2022-01-12,08NB017,,739.1680297851562
2022-01-13,08NB017,,738.9749755859375
2022-01-14,08NB017,,738.7849731445312
2022-01-15,08NB017,,738.64599609375
2022-01-16,08NB017,,738.4949951171875
2022-01-17,08NB017,,738.3270263671875
2022-01-18,08NB017,,738.1649780273438
2022-01-19,08NB017,,737.9650268554688
2022-01-20,08NB017,,737.801025390625
2022-01-21,08NB017,,737.7030029296875
2022-01-22,08NB017,,737.5689697265625
2022-01-23,08NB017,,737.3930053710938
2022-01-24,08NB017,,737.177978515625
2022-01-25,08NB017,,736.947998046875
2022-01-26,08NB017,,736.718017578125
2022-01-27,08NB017,,736.4290161132812
2022-01-28,08NB017,,736.1430053710938
2022-01-29,08NB017,,735.8709716796875
2022-01-30,08NB017,,735.6519775390625
2022-01-31,08NB017,,735.4970092773438
2022-02-01,08NB017,,735.2550048828125
2022-02-02,08NB017,,734.9310302734375
2022-02-03,08NB017,,734.6119995117188
2022-02-04,08NB017,,734.3099975585938
2022-02-05,08NB017,,734.10498046875
2022-02-06,08NB017,,733.8699951171875
2022-02-07,08NB017,,733.6539916992188
2022-02-08,08NB017,,733.4439697265625
2022-02-09,08NB017,,733.22998046875
2022-02-10,08NB017,,733.0670166015625
2022-02-11,08NB017,,732.8740234375
2022-02-12,08NB017,,732.6959838867188
2022-02-13,08NB017,,732.5239868164062
2022-02-14,08NB017,,732.364990234375
2022-02-15,08NB017,,732.2100219726562
2022-02-16,08NB017,,732.0599975585938
2022-02-17,08NB017,,731.905029296875
2022-02-18,08NB017,,731.7349853515625
2022-02-19,08NB017,,731.6019897460938
2022-02-20,08NB017,,731.5089721679688
2022-02-21,08NB017,,731.301025390625
2022-02-22,08NB017,,730.9569702148438
2022-02-23,08NB017,,730.5910034179688
2022-02-24,08NB017,,730.198974609375
2022-02-25,08NB017,,729.8259887695312
2022-02-26,08NB017,,729.4749755859375
2022-02-27,08NB017,,729.1580200195312
2022-02-28,08NB017,,728.8699951171875
2022-03-01,08NB017,,728.6500244140625
2022-03-02,08NB017,,728.4639892578125
2022-03-03,08NB017,,728.2509765625
2022-03-04,08NB017,,728.0889892578125
2022-03-05,08NB017,,727.969970703125
2022-03-06,08NB017,,727.885986328125
2022-03-07,08NB017,,727.7670288085938
2022-03-08,08NB017,,727.614990234375
2022-03-09,08NB017,,727.4450073242188
2022-03-10,08NB017,,727.2559814453125
2022-03-11,08NB017,,727.094970703125
2022-03-12,08NB017,,726.9990234375
2022-03-13,08NB017,,726.89599609375
2022-03-14,08NB017,,726.7869873046875
2022-03-15,08NB017,,726.64599609375
2022-03-16,08NB017,,726.5440063476562
2022-03-17,08NB017,,726.3770141601562
2022-03-18,08NB017,,726.22900390625
2022-03-19,08NB017,,726.1110229492188
2022-03-20,08NB017,,726.030029296875
2022-03-21,08NB017,,725.8599853515625
2022-03-22,08NB017,,725.7000122070312
2022-03-23,08NB017,,725.6110229492188
2022-03-24,08NB017,,725.5260009765625
2022-03-25,08NB017,,725.3770141601562
2022-03-26,08NB017,,725.2260131835938
2022-03-27,08NB017,,725.1240234375
2022-03-28,08NB017,,725.052978515625
2022-03-29,08NB017,,725.0170288085938
2022-03-30,08NB017,,725.0380249023438
2022-03-31,08NB017,,725.0549926757812
2022-04-01,08NB017,,724.9190063476562
2022-04-02,08NB017,,724.781982421875
2022-04-03,08NB017,,724.677978515625
2022-04-04,08NB017,,724.5609741210938
2022-04-05,08NB017,,724.4030151367188
2022-04-06,08NB017,,724.1929931640625
2022-04-07,08NB017,,723.9409790039062
2022-04-08,08NB017,,723.6929931640625
2022-04-09,08NB017,,723.468017578125
2022-04-10,08NB017,,723.2319946289062
2022-04-11,08NB017,,722.9959716796875
2022-04-12,08NB017,,722.7559814453125
2022-04-13,08NB017,,722.4299926757812
2022-04-14,08NB017,,722.1019897460938
2022-04-15,08NB017,,721.8309936523438
2022-04-16,08NB017,,721.572998046875
2022-04-17,08NB017,,721.323974609375
2022-04-18,08NB017,,721.0540161132812
2022-04-19,08NB017,,720.802978515625
2022-04-20,08NB017,,720.5380249023438
2022-04-21,08NB017,,720.2639770507812
2022-04-22,08NB017,,720.0
2022-04-23,08NB017,,719.8369750976562
2022-04-24,08NB017,,719.7520141601562
2022-04-25,08NB017,,719.5640258789062
2022-04-26,08NB017,,719.4509887695312
2022-04-27,08NB017,,719.3319702148438
2022-04-28,08NB017,,719.2139892578125
2022-04-29,08NB017,,719.1119995117188
2022-04-30,08NB017,,719.0260009765625
2022-05-01,08NB017,,718.9320068359375
2022-05-02,08NB017,,718.8820190429688
2022-05-03,08NB017,,718.8709716796875
2022-05-04,08NB017,,718.8880004882812
2022-05-05,08NB017,,718.9539794921875
2022-05-06,08NB017,,719.1069946289062
