DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08ND017,,742.1370239257812
2022-01-02,08ND017,,741.8569946289062
2022-01-03,08ND017,,741.6129760742188
2022-01-04,08ND017,,741.2630004882812
2022-01-05,08ND017,,740.927978515625
2022-01-06,08ND017,,740.593017578125
2022-01-07,08ND017,,740.3400268554688
2022-01-08,08ND017,,740.0260009765625
2022-01-09,08ND017,,739.760986328125
2022-01-10,08ND017,,739.5130004882812
2022-01-11,08ND017,,739.3300170898438
2022-01-12,08ND017,,739.1259765625
2022-01-13,08ND017,,738.9219970703125
2022-01-14,08ND017,,738.7659912109375
2022-01-15,08ND017,,738.6190185546875
2022-01-16,08ND017,,738.4739990234375
2022-01-17,08ND017,,738.2960205078125
2022-01-18,08ND017,,738.125
2022-01-19,08ND017,,737.927001953125
2022-01-20,08ND017,,737.7479858398438
2022-01-21,08ND017,,737.6290283203125
2022-01-22,08ND017,,737.469970703125
2022-01-23,08ND017,,737.2839965820312
2022-01-24,08ND017,,737.0339965820312
2022-01-25,08ND017,,736.822021484375
2022-01-26,08ND017,,736.5590209960938
2022-01-27,08ND017,,736.27001953125
2022-01-28,08ND017,,735.9959716796875
2022-01-29,08ND017,,735.7269897460938
2022-01-30,08ND017,,735.5689697265625
2022-01-31,08ND017,,735.3709716796875
2022-02-01,08ND017,,735.0910034179688
2022-02-02,08ND017,,734.7550048828125
2022-02-03,08ND017,,734.4359741210938
2022-02-04,08ND017,,734.177001953125
2022-02-05,08ND017,,733.9860229492188
2022-02-06,08ND017,,733.7379760742188
2022-02-07,08ND017,,733.5360107421875
2022-02-08,08ND017,,733.3060302734375
2022-02-09,08ND017,,733.1010131835938
2022-02-10,08ND017,,732.9609985351562
2022-02-11,08ND017,,732.760009765625
2022-02-12,08ND017,,732.5789794921875
2022-02-13,08ND017,,732.4340209960938
2022-02-14,08ND017,,732.2689819335938
2022-02-15,08ND017,,732.1179809570312
2022-02-16,08ND017,,731.9520263671875
2022-02-17,08ND017,,731.8060302734375
2022-02-18,08ND017,,731.6320190429688
