DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08NH126,212.0,
2022-01-02,08NH126,211.0,
2022-01-03,08NH126,210.0,
2022-01-04,08NH126,210.0,
2022-01-05,08NH126,209.0,
2022-01-06,08NH126,211.0,
2022-01-07,08NH126,212.0,
2022-01-08,08NH126,211.0,
2022-01-09,08NH126,212.0,
2022-01-10,08NH126,235.0,
2022-01-11,08NH126,254.0,
2022-01-12,08NH126,252.0,
2022-01-13,08NH126,252.0,
2022-01-14,08NH126,252.0,
2022-01-15,08NH126,251.0,
2022-01-16,08NH126,251.0,
2022-01-17,08NH126,252.0,
2022-01-18,08NH126,255.0,
2022-01-19,08NH126,256.0,
2022-01-20,08NH126,257.0,
2022-01-21,08NH126,257.0,
2022-01-22,08NH126,255.0,
2022-01-23,08NH126,256.0,
2022-01-24,08NH126,258.0,
2022-01-25,08NH126,261.0,
2022-01-26,08NH126,261.0,
2022-01-27,08NH126,262.0,
2022-01-28,08NH126,262.0,
2022-01-29,08NH126,261.0,
2022-01-30,08NH126,262.0,
2022-01-31,08NH126,262.0,
2022-02-01,08NH126,229.0,
2022-02-02,08NH126,202.0,
2022-02-03,08NH126,200.0,
2022-02-04,08NH126,202.0,
2022-02-05,08NH126,202.0,
2022-02-06,08NH126,203.0,
2022-02-07,08NH126,203.0,
2022-02-08,08NH126,201.0,
2022-02-09,08NH126,201.0,
2022-02-10,08NH126,202.0,
2022-02-11,08NH126,201.0,
2022-02-12,08NH126,201.0,
2022-02-13,08NH126,199.0,
2022-02-14,08NH126,201.0,
2022-02-15,08NH126,202.0,
2022-02-16,08NH126,202.0,
2022-02-17,08NH126,201.0,
2022-02-18,08NH126,203.0,
2022-02-19,08NH126,203.0,
2022-02-20,08NH126,204.0,
2022-02-21,08NH126,204.0,
2022-02-22,08NH126,201.0,
2022-02-23,08NH126,203.0,
2022-02-24,08NH126,203.0,
2022-02-25,08NH126,203.0,
2022-02-26,08NH126,203.0,
2022-02-27,08NH126,199.0,
2022-02-28,08NH126,181.0,
2022-03-01,08NH126,139.0,
2022-03-02,08NH126,69.5,
2022-03-03,08NH126,53.59999847412109,
2022-03-04,08NH126,53.29999923706055,
2022-03-05,08NH126,61.29999923706055,
2022-03-06,08NH126,62.0,
2022-03-07,08NH126,66.9000015258789,
2022-03-08,08NH126,72.30000305175781,
2022-03-09,08NH126,73.0999984741211,
2022-03-10,08NH126,73.19999694824219,
2022-03-11,08NH126,73.0999984741211,
2022-03-12,08NH126,72.19999694824219,
2022-03-13,08NH126,71.30000305175781,
2022-03-14,08NH126,70.4000015258789,
2022-03-15,08NH126,70.5999984741211,
2022-03-16,08NH126,75.9000015258789,
2022-03-17,08NH126,80.69999694824219,
2022-03-18,08NH126,82.5999984741211,
2022-03-19,08NH126,81.30000305175781,
2022-03-20,08NH126,80.0,
