DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,08NJ158,1150.0,
2022-01-02,08NJ158,1100.0,
2022-01-03,08NJ158,1040.0,
2022-01-04,08NJ158,983.0,
2022-01-05,08NJ158,943.0,
2022-01-06,08NJ158,937.0,
2022-01-07,08NJ158,915.0,
2022-01-08,08NJ158,920.0,
2022-01-09,08NJ158,934.0,
2022-01-10,08NJ158,983.0,
2022-01-11,08NJ158,1050.0,
2022-01-12,08NJ158,1040.0,
2022-01-13,08NJ158,1100.0,
2022-01-14,08NJ158,1130.0,
2022-01-15,08NJ158,1150.0,
2022-01-16,08NJ158,1140.0,
2022-01-17,08NJ158,1110.0,
2022-01-18,08NJ158,1080.0,
2022-01-19,08NJ158,1060.0,
2022-01-20,08NJ158,1060.0,
2022-01-21,08NJ158,1060.0,
2022-01-22,08NJ158,1040.0,
2022-01-23,08NJ158,1030.0,
2022-01-24,08NJ158,1010.0,
2022-01-25,08NJ158,1010.0,
2022-01-26,08NJ158,997.0,
2022-01-27,08NJ158,1010.0,
2022-01-28,08NJ158,1020.0,
2022-01-29,08NJ158,971.0,
2022-01-30,08NJ158,929.0,
2022-01-31,08NJ158,929.0,
2022-02-01,08NJ158,892.0,
2022-02-02,08NJ158,892.0,
2022-02-03,08NJ158,810.0,
2022-02-04,08NJ158,810.0,
2022-02-05,08NJ158,807.0,
2022-02-06,08NJ158,841.0,
2022-02-07,08NJ158,841.0,
2022-02-08,08NJ158,838.0,
2022-02-09,08NJ158,793.0,
2022-02-10,08NJ158,838.0,
2022-02-11,08NJ158,838.0,
2022-02-12,08NJ158,838.0,
2022-02-13,08NJ158,838.0,
2022-02-14,08NJ158,841.0,
2022-02-15,08NJ158,801.0,
2022-02-16,08NJ158,801.0,
2022-02-17,08NJ158,801.0,
2022-02-18,08NJ158,782.0,
2022-02-19,08NJ158,767.0,
2022-02-20,08NJ158,767.0,
2022-02-21,08NJ158,767.0,
2022-02-22,08NJ158,765.0,
2022-02-23,08NJ158,765.0,
2022-02-24,08NJ158,765.0,
2022-02-25,08NJ158,767.0,
2022-02-26,08NJ158,711.0,
2022-02-27,08NJ158,708.0,
2022-02-28,08NJ158,711.0,
2022-03-01,08NJ158,711.0,
2022-03-02,08NJ158,711.0,
2022-03-03,08NJ158,595.0,
2022-03-04,08NJ158,549.0,
2022-03-05,08NJ158,561.0,
2022-03-06,08NJ158,544.0,
2022-03-07,08NJ158,589.0,
2022-03-08,08NJ158,629.0,
2022-03-09,08NJ158,631.0,
2022-03-10,08NJ158,631.0,
2022-03-11,08NJ158,674.0,
2022-03-12,08NJ158,699.0,
2022-03-13,08NJ158,674.0,
2022-03-14,08NJ158,668.0,
2022-03-15,08NJ158,614.0,
2022-03-16,08NJ158,504.0,
2022-03-17,08NJ158,501.0,
2022-03-18,08NJ158,558.0,
2022-03-19,08NJ158,609.0,
2022-03-20,08NJ158,586.0,
2022-03-21,08NJ158,612.0,
2022-03-22,08NJ158,592.0,
2022-03-23,08NJ158,586.0,
2022-03-24,08NJ158,583.0,
2022-03-25,08NJ158,583.0,
2022-03-26,08NJ158,572.0,
2022-03-27,08NJ158,569.0,
2022-03-28,08NJ158,566.0,
2022-03-29,08NJ158,572.0,
2022-03-30,08NJ158,580.0,
2022-03-31,08NJ158,578.0,
2022-04-01,08NJ158,589.0,
2022-04-02,08NJ158,592.0,
2022-04-03,08NJ158,592.0,
2022-04-04,08NJ158,592.0,
2022-04-05,08NJ158,586.0,
2022-04-06,08NJ158,580.0,
2022-04-07,08NJ158,580.0,
2022-04-08,08NJ158,578.0,
2022-04-09,08NJ158,561.0,
2022-04-10,08NJ158,558.0,
2022-04-11,08NJ158,558.0,
2022-04-12,08NJ158,561.0,
2022-04-13,08NJ158,532.0,
2022-04-14,08NJ158,490.0,
2022-04-15,08NJ158,493.0,
2022-04-16,08NJ158,473.0,
2022-04-17,08NJ158,493.0,
2022-04-18,08NJ158,484.0,
2022-04-19,08NJ158,487.0,
2022-04-20,08NJ158,487.0,
2022-04-21,08NJ158,467.0,
2022-04-22,08NJ158,456.0,
2022-04-23,08NJ158,419.0,
2022-04-24,08NJ158,419.0,
2022-04-25,08NJ158,371.0,
2022-04-26,08NJ158,314.0,
2022-04-27,08NJ158,289.0,
2022-04-28,08NJ158,357.0,
2022-04-29,08NJ158,467.0,
2022-04-30,08NJ158,538.0,
2022-05-01,08NJ158,530.0,
2022-05-02,08NJ158,538.0,
2022-05-03,08NJ158,538.0,
2022-05-04,08NJ158,564.0,
2022-05-05,08NJ158,589.0,
2022-05-06,08NJ158,640.0,
2022-05-07,08NJ158,691.0,
2022-05-08,08NJ158,748.0,
2022-05-09,08NJ158,801.0,
2022-05-10,08NJ158,844.0,
2022-05-11,08NJ158,881.0,
2022-05-12,08NJ158,898.0,
2022-05-13,08NJ158,912.0,
2022-05-14,08NJ158,915.0,
2022-05-15,08NJ158,926.0,
2022-05-16,08NJ158,940.0,
2022-05-17,08NJ158,960.0,
2022-05-18,08NJ158,968.0,
2022-05-19,08NJ158,991.0,
2022-05-20,08NJ158,1050.0,
2022-05-21,08NJ158,1090.0,
2022-05-22,08NJ158,1110.0,
2022-05-23,08NJ158,1140.0,
2022-05-24,08NJ158,1160.0,
2022-05-25,08NJ158,1180.0,
2022-05-26,08NJ158,1210.0,
2022-05-27,08NJ158,1260.0,
2022-05-28,08NJ158,1340.0,
2022-05-29,08NJ158,1400.0,
2022-05-30,08NJ158,1460.0,
2022-05-31,08NJ158,1500.0,
2022-06-01,08NJ158,1560.0,
2022-06-02,08NJ158,1610.0,
2022-06-03,08NJ158,1680.0,
2022-06-04,08NJ158,1750.0,
2022-06-05,08NJ158,1830.0,
2022-06-06,08NJ158,1900.0,
2022-06-07,08NJ158,1970.0,
2022-06-08,08NJ158,2040.0,
2022-06-09,08NJ158,2080.0,
2022-06-10,08NJ158,2140.0,
2022-06-11,08NJ158,2220.0,
2022-06-12,08NJ158,2290.0,
2022-06-13,08NJ158,2330.0,
2022-06-14,08NJ158,2350.0,
2022-06-15,08NJ158,2370.0,
2022-06-16,08NJ158,2350.0,
2022-06-17,08NJ158,2310.0,
2022-06-18,08NJ158,2290.0,
2022-06-19,08NJ158,2270.0,
2022-06-20,08NJ158,2240.0,
2022-06-21,08NJ158,2200.0,
2022-06-22,08NJ158,2180.0,
2022-06-23,08NJ158,2150.0,
2022-06-24,08NJ158,2130.0,
2022-06-25,08NJ158,2080.0,
2022-06-26,08NJ158,2010.0,
2022-06-27,08NJ158,1950.0,
2022-06-28,08NJ158,1760.0,
2022-06-29,08NJ158,1540.0,
2022-06-30,08NJ158,1530.0,
2022-07-01,08NJ158,1520.0,
2022-07-02,08NJ158,1520.0,
2022-07-03,08NJ158,1500.0,
2022-07-04,08NJ158,1510.0,
2022-07-05,08NJ158,1530.0,
2022-07-06,08NJ158,1570.0,
2022-07-07,08NJ158,1550.0,
2022-07-08,08NJ158,1530.0,
2022-07-09,08NJ158,1550.0,
2022-07-10,08NJ158,1550.0,
2022-07-11,08NJ158,1530.0,
2022-07-12,08NJ158,1410.0,
2022-07-13,08NJ158,1280.0,
2022-07-14,08NJ158,1230.0,
2022-07-15,08NJ158,1210.0,
2022-07-16,08NJ158,1210.0,
2022-07-17,08NJ158,1210.0,
2022-07-18,08NJ158,1210.0,
2022-07-19,08NJ158,1250.0,
2022-07-20,08NJ158,1240.0,
2022-07-21,08NJ158,1230.0,
2022-07-22,08NJ158,1220.0,
2022-07-23,08NJ158,1180.0,
2022-07-24,08NJ158,1170.0,
2022-07-25,08NJ158,1160.0,
2022-07-26,08NJ158,1040.0,
2022-07-27,08NJ158,1000.0,
2022-07-28,08NJ158,991.0,
2022-07-29,08NJ158,1010.0,
2022-07-30,08NJ158,1040.0,
2022-07-31,08NJ158,1060.0,
2022-08-01,08NJ158,1050.0,
2022-08-02,08NJ158,960.0,
2022-08-03,08NJ158,855.0,
2022-08-04,08NJ158,855.0,
2022-08-05,08NJ158,881.0,
2022-08-06,08NJ158,810.0,
2022-08-07,08NJ158,,
2022-08-08,08NJ158,,
2022-08-09,08NJ158,816.0,
2022-08-10,08NJ158,,
2022-08-11,08NJ158,,
2022-08-12,08NJ158,,
2022-08-13,08NJ158,,
2022-08-14,08NJ158,,
2022-08-15,08NJ158,,
2022-08-16,08NJ158,793.0,
2022-08-17,08NJ158,793.0,
2022-08-18,08NJ158,776.0,
2022-08-19,08NJ158,784.0,
2022-08-20,08NJ158,682.0,
2022-08-21,08NJ158,552.0,
2022-08-22,08NJ158,484.0,
2022-08-23,08NJ158,,
2022-08-24,08NJ158,481.0,
2022-08-25,08NJ158,481.0,
2022-08-26,08NJ158,501.0,
2022-08-27,08NJ158,513.0,
2022-08-28,08NJ158,558.0,
2022-08-29,08NJ158,521.0,
2022-08-30,08NJ158,606.0,
2022-08-31,08NJ158,595.0,
2022-09-01,08NJ158,600.0,
2022-09-02,08NJ158,589.0,
2022-09-03,08NJ158,595.0,
2022-09-04,08NJ158,580.0,
2022-09-05,08NJ158,586.0,
2022-09-06,08NJ158,614.0,
2022-09-07,08NJ158,606.0,
2022-09-08,08NJ158,532.0,
2022-09-09,08NJ158,504.0,
2022-09-10,08NJ158,504.0,
2022-09-11,08NJ158,484.0,
2022-09-12,08NJ158,507.0,
2022-09-13,08NJ158,532.0,
2022-09-14,08NJ158,498.0,
2022-09-15,08NJ158,504.0,
2022-09-16,08NJ158,518.0,
2022-09-17,08NJ158,498.0,
2022-09-18,08NJ158,515.0,
2022-09-19,08NJ158,513.0,
2022-09-20,08NJ158,518.0,
2022-09-21,08NJ158,504.0,
2022-09-22,08NJ158,518.0,
2022-09-23,08NJ158,498.0,
2022-09-24,08NJ158,439.0,
2022-09-25,08NJ158,419.0,
2022-09-26,08NJ158,382.0,
2022-09-27,08NJ158,362.0,
2022-09-28,08NJ158,343.0,
2022-09-29,08NJ158,294.0,
2022-09-30,08NJ158,272.0,
2022-10-01,08NJ158,269.0,
2022-10-02,08NJ158,258.0,
2022-10-03,08NJ158,300.0,
2022-10-04,08NJ158,272.0,
2022-10-05,08NJ158,249.0,
2022-10-06,08NJ158,275.0,
2022-10-07,08NJ158,246.0,
2022-10-08,08NJ158,235.0,
2022-10-09,08NJ158,261.0,
2022-10-10,08NJ158,227.0,
2022-10-11,08NJ158,255.0,
2022-10-12,08NJ158,252.0,
2022-10-13,08NJ158,238.0,
2022-10-14,08NJ158,246.0,
2022-10-15,08NJ158,246.0,
2022-10-16,08NJ158,229.0,
2022-10-17,08NJ158,255.0,
2022-10-18,08NJ158,255.0,
2022-10-19,08NJ158,241.0,
2022-10-20,08NJ158,252.0,
2022-10-21,08NJ158,244.0,
2022-10-22,08NJ158,255.0,
2022-10-23,08NJ158,246.0,
2022-10-24,08NJ158,249.0,
2022-10-25,08NJ158,280.0,
2022-10-26,08NJ158,280.0,
2022-10-27,08NJ158,286.0,
2022-10-28,08NJ158,286.0,
2022-10-29,08NJ158,280.0,
2022-10-30,08NJ158,286.0,
2022-10-31,08NJ158,283.0,
2022-11-01,08NJ158,360.0,
2022-11-02,08NJ158,430.0,
2022-11-03,08NJ158,445.0,
2022-11-04,08NJ158,439.0,
2022-11-05,08NJ158,447.0,
2022-11-06,08NJ158,447.0,
2022-11-07,08NJ158,558.0,
2022-11-08,08NJ158,541.0,
2022-11-09,08NJ158,544.0,
2022-11-10,08NJ158,549.0,
2022-11-11,08NJ158,544.0,
2022-11-12,08NJ158,549.0,
2022-11-13,08NJ158,541.0,
2022-11-14,08NJ158,629.0,
2022-11-15,08NJ158,733.0,
2022-11-16,08NJ158,714.0,
2022-11-17,08NJ158,592.0,
2022-11-18,08NJ158,646.0,
2022-11-19,08NJ158,515.0,
2022-11-20,08NJ158,510.0,
2022-11-21,08NJ158,513.0,
2022-11-22,08NJ158,436.0,
2022-11-23,08NJ158,422.0,
2022-11-24,08NJ158,430.0,
2022-11-25,08NJ158,433.0,
2022-11-26,08NJ158,428.0,
2022-11-27,08NJ158,433.0,
2022-11-28,08NJ158,445.0,
2022-11-29,08NJ158,,
2022-11-30,08NJ158,439.0,
2022-12-01,08NJ158,504.0,
2022-12-02,08NJ158,473.0,
2022-12-03,08NJ158,493.0,
2022-12-04,08NJ158,518.0,
2022-12-05,08NJ158,597.0,
2022-12-06,08NJ158,481.0,
2022-12-07,08NJ158,535.0,
2022-12-08,08NJ158,513.0,
2022-12-09,08NJ158,496.0,
2022-12-10,08NJ158,484.0,
2022-12-11,08NJ158,498.0,
2022-12-12,08NJ158,501.0,
2022-12-13,08NJ158,490.0,
2022-12-14,08NJ158,504.0,
2022-12-15,08NJ158,504.0,
2022-12-16,08NJ158,541.0,
2022-12-17,08NJ158,524.0,
2022-12-18,08NJ158,504.0,
2022-12-19,08NJ158,527.0,
2022-12-20,08NJ158,510.0,
2022-12-21,08NJ158,510.0,
2022-12-22,08NJ158,541.0,
2022-12-23,08NJ158,521.0,
2022-12-24,08NJ158,513.0,
2022-12-25,08NJ158,510.0,
2022-12-26,08NJ158,493.0,
2022-12-27,08NJ158,515.0,
2022-12-28,08NJ158,498.0,
2022-12-29,08NJ158,510.0,
2022-12-30,08NJ158,487.0,
2022-12-31,08NJ158,532.0,
2023-01-01,08NJ158,490.0,
