DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,10BE001,387.0,10.10099983215332
2022-01-02,10BE001,385.0,10.086000442504885
2022-01-03,10BE001,384.0,10.085000038146973
2022-01-04,10BE001,382.0,10.083999633789062
2022-01-05,10BE001,381.0,10.121000289916992
2022-01-06,10BE001,379.0,10.13599967956543
2022-01-07,10BE001,377.0,10.149999618530272
2022-01-08,10BE001,376.0,10.126999855041504
2022-01-09,10BE001,374.0,10.109999656677246
2022-01-10,10BE001,373.0,10.118000030517578
2022-01-11,10BE001,371.0,10.121999740600586
2022-01-12,10BE001,370.0,10.104000091552734
2022-01-13,10BE001,368.0,10.083000183105469
2022-01-14,10BE001,367.0,10.062000274658203
2022-01-15,10BE001,365.0,10.048999786376951
2022-01-16,10BE001,363.0,10.053000450134276
2022-01-17,10BE001,362.0,10.050999641418455
2022-01-18,10BE001,360.0,10.041999816894531
2022-01-19,10BE001,359.0,10.036999702453612
2022-01-20,10BE001,357.0,10.041999816894531
2022-01-21,10BE001,356.0,10.048999786376951
2022-01-22,10BE001,354.0,10.053000450134276
2022-01-23,10BE001,353.0,10.06700038909912
2022-01-24,10BE001,351.0,10.093000411987305
2022-01-25,10BE001,350.0,10.071999549865724
2022-01-26,10BE001,349.0,10.092000007629396
2022-01-27,10BE001,347.0,10.05799961090088
2022-01-28,10BE001,346.0,10.0600004196167
2022-01-29,10BE001,344.0,10.071000099182127
2022-01-30,10BE001,343.0,10.076000213623049
2022-01-31,10BE001,341.0,10.065999984741213
2022-02-01,10BE001,340.0,10.095999717712402
2022-02-02,10BE001,338.0,10.04800033569336
2022-02-03,10BE001,337.0,10.041999816894531
2022-02-04,10BE001,336.0,10.04300022125244
2022-02-05,10BE001,334.0,10.041000366210938
2022-02-06,10BE001,333.0,10.031000137329102
2022-02-07,10BE001,331.0,10.010000228881836
2022-02-08,10BE001,330.0,10.02400016784668
2022-02-09,10BE001,329.0,10.01200008392334
2022-02-10,10BE001,327.0,10.055999755859377
2022-02-11,10BE001,326.0,10.052000045776367
2022-02-12,10BE001,324.0,10.074000358581545
2022-02-13,10BE001,323.0,10.08199977874756
2022-02-14,10BE001,322.0,10.0649995803833
2022-02-15,10BE001,320.0,10.072999954223633
2022-02-16,10BE001,319.0,10.08899974822998
2022-02-17,10BE001,318.0,10.109000205993652
2022-02-18,10BE001,316.0,10.102999687194824
2022-02-19,10BE001,315.0,10.112000465393066
2022-02-20,10BE001,314.0,10.109000205993652
2022-02-21,10BE001,312.0,10.102999687194824
2022-02-22,10BE001,311.0,10.086999893188477
2022-02-23,10BE001,310.0,10.074000358581545
2022-02-24,10BE001,309.0,10.050000190734863
2022-02-25,10BE001,307.0,10.041999816894531
2022-02-26,10BE001,306.0,10.05500030517578
2022-02-27,10BE001,305.0,10.060999870300291
2022-02-28,10BE001,303.0,10.050000190734863
2022-03-01,10BE001,302.0,10.05500030517578
2022-03-02,10BE001,301.0,10.060999870300291
2022-03-03,10BE001,300.0,10.050999641418455
2022-03-04,10BE001,298.0,10.04699993133545
2022-03-05,10BE001,297.0,10.038999557495115
2022-03-06,10BE001,296.0,10.050000190734863
2022-03-07,10BE001,295.0,10.0600004196167
2022-03-08,10BE001,293.0,10.022000312805176
2022-03-09,10BE001,292.0,10.003000259399414
2022-03-10,10BE001,291.0,9.994000434875488
2022-03-11,10BE001,290.0,10.0
2022-03-12,10BE001,288.0,9.99899959564209
2022-03-13,10BE001,287.0,9.994999885559082
2022-03-14,10BE001,286.0,9.967000007629396
2022-03-15,10BE001,285.0,9.958000183105469
2022-03-16,10BE001,284.0,9.967000007629396
2022-03-17,10BE001,282.0,9.95699977874756
2022-03-18,10BE001,281.0,9.949999809265137
2022-03-19,10BE001,280.0,9.944000244140623
2022-03-20,10BE001,279.0,9.949000358581545
2022-03-21,10BE001,278.0,9.946999549865724
2022-03-22,10BE001,277.0,9.940999984741213
2022-03-23,10BE001,275.0,9.9350004196167
2022-03-24,10BE001,274.0,9.934000015258787
2022-03-25,10BE001,273.0,9.93299961090088
2022-03-26,10BE001,272.0,9.942999839782717
2022-03-27,10BE001,271.0,9.95199966430664
2022-03-28,10BE001,270.0,9.942999839782717
2022-03-29,10BE001,269.0,9.949999809265137
2022-03-30,10BE001,267.0,9.96399974822998
2022-03-31,10BE001,266.0,9.970000267028809
2022-04-01,10BE001,265.0,9.968000411987305
2022-04-02,10BE001,264.0,9.967000007629396
2022-04-03,10BE001,263.0,9.961999893188477
2022-04-04,10BE001,262.0,9.958000183105469
2022-04-05,10BE001,261.0,9.961000442504885
2022-04-06,10BE001,260.0,9.956000328063965
2022-04-07,10BE001,259.0,9.95199966430664
2022-04-08,10BE001,258.0,9.946000099182127
2022-04-09,10BE001,257.0,9.944000244140623
2022-04-10,10BE001,256.0,9.944000244140623
2022-04-11,10BE001,255.0,9.930999755859377
2022-04-12,10BE001,255.0,9.91100025177002
2022-04-13,10BE001,256.0,9.894000053405762
2022-04-14,10BE001,257.0,9.869000434875488
2022-04-15,10BE001,258.0,9.859000205993652
2022-04-16,10BE001,259.0,9.845999717712402
2022-04-17,10BE001,261.0,9.833000183105469
2022-04-18,10BE001,263.0,9.82800006866455
2022-04-19,10BE001,266.0,9.826000213623049
