DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-06-01,10DA001,,
2022-06-02,10DA001,,
2022-06-03,10DA001,,
2022-06-04,10DA001,,
2022-06-05,10DA001,,
2022-06-06,10DA001,,
2022-06-07,10DA001,,
2022-06-08,10DA001,,
2022-06-09,10DA001,,
2022-06-10,10DA001,,
2022-06-11,10DA001,,
2022-06-12,10DA001,,
2022-06-13,10DA001,,
2022-06-14,10DA001,,
2022-06-15,10DA001,,
2022-06-16,10DA001,291.0,7.053999900817871
2022-06-17,10DA001,,
2022-06-18,10DA001,,
2022-06-19,10DA001,,
2022-06-20,10DA001,,
2022-06-21,10DA001,,
2022-06-22,10DA001,,
2022-06-23,10DA001,,
2022-06-24,10DA001,,
2022-06-25,10DA001,,
2022-06-26,10DA001,,
2022-06-27,10DA001,,
2022-06-28,10DA001,,
2022-06-29,10DA001,,
2022-06-30,10DA001,,
2022-08-01,10DA001,,
2022-08-02,10DA001,,
2022-08-03,10DA001,,
2022-08-04,10DA001,,
2022-08-05,10DA001,,
2022-08-06,10DA001,,
2022-08-07,10DA001,,
2022-08-08,10DA001,,
2022-08-09,10DA001,,
2022-08-10,10DA001,,
2022-08-11,10DA001,,
2022-08-12,10DA001,,
2022-08-13,10DA001,,
2022-08-14,10DA001,,
2022-08-15,10DA001,,
2022-08-16,10DA001,,
2022-08-17,10DA001,,
2022-08-18,10DA001,,
2022-08-19,10DA001,,
2022-08-20,10DA001,,
2022-08-21,10DA001,,
2022-08-22,10DA001,,
2022-08-23,10DA001,,
2022-08-24,10DA001,,
2022-08-25,10DA001,,
2022-08-26,10DA001,,
2022-08-27,10DA001,,
2022-08-28,10DA001,,
2022-08-29,10DA001,,
2022-08-30,10DA001,,
2022-08-31,10DA001,30.799999237060547,5.803999900817871
2022-09-01,10DA001,30.299999237060547,5.798999786376953
2022-09-02,10DA001,32.0,5.817999839782715
2022-09-03,10DA001,31.799999237060547,5.815999984741211
2022-09-04,10DA001,29.700000762939453,5.790999889373779
2022-09-05,10DA001,29.600000381469727,5.789999961853027
2022-09-06,10DA001,29.600000381469727,5.789999961853027
2022-09-07,10DA001,29.899999618530277,5.794000148773193
2022-09-08,10DA001,28.600000381469727,5.77899980545044
2022-09-09,10DA001,26.700000762939453,5.755000114440918
2022-09-10,10DA001,25.799999237060547,5.74399995803833
2022-09-11,10DA001,26.899999618530277,5.756999969482422
2022-09-12,10DA001,26.100000381469727,5.747000217437744
2022-09-13,10DA001,24.299999237060547,5.723999977111816
2022-09-14,10DA001,23.0,5.704999923706055
2022-09-15,10DA001,21.5,5.683000087738037
2022-09-16,10DA001,22.899999618530277,5.703999996185303
2022-09-17,10DA001,23.600000381469727,5.714000225067139
2022-09-18,10DA001,23.399999618530277,5.710999965667725
2022-09-19,10DA001,23.299999237060547,5.709000110626221
2022-09-20,10DA001,23.100000381469727,5.705999851226807
2022-09-21,10DA001,22.799999237060547,5.703000068664551
2022-09-22,10DA001,22.299999237060547,5.696000099182129
2022-09-23,10DA001,21.899999618530277,5.689000129699707
2022-09-24,10DA001,21.200000762939453,5.679999828338623
2022-09-25,10DA001,20.700000762939453,5.671000003814697
2022-09-26,10DA001,19.899999618530277,5.659999847412109
2022-09-27,10DA001,19.100000381469727,5.6479997634887695
2022-09-28,10DA001,16.5,5.605000019073486
2022-09-29,10DA001,16.899999618530273,5.611000061035156
