 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
07EA005,2022-01-01,Q.obs,65.1,B
07EA005,2022-01-02,Q.obs,64.7,B
07EA005,2022-01-03,Q.obs,64.4,B
07EA005,2022-01-04,Q.obs,64.1,B
07EA005,2022-01-05,Q.obs,63.8,B
07EA005,2022-01-06,Q.obs,63.5,B
07EA005,2022-01-07,Q.obs,63.2,B
07EA005,2022-01-08,Q.obs,62.8,B
07EA005,2022-01-09,Q.obs,62.5,B
07EA005,2022-01-10,Q.obs,62.2,B
07EA005,2022-01-11,Q.obs,61.9,B
07EA005,2022-01-12,Q.obs,61.6,B
07EA005,2022-01-13,Q.obs,61.3,B
07EA005,2022-01-14,Q.obs,60.9,B
07EA005,2022-01-15,Q.obs,60.6,B
07EA005,2022-01-16,Q.obs,60.3,B
07EA005,2022-01-17,Q.obs,60.0,B
07EA005,2022-01-18,Q.obs,59.7,B
07EA005,2022-01-19,Q.obs,59.4,B
07EA005,2022-01-20,Q.obs,59.0,B
07EA005,2022-01-21,Q.obs,58.7,B
07EA005,2022-01-22,Q.obs,58.4,B
07EA005,2022-01-23,Q.obs,58.1,B
07EA005,2022-01-24,Q.obs,57.8,B
07EA005,2022-01-25,Q.obs,57.5,B
07EA005,2022-01-26,Q.obs,57.1,B
07EA005,2022-01-27,Q.obs,56.8,B
07EA005,2022-01-28,Q.obs,56.5,B
07EA005,2022-01-29,Q.obs,56.2,B
07EA005,2022-01-30,Q.obs,55.9,B
07EA005,2022-01-31,Q.obs,55.6,B
07EA005,2022-02-01,Q.obs,55.2,B
07EA005,2022-02-02,Q.obs,54.9,B
07EA005,2022-02-03,Q.obs,54.6,B
07EA005,2022-02-04,Q.obs,54.3,B
07EA005,2022-02-05,Q.obs,54.0,B
07EA005,2022-02-06,Q.obs,53.7,B
07EA005,2022-02-07,Q.obs,53.3,B
07EA005,2022-02-08,Q.obs,53.0,B
07EA005,2022-02-09,Q.obs,52.7,B
07EA005,2022-02-10,Q.obs,52.4,B
07EA005,2022-02-11,Q.obs,52.1,B
07EA005,2022-02-12,Q.obs,51.8,B
07EA005,2022-02-13,Q.obs,51.4,B
07EA005,2022-02-14,Q.obs,51.1,B
07EA005,2022-02-15,Q.obs,50.8,B
07EA005,2022-02-16,Q.obs,50.8,B
07EA005,2022-02-17,Q.obs,50.8,B
07EA005,2022-02-18,Q.obs,50.7,B
07EA005,2022-02-19,Q.obs,50.7,B
07EA005,2022-02-20,Q.obs,50.7,B
07EA005,2022-02-21,Q.obs,50.7,B
07EA005,2022-02-22,Q.obs,50.6,B
07EA005,2022-02-23,Q.obs,50.6,B
07EA005,2022-02-24,Q.obs,50.6,B
07EA005,2022-02-25,Q.obs,50.5,B
07EA005,2022-02-26,Q.obs,50.5,B
07EA005,2022-02-27,Q.obs,50.5,B
07EA005,2022-02-28,Q.obs,50.5,B
07EA005,2022-03-01,Q.obs,50.4,B
07EA005,2022-03-02,Q.obs,50.4,B
07EA005,2022-03-03,Q.obs,50.4,B
07EA005,2022-03-04,Q.obs,50.4,B
07EA005,2022-03-05,Q.obs,50.3,B
07EA005,2022-03-06,Q.obs,50.3,B
07EA005,2022-03-07,Q.obs,50.3,B
07EA005,2022-03-08,Q.obs,50.3,B
07EA005,2022-03-09,Q.obs,50.2,B
