 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
07EC002,2022-01-01,Q.obs,18.0,B
07EC002,2022-01-01,H.obs,1.828,
07EC002,2022-01-02,H.obs,1.837,
07EC002,2022-01-02,Q.obs,18.0,B
07EC002,2022-01-03,Q.obs,17.9,B
07EC002,2022-01-03,H.obs,1.846,
07EC002,2022-01-04,Q.obs,17.9,B
07EC002,2022-01-04,H.obs,1.85,
07EC002,2022-01-05,Q.obs,17.9,B
07EC002,2022-01-05,H.obs,1.851,
07EC002,2022-01-06,H.obs,1.86,A
07EC002,2022-01-06,Q.obs,17.8,B
07EC002,2022-01-07,H.obs,1.866,
07EC002,2022-01-07,Q.obs,17.8,B
07EC002,2022-01-08,H.obs,1.863,
07EC002,2022-01-08,Q.obs,17.8,B
07EC002,2022-01-09,H.obs,1.853,
07EC002,2022-01-09,Q.obs,17.8,B
07EC002,2022-01-10,H.obs,1.855,
07EC002,2022-01-10,Q.obs,17.7,B
07EC002,2022-01-11,H.obs,1.853,
07EC002,2022-01-11,Q.obs,17.7,B
07EC002,2022-01-12,H.obs,1.862,
07EC002,2022-01-12,Q.obs,17.7,B
07EC002,2022-01-13,Q.obs,17.6,B
07EC002,2022-01-13,H.obs,1.867,
07EC002,2022-01-14,Q.obs,17.6,B
07EC002,2022-01-14,H.obs,1.879,
07EC002,2022-01-15,Q.obs,17.6,B
07EC002,2022-01-15,H.obs,1.891,
07EC002,2022-01-16,H.obs,1.905,
07EC002,2022-01-16,Q.obs,17.5,B
07EC002,2022-01-17,Q.obs,17.5,B
07EC002,2022-01-17,H.obs,1.918,
07EC002,2022-01-18,Q.obs,17.5,B
07EC002,2022-01-18,H.obs,1.914,
07EC002,2022-01-19,Q.obs,17.4,B
07EC002,2022-01-19,H.obs,1.91,
07EC002,2022-01-20,Q.obs,17.4,B
07EC002,2022-01-20,H.obs,1.921,
07EC002,2022-01-21,Q.obs,17.4,B
07EC002,2022-01-21,H.obs,1.935,
07EC002,2022-01-22,H.obs,1.926,
07EC002,2022-01-22,Q.obs,17.3,B
07EC002,2022-01-23,Q.obs,17.3,B
07EC002,2022-01-23,H.obs,1.936,
07EC002,2022-01-24,H.obs,1.943,
07EC002,2022-01-24,Q.obs,17.3,B
07EC002,2022-01-25,Q.obs,17.2,B
07EC002,2022-01-25,H.obs,1.944,
07EC002,2022-01-26,Q.obs,17.2,B
07EC002,2022-01-26,H.obs,1.943,
07EC002,2022-01-27,Q.obs,17.2,B
07EC002,2022-01-27,H.obs,1.932,
07EC002,2022-01-28,H.obs,1.922,
07EC002,2022-01-28,Q.obs,17.1,B
07EC002,2022-01-29,H.obs,1.924,
07EC002,2022-01-29,Q.obs,17.1,B
07EC002,2022-01-30,Q.obs,17.1,B
07EC002,2022-01-30,H.obs,1.916,
07EC002,2022-01-31,H.obs,1.915,
07EC002,2022-01-31,Q.obs,17.0,B
07EC002,2022-02-01,H.obs,1.913,
07EC002,2022-02-01,Q.obs,17.0,B
07EC002,2022-02-02,Q.obs,17.0,B
07EC002,2022-02-02,H.obs,1.885,
07EC002,2022-02-03,H.obs,1.881,
07EC002,2022-02-03,Q.obs,16.9,B
07EC002,2022-02-04,H.obs,1.885,
07EC002,2022-02-04,Q.obs,16.9,B
07EC002,2022-02-05,H.obs,1.896,
07EC002,2022-02-05,Q.obs,16.9,B
07EC002,2022-02-06,H.obs,1.9,
07EC002,2022-02-06,Q.obs,16.9,B
07EC002,2022-02-07,H.obs,1.922,
07EC002,2022-02-07,Q.obs,16.8,B
07EC002,2022-02-08,Q.obs,16.8,B
07EC002,2022-02-08,H.obs,1.944,
07EC002,2022-02-09,H.obs,1.937,
07EC002,2022-02-09,Q.obs,16.8,B
07EC002,2022-02-10,H.obs,1.931,
07EC002,2022-02-10,Q.obs,16.7,B
07EC002,2022-02-11,Q.obs,16.7,B
07EC002,2022-02-11,H.obs,1.935,
07EC002,2022-02-12,Q.obs,16.7,B
07EC002,2022-02-12,H.obs,1.934,
07EC002,2022-02-13,Q.obs,16.6,B
07EC002,2022-02-13,H.obs,1.927,
07EC002,2022-02-14,Q.obs,16.6,B
07EC002,2022-02-14,H.obs,1.921,
07EC002,2022-02-15,Q.obs,16.6,B
07EC002,2022-02-15,H.obs,1.911,
07EC002,2022-02-16,Q.obs,16.5,B
07EC002,2022-02-16,H.obs,1.902,A
07EC002,2022-02-17,H.obs,1.895,
07EC002,2022-02-17,Q.obs,16.5,B
07EC002,2022-02-18,H.obs,1.887,
07EC002,2022-02-18,Q.obs,16.4,B
07EC002,2022-02-19,Q.obs,16.4,B
07EC002,2022-02-19,H.obs,1.882,
07EC002,2022-02-20,H.obs,1.884,
07EC002,2022-02-20,Q.obs,16.3,B
07EC002,2022-02-21,H.obs,1.857,
07EC002,2022-02-21,Q.obs,16.3,B
07EC002,2022-02-22,H.obs,1.853,
07EC002,2022-02-22,Q.obs,16.2,B
07EC002,2022-02-23,Q.obs,16.2,B
07EC002,2022-02-23,H.obs,1.85,
07EC002,2022-02-24,Q.obs,16.1,B
07EC002,2022-02-24,H.obs,1.877,
07EC002,2022-02-25,Q.obs,16.1,B
07EC002,2022-02-25,H.obs,1.918,
07EC002,2022-02-26,Q.obs,16.0,B
07EC002,2022-02-26,H.obs,1.939,
07EC002,2022-02-27,Q.obs,16.0,B
07EC002,2022-02-27,H.obs,1.956,
07EC002,2022-02-28,Q.obs,15.9,B
07EC002,2022-02-28,H.obs,1.947,
07EC002,2022-03-01,H.obs,1.935,
