 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
07FA004,2022-01-01,Q.obs,1340.0,
07FA004,2022-01-01,H.obs,1.776,
07FA004,2022-01-02,H.obs,1.689,
07FA004,2022-01-02,Q.obs,1280.0,
07FA004,2022-01-03,Q.obs,1240.0,
07FA004,2022-01-03,H.obs,1.642,
07FA004,2022-01-04,Q.obs,1330.0,
07FA004,2022-01-04,H.obs,1.761,
07FA004,2022-01-05,Q.obs,1310.0,
07FA004,2022-01-05,H.obs,1.73,
07FA004,2022-01-06,H.obs,1.873,
07FA004,2022-01-06,Q.obs,1410.0,
07FA004,2022-01-07,H.obs,2.128,
07FA004,2022-01-07,Q.obs,1600.0,
07FA004,2022-01-08,H.obs,2.256,
07FA004,2022-01-08,Q.obs,1710.0,
07FA004,2022-01-09,H.obs,2.389,
07FA004,2022-01-09,Q.obs,1820.0,
07FA004,2022-01-10,H.obs,2.418,
07FA004,2022-01-10,Q.obs,1840.0,
07FA004,2022-01-11,H.obs,2.274,
07FA004,2022-01-11,Q.obs,1720.0,
07FA004,2022-01-12,H.obs,2.171,
07FA004,2022-01-12,Q.obs,1640.0,
07FA004,2022-01-13,Q.obs,1600.0,
07FA004,2022-01-13,H.obs,2.122,
07FA004,2022-01-14,Q.obs,1650.0,
07FA004,2022-01-14,H.obs,2.184,
07FA004,2022-01-15,Q.obs,1520.0,
07FA004,2022-01-15,H.obs,2.005,
07FA004,2022-01-16,H.obs,1.987,
07FA004,2022-01-16,Q.obs,1500.0,
07FA004,2022-01-17,Q.obs,1650.0,
07FA004,2022-01-17,H.obs,2.183,
07FA004,2022-01-18,Q.obs,1660.0,
07FA004,2022-01-18,H.obs,2.197,
07FA004,2022-01-19,Q.obs,1710.0,
07FA004,2022-01-19,H.obs,2.255,
07FA004,2022-01-20,Q.obs,1730.0,
07FA004,2022-01-20,H.obs,2.282,
07FA004,2022-01-21,Q.obs,1610.0,
07FA004,2022-01-21,H.obs,2.138,
07FA004,2022-01-22,H.obs,2.146,
07FA004,2022-01-22,Q.obs,1620.0,
07FA004,2022-01-23,Q.obs,1610.0,
07FA004,2022-01-23,H.obs,2.13,
07FA004,2022-01-24,H.obs,2.19,
07FA004,2022-01-24,Q.obs,1650.0,
07FA004,2022-01-25,Q.obs,1670.0,A
07FA004,2022-01-25,H.obs,2.238,
07FA004,2022-01-26,Q.obs,1660.0,
07FA004,2022-01-26,H.obs,2.195,
07FA004,2022-01-27,Q.obs,1690.0,
07FA004,2022-01-27,H.obs,2.233,
07FA004,2022-01-28,H.obs,2.193,
07FA004,2022-01-28,Q.obs,1660.0,
07FA004,2022-01-29,H.obs,2.208,
07FA004,2022-01-29,Q.obs,1670.0,
07FA004,2022-01-30,Q.obs,1630.0,
07FA004,2022-01-30,H.obs,2.163,
07FA004,2022-01-31,H.obs,2.164,
07FA004,2022-01-31,Q.obs,1630.0,
07FA004,2022-02-01,H.obs,2.234,
07FA004,2022-02-01,Q.obs,1690.0,
07FA004,2022-02-02,H.obs,2.326,
07FA004,2022-02-02,Q.obs,1760.0,
07FA004,2022-02-03,Q.obs,1860.0,
07FA004,2022-02-03,H.obs,2.438,
07FA004,2022-02-04,H.obs,2.431,
07FA004,2022-02-04,Q.obs,1850.0,
07FA004,2022-02-05,H.obs,2.26,
07FA004,2022-02-05,Q.obs,1710.0,
07FA004,2022-02-06,Q.obs,1660.0,
07FA004,2022-02-06,H.obs,2.202,
07FA004,2022-02-07,Q.obs,1620.0,
07FA004,2022-02-07,H.obs,2.151,
07FA004,2022-02-08,H.obs,2.144,
07FA004,2022-02-08,Q.obs,1620.0,
07FA004,2022-02-09,Q.obs,1610.0,
07FA004,2022-02-09,H.obs,2.137,
07FA004,2022-02-10,H.obs,2.11,
07FA004,2022-02-10,Q.obs,1590.0,
07FA004,2022-02-11,Q.obs,1520.0,
07FA004,2022-02-11,H.obs,2.015,
07FA004,2022-02-12,Q.obs,1520.0,
