 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
07FB002,2022-01-01,Q.obs,20.0,B
07FB002,2022-01-01,H.obs,8.373,
07FB002,2022-01-02,H.obs,8.353,
07FB002,2022-01-02,Q.obs,20.0,B
07FB002,2022-01-03,Q.obs,19.9,B
07FB002,2022-01-03,H.obs,8.343,
07FB002,2022-01-04,Q.obs,19.9,B
07FB002,2022-01-04,H.obs,8.335,
07FB002,2022-01-05,Q.obs,19.8,B
07FB002,2022-01-05,H.obs,8.325,
07FB002,2022-01-06,H.obs,8.319,
07FB002,2022-01-06,Q.obs,19.8,B
07FB002,2022-01-07,H.obs,8.308,
07FB002,2022-01-07,Q.obs,19.7,B
07FB002,2022-01-08,H.obs,8.295,
07FB002,2022-01-08,Q.obs,19.7,B
07FB002,2022-01-09,H.obs,8.29,
07FB002,2022-01-09,Q.obs,19.6,B
07FB002,2022-01-10,H.obs,8.278,
07FB002,2022-01-10,Q.obs,19.6,B
07FB002,2022-01-11,H.obs,8.253,
07FB002,2022-01-11,Q.obs,19.5,B
07FB002,2022-01-12,H.obs,8.241,
07FB002,2022-01-12,Q.obs,19.5,B
07FB002,2022-01-13,Q.obs,19.4,B
07FB002,2022-01-13,H.obs,8.235,
07FB002,2022-01-14,Q.obs,19.4,B
07FB002,2022-01-14,H.obs,8.232,
07FB002,2022-01-15,Q.obs,19.4,B
07FB002,2022-01-15,H.obs,8.217,
07FB002,2022-01-16,H.obs,8.198,
07FB002,2022-01-16,Q.obs,19.3,B
07FB002,2022-01-17,Q.obs,19.3,B
07FB002,2022-01-17,H.obs,8.19,
07FB002,2022-01-18,Q.obs,19.2,B
07FB002,2022-01-18,H.obs,8.176,
07FB002,2022-01-19,Q.obs,19.2,B
07FB002,2022-01-19,H.obs,8.176,
07FB002,2022-01-20,Q.obs,19.1,B
07FB002,2022-01-20,H.obs,8.156,
07FB002,2022-01-21,Q.obs,19.1,B
07FB002,2022-01-21,H.obs,8.12,
07FB002,2022-01-22,H.obs,8.154,
07FB002,2022-01-22,Q.obs,19.0,B
07FB002,2022-01-23,Q.obs,19.0,B
07FB002,2022-01-23,H.obs,8.169,
07FB002,2022-01-24,H.obs,8.145,
07FB002,2022-01-24,Q.obs,18.9,B
07FB002,2022-01-25,Q.obs,18.9,B
07FB002,2022-01-25,H.obs,8.11,
07FB002,2022-01-26,Q.obs,18.8,B
07FB002,2022-01-26,H.obs,8.071,
07FB002,2022-01-27,Q.obs,18.8,B
07FB002,2022-01-27,H.obs,8.04,
07FB002,2022-01-28,H.obs,8.013,
07FB002,2022-01-28,Q.obs,18.7,B
07FB002,2022-01-29,H.obs,7.986,
07FB002,2022-01-29,Q.obs,18.7,B
07FB002,2022-01-30,Q.obs,18.6,B
07FB002,2022-01-30,H.obs,7.972,
07FB002,2022-01-31,H.obs,7.961,
07FB002,2022-01-31,Q.obs,18.6,B
07FB002,2022-02-01,H.obs,7.945,
07FB002,2022-02-01,Q.obs,18.5,B
07FB002,2022-02-02,Q.obs,18.5,B
07FB002,2022-02-02,H.obs,7.92,
07FB002,2022-02-03,H.obs,7.871,
07FB002,2022-02-03,Q.obs,18.4,B
07FB002,2022-02-04,H.obs,7.855,
07FB002,2022-02-04,Q.obs,18.4,B
07FB002,2022-02-05,H.obs,7.906,
07FB002,2022-02-05,Q.obs,18.3,B
07FB002,2022-02-06,H.obs,7.951,
07FB002,2022-02-06,Q.obs,18.3,B
07FB002,2022-02-07,H.obs,7.993,
07FB002,2022-02-07,Q.obs,18.2,B
07FB002,2022-02-08,Q.obs,18.2,B
07FB002,2022-02-08,H.obs,8.007,
07FB002,2022-02-09,H.obs,7.986,
07FB002,2022-02-09,Q.obs,18.2,B
07FB002,2022-02-10,H.obs,7.976,
07FB002,2022-02-10,Q.obs,18.1,B
07FB002,2022-02-11,Q.obs,18.1,B
07FB002,2022-02-11,H.obs,7.956,
07FB002,2022-02-12,Q.obs,18.0,B
07FB002,2022-02-12,H.obs,7.991,
07FB002,2022-02-13,Q.obs,18.0,B
07FB002,2022-02-13,H.obs,8.018,
07FB002,2022-02-14,Q.obs,17.9,B
07FB002,2022-02-14,H.obs,8.01,
07FB002,2022-02-15,Q.obs,17.9,B
07FB002,2022-02-15,H.obs,7.99,
07FB002,2022-02-16,Q.obs,17.8,B
07FB002,2022-02-16,H.obs,7.963,
07FB002,2022-02-17,Q.obs,17.8,B
07FB002,2022-02-17,H.obs,7.942,
07FB002,2022-02-18,Q.obs,17.7,B
07FB002,2022-02-18,H.obs,7.924,
07FB002,2022-02-19,Q.obs,17.7,B
07FB002,2022-02-19,H.obs,7.922,
07FB002,2022-02-20,H.obs,7.911,
07FB002,2022-02-20,Q.obs,17.6,B
07FB002,2022-02-21,H.obs,7.885,
07FB002,2022-02-21,Q.obs,17.6,B
07FB002,2022-02-22,H.obs,7.837,
07FB002,2022-02-22,Q.obs,17.5,B
07FB002,2022-02-23,H.obs,7.805,
07FB002,2022-02-23,Q.obs,17.5,B
07FB002,2022-02-24,Q.obs,17.5,B
07FB002,2022-02-24,H.obs,7.828,
07FB002,2022-02-25,Q.obs,17.5,B
07FB002,2022-02-25,H.obs,7.865,
07FB002,2022-02-26,Q.obs,17.5,B
07FB002,2022-02-26,H.obs,7.872,
07FB002,2022-02-27,Q.obs,17.5,B
07FB002,2022-02-27,H.obs,7.871,
07FB002,2022-02-28,H.obs,7.869,
07FB002,2022-02-28,Q.obs,17.4,B
07FB002,2022-03-01,Q.obs,17.4,B
07FB002,2022-03-01,H.obs,7.862,
07FB002,2022-03-02,H.obs,7.863,
07FB002,2022-03-02,Q.obs,17.4,B
07FB002,2022-03-03,Q.obs,17.4,B
07FB002,2022-03-03,H.obs,7.857,
07FB002,2022-03-04,Q.obs,17.4,B
07FB002,2022-03-04,H.obs,7.858,
07FB002,2022-03-05,H.obs,7.854,
07FB002,2022-03-05,Q.obs,17.4,B
07FB002,2022-03-06,Q.obs,17.3,B
07FB002,2022-03-06,H.obs,7.848,
07FB002,2022-03-07,Q.obs,17.3,B
07FB002,2022-03-07,H.obs,7.84,
07FB002,2022-03-08,Q.obs,17.3,B
07FB002,2022-03-08,H.obs,7.833,
07FB002,2022-03-09,H.obs,7.827,
07FB002,2022-03-09,Q.obs,17.3,B
07FB002,2022-03-10,H.obs,7.799,
07FB002,2022-03-10,Q.obs,17.3,B
07FB002,2022-03-11,H.obs,7.794,
07FB002,2022-03-11,Q.obs,17.3,B
07FB002,2022-03-12,Q.obs,17.3,B
07FB002,2022-03-12,H.obs,7.864,
07FB002,2022-03-13,Q.obs,17.3,B
07FB002,2022-03-13,H.obs,7.93,
07FB002,2022-03-14,H.obs,7.892,
07FB002,2022-03-14,Q.obs,17.4,B
07FB002,2022-03-15,H.obs,7.869,
07FB002,2022-03-15,Q.obs,17.4,B
07FB002,2022-03-16,Q.obs,17.4,B
07FB002,2022-03-16,H.obs,7.863,
07FB002,2022-03-17,Q.obs,17.4,B
07FB002,2022-03-17,H.obs,7.875,
07FB002,2022-03-18,H.obs,7.876,
07FB002,2022-03-18,Q.obs,17.4,B
07FB002,2022-03-19,H.obs,7.874,
07FB002,2022-03-19,Q.obs,17.5,B
07FB002,2022-03-20,Q.obs,17.5,B
07FB002,2022-03-20,H.obs,7.865,
07FB002,2022-03-21,H.obs,7.862,
07FB002,2022-03-21,Q.obs,17.5,B
07FB002,2022-03-22,H.obs,7.871,
07FB002,2022-03-22,Q.obs,17.5,B
07FB002,2022-03-23,H.obs,7.888,
07FB002,2022-03-23,Q.obs,17.5,B
07FB002,2022-03-24,H.obs,7.904,
07FB002,2022-03-24,Q.obs,17.5,B
07FB002,2022-03-25,Q.obs,17.6,B
07FB002,2022-03-25,H.obs,7.932,
07FB002,2022-03-26,H.obs,7.969,
07FB002,2022-03-26,Q.obs,17.7,B
07FB002,2022-03-27,H.obs,7.939,
07FB002,2022-03-27,Q.obs,17.7,B
07FB002,2022-03-28,H.obs,7.926,
07FB002,2022-03-28,Q.obs,17.8,B
07FB002,2022-03-29,Q.obs,17.9,B
07FB002,2022-03-29,H.obs,7.9,
07FB002,2022-03-30,Q.obs,17.9,B
07FB002,2022-03-30,H.obs,7.836,
07FB002,2022-03-31,Q.obs,18.0,B
07FB002,2022-03-31,H.obs,7.746,
07FB002,2022-04-01,H.obs,7.687,
07FB002,2022-04-01,Q.obs,18.1,B
07FB002,2022-04-02,Q.obs,18.1,B
07FB002,2022-04-02,H.obs,7.653,
07FB002,2022-04-03,Q.obs,18.2,B
07FB002,2022-04-03,H.obs,7.62,
07FB002,2022-04-04,Q.obs,18.2,B
07FB002,2022-04-04,H.obs,7.597,
07FB002,2022-04-05,H.obs,7.572,
07FB002,2022-04-05,Q.obs,18.3,B
07FB002,2022-04-06,H.obs,7.555,
07FB002,2022-04-06,Q.obs,18.4,B
07FB002,2022-04-07,H.obs,7.545,
07FB002,2022-04-07,Q.obs,18.4,B
07FB002,2022-04-08,Q.obs,18.5,B
07FB002,2022-04-08,H.obs,7.547,
07FB002,2022-04-09,H.obs,7.57,
07FB002,2022-04-09,Q.obs,18.6,B
07FB002,2022-04-10,H.obs,7.663,
07FB002,2022-04-10,Q.obs,18.6,B
07FB002,2022-04-11,Q.obs,18.7,B
07FB002,2022-04-11,H.obs,7.628,
07FB002,2022-04-12,H.obs,7.522,
07FB002,2022-04-12,Q.obs,18.9,B
07FB002,2022-04-13,H.obs,7.477,
07FB002,2022-04-13,Q.obs,19.1,B
07FB002,2022-04-14,Q.obs,19.4,B
07FB002,2022-04-14,H.obs,7.468,
07FB002,2022-04-15,H.obs,7.541,
07FB002,2022-04-15,Q.obs,19.6,B
