 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
07FD010,2022-01-01,Q.obs,1470.0,
07FD010,2022-01-01,H.obs,3.232,
07FD010,2022-01-02,Q.obs,1530.0,
07FD010,2022-01-02,H.obs,3.322,
07FD010,2022-01-03,Q.obs,1460.0,
07FD010,2022-01-03,H.obs,3.219,
07FD010,2022-01-04,Q.obs,1470.0,
07FD010,2022-01-04,H.obs,3.232,
07FD010,2022-01-05,Q.obs,1480.0,E
07FD010,2022-01-05,H.obs,3.258,A
07FD010,2022-01-06,Q.obs,1500.0,E
07FD010,2022-01-06,H.obs,3.304,A
07FD010,2022-01-07,Q.obs,1680.0,
07FD010,2022-01-07,H.obs,3.517,
07FD010,2022-01-08,H.obs,3.76,
07FD010,2022-01-08,Q.obs,1870.0,
07FD010,2022-01-09,H.obs,3.753,
07FD010,2022-01-09,Q.obs,1860.0,
07FD010,2022-01-10,H.obs,4.036,
07FD010,2022-01-10,Q.obs,2100.0,
07FD010,2022-01-11,H.obs,3.877,
07FD010,2022-01-11,Q.obs,1840.0,A
07FD010,2022-01-12,Q.obs,1780.0,
07FD010,2022-01-12,H.obs,3.651,
07FD010,2022-01-13,Q.obs,1720.0,
07FD010,2022-01-13,H.obs,3.569,
07FD010,2022-01-14,Q.obs,1750.0,
07FD010,2022-01-14,H.obs,3.609,
07FD010,2022-01-15,Q.obs,1730.0,
07FD010,2022-01-15,H.obs,3.59,
07FD010,2022-01-16,H.obs,3.253,
07FD010,2022-01-16,Q.obs,1490.0,
07FD010,2022-01-17,Q.obs,1740.0,
07FD010,2022-01-17,H.obs,3.605,
07FD010,2022-01-18,H.obs,3.584,
07FD010,2022-01-18,Q.obs,1730.0,
07FD010,2022-01-19,Q.obs,1710.0,
07FD010,2022-01-19,H.obs,3.567,
07FD010,2022-01-20,H.obs,3.567,
07FD010,2022-01-20,Q.obs,1710.0,
07FD010,2022-01-21,Q.obs,1780.0,
07FD010,2022-01-21,H.obs,3.654,
07FD010,2022-01-22,Q.obs,1720.0,
07FD010,2022-01-22,H.obs,3.574,
07FD010,2022-01-23,Q.obs,1710.0,
07FD010,2022-01-23,H.obs,3.565,
07FD010,2022-01-24,H.obs,3.609,
07FD010,2022-01-24,Q.obs,1750.0,
07FD010,2022-01-25,H.obs,3.685,
07FD010,2022-01-25,Q.obs,1810.0,
07FD010,2022-01-26,H.obs,3.646,
07FD010,2022-01-26,Q.obs,1780.0,
07FD010,2022-01-27,Q.obs,1790.0,
07FD010,2022-01-27,H.obs,3.661,
07FD010,2022-01-28,H.obs,3.655,
07FD010,2022-01-28,Q.obs,1780.0,
07FD010,2022-01-29,H.obs,3.636,
07FD010,2022-01-29,Q.obs,1770.0,
07FD010,2022-01-30,H.obs,3.611,
07FD010,2022-01-30,Q.obs,1750.0,
07FD010,2022-01-31,Q.obs,1740.0,
07FD010,2022-01-31,H.obs,3.601,
07FD010,2022-02-01,Q.obs,1760.0,
07FD010,2022-02-01,H.obs,3.626,
07FD010,2022-02-02,H.obs,3.738,
07FD010,2022-02-02,Q.obs,1850.0,
07FD010,2022-02-03,Q.obs,1820.0,
07FD010,2022-02-03,H.obs,3.698,
07FD010,2022-02-04,Q.obs,1830.0,
07FD010,2022-02-04,H.obs,3.708,
07FD010,2022-02-05,Q.obs,1840.0,
07FD010,2022-02-05,H.obs,3.731,
07FD010,2022-02-06,H.obs,3.634,
07FD010,2022-02-06,Q.obs,1770.0,
07FD010,2022-02-07,Q.obs,1720.0,
07FD010,2022-02-07,H.obs,3.581,
07FD010,2022-02-08,Q.obs,1720.0,
07FD010,2022-02-08,H.obs,3.569,
07FD010,2022-02-09,Q.obs,1730.0,
07FD010,2022-02-09,H.obs,3.59,
07FD010,2022-02-10,Q.obs,1750.0,
