 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08CE001,2022-01-01,Q.obs,80.0,B
08CE001,2022-01-01,H.obs,3.237,
08CE001,2022-01-02,H.obs,3.335,
08CE001,2022-01-02,Q.obs,79.7,B
08CE001,2022-01-03,H.obs,3.381,
08CE001,2022-01-03,Q.obs,79.3,B
08CE001,2022-01-04,H.obs,3.404,
08CE001,2022-01-04,Q.obs,79.0,B
08CE001,2022-01-05,Q.obs,78.6,B
08CE001,2022-01-05,H.obs,3.459,
08CE001,2022-01-06,Q.obs,78.3,B
08CE001,2022-01-06,H.obs,3.507,
08CE001,2022-01-07,H.obs,3.575,
08CE001,2022-01-07,Q.obs,77.9,B
08CE001,2022-01-08,H.obs,3.621,
08CE001,2022-01-08,Q.obs,77.6,B
08CE001,2022-01-09,H.obs,3.667,
08CE001,2022-01-09,Q.obs,77.2,B
08CE001,2022-01-10,H.obs,3.702,
08CE001,2022-01-10,Q.obs,76.9,B
08CE001,2022-01-11,H.obs,3.722,
08CE001,2022-01-11,Q.obs,76.5,B
08CE001,2022-01-12,H.obs,3.745,
08CE001,2022-01-12,Q.obs,76.2,B
08CE001,2022-01-13,H.obs,3.769,
08CE001,2022-01-13,Q.obs,75.9,B
08CE001,2022-01-14,Q.obs,75.5,B
08CE001,2022-01-14,H.obs,3.776,
08CE001,2022-01-15,Q.obs,75.2,B
08CE001,2022-01-15,H.obs,3.756,
08CE001,2022-01-16,Q.obs,74.9,B
08CE001,2022-01-16,H.obs,3.692,
08CE001,2022-01-17,H.obs,3.581,
08CE001,2022-01-17,Q.obs,74.7,B
08CE001,2022-01-18,H.obs,3.382,
08CE001,2022-01-18,Q.obs,74.5,B
08CE001,2022-01-19,H.obs,3.196,
08CE001,2022-01-19,Q.obs,74.3,B
08CE001,2022-01-20,H.obs,3.033,
08CE001,2022-01-20,Q.obs,74.1,B
08CE001,2022-01-21,Q.obs,73.9,B
08CE001,2022-01-21,H.obs,2.874,
08CE001,2022-01-22,Q.obs,73.8,B
08CE001,2022-01-22,H.obs,2.691,
08CE001,2022-01-23,Q.obs,73.6,B
08CE001,2022-01-23,H.obs,2.589,
08CE001,2022-01-24,Q.obs,73.4,B
08CE001,2022-01-24,H.obs,2.458,
08CE001,2022-01-25,Q.obs,73.2,B
08CE001,2022-01-25,H.obs,2.363,
08CE001,2022-01-26,H.obs,2.273,
08CE001,2022-01-26,Q.obs,73.0,B
08CE001,2022-01-27,H.obs,2.219,
08CE001,2022-01-27,Q.obs,72.8,B
08CE001,2022-01-28,H.obs,2.181,
08CE001,2022-01-28,Q.obs,72.6,B
08CE001,2022-01-29,H.obs,2.17,
08CE001,2022-01-29,Q.obs,72.5,B
08CE001,2022-01-30,Q.obs,72.3,B
08CE001,2022-01-30,H.obs,2.142,
08CE001,2022-01-31,H.obs,2.091,
08CE001,2022-01-31,Q.obs,72.1,B
08CE001,2022-02-01,H.obs,1.959,
08CE001,2022-02-01,Q.obs,71.9,B
08CE001,2022-02-02,H.obs,1.99,
08CE001,2022-02-02,Q.obs,71.7,B
08CE001,2022-02-03,H.obs,1.996,
08CE001,2022-02-03,Q.obs,71.5,B
08CE001,2022-02-04,Q.obs,71.4,B
08CE001,2022-02-04,H.obs,1.99,
08CE001,2022-02-05,H.obs,1.997,
08CE001,2022-02-05,Q.obs,71.2,B
08CE001,2022-02-06,Q.obs,71.0,B
08CE001,2022-02-06,H.obs,2.046,
08CE001,2022-02-07,H.obs,2.033,
08CE001,2022-02-07,Q.obs,70.8,B
08CE001,2022-02-08,H.obs,2.061,
08CE001,2022-02-08,Q.obs,70.6,B
08CE001,2022-02-09,Q.obs,70.5,B
08CE001,2022-02-09,H.obs,2.056,
08CE001,2022-02-10,H.obs,2.028,
08CE001,2022-02-10,Q.obs,70.3,B
08CE001,2022-02-11,H.obs,1.99,
08CE001,2022-02-11,Q.obs,70.1,B
08CE001,2022-02-12,H.obs,1.989,
08CE001,2022-02-12,Q.obs,69.9,B
08CE001,2022-02-13,H.obs,1.909,
08CE001,2022-02-13,Q.obs,69.7,B
08CE001,2022-02-14,H.obs,1.929,
08CE001,2022-02-14,Q.obs,69.6,B
08CE001,2022-02-15,H.obs,1.906,
08CE001,2022-02-15,Q.obs,69.4,B
08CE001,2022-02-16,H.obs,1.877,
08CE001,2022-02-16,Q.obs,69.2,B
08CE001,2022-02-17,Q.obs,69.0,B
08CE001,2022-02-17,H.obs,1.886,
08CE001,2022-02-18,H.obs,1.873,
08CE001,2022-02-18,Q.obs,68.8,B
08CE001,2022-02-19,Q.obs,68.7,B
08CE001,2022-02-19,H.obs,1.851,
08CE001,2022-02-20,Q.obs,68.5,B
08CE001,2022-02-20,H.obs,1.827,
08CE001,2022-02-21,Q.obs,68.3,B
08CE001,2022-02-21,H.obs,1.72,
08CE001,2022-02-22,Q.obs,68.1,B
08CE001,2022-02-22,H.obs,1.617,
08CE001,2022-02-23,Q.obs,68.0,B
08CE001,2022-02-23,H.obs,1.699,
08CE001,2022-02-24,Q.obs,67.8,B
08CE001,2022-02-24,H.obs,1.717,
08CE001,2022-02-25,H.obs,1.736,
08CE001,2022-02-25,Q.obs,67.6,B
08CE001,2022-02-26,H.obs,1.808,
08CE001,2022-02-26,Q.obs,67.4,B
08CE001,2022-02-27,Q.obs,67.3,B
08CE001,2022-02-27,H.obs,1.797,
08CE001,2022-02-28,Q.obs,67.1,B
08CE001,2022-02-28,H.obs,1.757,
08CE001,2022-03-01,H.obs,1.737,
08CE001,2022-03-01,Q.obs,66.9,B
08CE001,2022-03-02,H.obs,1.72,
08CE001,2022-03-02,Q.obs,66.7,B
08CE001,2022-03-03,H.obs,1.703,
08CE001,2022-03-03,Q.obs,66.6,B
08CE001,2022-03-04,Q.obs,66.4,B
08CE001,2022-03-04,H.obs,1.677,
08CE001,2022-03-05,Q.obs,66.2,B
08CE001,2022-03-05,H.obs,1.666,
08CE001,2022-03-06,Q.obs,66.1,B
08CE001,2022-03-06,H.obs,1.649,
08CE001,2022-03-07,Q.obs,65.9,B
08CE001,2022-03-07,H.obs,1.626,
08CE001,2022-03-08,H.obs,1.589,
08CE001,2022-03-08,Q.obs,65.7,B
08CE001,2022-03-09,H.obs,1.566,
08CE001,2022-03-09,Q.obs,65.6,B
08CE001,2022-03-10,Q.obs,65.4,B
08CE001,2022-03-10,H.obs,1.599,
08CE001,2022-03-11,H.obs,1.604,
08CE001,2022-03-11,Q.obs,65.2,B
08CE001,2022-03-12,H.obs,1.604,
08CE001,2022-03-12,Q.obs,65.1,B
08CE001,2022-03-13,Q.obs,65.0,B
08CE001,2022-03-13,H.obs,1.589,
08CE001,2022-03-14,Q.obs,64.9,B
08CE001,2022-03-14,H.obs,1.564,
08CE001,2022-03-15,Q.obs,64.8,B
08CE001,2022-03-15,H.obs,1.571,
08CE001,2022-03-16,H.obs,1.563,
08CE001,2022-03-16,Q.obs,64.7,B
08CE001,2022-03-17,Q.obs,64.5,B
08CE001,2022-03-17,H.obs,1.558,
08CE001,2022-03-18,H.obs,1.558,
08CE001,2022-03-18,Q.obs,64.4,B
08CE001,2022-03-19,H.obs,1.568,
08CE001,2022-03-19,Q.obs,64.4,B
08CE001,2022-03-20,Q.obs,64.3,B
08CE001,2022-03-20,H.obs,1.535,
08CE001,2022-03-21,H.obs,1.54,
08CE001,2022-03-21,Q.obs,64.2,B
08CE001,2022-03-22,Q.obs,64.1,B
08CE001,2022-03-22,H.obs,1.571,
08CE001,2022-03-23,H.obs,1.575,
08CE001,2022-03-23,Q.obs,64.1,B
08CE001,2022-03-24,Q.obs,64.0,B
08CE001,2022-03-24,H.obs,1.551,
08CE001,2022-03-25,Q.obs,64.0,B
08CE001,2022-03-25,H.obs,1.563,
08CE001,2022-03-26,H.obs,1.58,
08CE001,2022-03-26,Q.obs,63.9,B
08CE001,2022-03-27,H.obs,1.571,
08CE001,2022-03-27,Q.obs,63.9,B
