 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08CG001,2022-01-01,Q.obs,79.5,B
08CG001,2022-01-01,H.obs,1.134,
08CG001,2022-01-02,Q.obs,78.7,B
08CG001,2022-01-02,H.obs,1.183,
08CG001,2022-01-03,Q.obs,77.9,B
08CG001,2022-01-03,H.obs,1.151,
08CG001,2022-01-04,Q.obs,77.1,B
08CG001,2022-01-04,H.obs,1.117,
08CG001,2022-01-05,Q.obs,76.3,B
08CG001,2022-01-05,H.obs,1.094,
08CG001,2022-01-06,Q.obs,75.6,B
08CG001,2022-01-06,H.obs,1.081,
08CG001,2022-01-07,H.obs,1.088,
08CG001,2022-01-07,Q.obs,74.8,B
08CG001,2022-01-08,Q.obs,74.1,B
08CG001,2022-01-08,H.obs,1.133,
08CG001,2022-01-09,H.obs,1.161,
08CG001,2022-01-09,Q.obs,73.4,B
08CG001,2022-01-10,H.obs,1.213,
08CG001,2022-01-10,Q.obs,72.7,B
08CG001,2022-01-11,H.obs,1.311,
08CG001,2022-01-11,Q.obs,72.0,B
08CG001,2022-01-12,H.obs,1.405,
08CG001,2022-01-12,Q.obs,71.3,B
08CG001,2022-01-13,H.obs,1.437,
08CG001,2022-01-13,Q.obs,70.6,B
08CG001,2022-01-14,H.obs,1.448,
08CG001,2022-01-14,Q.obs,69.9,B
08CG001,2022-01-15,H.obs,1.492,
08CG001,2022-01-15,Q.obs,69.2,B
08CG001,2022-01-16,H.obs,1.44,
08CG001,2022-01-16,Q.obs,68.5,B
08CG001,2022-01-17,H.obs,1.338,
08CG001,2022-01-17,Q.obs,67.8,B
08CG001,2022-01-18,H.obs,1.236,
08CG001,2022-01-18,Q.obs,67.2,B
08CG001,2022-01-19,H.obs,1.172,
08CG001,2022-01-19,Q.obs,66.5,B
08CG001,2022-01-20,H.obs,1.151,
08CG001,2022-01-20,Q.obs,65.9,B
08CG001,2022-01-21,H.obs,1.216,
08CG001,2022-01-21,Q.obs,65.3,B
