 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08DB001,2022-01-01,Q.obs,94.7,B
08DB001,2022-01-02,Q.obs,94.1,B
08DB001,2022-01-03,Q.obs,93.5,B
08DB001,2022-01-04,Q.obs,92.9,B
08DB001,2022-01-05,Q.obs,92.3,B
08DB001,2022-01-06,Q.obs,91.7,B
08DB001,2022-01-07,Q.obs,91.1,B
08DB001,2022-01-08,Q.obs,90.7,B
08DB001,2022-01-09,Q.obs,90.4,B
08DB001,2022-01-10,Q.obs,90.0,B
08DB001,2022-01-11,Q.obs,89.7,B
08DB001,2022-01-12,Q.obs,89.5,B
08DB001,2022-01-13,Q.obs,89.4,B
08DB001,2022-01-14,Q.obs,89.7,B
08DB001,2022-01-15,Q.obs,93.0,B
08DB001,2022-01-16,Q.obs,98.9,B
08DB001,2022-01-17,Q.obs,103.0,B
08DB001,2022-01-18,Q.obs,104.0,B
08DB001,2022-01-19,Q.obs,100.0,B
08DB001,2022-01-20,Q.obs,96.8,B
08DB001,2022-01-21,Q.obs,99.2,B
08DB001,2022-01-22,Q.obs,106.0,B
08DB001,2022-01-23,Q.obs,114.0,B
08DB001,2022-01-24,Q.obs,123.0,B
08DB001,2022-01-25,Q.obs,129.0,B
08DB001,2022-01-26,Q.obs,129.0,B
08DB001,2022-01-27,Q.obs,126.0,B
08DB001,2022-01-28,Q.obs,122.0,B
08DB001,2022-01-29,Q.obs,121.0,B
08DB001,2022-01-30,Q.obs,120.0,B
08DB001,2022-01-31,Q.obs,119.0,B
08DB001,2022-02-01,Q.obs,117.0,B
08DB001,2022-02-02,Q.obs,117.0,B
08DB001,2022-02-03,Q.obs,119.0,B
08DB001,2022-02-04,Q.obs,123.0,B
08DB001,2022-02-05,Q.obs,129.0,B
08DB001,2022-02-06,Q.obs,135.0,B
08DB001,2022-02-07,Q.obs,142.0,B
08DB001,2022-02-08,Q.obs,154.0,B
08DB001,2022-02-09,Q.obs,190.0,B
08DB001,2022-02-10,Q.obs,457.0,B
08DB001,2022-02-11,Q.obs,455.0,B
08DB001,2022-02-12,Q.obs,417.0,B
08DB001,2022-02-13,Q.obs,369.0,B
08DB001,2022-02-14,Q.obs,329.0,E
08DB001,2022-02-15,Q.obs,294.0,E
08DB001,2022-02-16,Q.obs,268.0,E
08DB001,2022-02-17,Q.obs,271.0,E
08DB001,2022-02-18,Q.obs,281.0,E
08DB001,2022-02-19,Q.obs,320.0,E
08DB001,2022-02-20,Q.obs,306.0,E
08DB001,2022-02-21,Q.obs,264.0,B
08DB001,2022-02-22,Q.obs,223.0,B
08DB001,2022-02-23,Q.obs,207.0,B
08DB001,2022-02-24,Q.obs,197.0,B
08DB001,2022-02-25,Q.obs,189.0,B
08DB001,2022-02-26,Q.obs,184.0,B
08DB001,2022-02-27,Q.obs,180.0,B
08DB001,2022-02-28,Q.obs,177.0,B
08DB001,2022-03-01,Q.obs,174.0,B
08DB001,2022-03-02,Q.obs,174.0,E
08DB001,2022-03-03,Q.obs,174.0,E
08DB001,2022-03-04,Q.obs,171.0,E
08DB001,2022-03-05,Q.obs,164.0,E
08DB001,2022-03-06,Q.obs,159.0,E
08DB001,2022-03-07,Q.obs,158.0,E
08DB001,2022-03-08,Q.obs,155.0,E
08DB001,2022-03-09,Q.obs,149.0,E
08DB001,2022-03-10,Q.obs,145.0,E
08DB001,2022-03-11,Q.obs,147.0,E
08DB001,2022-03-12,Q.obs,149.0,E
08DB001,2022-03-13,Q.obs,147.0,E
08DB001,2022-03-14,Q.obs,147.0,E
08DB001,2022-03-15,H.obs,3.053,A
08DB001,2022-03-15,Q.obs,154.0,E
08DB001,2022-03-16,Q.obs,164.0,
08DB001,2022-03-16,H.obs,3.084,
08DB001,2022-03-17,Q.obs,170.0,
08DB001,2022-03-17,H.obs,3.108,
08DB001,2022-03-18,Q.obs,178.0,
08DB001,2022-03-18,H.obs,3.141,
08DB001,2022-03-19,Q.obs,182.0,
08DB001,2022-03-19,H.obs,3.158,
08DB001,2022-03-20,H.obs,3.157,
08DB001,2022-03-20,Q.obs,182.0,
08DB001,2022-03-21,H.obs,3.139,
08DB001,2022-03-21,Q.obs,177.0,
08DB001,2022-03-22,H.obs,3.272,
08DB001,2022-03-22,Q.obs,216.0,
08DB001,2022-03-23,H.obs,3.699,
08DB001,2022-03-23,Q.obs,360.0,
08DB001,2022-03-24,H.obs,3.72,
08DB001,2022-03-24,Q.obs,369.0,
08DB001,2022-03-25,H.obs,3.639,
08DB001,2022-03-25,Q.obs,336.0,
08DB001,2022-03-26,H.obs,3.574,
08DB001,2022-03-26,Q.obs,312.0,
08DB001,2022-03-27,H.obs,3.546,
08DB001,2022-03-27,Q.obs,301.0,
08DB001,2022-03-28,H.obs,3.539,
08DB001,2022-03-28,Q.obs,299.0,
08DB001,2022-03-29,H.obs,3.522,
08DB001,2022-03-29,Q.obs,293.0,
08DB001,2022-03-30,H.obs,3.502,
