 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08EB003,2022-01-01,H.obs,0.888,
08EB003,2022-01-02,H.obs,0.882,
08EB003,2022-01-03,H.obs,0.919,
08EB003,2022-01-04,H.obs,0.954,
08EB003,2022-01-05,H.obs,1.039,
08EB003,2022-01-06,H.obs,1.1,
08EB003,2022-01-07,H.obs,1.024,
08EB003,2022-01-08,H.obs,1.002,
08EB003,2022-01-09,H.obs,1.034,
08EB003,2022-01-10,H.obs,1.034,
08EB003,2022-01-11,H.obs,0.983,
08EB003,2022-01-12,H.obs,0.939,
08EB003,2022-01-13,H.obs,0.877,
08EB003,2022-01-14,H.obs,0.817,
08EB003,2022-01-15,H.obs,0.8,
08EB003,2022-01-16,H.obs,0.787,
08EB003,2022-01-17,H.obs,0.773,
08EB003,2022-01-18,H.obs,0.754,
08EB003,2022-01-19,H.obs,0.72,
08EB003,2022-01-20,H.obs,0.725,
08EB003,2022-01-21,H.obs,0.731,A
08EB003,2022-01-24,H.obs,0.904,A
08EB003,2022-01-27,H.obs,0.804,A
08EB003,2022-01-29,H.obs,0.845,A
08EB003,2022-02-03,H.obs,0.912,A
08EB003,2022-02-04,H.obs,0.864,A
08EB003,2022-02-05,H.obs,0.903,A
08EB003,2022-02-06,H.obs,0.808,A
08EB003,2022-02-07,H.obs,0.677,
08EB003,2022-02-08,H.obs,0.733,
08EB003,2022-02-09,H.obs,0.688,
08EB003,2022-02-10,H.obs,0.935,
08EB003,2022-02-11,H.obs,1.34,
08EB003,2022-02-12,H.obs,1.393,
08EB003,2022-02-13,H.obs,1.364,
08EB003,2022-02-14,H.obs,1.242,A
08EB003,2022-02-15,H.obs,1.134,
08EB003,2022-02-16,H.obs,1.043,
08EB003,2022-02-17,H.obs,0.957,
08EB003,2022-02-18,H.obs,0.916,
08EB003,2022-02-19,H.obs,0.931,
08EB003,2022-02-20,H.obs,0.932,
08EB003,2022-02-21,H.obs,0.854,
08EB003,2022-02-22,H.obs,0.748,
08EB003,2022-02-23,H.obs,0.704,
08EB003,2022-02-24,H.obs,0.78,
08EB003,2022-02-25,H.obs,0.756,
08EB003,2022-02-26,H.obs,0.743,
08EB003,2022-02-27,H.obs,0.734,
08EB003,2022-02-28,H.obs,0.695,
08EB003,2022-03-01,H.obs,0.653,
08EB003,2022-03-02,H.obs,0.622,
08EB003,2022-03-03,H.obs,0.61,
08EB003,2022-03-04,H.obs,0.597,
08EB003,2022-03-05,H.obs,0.574,
08EB003,2022-03-06,H.obs,0.547,
08EB003,2022-03-07,H.obs,0.53,
08EB003,2022-03-08,H.obs,0.514,
08EB003,2022-03-09,H.obs,0.478,
08EB003,2022-03-10,H.obs,0.467,
08EB003,2022-03-11,H.obs,0.485,
08EB003,2022-03-12,H.obs,0.484,
08EB003,2022-03-13,H.obs,0.482,
08EB003,2022-03-14,H.obs,0.477,
08EB003,2022-03-15,H.obs,0.483,
08EB003,2022-03-16,H.obs,0.488,
08EB003,2022-03-17,H.obs,0.496,
08EB003,2022-03-18,H.obs,0.493,
08EB003,2022-03-19,H.obs,0.496,
08EB003,2022-03-20,H.obs,0.493,
08EB003,2022-03-21,H.obs,0.485,
08EB003,2022-03-22,H.obs,0.509,
08EB003,2022-03-23,H.obs,0.704,
08EB003,2022-03-24,H.obs,0.805,
08EB003,2022-03-25,H.obs,0.784,
08EB003,2022-03-26,H.obs,0.761,
08EB003,2022-03-27,H.obs,0.756,
08EB003,2022-03-28,H.obs,0.755,A
08EB003,2022-03-29,H.obs,0.745,
08EB003,2022-03-30,H.obs,0.724,
08EB003,2022-03-31,H.obs,0.709,
08EB003,2022-04-01,H.obs,0.699,
08EB003,2022-04-02,H.obs,0.692,
08EB003,2022-04-03,H.obs,0.687,
08EB003,2022-04-04,H.obs,0.687,
08EB003,2022-04-05,H.obs,0.668,
08EB003,2022-04-06,H.obs,0.64,
08EB003,2022-04-07,H.obs,0.623,
08EB003,2022-04-08,H.obs,0.67,
08EB003,2022-04-09,H.obs,0.721,
08EB003,2022-04-10,H.obs,0.71,
08EB003,2022-04-11,H.obs,0.684,
08EB003,2022-04-12,H.obs,0.65,
08EB003,2022-04-13,H.obs,0.597,
08EB003,2022-04-14,H.obs,0.559,
08EB003,2022-04-15,H.obs,0.55,
08EB003,2022-04-16,H.obs,0.542,
08EB003,2022-04-17,H.obs,0.541,
08EB003,2022-04-18,H.obs,0.541,
08EB003,2022-04-19,H.obs,0.532,
08EB003,2022-04-20,H.obs,0.525,
08EB003,2022-04-21,H.obs,0.532,
08EB003,2022-04-22,H.obs,0.57,
08EB003,2022-04-23,H.obs,0.625,
08EB003,2022-04-24,H.obs,0.702,
08EB003,2022-04-25,H.obs,0.913,
08EB003,2022-04-26,H.obs,1.251,
08EB003,2022-04-27,H.obs,1.37,
08EB003,2022-04-28,H.obs,1.336,
08EB003,2022-04-29,H.obs,1.342,
08EB003,2022-04-30,H.obs,1.359,
08EB003,2022-05-01,H.obs,1.415,
08EB003,2022-05-02,H.obs,1.521,
08EB003,2022-05-03,H.obs,1.763,
08EB003,2022-05-04,H.obs,1.885,
08EB003,2022-05-05,H.obs,1.94,
08EB003,2022-05-06,H.obs,1.912,
08EB003,2022-05-07,H.obs,1.875,
08EB003,2022-05-08,H.obs,1.858,
08EB003,2022-05-09,H.obs,1.871,
08EB003,2022-05-10,H.obs,1.92,
08EB003,2022-05-11,H.obs,1.969,
08EB003,2022-05-12,H.obs,1.943,
08EB003,2022-05-13,H.obs,2.043,
08EB003,2022-05-14,H.obs,2.131,
08EB003,2022-05-15,H.obs,2.057,
08EB003,2022-05-16,H.obs,2.193,
08EB003,2022-05-17,H.obs,2.5,
08EB003,2022-05-18,H.obs,2.398,
08EB003,2022-05-19,H.obs,2.322,
08EB003,2022-05-20,H.obs,2.408,
08EB003,2022-05-21,H.obs,2.599,
08EB003,2022-05-22,H.obs,2.813,
08EB003,2022-05-23,H.obs,3.052,
08EB003,2022-05-24,H.obs,3.14,
08EB003,2022-05-25,H.obs,3.108,
08EB003,2022-05-26,H.obs,3.186,
08EB003,2022-05-27,H.obs,3.367,
08EB003,2022-05-28,H.obs,3.728,
08EB003,2022-05-29,H.obs,3.992,
08EB003,2022-05-30,H.obs,4.069,
08EB003,2022-05-31,H.obs,4.237,
08EB003,2022-06-01,H.obs,4.418,
08EB003,2022-06-02,H.obs,4.736,
08EB003,2022-06-03,H.obs,5.082,
08EB003,2022-06-04,H.obs,5.321,
08EB003,2022-06-05,H.obs,5.672,
08EB003,2022-06-06,H.obs,6.27,
08EB003,2022-06-07,H.obs,6.767,
08EB003,2022-06-08,H.obs,5.891,
08EB003,2022-06-09,H.obs,5.476,
08EB003,2022-06-10,H.obs,5.125,
08EB003,2022-06-11,H.obs,5.313,
08EB003,2022-06-12,H.obs,5.009,
08EB003,2022-06-13,H.obs,4.442,
08EB003,2022-06-14,H.obs,4.017,
08EB003,2022-06-15,H.obs,3.871,
08EB003,2022-06-16,H.obs,4.044,
08EB003,2022-06-17,H.obs,4.426,
08EB003,2022-06-18,H.obs,4.77,
08EB003,2022-06-19,H.obs,4.967,
08EB003,2022-06-20,H.obs,4.875,
08EB003,2022-06-21,H.obs,4.713,
08EB003,2022-06-22,H.obs,4.532,
08EB003,2022-06-23,H.obs,4.118,
08EB003,2022-06-24,H.obs,3.912,
08EB003,2022-06-25,H.obs,4.094,
08EB003,2022-06-26,H.obs,4.382,
08EB003,2022-06-27,H.obs,4.572,
08EB003,2022-06-28,H.obs,4.698,
08EB003,2022-06-29,H.obs,4.574,
08EB003,2022-06-30,H.obs,4.503,
08EB003,2022-07-01,H.obs,4.478,
08EB003,2022-07-02,H.obs,4.491,
08EB003,2022-07-03,H.obs,4.316,
08EB003,2022-07-04,H.obs,4.142,
08EB003,2022-07-05,H.obs,4.072,
08EB003,2022-07-06,H.obs,3.929,
08EB003,2022-07-07,H.obs,3.832,
08EB003,2022-07-08,H.obs,3.699,
08EB003,2022-07-09,H.obs,3.499,
08EB003,2022-07-10,H.obs,3.367,
08EB003,2022-07-11,H.obs,3.38,
08EB003,2022-07-12,H.obs,3.403,
08EB003,2022-07-13,H.obs,3.136,
08EB003,2022-07-14,H.obs,2.932,
08EB003,2022-07-15,H.obs,2.902,
08EB003,2022-07-16,H.obs,3.124,
08EB003,2022-07-17,H.obs,3.072,
08EB003,2022-07-18,H.obs,2.962,
08EB003,2022-07-19,H.obs,2.94,
08EB003,2022-07-20,H.obs,2.838,
08EB003,2022-07-21,H.obs,2.655,
08EB003,2022-07-22,H.obs,2.528,
08EB003,2022-07-23,H.obs,2.447,
08EB003,2022-07-24,H.obs,2.422,
08EB003,2022-07-25,H.obs,2.55,
08EB003,2022-07-26,H.obs,2.6,
08EB003,2022-07-27,H.obs,2.632,
08EB003,2022-07-28,H.obs,2.6,
08EB003,2022-07-29,H.obs,2.518,
08EB003,2022-07-30,H.obs,2.417,
08EB003,2022-07-31,H.obs,2.34,
08EB003,2022-08-01,H.obs,2.28,
08EB003,2022-08-02,H.obs,2.165,
08EB003,2022-08-03,H.obs,2.093,
08EB003,2022-08-04,H.obs,2.056,
08EB003,2022-08-05,H.obs,1.963,
08EB003,2022-08-06,H.obs,1.883,
08EB003,2022-08-07,H.obs,1.929,
08EB003,2022-08-08,H.obs,1.964,
08EB003,2022-08-09,H.obs,1.789,
08EB003,2022-08-10,H.obs,1.653,
08EB003,2022-08-11,H.obs,1.61,
08EB003,2022-08-12,H.obs,1.608,
08EB003,2022-08-13,H.obs,1.676,
08EB003,2022-08-14,H.obs,1.686,
08EB003,2022-08-15,H.obs,1.604,
08EB003,2022-08-16,H.obs,1.54,
08EB003,2022-08-17,H.obs,1.525,A
08EB003,2022-08-28,H.obs,1.376,A
08EB003,2022-08-29,H.obs,1.642,
08EB003,2022-08-30,H.obs,2.349,
08EB003,2022-08-31,H.obs,2.583,
08EB003,2022-09-01,H.obs,2.326,
08EB003,2022-09-02,H.obs,2.069,
08EB003,2022-09-03,H.obs,1.8,
08EB003,2022-09-04,H.obs,1.925,
08EB003,2022-09-05,H.obs,2.244,
08EB003,2022-09-06,H.obs,2.289,
08EB003,2022-09-07,H.obs,2.193,
08EB003,2022-09-08,H.obs,2.331,
08EB003,2022-09-09,H.obs,2.058,
08EB003,2022-09-10,H.obs,1.826,
08EB003,2022-09-11,H.obs,1.664,
08EB003,2022-09-12,H.obs,1.53,
08EB003,2022-09-13,H.obs,1.425,
08EB003,2022-09-14,H.obs,1.342,
08EB003,2022-09-15,H.obs,1.277,
08EB003,2022-09-16,H.obs,1.237,
08EB003,2022-09-17,H.obs,1.217,
08EB003,2022-09-18,H.obs,1.166,
08EB003,2022-09-19,H.obs,1.11,
08EB003,2022-09-20,H.obs,1.058,
08EB003,2022-09-21,H.obs,1.018,
08EB003,2022-09-22,H.obs,1.005,
08EB003,2022-09-23,H.obs,1.026,
08EB003,2022-09-24,H.obs,1.067,
08EB003,2022-09-25,H.obs,1.186,
08EB003,2022-09-26,H.obs,1.435,
08EB003,2022-09-27,H.obs,1.698,
08EB003,2022-09-28,H.obs,1.751,
08EB003,2022-09-29,H.obs,1.53,
08EB003,2022-09-30,H.obs,1.39,
08EB003,2022-10-01,H.obs,1.31,
08EB003,2022-10-02,H.obs,1.392,
08EB003,2022-10-03,H.obs,1.356,
08EB003,2022-10-04,H.obs,1.207,
08EB003,2022-10-05,H.obs,1.149,
08EB003,2022-10-06,H.obs,1.143,
08EB003,2022-10-07,H.obs,1.111,
08EB003,2022-10-08,H.obs,1.052,
