 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08ED002,2022-01-01,Q.obs,27.0,
08ED002,2022-01-01,H.obs,0.569,
08ED002,2022-01-02,H.obs,0.562,
08ED002,2022-01-02,Q.obs,26.5,
08ED002,2022-01-03,Q.obs,25.8,
08ED002,2022-01-03,H.obs,0.555,
08ED002,2022-01-04,Q.obs,25.0,
08ED002,2022-01-04,H.obs,0.545,
08ED002,2022-01-05,Q.obs,24.2,
08ED002,2022-01-05,H.obs,0.535,
08ED002,2022-01-06,H.obs,0.528,
08ED002,2022-01-06,Q.obs,23.6,
08ED002,2022-01-07,H.obs,0.523,
08ED002,2022-01-07,Q.obs,23.2,
08ED002,2022-01-08,H.obs,0.52,
08ED002,2022-01-08,Q.obs,23.0,
08ED002,2022-01-09,H.obs,0.524,
08ED002,2022-01-09,Q.obs,23.3,
08ED002,2022-01-10,H.obs,0.518,
08ED002,2022-01-10,Q.obs,22.8,
08ED002,2022-01-11,H.obs,0.517,
08ED002,2022-01-11,Q.obs,22.7,
08ED002,2022-01-12,H.obs,0.516,
08ED002,2022-01-12,Q.obs,22.7,
08ED002,2022-01-13,Q.obs,22.3,
08ED002,2022-01-13,H.obs,0.512,
08ED002,2022-01-14,Q.obs,22.0,
08ED002,2022-01-14,H.obs,0.508,
08ED002,2022-01-15,Q.obs,22.0,
08ED002,2022-01-15,H.obs,0.507,
08ED002,2022-01-16,H.obs,0.51,
08ED002,2022-01-16,Q.obs,22.2,
08ED002,2022-01-17,Q.obs,22.2,
08ED002,2022-01-17,H.obs,0.511,
08ED002,2022-01-18,Q.obs,21.5,
08ED002,2022-01-18,H.obs,0.502,
08ED002,2022-01-19,Q.obs,21.3,
08ED002,2022-01-19,H.obs,0.5,
08ED002,2022-01-20,Q.obs,22.6,
08ED002,2022-01-20,H.obs,0.515,
08ED002,2022-01-21,Q.obs,22.3,
08ED002,2022-01-21,H.obs,0.512,
08ED002,2022-01-22,H.obs,0.505,
08ED002,2022-01-22,Q.obs,21.7,
08ED002,2022-01-23,Q.obs,21.5,
08ED002,2022-01-23,H.obs,0.502,
08ED002,2022-01-24,H.obs,0.493,
08ED002,2022-01-24,Q.obs,20.8,
08ED002,2022-01-25,Q.obs,20.6,
08ED002,2022-01-25,H.obs,0.49,
08ED002,2022-01-26,Q.obs,20.1,
08ED002,2022-01-26,H.obs,0.484,
08ED002,2022-01-27,Q.obs,19.7,
08ED002,2022-01-27,H.obs,0.479,
08ED002,2022-01-28,H.obs,0.475,
08ED002,2022-01-28,Q.obs,19.4,
08ED002,2022-01-29,H.obs,0.472,
08ED002,2022-01-29,Q.obs,19.2,
08ED002,2022-01-30,H.obs,0.47,
08ED002,2022-01-30,Q.obs,19.1,
08ED002,2022-01-31,Q.obs,18.8,
08ED002,2022-01-31,H.obs,0.467,
08ED002,2022-02-01,Q.obs,18.1,
08ED002,2022-02-01,H.obs,0.457,
08ED002,2022-02-02,Q.obs,18.0,
08ED002,2022-02-02,H.obs,0.456,
08ED002,2022-02-03,Q.obs,17.9,
08ED002,2022-02-03,H.obs,0.454,
08ED002,2022-02-04,Q.obs,18.3,
08ED002,2022-02-04,H.obs,0.461,
08ED002,2022-02-05,Q.obs,18.2,
08ED002,2022-02-05,H.obs,0.459,
08ED002,2022-02-06,Q.obs,17.7,
08ED002,2022-02-06,H.obs,0.452,
08ED002,2022-02-07,H.obs,0.458,
08ED002,2022-02-07,Q.obs,18.1,
08ED002,2022-02-08,Q.obs,18.3,
08ED002,2022-02-08,H.obs,0.46,
08ED002,2022-02-09,H.obs,0.476,
08ED002,2022-02-09,Q.obs,19.5,
08ED002,2022-02-10,H.obs,0.522,
08ED002,2022-02-10,Q.obs,23.1,
08ED002,2022-02-11,H.obs,0.541,
08ED002,2022-02-11,Q.obs,24.7,
08ED002,2022-02-12,H.obs,0.563,
08ED002,2022-02-12,Q.obs,26.5,
08ED002,2022-02-13,H.obs,0.581,
08ED002,2022-02-13,Q.obs,28.1,
08ED002,2022-02-14,Q.obs,29.6,
08ED002,2022-02-14,H.obs,0.599,
08ED002,2022-02-15,Q.obs,30.9,
08ED002,2022-02-15,H.obs,0.613,
08ED002,2022-02-16,H.obs,0.621,
08ED002,2022-02-16,Q.obs,31.6,
08ED002,2022-02-17,Q.obs,32.6,
08ED002,2022-02-17,H.obs,0.633,
08ED002,2022-02-18,Q.obs,32.8,
08ED002,2022-02-18,H.obs,0.634,
08ED002,2022-02-19,Q.obs,33.3,
08ED002,2022-02-19,H.obs,0.64,
08ED002,2022-02-20,Q.obs,33.1,
08ED002,2022-02-20,H.obs,0.638,
08ED002,2022-02-21,H.obs,0.63,
08ED002,2022-02-21,Q.obs,32.4,
08ED002,2022-02-22,H.obs,0.628,
08ED002,2022-02-22,Q.obs,32.2,
08ED002,2022-02-23,H.obs,0.628,
08ED002,2022-02-23,Q.obs,32.2,
08ED002,2022-02-24,Q.obs,32.0,
08ED002,2022-02-24,H.obs,0.625,
08ED002,2022-02-25,H.obs,0.622,
08ED002,2022-02-25,Q.obs,31.7,
08ED002,2022-02-26,H.obs,0.619,
