 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08EE005,2022-01-01,H.obs,4.1,
08EE005,2022-01-02,H.obs,4.183,
08EE005,2022-01-03,H.obs,4.252,
08EE005,2022-01-04,H.obs,4.085,
08EE005,2022-01-05,H.obs,3.853,
08EE005,2022-01-06,H.obs,3.848,
08EE005,2022-01-07,H.obs,3.913,
08EE005,2022-01-08,H.obs,3.999,
08EE005,2022-01-09,H.obs,4.042,
08EE005,2022-01-10,H.obs,4.041,
08EE005,2022-01-11,H.obs,4.053,
08EE005,2022-01-12,H.obs,4.213,
08EE005,2022-01-13,H.obs,4.248,
08EE005,2022-01-14,H.obs,4.208,
08EE005,2022-01-15,H.obs,4.164,
08EE005,2022-01-16,H.obs,4.118,
08EE005,2022-01-17,H.obs,4.091,
08EE005,2022-01-18,H.obs,4.046,
08EE005,2022-01-19,H.obs,4.02,
08EE005,2022-01-20,H.obs,3.932,
08EE005,2022-01-21,H.obs,3.915,
08EE005,2022-01-22,H.obs,3.99,
08EE005,2022-01-23,H.obs,4.026,
08EE005,2022-01-24,H.obs,3.991,
08EE005,2022-01-25,H.obs,3.961,
08EE005,2022-01-26,H.obs,3.908,
08EE005,2022-01-27,H.obs,3.876,
08EE005,2022-01-28,H.obs,3.831,
08EE005,2022-01-29,H.obs,3.792,
08EE005,2022-01-30,H.obs,3.85,
08EE005,2022-01-31,H.obs,3.918,
08EE005,2022-02-01,H.obs,3.817,
08EE005,2022-02-02,H.obs,3.762,
08EE005,2022-02-03,H.obs,3.717,
08EE005,2022-02-04,H.obs,3.645,
08EE005,2022-02-05,H.obs,3.822,
08EE005,2022-02-06,H.obs,3.894,
08EE005,2022-02-07,H.obs,3.913,
08EE005,2022-02-08,H.obs,3.887,
08EE005,2022-02-09,H.obs,3.865,
08EE005,2022-02-10,H.obs,3.953,
08EE005,2022-02-11,H.obs,4.261,
08EE005,2022-02-12,H.obs,4.411,
08EE005,2022-02-13,H.obs,4.503,
08EE005,2022-02-14,H.obs,4.505,
08EE005,2022-02-15,H.obs,4.506,
08EE005,2022-02-16,H.obs,4.5,
08EE005,2022-02-17,H.obs,4.476,
08EE005,2022-02-18,H.obs,4.49,
08EE005,2022-02-19,H.obs,4.488,
08EE005,2022-02-20,H.obs,4.449,
08EE005,2022-02-21,H.obs,4.335,
08EE005,2022-02-22,H.obs,4.144,
08EE005,2022-02-23,H.obs,4.074,
08EE005,2022-02-24,H.obs,4.172,
08EE005,2022-02-25,H.obs,4.15,
08EE005,2022-02-26,H.obs,4.123,
08EE005,2022-02-27,H.obs,4.085,
08EE005,2022-02-28,H.obs,4.061,
08EE005,2022-03-01,H.obs,4.02,
08EE005,2022-03-02,H.obs,3.982,
08EE005,2022-03-03,H.obs,3.992,
08EE005,2022-03-04,H.obs,3.945,
08EE005,2022-03-05,H.obs,3.896,
08EE005,2022-03-06,H.obs,3.863,
08EE005,2022-03-07,H.obs,3.849,
08EE005,2022-03-08,H.obs,3.841,
08EE005,2022-03-09,H.obs,3.774,
08EE005,2022-03-10,H.obs,3.734,
08EE005,2022-03-11,H.obs,3.731,
08EE005,2022-03-12,H.obs,3.74,
08EE005,2022-03-13,H.obs,3.72,
08EE005,2022-03-14,H.obs,3.699,
08EE005,2022-03-15,H.obs,3.709,
08EE005,2022-03-16,H.obs,3.712,
08EE005,2022-03-17,H.obs,3.699,
08EE005,2022-03-18,H.obs,3.698,
08EE005,2022-03-19,H.obs,3.705,
08EE005,2022-03-20,H.obs,3.667,
08EE005,2022-03-21,H.obs,3.641,
08EE005,2022-03-22,H.obs,3.696,
08EE005,2022-03-23,H.obs,3.906,
08EE005,2022-03-24,H.obs,3.995,
08EE005,2022-03-25,H.obs,3.947,
08EE005,2022-03-26,H.obs,3.918,
08EE005,2022-03-27,H.obs,3.819,
08EE005,2022-03-28,H.obs,3.926,
08EE005,2022-03-29,H.obs,2.929,
08EE005,2022-03-30,H.obs,2.857,
08EE005,2022-03-31,H.obs,2.85,
08EE005,2022-04-01,H.obs,2.854,
08EE005,2022-04-02,H.obs,2.86,
08EE005,2022-04-03,H.obs,2.866,
08EE005,2022-04-04,H.obs,2.859,
08EE005,2022-04-05,H.obs,2.85,
08EE005,2022-04-06,H.obs,2.832,
08EE005,2022-04-07,H.obs,2.824,
08EE005,2022-04-08,H.obs,2.865,
08EE005,2022-04-09,H.obs,2.912,
