 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08EF005,2022-01-01,Q.obs,15.4,B
08EF005,2022-01-01,H.obs,0.724,
08EF005,2022-01-02,H.obs,0.713,
08EF005,2022-01-02,Q.obs,15.3,B
08EF005,2022-01-03,H.obs,0.657,
08EF005,2022-01-03,Q.obs,15.2,B
08EF005,2022-01-04,H.obs,0.611,
08EF005,2022-01-04,Q.obs,15.1,B
08EF005,2022-01-05,H.obs,0.641,
08EF005,2022-01-05,Q.obs,15.1,B
08EF005,2022-01-06,Q.obs,15.0,B
08EF005,2022-01-06,H.obs,0.679,
08EF005,2022-01-07,Q.obs,15.2,B
08EF005,2022-01-07,H.obs,0.699,
08EF005,2022-01-08,H.obs,0.701,
08EF005,2022-01-08,Q.obs,15.3,B
08EF005,2022-01-09,Q.obs,15.5,B
08EF005,2022-01-09,H.obs,0.677,
08EF005,2022-01-10,Q.obs,15.9,B
08EF005,2022-01-10,H.obs,0.637,
08EF005,2022-01-11,Q.obs,16.8,B
08EF005,2022-01-11,H.obs,0.625,
08EF005,2022-01-12,Q.obs,18.7,B
08EF005,2022-01-12,H.obs,0.611,
08EF005,2022-01-13,H.obs,0.596,
08EF005,2022-01-13,Q.obs,19.5,B
08EF005,2022-01-14,H.obs,0.599,
08EF005,2022-01-14,Q.obs,20.4,B
08EF005,2022-01-15,Q.obs,21.1,B
08EF005,2022-01-15,H.obs,0.605,
08EF005,2022-01-16,Q.obs,21.4,B
08EF005,2022-01-16,H.obs,0.614,
08EF005,2022-01-17,H.obs,0.655,
08EF005,2022-01-17,Q.obs,21.8,B
08EF005,2022-01-18,H.obs,0.656,
08EF005,2022-01-18,Q.obs,22.5,B
08EF005,2022-01-19,H.obs,0.618,
08EF005,2022-01-19,Q.obs,23.6,B
08EF005,2022-01-20,H.obs,0.61,
08EF005,2022-01-20,Q.obs,25.2,B
08EF005,2022-01-21,H.obs,0.626,
08EF005,2022-01-21,Q.obs,26.8,
08EF005,2022-01-22,H.obs,0.629,
08EF005,2022-01-22,Q.obs,27.1,
08EF005,2022-01-23,H.obs,0.622,
08EF005,2022-01-23,Q.obs,26.5,
08EF005,2022-01-24,Q.obs,26.0,
08EF005,2022-01-24,H.obs,0.615,
08EF005,2022-01-25,H.obs,0.603,
08EF005,2022-01-25,Q.obs,25.2,
08EF005,2022-01-26,H.obs,0.593,
08EF005,2022-01-26,Q.obs,24.5,
08EF005,2022-01-27,H.obs,0.575,
08EF005,2022-01-27,Q.obs,23.2,
08EF005,2022-01-28,H.obs,0.573,
08EF005,2022-01-28,Q.obs,23.1,
08EF005,2022-01-29,H.obs,0.575,
08EF005,2022-01-29,Q.obs,23.3,
08EF005,2022-01-30,Q.obs,23.7,
08EF005,2022-01-30,H.obs,0.581,
08EF005,2022-01-31,Q.obs,23.4,
08EF005,2022-01-31,H.obs,0.578,
08EF005,2022-02-01,H.obs,0.568,
08EF005,2022-02-01,Q.obs,22.8,
08EF005,2022-02-02,H.obs,0.557,
08EF005,2022-02-02,Q.obs,22.0,
08EF005,2022-02-03,H.obs,0.554,
08EF005,2022-02-03,Q.obs,21.8,
08EF005,2022-02-04,H.obs,0.603,
08EF005,2022-02-04,Q.obs,25.3,
08EF005,2022-02-05,H.obs,0.687,
08EF005,2022-02-05,Q.obs,31.5,
08EF005,2022-02-06,Q.obs,30.3,
08EF005,2022-02-06,H.obs,0.672,
08EF005,2022-02-07,Q.obs,36.2,
08EF005,2022-02-07,H.obs,0.743,
08EF005,2022-02-08,Q.obs,38.9,
