 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08GA022,2022-01-01,Q.obs,36.1,
08GA022,2022-01-01,H.obs,1.673,
08GA022,2022-01-02,H.obs,2.022,
08GA022,2022-01-02,Q.obs,75.7,
08GA022,2022-01-03,Q.obs,65.2,
08GA022,2022-01-03,H.obs,1.953,
08GA022,2022-01-04,Q.obs,54.9,
08GA022,2022-01-04,H.obs,1.862,
08GA022,2022-01-05,Q.obs,47.9,
08GA022,2022-01-05,H.obs,1.794,
08GA022,2022-01-06,H.obs,1.79,
08GA022,2022-01-06,Q.obs,47.9,
08GA022,2022-01-07,H.obs,1.741,
08GA022,2022-01-07,Q.obs,42.5,
08GA022,2022-01-08,H.obs,1.736,
08GA022,2022-01-08,Q.obs,42.0,
08GA022,2022-01-09,H.obs,1.664,
08GA022,2022-01-09,Q.obs,35.4,
08GA022,2022-01-10,H.obs,1.693,
08GA022,2022-01-10,Q.obs,38.7,
08GA022,2022-01-11,H.obs,2.308,
08GA022,2022-01-11,Q.obs,109.0,
08GA022,2022-01-12,H.obs,2.417,
08GA022,2022-01-12,Q.obs,127.0,
08GA022,2022-01-13,Q.obs,226.0,
08GA022,2022-01-13,H.obs,2.999,
08GA022,2022-01-14,Q.obs,164.0,
08GA022,2022-01-14,H.obs,2.659,
08GA022,2022-01-15,Q.obs,122.0,
08GA022,2022-01-15,H.obs,2.403,
08GA022,2022-01-16,H.obs,2.259,
08GA022,2022-01-16,Q.obs,102.0,
08GA022,2022-01-17,Q.obs,122.0,
08GA022,2022-01-17,H.obs,2.394,
08GA022,2022-01-18,Q.obs,126.0,
08GA022,2022-01-18,H.obs,2.42,
08GA022,2022-01-19,Q.obs,123.0,
08GA022,2022-01-19,H.obs,2.401,
08GA022,2022-01-20,Q.obs,124.0,
08GA022,2022-01-20,H.obs,2.414,
08GA022,2022-01-21,Q.obs,131.0,
08GA022,2022-01-21,H.obs,2.458,
08GA022,2022-01-22,H.obs,2.169,
08GA022,2022-01-22,Q.obs,89.9,
08GA022,2022-01-23,Q.obs,77.7,
08GA022,2022-01-23,H.obs,2.071,
08GA022,2022-01-24,H.obs,2.1,
08GA022,2022-01-24,Q.obs,81.2,
08GA022,2022-01-25,Q.obs,82.5,
08GA022,2022-01-25,H.obs,2.111,
08GA022,2022-01-26,Q.obs,63.1,
08GA022,2022-01-26,H.obs,1.945,
08GA022,2022-01-27,Q.obs,53.4,
08GA022,2022-01-27,H.obs,1.857,
08GA022,2022-01-28,H.obs,1.924,
08GA022,2022-01-28,Q.obs,60.9,
08GA022,2022-01-29,H.obs,1.843,
08GA022,2022-01-29,Q.obs,52.1,
08GA022,2022-01-30,Q.obs,89.2,
08GA022,2022-01-30,H.obs,2.135,
08GA022,2022-01-31,H.obs,2.094,
08GA022,2022-01-31,Q.obs,81.1,
08GA022,2022-02-01,H.obs,1.991,
08GA022,2022-02-01,Q.obs,68.7,
08GA022,2022-02-02,H.obs,2.127,
08GA022,2022-02-02,Q.obs,85.5,
08GA022,2022-02-03,Q.obs,73.9,
08GA022,2022-02-03,H.obs,2.037,
08GA022,2022-02-04,H.obs,1.981,
08GA022,2022-02-04,Q.obs,67.5,
08GA022,2022-02-05,H.obs,1.86,
08GA022,2022-02-05,Q.obs,53.8,
08GA022,2022-02-06,Q.obs,48.2,
08GA022,2022-02-06,H.obs,1.805,
08GA022,2022-02-07,Q.obs,53.2,
08GA022,2022-02-07,H.obs,1.846,
08GA022,2022-02-08,H.obs,2.011,
08GA022,2022-02-08,Q.obs,71.8,
08GA022,2022-02-09,Q.obs,82.1,
08GA022,2022-02-09,H.obs,2.101,
08GA022,2022-02-10,H.obs,1.95,
08GA022,2022-02-10,Q.obs,63.9,
08GA022,2022-02-11,Q.obs,65.5,
08GA022,2022-02-11,H.obs,1.961,
08GA022,2022-02-12,Q.obs,71.0,
08GA022,2022-02-12,H.obs,2.004,
08GA022,2022-02-13,Q.obs,54.3,
08GA022,2022-02-13,H.obs,1.863,
08GA022,2022-02-14,Q.obs,53.8,
08GA022,2022-02-14,H.obs,1.859,
08GA022,2022-02-15,Q.obs,77.3,
08GA022,2022-02-15,H.obs,2.071,
08GA022,2022-02-16,Q.obs,78.8,
08GA022,2022-02-16,H.obs,2.083,
08GA022,2022-02-17,Q.obs,75.9,
08GA022,2022-02-17,H.obs,2.059,
08GA022,2022-02-18,Q.obs,67.7,
08GA022,2022-02-18,H.obs,1.974,
08GA022,2022-02-19,H.obs,2.016,
08GA022,2022-02-19,Q.obs,71.4,
08GA022,2022-02-20,H.obs,1.817,
08GA022,2022-02-20,Q.obs,49.4,
08GA022,2022-02-21,H.obs,1.869,
08GA022,2022-02-21,Q.obs,55.1,
08GA022,2022-02-22,Q.obs,50.3,
08GA022,2022-02-22,H.obs,1.819,
08GA022,2022-02-23,Q.obs,40.2,
08GA022,2022-02-23,H.obs,1.718,
08GA022,2022-02-24,H.obs,1.706,
08GA022,2022-02-24,Q.obs,39.1,
08GA022,2022-02-25,H.obs,1.7,
08GA022,2022-02-25,Q.obs,38.7,
08GA022,2022-02-26,H.obs,1.728,
08GA022,2022-02-26,Q.obs,41.3,
08GA022,2022-02-27,H.obs,1.741,
08GA022,2022-02-27,Q.obs,42.2,
08GA022,2022-02-28,H.obs,1.838,
08GA022,2022-02-28,Q.obs,51.5,
08GA022,2022-03-01,Q.obs,59.9,
08GA022,2022-03-01,H.obs,1.917,
08GA022,2022-03-02,Q.obs,88.3,
08GA022,2022-03-02,H.obs,2.158,
08GA022,2022-03-03,Q.obs,78.6,
08GA022,2022-03-03,H.obs,2.081,
08GA022,2022-03-04,Q.obs,69.0,
08GA022,2022-03-04,H.obs,2.001,
08GA022,2022-03-05,Q.obs,60.8,
08GA022,2022-03-05,H.obs,1.927,
08GA022,2022-03-06,Q.obs,54.6,
08GA022,2022-03-06,H.obs,1.869,
08GA022,2022-03-07,Q.obs,51.4,
08GA022,2022-03-07,H.obs,1.838,
08GA022,2022-03-08,Q.obs,49.8,
08GA022,2022-03-08,H.obs,1.821,
08GA022,2022-03-09,Q.obs,48.8,
08GA022,2022-03-09,H.obs,1.812,
08GA022,2022-03-10,Q.obs,46.7,
08GA022,2022-03-10,H.obs,1.79,
08GA022,2022-03-11,Q.obs,48.5,
08GA022,2022-03-11,H.obs,1.806,
08GA022,2022-03-12,Q.obs,67.6,
08GA022,2022-03-12,H.obs,1.989,
08GA022,2022-03-13,Q.obs,44.0,
08GA022,2022-03-13,H.obs,1.76,
08GA022,2022-03-14,Q.obs,48.2,
08GA022,2022-03-14,H.obs,1.805,
08GA022,2022-03-15,H.obs,2.099,
08GA022,2022-03-15,Q.obs,81.7,
08GA022,2022-03-16,H.obs,2.055,
08GA022,2022-03-16,Q.obs,75.5,
08GA022,2022-03-17,H.obs,2.001,
08GA022,2022-03-17,Q.obs,69.3,
08GA022,2022-03-18,H.obs,2.086,
08GA022,2022-03-18,Q.obs,79.4,
08GA022,2022-03-19,Q.obs,70.1,
08GA022,2022-03-19,H.obs,2.008,
08GA022,2022-03-20,Q.obs,63.6,
08GA022,2022-03-20,H.obs,1.953,
08GA022,2022-03-21,Q.obs,75.3,
08GA022,2022-03-21,H.obs,2.05,
08GA022,2022-03-22,Q.obs,82.3,
08GA022,2022-03-22,H.obs,2.109,
08GA022,2022-03-23,Q.obs,106.0,
08GA022,2022-03-23,H.obs,2.273,
08GA022,2022-03-24,Q.obs,165.0,
08GA022,2022-03-24,H.obs,2.667,
08GA022,2022-03-25,Q.obs,110.0,
08GA022,2022-03-25,H.obs,2.314,
08GA022,2022-03-26,Q.obs,90.5,
08GA022,2022-03-26,H.obs,2.174,
08GA022,2022-03-27,Q.obs,93.8,
08GA022,2022-03-27,H.obs,2.198,
08GA022,2022-03-28,H.obs,2.918,
08GA022,2022-03-28,Q.obs,212.0,
08GA022,2022-03-29,Q.obs,215.0,
08GA022,2022-03-29,H.obs,2.941,
08GA022,2022-03-30,Q.obs,185.0,
08GA022,2022-03-30,H.obs,2.782,
08GA022,2022-03-31,Q.obs,163.0,
08GA022,2022-03-31,H.obs,2.656,
08GA022,2022-04-01,Q.obs,137.0,
08GA022,2022-04-01,H.obs,2.498,
08GA022,2022-04-02,H.obs,2.405,
08GA022,2022-04-02,Q.obs,123.0,
08GA022,2022-04-03,H.obs,2.452,
08GA022,2022-04-03,Q.obs,130.0,
08GA022,2022-04-04,Q.obs,165.0,
08GA022,2022-04-04,H.obs,2.67,
08GA022,2022-04-05,H.obs,2.551,
08GA022,2022-04-05,Q.obs,145.0,
08GA022,2022-04-06,Q.obs,124.0,
08GA022,2022-04-06,H.obs,2.411,
08GA022,2022-04-07,H.obs,2.308,
08GA022,2022-04-07,Q.obs,109.0,
08GA022,2022-04-08,H.obs,2.792,
08GA022,2022-04-08,Q.obs,191.0,
08GA022,2022-04-09,H.obs,2.672,
08GA022,2022-04-09,Q.obs,167.0,
08GA022,2022-04-10,Q.obs,127.0,
08GA022,2022-04-10,H.obs,2.435,
08GA022,2022-04-11,Q.obs,117.0,
08GA022,2022-04-11,H.obs,2.37,
08GA022,2022-04-12,Q.obs,106.0,
08GA022,2022-04-12,H.obs,2.29,
08GA022,2022-04-13,Q.obs,97.5,
08GA022,2022-04-13,H.obs,2.229,
08GA022,2022-04-14,H.obs,2.117,
08GA022,2022-04-14,Q.obs,83.2,
08GA022,2022-04-15,Q.obs,57.9,
08GA022,2022-04-15,H.obs,1.9,
08GA022,2022-04-16,Q.obs,53.5,
08GA022,2022-04-16,H.obs,1.858,
08GA022,2022-04-17,Q.obs,50.7,
08GA022,2022-04-17,H.obs,1.83,
08GA022,2022-04-18,H.obs,1.852,
08GA022,2022-04-18,Q.obs,52.9,
08GA022,2022-04-19,Q.obs,60.3,
08GA022,2022-04-19,H.obs,1.923,
08GA022,2022-04-20,Q.obs,57.3,
08GA022,2022-04-20,H.obs,1.894,
08GA022,2022-04-21,Q.obs,55.3,
08GA022,2022-04-21,H.obs,1.876,
08GA022,2022-04-22,H.obs,1.876,
08GA022,2022-04-22,Q.obs,55.4,
08GA022,2022-04-23,H.obs,1.923,
08GA022,2022-04-23,Q.obs,60.3,
08GA022,2022-04-24,Q.obs,66.8,
08GA022,2022-04-24,H.obs,1.981,
08GA022,2022-04-25,H.obs,2.205,
08GA022,2022-04-25,Q.obs,94.7,
08GA022,2022-04-26,Q.obs,106.0,
08GA022,2022-04-26,H.obs,2.292,
08GA022,2022-04-27,H.obs,2.134,
