 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08JA018,2022-12-31,H.obs,2.715,
08JA018,2023-01-01,H.obs,2.715,
08JA018,2023-01-02,H.obs,2.713,
08JA018,2023-01-03,H.obs,2.711,
08JA018,2023-01-04,H.obs,2.711,
08JA018,2023-01-05,H.obs,2.713,
08JA018,2023-01-06,H.obs,2.712,
08JA018,2023-01-07,H.obs,2.71,
08JA018,2023-01-08,H.obs,2.708,
08JA018,2023-01-09,H.obs,2.708,
08JA018,2023-01-10,H.obs,2.707,
08JA018,2023-01-11,H.obs,2.705,
08JA018,2023-01-12,H.obs,2.705,
08JA018,2023-01-13,H.obs,2.709,
08JA018,2023-01-14,H.obs,2.709,
08JA018,2023-01-15,H.obs,2.707,
08JA018,2023-01-16,H.obs,2.707,
08JA018,2023-01-17,H.obs,2.71,
08JA018,2023-01-18,H.obs,2.707,
08JA018,2023-01-19,H.obs,2.705,
08JA018,2023-01-20,H.obs,2.704,
08JA018,2023-01-21,H.obs,2.701,
08JA018,2023-01-22,H.obs,2.7,
08JA018,2023-01-23,H.obs,2.697,
08JA018,2023-01-24,H.obs,2.697,
08JA018,2023-01-25,H.obs,2.694,
08JA018,2023-01-26,H.obs,2.696,
08JA018,2023-01-27,H.obs,2.7,
08JA018,2023-01-28,H.obs,2.701,
08JA018,2023-01-29,H.obs,2.697,
08JA018,2023-01-30,H.obs,2.696,
08JA018,2023-01-31,H.obs,2.698,
08JA018,2023-02-01,H.obs,2.706,
08JA018,2023-02-02,H.obs,2.707,
08JA018,2023-02-03,H.obs,2.705,
08JA018,2023-02-04,H.obs,2.704,
08JA018,2023-02-05,H.obs,2.699,
08JA018,2023-02-06,H.obs,2.7,
08JA018,2023-02-07,H.obs,2.702,
08JA018,2023-02-08,H.obs,2.702,
08JA018,2023-02-09,H.obs,2.705,
08JA018,2023-02-10,H.obs,2.699,
08JA018,2023-02-11,H.obs,2.698,
08JA018,2023-02-12,H.obs,2.7,
08JA018,2023-02-13,H.obs,2.696,
08JA018,2023-02-14,H.obs,2.695,
08JA018,2023-02-15,H.obs,2.697,
08JA018,2023-02-16,H.obs,2.694,
08JA018,2023-02-17,H.obs,2.694,
08JA018,2023-02-18,H.obs,2.693,
08JA018,2023-02-19,H.obs,2.69,
08JA018,2023-02-20,H.obs,2.698,
08JA018,2023-02-21,H.obs,2.7,
08JA018,2023-02-22,H.obs,2.698,
08JA018,2023-02-23,H.obs,2.696,
08JA018,2023-02-24,H.obs,2.698,
08JA018,2023-02-25,H.obs,2.704,
08JA018,2023-02-26,H.obs,2.703,
08JA018,2023-02-27,H.obs,2.702,
08JA018,2023-02-28,H.obs,2.699,
08JA018,2023-03-01,H.obs,2.7,
08JA018,2023-03-02,H.obs,2.7,
08JA018,2023-03-03,H.obs,2.699,
08JA018,2023-03-04,H.obs,2.699,
08JA018,2023-03-05,H.obs,2.696,
08JA018,2023-03-06,H.obs,2.695,
08JA018,2023-03-07,H.obs,2.695,
08JA018,2023-03-08,H.obs,2.694,
08JA018,2023-03-09,H.obs,2.694,
08JA018,2023-03-10,H.obs,2.692,
08JA018,2023-03-11,H.obs,2.691,
08JA018,2023-03-12,H.obs,2.69,
08JA018,2023-03-13,H.obs,2.689,
08JA018,2023-03-14,H.obs,2.691,
08JA018,2023-03-15,H.obs,2.688,
08JA018,2023-03-16,H.obs,2.688,
08JA018,2023-03-17,H.obs,2.685,
08JA018,2023-03-18,H.obs,2.686,
08JA018,2023-03-19,H.obs,2.692,
08JA018,2023-03-20,H.obs,2.696,
08JA018,2023-03-21,H.obs,2.699,
08JA018,2023-03-22,H.obs,2.703,
08JA018,2023-03-23,H.obs,2.707,
08JA018,2023-03-24,H.obs,2.709,
08JA018,2023-03-25,H.obs,2.713,
08JA018,2023-03-26,H.obs,2.717,
08JA018,2023-03-27,H.obs,2.719,
08JA018,2023-03-28,H.obs,2.721,
08JA018,2023-03-29,H.obs,2.724,
08JA018,2023-03-30,H.obs,2.725,
08JA018,2023-03-31,H.obs,2.73,
08JA018,2023-04-01,H.obs,2.731,
08JA018,2023-04-02,H.obs,2.731,
08JA018,2023-04-03,H.obs,2.731,
08JA018,2023-04-04,H.obs,2.731,
08JA018,2023-04-05,H.obs,2.733,
08JA018,2023-04-06,H.obs,2.737,
08JA018,2023-04-07,H.obs,2.735,
08JA018,2023-04-08,H.obs,2.737,
08JA018,2023-04-09,H.obs,2.741,
08JA018,2023-04-10,H.obs,2.743,
08JA018,2023-04-11,H.obs,2.743,
08JA018,2023-04-12,H.obs,2.745,
08JA018,2023-04-13,H.obs,2.748,
08JA018,2023-04-14,H.obs,2.751,
08JA018,2023-04-15,H.obs,2.757,
08JA018,2023-04-16,H.obs,2.762,
08JA018,2023-04-17,H.obs,2.768,
08JA018,2023-04-18,H.obs,2.773,
08JA018,2023-04-19,H.obs,2.777,
08JA018,2023-04-20,H.obs,2.783,
08JA018,2023-04-21,H.obs,2.785,
08JA018,2023-04-22,H.obs,2.793,
08JA018,2023-04-23,H.obs,2.802,
08JA018,2023-04-24,H.obs,2.812,
08JA018,2023-04-25,H.obs,2.824,
08JA018,2023-04-26,H.obs,2.834,
08JA018,2023-04-27,H.obs,2.846,
08JA018,2023-04-28,H.obs,2.858,
08JA018,2023-04-29,H.obs,2.87,
08JA018,2023-04-30,H.obs,2.886,
08JA018,2023-05-01,H.obs,2.907,
08JA018,2023-05-02,H.obs,2.926,
08JA018,2023-05-03,H.obs,2.942,
08JA018,2023-05-04,H.obs,2.958,
08JA018,2023-05-05,H.obs,2.971,
08JA018,2023-05-06,H.obs,2.992,
08JA018,2023-05-07,H.obs,3.0,
08JA018,2023-05-08,H.obs,3.01,
08JA018,2023-05-09,H.obs,3.013,
08JA018,2023-05-10,H.obs,3.02,
08JA018,2023-05-11,H.obs,3.037,
08JA018,2023-05-12,H.obs,3.053,
08JA018,2023-05-13,H.obs,3.064,
08JA018,2023-05-14,H.obs,3.075,
08JA018,2023-05-15,H.obs,3.082,
08JA018,2023-05-16,H.obs,3.09,
08JA018,2023-05-17,H.obs,3.095,
08JA018,2023-05-18,H.obs,3.099,
08JA018,2023-05-19,H.obs,3.097,
08JA018,2023-05-20,H.obs,3.104,
08JA018,2023-05-21,H.obs,3.12,
08JA018,2023-05-22,H.obs,3.137,
08JA018,2023-05-23,H.obs,3.161,
08JA018,2023-05-24,H.obs,3.178,
08JA018,2023-05-25,H.obs,3.195,
08JA018,2023-05-26,H.obs,3.206,
08JA018,2023-05-27,H.obs,3.216,
08JA018,2023-05-28,H.obs,3.222,
08JA018,2023-05-29,H.obs,3.23,
08JA018,2023-05-30,H.obs,3.234,
08JA018,2023-05-31,H.obs,3.242,
08JA018,2023-06-01,H.obs,3.25,
08JA018,2023-06-02,H.obs,3.248,
08JA018,2023-06-03,H.obs,3.232,
08JA018,2023-06-04,H.obs,3.217,
08JA018,2023-06-05,H.obs,3.203,
08JA018,2023-06-06,H.obs,3.191,
08JA018,2023-06-07,H.obs,3.182,
08JA018,2023-06-08,H.obs,3.17,
08JA018,2023-06-09,H.obs,3.158,
08JA018,2023-06-10,H.obs,3.151,
08JA018,2023-06-11,H.obs,3.144,
08JA018,2023-06-12,H.obs,3.136,
08JA018,2023-06-13,H.obs,3.126,
08JA018,2023-06-14,H.obs,3.118,
08JA018,2023-06-15,H.obs,3.117,
08JA018,2023-06-16,H.obs,3.113,
08JA018,2023-06-17,H.obs,3.109,
08JA018,2023-06-18,H.obs,3.11,
