 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08JC001,2022-01-01,Q.obs,56.3,B
08JC001,2022-01-01,H.obs,2.311,
08JC001,2022-01-02,H.obs,2.315,
08JC001,2022-01-02,Q.obs,56.2,B
08JC001,2022-01-03,Q.obs,56.1,B
08JC001,2022-01-03,H.obs,2.325,
08JC001,2022-01-04,Q.obs,56.0,B
08JC001,2022-01-04,H.obs,2.326,
08JC001,2022-01-05,Q.obs,55.9,B
08JC001,2022-01-05,H.obs,2.287,
08JC001,2022-01-06,H.obs,2.303,
08JC001,2022-01-06,Q.obs,55.8,B
08JC001,2022-01-07,H.obs,2.34,
08JC001,2022-01-07,Q.obs,55.7,B
08JC001,2022-01-08,H.obs,2.355,
08JC001,2022-01-08,Q.obs,55.6,B
08JC001,2022-01-09,H.obs,2.378,
08JC001,2022-01-09,Q.obs,55.5,B
08JC001,2022-01-10,H.obs,2.387,
08JC001,2022-01-10,Q.obs,55.4,B
08JC001,2022-01-11,H.obs,2.409,
08JC001,2022-01-11,Q.obs,55.3,B
08JC001,2022-01-12,H.obs,2.432,
08JC001,2022-01-12,Q.obs,55.2,B
08JC001,2022-01-13,Q.obs,55.1,B
08JC001,2022-01-13,H.obs,2.458,
08JC001,2022-01-14,Q.obs,55.0,B
08JC001,2022-01-14,H.obs,2.47,
08JC001,2022-01-15,Q.obs,54.9,B
08JC001,2022-01-15,H.obs,2.471,
08JC001,2022-01-16,H.obs,2.481,
08JC001,2022-01-16,Q.obs,54.8,B
08JC001,2022-01-17,Q.obs,54.7,B
08JC001,2022-01-17,H.obs,2.477,
08JC001,2022-01-18,Q.obs,54.6,B
08JC001,2022-01-18,H.obs,2.475,
08JC001,2022-01-19,Q.obs,54.5,B
08JC001,2022-01-19,H.obs,2.463,
08JC001,2022-01-20,Q.obs,54.4,B
08JC001,2022-01-20,H.obs,2.426,
08JC001,2022-01-21,Q.obs,54.3,B
08JC001,2022-01-21,H.obs,2.41,
08JC001,2022-01-22,H.obs,2.47,
