 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08JE001,2022-01-01,Q.obs,55.2,
08JE001,2022-01-01,H.obs,0.76,
08JE001,2022-01-02,H.obs,0.772,
08JE001,2022-01-02,Q.obs,55.0,B
08JE001,2022-01-03,Q.obs,54.7,B
08JE001,2022-01-03,H.obs,0.851,
08JE001,2022-01-04,Q.obs,54.5,B
08JE001,2022-01-04,H.obs,0.833,
08JE001,2022-01-05,Q.obs,54.3,B
08JE001,2022-01-05,H.obs,0.807,
08JE001,2022-01-06,H.obs,0.789,
08JE001,2022-01-06,Q.obs,54.2,B
08JE001,2022-01-07,H.obs,0.777,
08JE001,2022-01-07,Q.obs,54.0,B
08JE001,2022-01-08,H.obs,0.767,
08JE001,2022-01-08,Q.obs,53.8,B
08JE001,2022-01-09,H.obs,0.767,
08JE001,2022-01-09,Q.obs,53.7,B
08JE001,2022-01-10,H.obs,0.747,
08JE001,2022-01-10,Q.obs,53.6,B
08JE001,2022-01-11,H.obs,0.739,
08JE001,2022-01-11,Q.obs,53.6,
08JE001,2022-01-12,H.obs,0.736,
08JE001,2022-01-12,Q.obs,53.4,
08JE001,2022-01-13,Q.obs,52.9,
08JE001,2022-01-13,H.obs,0.73,
08JE001,2022-01-14,Q.obs,52.2,
08JE001,2022-01-14,H.obs,0.721,
08JE001,2022-01-15,Q.obs,51.8,
08JE001,2022-01-15,H.obs,0.716,
08JE001,2022-01-16,H.obs,0.717,
08JE001,2022-01-16,Q.obs,52.0,
08JE001,2022-01-17,Q.obs,52.2,
08JE001,2022-01-17,H.obs,0.72,
08JE001,2022-01-18,Q.obs,51.7,
08JE001,2022-01-18,H.obs,0.713,
08JE001,2022-01-19,Q.obs,51.6,
08JE001,2022-01-19,H.obs,0.713,
08JE001,2022-01-20,Q.obs,51.6,
08JE001,2022-01-20,H.obs,0.712,
08JE001,2022-01-21,Q.obs,51.2,
08JE001,2022-01-21,H.obs,0.706,
08JE001,2022-01-22,H.obs,0.701,
08JE001,2022-01-22,Q.obs,50.8,
08JE001,2022-01-23,Q.obs,50.7,
08JE001,2022-01-23,H.obs,0.7,
08JE001,2022-01-24,H.obs,0.696,
08JE001,2022-01-24,Q.obs,50.4,
08JE001,2022-01-25,Q.obs,49.9,
