 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08KA005,2022-01-01,Q.obs,46.2,B
08KA005,2022-01-01,H.obs,3.862,
08KA005,2022-01-02,H.obs,3.84,
08KA005,2022-01-02,Q.obs,46.0,B
08KA005,2022-01-03,Q.obs,45.9,B
08KA005,2022-01-03,H.obs,3.828,
08KA005,2022-01-04,Q.obs,45.6,B
08KA005,2022-01-04,H.obs,3.816,
08KA005,2022-01-05,Q.obs,45.2,B
08KA005,2022-01-05,H.obs,3.782,
08KA005,2022-01-06,H.obs,3.75,
08KA005,2022-01-06,Q.obs,44.7,B
08KA005,2022-01-07,H.obs,3.732,
08KA005,2022-01-07,Q.obs,44.3,B
08KA005,2022-01-08,H.obs,3.712,
08KA005,2022-01-08,Q.obs,43.8,B
08KA005,2022-01-09,H.obs,3.691,
08KA005,2022-01-09,Q.obs,43.4,B
08KA005,2022-01-10,H.obs,3.671,
08KA005,2022-01-10,Q.obs,43.0,B
08KA005,2022-01-11,H.obs,3.675,
08KA005,2022-01-11,Q.obs,42.6,B
08KA005,2022-01-12,H.obs,3.671,
08KA005,2022-01-12,Q.obs,42.2,B
08KA005,2022-01-13,Q.obs,42.0,B
08KA005,2022-01-13,H.obs,3.673,
08KA005,2022-01-14,Q.obs,41.8,B
08KA005,2022-01-14,H.obs,3.664,
08KA005,2022-01-15,Q.obs,41.6,B
08KA005,2022-01-15,H.obs,3.64,
08KA005,2022-01-16,H.obs,3.621,
08KA005,2022-01-16,Q.obs,41.5,B
08KA005,2022-01-17,Q.obs,41.3,B
08KA005,2022-01-17,H.obs,3.633,
08KA005,2022-01-18,Q.obs,41.1,B
08KA005,2022-01-18,H.obs,3.644,
08KA005,2022-01-19,Q.obs,40.9,B
08KA005,2022-01-19,H.obs,3.587,
08KA005,2022-01-20,Q.obs,40.7,B
08KA005,2022-01-20,H.obs,3.535,
08KA005,2022-01-21,Q.obs,40.5,B
08KA005,2022-01-21,H.obs,3.539,
08KA005,2022-01-22,H.obs,3.55,
08KA005,2022-01-22,Q.obs,40.3,B
08KA005,2022-01-23,Q.obs,40.1,B
08KA005,2022-01-23,H.obs,3.541,
08KA005,2022-01-24,H.obs,3.53,
08KA005,2022-01-24,Q.obs,39.9,B
08KA005,2022-01-25,Q.obs,39.7,B
08KA005,2022-01-25,H.obs,3.516,
08KA005,2022-01-26,Q.obs,39.6,B
08KA005,2022-01-26,H.obs,3.505,
08KA005,2022-01-27,Q.obs,39.4,B
08KA005,2022-01-27,H.obs,3.477,
08KA005,2022-01-28,H.obs,3.443,
08KA005,2022-01-28,Q.obs,39.2,B
08KA005,2022-01-29,H.obs,3.45,
08KA005,2022-01-29,Q.obs,39.0,B
08KA005,2022-01-30,Q.obs,38.8,B
08KA005,2022-01-30,H.obs,3.471,
08KA005,2022-01-31,H.obs,3.474,
08KA005,2022-01-31,Q.obs,38.7,B
08KA005,2022-02-01,H.obs,3.461,
08KA005,2022-02-01,Q.obs,38.5,B
08KA005,2022-02-02,H.obs,3.416,
08KA005,2022-02-02,Q.obs,38.3,B
08KA005,2022-02-03,Q.obs,38.1,B
08KA005,2022-02-03,H.obs,3.388,
08KA005,2022-02-04,H.obs,3.414,
08KA005,2022-02-04,Q.obs,37.9,B
08KA005,2022-02-05,H.obs,3.454,
08KA005,2022-02-05,Q.obs,37.8,B
08KA005,2022-02-06,Q.obs,37.6,B
08KA005,2022-02-06,H.obs,3.464,
08KA005,2022-02-07,Q.obs,37.4,B
08KA005,2022-02-07,H.obs,3.467,
08KA005,2022-02-08,H.obs,3.463,
08KA005,2022-02-08,Q.obs,37.2,B
08KA005,2022-02-09,Q.obs,37.1,B
08KA005,2022-02-09,H.obs,3.46,
08KA005,2022-02-10,H.obs,3.501,
08KA005,2022-02-10,Q.obs,36.9,B
08KA005,2022-02-11,Q.obs,36.7,B
08KA005,2022-02-11,H.obs,3.548,
08KA005,2022-02-12,Q.obs,36.5,B
08KA005,2022-02-12,H.obs,3.518,
08KA005,2022-02-13,Q.obs,36.4,B
08KA005,2022-02-13,H.obs,3.486,
08KA005,2022-02-14,Q.obs,36.2,B
08KA005,2022-02-14,H.obs,3.477,
08KA005,2022-02-15,Q.obs,36.0,B
08KA005,2022-02-15,H.obs,3.469,
08KA005,2022-02-16,Q.obs,35.9,B
08KA005,2022-02-16,H.obs,3.463,
08KA005,2022-02-17,Q.obs,35.7,B
08KA005,2022-02-17,H.obs,3.459,
08KA005,2022-02-18,H.obs,3.46,
08KA005,2022-02-18,Q.obs,35.5,B
08KA005,2022-02-19,Q.obs,35.4,B
08KA005,2022-02-19,H.obs,3.489,
08KA005,2022-02-20,H.obs,3.529,
08KA005,2022-02-20,Q.obs,35.2,B
08KA005,2022-02-21,H.obs,3.471,
08KA005,2022-02-21,Q.obs,35.0,B
08KA005,2022-02-22,H.obs,3.386,
08KA005,2022-02-22,Q.obs,34.9,B
