 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08KB001,2022-01-01,Q.obs,302.0,B
08KB001,2022-01-02,Q.obs,302.0,B
08KB001,2022-01-03,Q.obs,301.0,B
08KB001,2022-01-04,Q.obs,300.0,B
08KB001,2022-01-05,Q.obs,300.0,B
08KB001,2022-01-06,Q.obs,299.0,B
08KB001,2022-01-07,Q.obs,298.0,B
08KB001,2022-01-08,Q.obs,298.0,B
08KB001,2022-01-09,Q.obs,297.0,B
08KB001,2022-01-10,Q.obs,296.0,B
08KB001,2022-01-11,H.obs,2.534,A
08KB001,2022-01-11,Q.obs,296.0,B
08KB001,2022-01-12,Q.obs,295.0,B
08KB001,2022-01-12,H.obs,2.542,
08KB001,2022-01-13,Q.obs,294.0,B
08KB001,2022-01-13,H.obs,2.547,
08KB001,2022-01-14,Q.obs,294.0,B
08KB001,2022-01-14,H.obs,2.586,
08KB001,2022-01-15,Q.obs,293.0,B
08KB001,2022-01-15,H.obs,2.629,
08KB001,2022-01-16,H.obs,2.657,
08KB001,2022-01-16,Q.obs,292.0,B
08KB001,2022-01-17,H.obs,2.668,
08KB001,2022-01-17,Q.obs,292.0,B
08KB001,2022-01-18,H.obs,2.699,
08KB001,2022-01-18,Q.obs,291.0,B
08KB001,2022-01-19,H.obs,2.889,
08KB001,2022-01-19,Q.obs,290.0,B
08KB001,2022-01-20,H.obs,3.092,
08KB001,2022-01-20,Q.obs,290.0,B
08KB001,2022-01-21,Q.obs,289.0,B
08KB001,2022-01-21,H.obs,3.185,
08KB001,2022-01-22,H.obs,3.183,
08KB001,2022-01-22,Q.obs,288.0,B
08KB001,2022-01-23,H.obs,3.093,
08KB001,2022-01-23,Q.obs,288.0,B
08KB001,2022-01-24,H.obs,2.991,
08KB001,2022-01-24,Q.obs,287.0,B
08KB001,2022-01-25,H.obs,2.905,
08KB001,2022-01-25,Q.obs,286.0,B
08KB001,2022-01-26,H.obs,2.823,
08KB001,2022-01-26,Q.obs,286.0,B
08KB001,2022-01-27,H.obs,2.75,
08KB001,2022-01-27,Q.obs,285.0,B
08KB001,2022-01-28,Q.obs,284.0,B
08KB001,2022-01-28,H.obs,2.685,
08KB001,2022-01-29,H.obs,2.628,
08KB001,2022-01-29,Q.obs,284.0,B
08KB001,2022-01-30,H.obs,2.567,
08KB001,2022-01-30,Q.obs,283.0,B
08KB001,2022-01-31,H.obs,2.51,
08KB001,2022-01-31,Q.obs,282.0,B
08KB001,2022-02-01,Q.obs,282.0,B
08KB001,2022-02-01,H.obs,2.47,
08KB001,2022-02-02,H.obs,2.449,
08KB001,2022-02-02,Q.obs,281.0,B
08KB001,2022-02-03,Q.obs,280.0,B
08KB001,2022-02-03,H.obs,2.411,
08KB001,2022-02-04,H.obs,2.354,
08KB001,2022-02-04,Q.obs,280.0,B
08KB001,2022-02-05,H.obs,2.304,
08KB001,2022-02-05,Q.obs,279.0,B
08KB001,2022-02-06,Q.obs,278.0,B
08KB001,2022-02-06,H.obs,2.277,
08KB001,2022-02-07,H.obs,2.303,
08KB001,2022-02-07,Q.obs,278.0,B
08KB001,2022-02-08,Q.obs,277.0,B
08KB001,2022-02-08,H.obs,2.364,
08KB001,2022-02-09,Q.obs,276.0,B
08KB001,2022-02-09,H.obs,2.427,
08KB001,2022-02-10,Q.obs,276.0,B
08KB001,2022-02-10,H.obs,2.501,
08KB001,2022-02-11,H.obs,2.672,
08KB001,2022-02-11,Q.obs,275.0,B
08KB001,2022-02-12,H.obs,3.055,
08KB001,2022-02-12,Q.obs,274.0,B
08KB001,2022-02-13,H.obs,3.275,
08KB001,2022-02-13,Q.obs,274.0,B
08KB001,2022-02-14,Q.obs,273.0,B
08KB001,2022-02-14,H.obs,3.31,
08KB001,2022-02-15,H.obs,3.2,
08KB001,2022-02-15,Q.obs,272.0,B
08KB001,2022-02-16,H.obs,3.055,
08KB001,2022-02-16,Q.obs,272.0,B
08KB001,2022-02-17,H.obs,2.915,
08KB001,2022-02-17,Q.obs,271.0,B
08KB001,2022-02-18,H.obs,2.792,
08KB001,2022-02-18,Q.obs,270.0,B
08KB001,2022-02-19,Q.obs,270.0,B
08KB001,2022-02-19,H.obs,2.748,
08KB001,2022-02-20,H.obs,2.828,
08KB001,2022-02-20,Q.obs,269.0,B
08KB001,2022-02-21,Q.obs,268.0,B
08KB001,2022-02-21,H.obs,3.064,
08KB001,2022-02-22,H.obs,3.135,
08KB001,2022-02-22,Q.obs,268.0,B
08KB001,2022-02-23,Q.obs,267.0,B
08KB001,2022-02-23,H.obs,3.067,
08KB001,2022-02-24,Q.obs,266.0,B
08KB001,2022-02-24,H.obs,2.852,
08KB001,2022-02-25,Q.obs,266.0,B
08KB001,2022-02-25,H.obs,2.655,
08KB001,2022-02-26,Q.obs,265.0,B
08KB001,2022-02-26,H.obs,2.523,
08KB001,2022-02-27,H.obs,2.462,
08KB001,2022-02-27,Q.obs,264.0,B
08KB001,2022-02-28,H.obs,2.397,A
08KB001,2022-02-28,Q.obs,263.0,B
08KB001,2022-03-01,H.obs,2.382,
08KB001,2022-03-01,Q.obs,263.0,B
08KB001,2022-03-02,H.obs,2.361,
08KB001,2022-03-02,Q.obs,264.0,B
08KB001,2022-03-03,H.obs,2.336,
08KB001,2022-03-03,Q.obs,265.0,B
08KB001,2022-03-04,Q.obs,265.0,B
08KB001,2022-03-04,H.obs,2.306,
08KB001,2022-03-05,H.obs,2.273,
08KB001,2022-03-05,Q.obs,266.0,B
08KB001,2022-03-06,Q.obs,267.0,B
08KB001,2022-03-06,H.obs,2.252,
08KB001,2022-03-07,Q.obs,268.0,B
08KB001,2022-03-07,H.obs,2.219,
08KB001,2022-03-08,Q.obs,269.0,B
08KB001,2022-03-08,H.obs,2.192,
08KB001,2022-03-09,Q.obs,269.0,B
08KB001,2022-03-09,H.obs,2.146,
08KB001,2022-03-10,Q.obs,270.0,B
08KB001,2022-03-10,H.obs,2.091,
08KB001,2022-03-11,Q.obs,271.0,B
08KB001,2022-03-11,H.obs,2.06,
08KB001,2022-03-12,Q.obs,272.0,B
08KB001,2022-03-12,H.obs,2.031,
08KB001,2022-03-13,Q.obs,272.0,B
08KB001,2022-03-13,H.obs,2.019,
08KB001,2022-03-14,H.obs,2.02,
08KB001,2022-03-14,Q.obs,274.0,B
08KB001,2022-03-15,Q.obs,279.0,B
08KB001,2022-03-15,H.obs,2.028,
08KB001,2022-03-16,Q.obs,283.0,B
08KB001,2022-03-16,H.obs,2.041,
08KB001,2022-03-17,H.obs,2.095,
08KB001,2022-03-17,Q.obs,287.0,B
08KB001,2022-03-18,Q.obs,294.0,B
08KB001,2022-03-18,H.obs,2.145,
08KB001,2022-03-19,Q.obs,303.0,B
08KB001,2022-03-19,H.obs,2.217,
08KB001,2022-03-20,H.obs,2.282,
08KB001,2022-03-20,Q.obs,311.0,B
08KB001,2022-03-21,Q.obs,320.0,B
08KB001,2022-03-21,H.obs,2.356,
08KB001,2022-03-22,Q.obs,337.0,B
08KB001,2022-03-22,H.obs,2.408,
08KB001,2022-03-23,H.obs,2.529,
08KB001,2022-03-23,Q.obs,361.0,B
08KB001,2022-03-24,Q.obs,388.0,B
08KB001,2022-03-24,H.obs,2.718,
08KB001,2022-03-25,Q.obs,413.0,B
08KB001,2022-03-25,H.obs,2.936,
08KB001,2022-03-26,Q.obs,430.0,B
08KB001,2022-03-26,H.obs,3.057,
08KB001,2022-03-27,H.obs,3.089,
08KB001,2022-03-27,Q.obs,443.0,B
08KB001,2022-03-28,H.obs,3.05,
08KB001,2022-03-28,Q.obs,449.0,B
08KB001,2022-03-29,H.obs,3.017,
08KB001,2022-03-29,Q.obs,453.0,B
08KB001,2022-03-30,H.obs,3.099,
08KB001,2022-03-30,Q.obs,455.0,B
08KB001,2022-03-31,Q.obs,457.0,B
08KB001,2022-03-31,H.obs,3.271,
08KB001,2022-04-01,Q.obs,458.0,B
08KB001,2022-04-01,H.obs,3.307,
08KB001,2022-04-02,H.obs,2.917,
08KB001,2022-04-02,Q.obs,460.0,B
08KB001,2022-04-03,H.obs,2.598,
08KB001,2022-04-03,Q.obs,462.0,B
08KB001,2022-04-04,H.obs,2.477,
08KB001,2022-04-04,Q.obs,465.0,B
08KB001,2022-04-05,H.obs,2.395,
08KB001,2022-04-05,Q.obs,468.0,B
08KB001,2022-04-06,Q.obs,471.0,B
08KB001,2022-04-06,H.obs,2.373,
08KB001,2022-04-07,H.obs,2.168,
08KB001,2022-04-07,Q.obs,473.0,B
08KB001,2022-04-08,Q.obs,539.0,
08KB001,2022-04-08,H.obs,2.316,
08KB001,2022-04-09,Q.obs,740.0,
08KB001,2022-04-09,H.obs,2.82,
08KB001,2022-04-10,Q.obs,902.0,
08KB001,2022-04-10,H.obs,3.182,
08KB001,2022-04-11,Q.obs,859.0,
08KB001,2022-04-11,H.obs,3.089,
08KB001,2022-04-12,H.obs,2.843,
08KB001,2022-04-12,Q.obs,749.0,
08KB001,2022-04-13,Q.obs,630.0,
08KB001,2022-04-13,H.obs,2.556,
08KB001,2022-04-14,Q.obs,547.0,
08KB001,2022-04-14,H.obs,2.34,
08KB001,2022-04-15,Q.obs,464.0,
08KB001,2022-04-15,H.obs,2.107,
08KB001,2022-04-16,Q.obs,424.0,
08KB001,2022-04-16,H.obs,1.987,
08KB001,2022-04-17,Q.obs,397.0,
08KB001,2022-04-17,H.obs,1.905,
08KB001,2022-04-18,H.obs,1.851,
08KB001,2022-04-18,Q.obs,380.0,
08KB001,2022-04-19,H.obs,1.809,
08KB001,2022-04-19,Q.obs,368.0,
08KB001,2022-04-20,H.obs,1.749,
08KB001,2022-04-20,Q.obs,349.0,
08KB001,2022-04-21,Q.obs,336.0,
08KB001,2022-04-21,H.obs,1.704,
08KB001,2022-04-22,Q.obs,332.0,
08KB001,2022-04-22,H.obs,1.688,
08KB001,2022-04-23,Q.obs,347.0,
08KB001,2022-04-23,H.obs,1.741,
08KB001,2022-04-24,Q.obs,393.0,
08KB001,2022-04-24,H.obs,1.891,
08KB001,2022-04-25,Q.obs,470.0,
08KB001,2022-04-25,H.obs,2.126,
08KB001,2022-04-26,Q.obs,621.0,
08KB001,2022-04-26,H.obs,2.531,
08KB001,2022-04-27,H.obs,2.891,
08KB001,2022-04-27,Q.obs,770.0,
08KB001,2022-04-28,H.obs,2.973,
