 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08KE016,2022-01-01,Q.obs,0.354,B
08KE016,2022-01-01,H.obs,1.56,
08KE016,2022-01-02,H.obs,1.561,
08KE016,2022-01-02,Q.obs,0.403,B
08KE016,2022-01-03,Q.obs,0.452,B
08KE016,2022-01-03,H.obs,1.565,
08KE016,2022-01-04,Q.obs,0.502,B
08KE016,2022-01-04,H.obs,1.569,
08KE016,2022-01-05,Q.obs,0.551,B
08KE016,2022-01-05,H.obs,1.569,
08KE016,2022-01-06,H.obs,1.561,
08KE016,2022-01-06,Q.obs,0.6,B
08KE016,2022-01-07,H.obs,1.564,
08KE016,2022-01-07,Q.obs,0.65,B
08KE016,2022-01-08,H.obs,1.569,
08KE016,2022-01-08,Q.obs,0.699,B
08KE016,2022-01-09,H.obs,1.576,
08KE016,2022-01-09,Q.obs,0.749,B
08KE016,2022-01-10,H.obs,1.592,
08KE016,2022-01-10,Q.obs,0.798,B
08KE016,2022-01-11,H.obs,1.596,
08KE016,2022-01-11,Q.obs,0.822,B
08KE016,2022-01-12,H.obs,1.623,
08KE016,2022-01-12,Q.obs,0.821,B
08KE016,2022-01-13,Q.obs,0.821,B
08KE016,2022-01-13,H.obs,1.619,
08KE016,2022-01-14,Q.obs,0.82,B
08KE016,2022-01-14,H.obs,1.614,
08KE016,2022-01-15,Q.obs,0.82,B
08KE016,2022-01-15,H.obs,1.596,
08KE016,2022-01-16,H.obs,1.587,
08KE016,2022-01-16,Q.obs,0.819,B
08KE016,2022-01-17,Q.obs,0.819,B
08KE016,2022-01-17,H.obs,1.591,
08KE016,2022-01-18,Q.obs,0.818,B
08KE016,2022-01-18,H.obs,1.592,
08KE016,2022-01-19,Q.obs,0.817,B
08KE016,2022-01-19,H.obs,1.569,
08KE016,2022-01-20,Q.obs,0.817,B
08KE016,2022-01-20,H.obs,1.574,
08KE016,2022-01-21,Q.obs,0.816,B
08KE016,2022-01-21,H.obs,1.596,
08KE016,2022-01-22,H.obs,1.59,
08KE016,2022-01-22,Q.obs,0.816,B
08KE016,2022-01-23,Q.obs,0.815,B
08KE016,2022-01-23,H.obs,1.578,
08KE016,2022-01-24,H.obs,1.573,
08KE016,2022-01-24,Q.obs,0.814,B
08KE016,2022-01-25,Q.obs,0.814,B
08KE016,2022-01-25,H.obs,1.571,
08KE016,2022-01-26,Q.obs,0.813,B
08KE016,2022-01-26,H.obs,1.578,
08KE016,2022-01-27,Q.obs,0.813,B
08KE016,2022-01-27,H.obs,1.6,
08KE016,2022-01-28,H.obs,1.58,
08KE016,2022-01-28,Q.obs,0.812,B
08KE016,2022-01-29,H.obs,1.574,
08KE016,2022-01-29,Q.obs,0.812,B
08KE016,2022-01-30,Q.obs,0.811,B
08KE016,2022-01-30,H.obs,1.571,
08KE016,2022-01-31,H.obs,1.567,
08KE016,2022-01-31,Q.obs,0.811,B
08KE016,2022-02-01,H.obs,1.576,
08KE016,2022-02-01,Q.obs,0.81,B
08KE016,2022-02-02,Q.obs,0.809,B
08KE016,2022-02-02,H.obs,1.64,
08KE016,2022-02-03,H.obs,1.714,
08KE016,2022-02-03,Q.obs,0.809,B
08KE016,2022-02-04,H.obs,1.626,
08KE016,2022-02-04,Q.obs,0.808,B
08KE016,2022-02-05,H.obs,1.6,
08KE016,2022-02-05,Q.obs,0.808,B
08KE016,2022-02-06,H.obs,1.588,
08KE016,2022-02-06,Q.obs,0.807,B
08KE016,2022-02-07,H.obs,1.578,
08KE016,2022-02-07,Q.obs,0.807,B
08KE016,2022-02-08,Q.obs,0.806,B
08KE016,2022-02-08,H.obs,1.57,
08KE016,2022-02-09,H.obs,1.566,
08KE016,2022-02-09,Q.obs,0.806,B
08KE016,2022-02-10,H.obs,1.565,
08KE016,2022-02-10,Q.obs,0.805,B
08KE016,2022-02-11,Q.obs,0.805,B
08KE016,2022-02-11,H.obs,1.563,
08KE016,2022-02-12,Q.obs,0.804,B
08KE016,2022-02-12,H.obs,1.567,
08KE016,2022-02-13,Q.obs,0.804,B
08KE016,2022-02-13,H.obs,1.567,
08KE016,2022-02-14,Q.obs,0.803,B
08KE016,2022-02-14,H.obs,1.569,
08KE016,2022-02-15,Q.obs,0.803,B
08KE016,2022-02-15,H.obs,1.564,
08KE016,2022-02-16,Q.obs,0.802,B
08KE016,2022-02-16,H.obs,1.562,
08KE016,2022-02-17,H.obs,1.566,
08KE016,2022-02-17,Q.obs,0.802,B
08KE016,2022-02-18,H.obs,1.563,
08KE016,2022-02-18,Q.obs,0.801,B
08KE016,2022-02-19,H.obs,1.572,
08KE016,2022-02-19,Q.obs,0.801,B
08KE016,2022-02-20,H.obs,1.582,
08KE016,2022-02-20,Q.obs,0.8,B
08KE016,2022-02-21,Q.obs,0.8,B
08KE016,2022-02-21,H.obs,1.616,
08KE016,2022-02-22,H.obs,1.678,
08KE016,2022-02-22,Q.obs,0.799,B
08KE016,2022-02-23,Q.obs,0.799,B
08KE016,2022-02-23,H.obs,1.791,
08KE016,2022-02-24,Q.obs,0.798,B
08KE016,2022-02-24,H.obs,1.868,
08KE016,2022-02-25,Q.obs,0.798,B
08KE016,2022-02-25,H.obs,1.831,
08KE016,2022-02-26,H.obs,1.732,
08KE016,2022-02-26,Q.obs,0.797,B
08KE016,2022-02-27,Q.obs,0.8,B
08KE016,2022-02-27,H.obs,1.63,
08KE016,2022-02-28,Q.obs,0.808,B
08KE016,2022-02-28,H.obs,1.609,
08KE016,2022-03-01,Q.obs,0.815,B
08KE016,2022-03-01,H.obs,1.593,
08KE016,2022-03-02,H.obs,1.585,
08KE016,2022-03-02,Q.obs,0.822,B
08KE016,2022-03-03,H.obs,1.581,
08KE016,2022-03-03,Q.obs,0.829,B
08KE016,2022-03-04,H.obs,1.567,
08KE016,2022-03-04,Q.obs,0.836,B
08KE016,2022-03-05,H.obs,1.567,
08KE016,2022-03-05,Q.obs,0.844,B
08KE016,2022-03-06,H.obs,1.57,
08KE016,2022-03-06,Q.obs,0.851,B
08KE016,2022-03-07,Q.obs,0.858,B
08KE016,2022-03-07,H.obs,1.561,
08KE016,2022-03-08,Q.obs,0.865,B
08KE016,2022-03-08,H.obs,1.583,
08KE016,2022-03-09,Q.obs,0.873,B
08KE016,2022-03-09,H.obs,1.618,
08KE016,2022-03-10,Q.obs,0.884,B
08KE016,2022-03-10,H.obs,1.593,
08KE016,2022-03-11,Q.obs,0.896,B
08KE016,2022-03-11,H.obs,1.557,
08KE016,2022-03-12,Q.obs,0.909,B
08KE016,2022-03-12,H.obs,1.549,
08KE016,2022-03-13,Q.obs,0.921,B
08KE016,2022-03-13,H.obs,1.552,
08KE016,2022-03-14,Q.obs,0.933,B
