 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08KH006,2022-01-01,Q.obs,100.0,B
08KH006,2022-01-01,H.obs,1.88,
08KH006,2022-01-02,H.obs,1.927,
08KH006,2022-01-02,Q.obs,99.3,B
08KH006,2022-01-03,Q.obs,98.2,B
08KH006,2022-01-03,H.obs,1.867,
08KH006,2022-01-04,Q.obs,97.1,B
08KH006,2022-01-04,H.obs,1.838,
08KH006,2022-01-05,Q.obs,96.2,B
08KH006,2022-01-05,H.obs,1.836,
08KH006,2022-01-06,H.obs,2.926,
08KH006,2022-01-06,Q.obs,95.6,B
08KH006,2022-01-07,H.obs,3.722,
08KH006,2022-01-07,Q.obs,95.1,B
08KH006,2022-01-08,H.obs,3.762,
08KH006,2022-01-08,Q.obs,94.6,B
08KH006,2022-01-09,H.obs,3.638,
08KH006,2022-01-09,Q.obs,94.9,B
08KH006,2022-01-10,H.obs,3.29,
08KH006,2022-01-10,Q.obs,95.3,B
08KH006,2022-01-11,H.obs,3.127,
08KH006,2022-01-11,Q.obs,95.8,B
08KH006,2022-01-12,H.obs,2.997,
08KH006,2022-01-12,Q.obs,96.3,B
08KH006,2022-01-13,Q.obs,97.2,B
08KH006,2022-01-13,H.obs,2.58,
08KH006,2022-01-14,Q.obs,98.2,B
08KH006,2022-01-14,H.obs,1.785,
08KH006,2022-01-15,Q.obs,99.0,B
08KH006,2022-01-15,H.obs,1.681,
08KH006,2022-01-16,H.obs,1.665,
08KH006,2022-01-16,Q.obs,98.3,
08KH006,2022-01-17,Q.obs,99.2,
08KH006,2022-01-17,H.obs,1.671,
08KH006,2022-01-18,Q.obs,97.5,
08KH006,2022-01-18,H.obs,1.66,
08KH006,2022-01-19,Q.obs,98.1,
08KH006,2022-01-19,H.obs,1.663,
08KH006,2022-01-20,Q.obs,100.0,
08KH006,2022-01-20,H.obs,1.678,
08KH006,2022-01-21,Q.obs,97.9,
08KH006,2022-01-21,H.obs,1.662,
08KH006,2022-01-22,H.obs,1.64,
08KH006,2022-01-22,Q.obs,94.6,
08KH006,2022-01-23,Q.obs,91.6,
08KH006,2022-01-23,H.obs,1.62,
08KH006,2022-01-24,H.obs,1.608,
08KH006,2022-01-24,Q.obs,89.8,
08KH006,2022-01-25,Q.obs,89.2,
08KH006,2022-01-25,H.obs,1.604,
08KH006,2022-01-26,Q.obs,87.2,B
08KH006,2022-01-26,H.obs,1.591,
08KH006,2022-01-27,Q.obs,84.4,B
08KH006,2022-01-27,H.obs,1.614,
08KH006,2022-01-28,H.obs,1.586,
08KH006,2022-01-28,Q.obs,83.9,B
08KH006,2022-01-29,H.obs,1.567,
08KH006,2022-01-29,Q.obs,83.9,
08KH006,2022-01-30,Q.obs,85.3,
08KH006,2022-01-30,H.obs,1.577,
08KH006,2022-01-31,H.obs,1.575,
08KH006,2022-01-31,Q.obs,85.0,
08KH006,2022-02-01,H.obs,1.573,
08KH006,2022-02-01,Q.obs,84.1,B
08KH006,2022-02-02,Q.obs,83.6,B
08KH006,2022-02-02,H.obs,1.598,
08KH006,2022-02-03,H.obs,1.603,
08KH006,2022-02-03,Q.obs,83.8,B
08KH006,2022-02-04,Q.obs,86.2,B
08KH006,2022-02-04,H.obs,1.591,
08KH006,2022-02-05,H.obs,1.567,
08KH006,2022-02-05,Q.obs,83.8,
08KH006,2022-02-06,Q.obs,84.1,
08KH006,2022-02-06,H.obs,1.568,
08KH006,2022-02-07,Q.obs,84.1,
08KH006,2022-02-07,H.obs,1.569,
08KH006,2022-02-08,H.obs,1.565,
08KH006,2022-02-08,Q.obs,83.7,
08KH006,2022-02-09,Q.obs,88.3,
08KH006,2022-02-09,H.obs,1.598,
08KH006,2022-02-10,H.obs,1.614,
08KH006,2022-02-10,Q.obs,90.7,
08KH006,2022-02-11,Q.obs,90.8,
08KH006,2022-02-11,H.obs,1.615,
08KH006,2022-02-12,Q.obs,91.8,
08KH006,2022-02-12,H.obs,1.621,
08KH006,2022-02-13,Q.obs,91.6,
08KH006,2022-02-13,H.obs,1.62,
08KH006,2022-02-14,Q.obs,91.3,
08KH006,2022-02-14,H.obs,1.618,
08KH006,2022-02-15,Q.obs,90.0,
08KH006,2022-02-15,H.obs,1.609,
08KH006,2022-02-16,Q.obs,89.4,
08KH006,2022-02-16,H.obs,1.605,
08KH006,2022-02-17,H.obs,1.615,
08KH006,2022-02-17,Q.obs,90.8,
08KH006,2022-02-18,H.obs,1.618,
08KH006,2022-02-18,Q.obs,91.3,
08KH006,2022-02-19,H.obs,1.642,
08KH006,2022-02-19,Q.obs,94.9,
08KH006,2022-02-20,H.obs,1.659,
08KH006,2022-02-20,Q.obs,97.2,B
08KH006,2022-02-21,H.obs,1.69,
08KH006,2022-02-21,Q.obs,92.7,B
08KH006,2022-02-22,Q.obs,89.9,B
08KH006,2022-02-22,H.obs,1.673,
08KH006,2022-02-23,H.obs,1.635,
08KH006,2022-02-23,Q.obs,89.0,B
08KH006,2022-02-24,Q.obs,88.8,B
08KH006,2022-02-24,H.obs,1.663,
08KH006,2022-02-25,Q.obs,88.7,B
08KH006,2022-02-25,H.obs,1.655,
08KH006,2022-02-26,H.obs,1.661,
08KH006,2022-02-26,Q.obs,90.0,B
08KH006,2022-02-27,H.obs,1.644,
08KH006,2022-02-27,Q.obs,93.4,B
08KH006,2022-02-28,H.obs,1.63,
08KH006,2022-02-28,Q.obs,93.1,
08KH006,2022-03-01,H.obs,1.621,
08KH006,2022-03-01,Q.obs,91.7,
08KH006,2022-03-02,H.obs,1.617,
08KH006,2022-03-02,Q.obs,91.2,
08KH006,2022-03-03,Q.obs,89.9,
08KH006,2022-03-03,H.obs,1.609,
08KH006,2022-03-04,Q.obs,88.3,
08KH006,2022-03-04,H.obs,1.598,
08KH006,2022-03-05,Q.obs,86.8,
08KH006,2022-03-05,H.obs,1.588,
08KH006,2022-03-06,Q.obs,85.6,
08KH006,2022-03-06,H.obs,1.579,
08KH006,2022-03-07,Q.obs,84.1,
08KH006,2022-03-07,H.obs,1.568,
08KH006,2022-03-08,Q.obs,82.7,
08KH006,2022-03-08,H.obs,1.561,A
08KH006,2022-03-09,Q.obs,81.6,
08KH006,2022-03-09,H.obs,1.546,
08KH006,2022-03-10,Q.obs,80.0,
08KH006,2022-03-10,H.obs,1.535,
08KH006,2022-03-11,H.obs,1.539,
08KH006,2022-03-11,Q.obs,80.5,
08KH006,2022-03-12,H.obs,1.539,
08KH006,2022-03-12,Q.obs,80.6,
08KH006,2022-03-13,H.obs,1.533,
08KH006,2022-03-13,Q.obs,79.8,
08KH006,2022-03-14,H.obs,1.535,
08KH006,2022-03-14,Q.obs,80.0,
08KH006,2022-03-15,H.obs,1.531,
08KH006,2022-03-15,Q.obs,79.5,
08KH006,2022-03-16,H.obs,1.527,
08KH006,2022-03-16,Q.obs,78.9,
08KH006,2022-03-17,Q.obs,79.4,
08KH006,2022-03-17,H.obs,1.531,
08KH006,2022-03-18,Q.obs,79.4,
08KH006,2022-03-18,H.obs,1.53,
08KH006,2022-03-19,Q.obs,80.5,
08KH006,2022-03-19,H.obs,1.539,
08KH006,2022-03-20,Q.obs,80.2,
08KH006,2022-03-20,H.obs,1.536,
08KH006,2022-03-21,H.obs,1.542,
08KH006,2022-03-21,Q.obs,80.9,
08KH006,2022-03-22,H.obs,1.553,
08KH006,2022-03-22,Q.obs,82.5,
08KH006,2022-03-23,Q.obs,86.1,
08KH006,2022-03-23,H.obs,1.579,
08KH006,2022-03-24,H.obs,1.607,
08KH006,2022-03-24,Q.obs,90.2,
08KH006,2022-03-25,Q.obs,93.2,
08KH006,2022-03-25,H.obs,1.628,
08KH006,2022-03-26,Q.obs,93.9,
08KH006,2022-03-26,H.obs,1.633,
08KH006,2022-03-27,Q.obs,97.2,
08KH006,2022-03-27,H.obs,1.655,
08KH006,2022-03-28,H.obs,1.715,
08KH006,2022-03-28,Q.obs,107.0,
08KH006,2022-03-29,Q.obs,116.0,
08KH006,2022-03-29,H.obs,1.772,
08KH006,2022-03-30,Q.obs,123.0,
08KH006,2022-03-30,H.obs,1.814,
08KH006,2022-03-31,Q.obs,128.0,
08KH006,2022-03-31,H.obs,1.842,
08KH006,2022-04-01,Q.obs,131.0,
08KH006,2022-04-01,H.obs,1.857,
08KH006,2022-04-02,H.obs,1.87,
08KH006,2022-04-02,Q.obs,133.0,
08KH006,2022-04-03,H.obs,1.892,
08KH006,2022-04-03,Q.obs,137.0,
08KH006,2022-04-04,H.obs,1.905,
08KH006,2022-04-04,Q.obs,139.0,
08KH006,2022-04-05,H.obs,1.909,
08KH006,2022-04-05,Q.obs,140.0,
08KH006,2022-04-06,H.obs,1.905,
08KH006,2022-04-06,Q.obs,139.0,
08KH006,2022-04-07,H.obs,1.917,
08KH006,2022-04-07,Q.obs,142.0,
08KH006,2022-04-08,Q.obs,152.0,
08KH006,2022-04-08,H.obs,1.97,
08KH006,2022-04-09,H.obs,2.023,
08KH006,2022-04-09,Q.obs,162.0,
08KH006,2022-04-10,H.obs,2.036,
08KH006,2022-04-10,Q.obs,165.0,
08KH006,2022-04-11,Q.obs,164.0,
08KH006,2022-04-11,H.obs,2.034,
08KH006,2022-04-12,Q.obs,163.0,
08KH006,2022-04-12,H.obs,2.027,
08KH006,2022-04-13,Q.obs,158.0,
08KH006,2022-04-13,H.obs,2.004,
08KH006,2022-04-14,Q.obs,155.0,
08KH006,2022-04-14,H.obs,1.988,
08KH006,2022-04-15,Q.obs,152.0,
08KH006,2022-04-15,H.obs,1.973,
08KH006,2022-04-16,Q.obs,150.0,
08KH006,2022-04-16,H.obs,1.963,
08KH006,2022-04-17,H.obs,1.95,
08KH006,2022-04-17,Q.obs,148.0,
08KH006,2022-04-18,H.obs,1.946,
08KH006,2022-04-18,Q.obs,147.0,
08KH006,2022-04-19,Q.obs,148.0,
08KH006,2022-04-19,H.obs,1.949,
08KH006,2022-04-20,Q.obs,146.0,
08KH006,2022-04-20,H.obs,1.942,
08KH006,2022-04-21,Q.obs,146.0,
08KH006,2022-04-21,H.obs,1.942,
08KH006,2022-04-22,H.obs,1.948,
08KH006,2022-04-22,Q.obs,147.0,
08KH006,2022-04-23,H.obs,1.973,
08KH006,2022-04-23,Q.obs,152.0,
08KH006,2022-04-24,H.obs,2.022,
08KH006,2022-04-24,Q.obs,162.0,
08KH006,2022-04-25,H.obs,2.086,
08KH006,2022-04-25,Q.obs,175.0,
08KH006,2022-04-26,H.obs,2.177,
08KH006,2022-04-26,Q.obs,195.0,
08KH006,2022-04-27,H.obs,2.223,
08KH006,2022-04-27,Q.obs,206.0,
08KH006,2022-04-28,H.obs,2.245,
08KH006,2022-04-28,Q.obs,210.0,
08KH006,2022-04-29,Q.obs,214.0,
08KH006,2022-04-29,H.obs,2.258,
08KH006,2022-04-30,Q.obs,216.0,
08KH006,2022-04-30,H.obs,2.27,
08KH006,2022-05-01,H.obs,2.292,
08KH006,2022-05-01,Q.obs,222.0,
08KH006,2022-05-02,H.obs,2.348,
08KH006,2022-05-02,Q.obs,236.0,
08KH006,2022-05-03,H.obs,2.412,
08KH006,2022-05-03,Q.obs,252.0,
08KH006,2022-05-04,H.obs,2.525,
08KH006,2022-05-04,Q.obs,282.0,
08KH006,2022-05-05,H.obs,2.663,
08KH006,2022-05-05,Q.obs,321.0,
08KH006,2022-05-06,H.obs,2.891,
08KH006,2022-05-06,Q.obs,393.0,
08KH006,2022-05-07,Q.obs,422.0,
08KH006,2022-05-07,H.obs,2.976,
08KH006,2022-05-08,Q.obs,408.0,
08KH006,2022-05-08,H.obs,2.936,
08KH006,2022-05-09,Q.obs,390.0,
08KH006,2022-05-09,H.obs,2.882,
08KH006,2022-05-10,Q.obs,379.0,
08KH006,2022-05-10,H.obs,2.849,
08KH006,2022-05-11,Q.obs,372.0,
08KH006,2022-05-11,H.obs,2.827,
08KH006,2022-05-12,Q.obs,365.0,
08KH006,2022-05-12,H.obs,2.806,
08KH006,2022-05-13,Q.obs,362.0,
08KH006,2022-05-13,H.obs,2.794,
08KH006,2022-05-14,Q.obs,360.0,
08KH006,2022-05-14,H.obs,2.788,
08KH006,2022-05-15,Q.obs,356.0,
08KH006,2022-05-15,H.obs,2.776,
08KH006,2022-05-16,H.obs,2.798,
08KH006,2022-05-16,Q.obs,363.0,
08KH006,2022-05-17,Q.obs,380.0,
08KH006,2022-05-17,H.obs,2.851,
08KH006,2022-05-18,Q.obs,391.0,
08KH006,2022-05-18,H.obs,2.885,
08KH006,2022-05-19,Q.obs,401.0,
08KH006,2022-05-19,H.obs,2.915,
08KH006,2022-05-20,Q.obs,403.0,
08KH006,2022-05-20,H.obs,2.921,
08KH006,2022-05-21,Q.obs,401.0,
08KH006,2022-05-21,H.obs,2.914,
08KH006,2022-05-22,Q.obs,401.0,
08KH006,2022-05-22,H.obs,2.915,
08KH006,2022-05-23,Q.obs,408.0,
08KH006,2022-05-23,H.obs,2.936,
08KH006,2022-05-24,H.obs,2.968,
08KH006,2022-05-24,Q.obs,419.0,
08KH006,2022-05-25,Q.obs,436.0,
08KH006,2022-05-25,H.obs,3.017,
08KH006,2022-05-26,Q.obs,460.0,
08KH006,2022-05-26,H.obs,3.083,
08KH006,2022-05-27,H.obs,3.194,
08KH006,2022-05-27,Q.obs,502.0,
08KH006,2022-05-28,H.obs,3.35,
08KH006,2022-05-28,Q.obs,563.0,
08KH006,2022-05-29,Q.obs,586.0,
08KH006,2022-05-29,H.obs,3.406,
08KH006,2022-05-30,Q.obs,584.0,
08KH006,2022-05-30,H.obs,3.401,
08KH006,2022-05-31,Q.obs,579.0,
08KH006,2022-05-31,H.obs,3.389,
08KH006,2022-06-01,Q.obs,593.0,
08KH006,2022-06-01,H.obs,3.424,
08KH006,2022-06-02,H.obs,3.477,
08KH006,2022-06-02,Q.obs,616.0,
08KH006,2022-06-03,Q.obs,652.0,
08KH006,2022-06-03,H.obs,3.559,
08KH006,2022-06-04,Q.obs,710.0,
08KH006,2022-06-04,H.obs,3.687,
08KH006,2022-06-05,Q.obs,757.0,
08KH006,2022-06-05,H.obs,3.787,
08KH006,2022-06-06,Q.obs,819.0,
08KH006,2022-06-06,H.obs,3.914,
08KH006,2022-06-07,H.obs,4.02,
08KH006,2022-06-07,Q.obs,873.0,
08KH006,2022-06-08,H.obs,4.068,
08KH006,2022-06-08,Q.obs,899.0,
08KH006,2022-06-09,H.obs,4.152,
08KH006,2022-06-09,Q.obs,944.0,
08KH006,2022-06-10,Q.obs,976.0,
08KH006,2022-06-10,H.obs,4.211,
08KH006,2022-06-11,H.obs,4.229,
08KH006,2022-06-11,Q.obs,987.0,
08KH006,2022-06-12,Q.obs,982.0,
08KH006,2022-06-12,H.obs,4.22,
08KH006,2022-06-13,H.obs,4.184,
08KH006,2022-06-13,Q.obs,962.0,
08KH006,2022-06-14,H.obs,4.137,
08KH006,2022-06-14,Q.obs,936.0,
08KH006,2022-06-15,H.obs,4.117,
08KH006,2022-06-15,Q.obs,925.0,
08KH006,2022-06-16,H.obs,4.149,
08KH006,2022-06-16,Q.obs,943.0,
08KH006,2022-06-17,H.obs,4.208,
08KH006,2022-06-17,Q.obs,975.0,
08KH006,2022-06-18,Q.obs,974.0,
08KH006,2022-06-18,H.obs,4.207,
08KH006,2022-06-19,H.obs,4.195,
08KH006,2022-06-19,Q.obs,968.0,
08KH006,2022-06-20,Q.obs,955.0,
08KH006,2022-06-20,H.obs,4.172,
08KH006,2022-06-21,H.obs,4.176,
08KH006,2022-06-21,Q.obs,958.0,
08KH006,2022-06-22,H.obs,4.312,
08KH006,2022-06-22,Q.obs,1030.0,
08KH006,2022-06-23,H.obs,4.382,
08KH006,2022-06-23,Q.obs,1070.0,
08KH006,2022-06-24,Q.obs,1080.0,
