 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08LA001,2022-01-01,Q.obs,73.9,B
08LA001,2022-01-01,H.obs,2.956,A
08LA001,2022-01-02,H.obs,2.928,
08LA001,2022-01-02,Q.obs,74.9,B
08LA001,2022-01-03,Q.obs,71.7,B
08LA001,2022-01-03,H.obs,2.694,
08LA001,2022-01-04,Q.obs,70.0,B
08LA001,2022-01-04,H.obs,2.524,
08LA001,2022-01-05,Q.obs,71.5,B
08LA001,2022-01-05,H.obs,2.674,
08LA001,2022-01-06,H.obs,2.797,
08LA001,2022-01-06,Q.obs,73.0,B
08LA001,2022-01-07,H.obs,2.84,
08LA001,2022-01-07,Q.obs,69.5,B
08LA001,2022-01-08,H.obs,2.881,
08LA001,2022-01-08,Q.obs,66.8,B
08LA001,2022-01-09,H.obs,2.871,
08LA001,2022-01-09,Q.obs,67.7,B
08LA001,2022-01-10,H.obs,2.848,
08LA001,2022-01-10,Q.obs,68.7,B
08LA001,2022-01-11,H.obs,2.875,
08LA001,2022-01-11,Q.obs,69.7,B
08LA001,2022-01-12,H.obs,2.867,
08LA001,2022-01-12,Q.obs,70.3,B
08LA001,2022-01-13,Q.obs,70.1,B
08LA001,2022-01-13,H.obs,2.735,
08LA001,2022-01-14,Q.obs,69.8,B
08LA001,2022-01-14,H.obs,2.616,
08LA001,2022-01-15,Q.obs,69.5,B
08LA001,2022-01-15,H.obs,2.503,
08LA001,2022-01-16,H.obs,2.331,
08LA001,2022-01-16,Q.obs,69.2,B
08LA001,2022-01-17,Q.obs,69.1,B
08LA001,2022-01-17,H.obs,2.202,
08LA001,2022-01-18,Q.obs,70.0,
08LA001,2022-01-18,H.obs,2.204,
08LA001,2022-01-19,Q.obs,67.7,
08LA001,2022-01-19,H.obs,2.188,
08LA001,2022-01-20,Q.obs,68.7,
08LA001,2022-01-20,H.obs,2.195,
08LA001,2022-01-21,Q.obs,69.1,
08LA001,2022-01-21,H.obs,2.198,
08LA001,2022-01-22,H.obs,2.188,
08LA001,2022-01-22,Q.obs,67.7,
08LA001,2022-01-23,Q.obs,66.0,
08LA001,2022-01-23,H.obs,2.175,
08LA001,2022-01-24,H.obs,2.165,
08LA001,2022-01-24,Q.obs,64.6,
08LA001,2022-01-25,Q.obs,63.5,
08LA001,2022-01-25,H.obs,2.156,
08LA001,2022-01-26,Q.obs,62.0,
08LA001,2022-01-26,H.obs,2.145,
08LA001,2022-01-27,Q.obs,59.6,
08LA001,2022-01-27,H.obs,2.126,
08LA001,2022-01-28,H.obs,2.118,
08LA001,2022-01-28,Q.obs,58.5,
08LA001,2022-01-29,H.obs,2.118,
08LA001,2022-01-29,Q.obs,58.5,
08LA001,2022-01-30,Q.obs,58.9,
08LA001,2022-01-30,H.obs,2.121,
08LA001,2022-01-31,Q.obs,60.9,
08LA001,2022-01-31,H.obs,2.136,
08LA001,2022-02-01,Q.obs,60.1,
08LA001,2022-02-01,H.obs,2.13,
08LA001,2022-02-02,Q.obs,56.7,B
08LA001,2022-02-02,H.obs,2.114,A
08LA001,2022-02-03,Q.obs,58.8,B
08LA001,2022-02-03,H.obs,2.181,A
08LA001,2022-02-04,Q.obs,60.2,B
08LA001,2022-02-04,H.obs,2.154,A
08LA001,2022-02-05,Q.obs,61.8,B
08LA001,2022-02-05,H.obs,2.156,
08LA001,2022-02-06,Q.obs,61.8,
08LA001,2022-02-06,H.obs,2.144,
08LA001,2022-02-07,Q.obs,59.6,
08LA001,2022-02-07,H.obs,2.126,
08LA001,2022-02-08,H.obs,2.119,
08LA001,2022-02-08,Q.obs,58.6,
08LA001,2022-02-09,Q.obs,61.1,
08LA001,2022-02-09,H.obs,2.138,
08LA001,2022-02-10,Q.obs,63.3,
08LA001,2022-02-10,H.obs,2.155,
08LA001,2022-02-11,H.obs,2.108,
