 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08LB078,2022-01-01,Q.obs,0.996,B
08LB078,2022-01-02,Q.obs,1.03,B
08LB078,2022-01-03,Q.obs,0.984,B
08LB078,2022-01-04,Q.obs,0.922,B
08LB078,2022-01-05,Q.obs,0.891,B
08LB078,2022-01-06,Q.obs,0.869,B
08LB078,2022-01-07,Q.obs,0.866,B
08LB078,2022-01-08,Q.obs,0.891,B
08LB078,2022-01-09,Q.obs,0.942,B
08LB078,2022-01-10,Q.obs,1.02,B
08LB078,2022-01-11,H.obs,1.308,A
08LB078,2022-01-11,Q.obs,1.14,B
08LB078,2022-01-12,Q.obs,1.33,B
08LB078,2022-01-12,H.obs,1.245,
08LB078,2022-01-13,Q.obs,1.4,B
08LB078,2022-01-13,H.obs,0.966,
08LB078,2022-01-14,Q.obs,1.4,
08LB078,2022-01-14,H.obs,0.931,
08LB078,2022-01-15,Q.obs,1.37,
08LB078,2022-01-15,H.obs,0.929,
08LB078,2022-01-16,H.obs,0.926,
08LB078,2022-01-16,Q.obs,1.34,
08LB078,2022-01-17,Q.obs,1.36,
08LB078,2022-01-17,H.obs,0.928,
08LB078,2022-01-18,H.obs,0.929,
08LB078,2022-01-18,Q.obs,1.37,
08LB078,2022-01-19,H.obs,0.922,
08LB078,2022-01-19,Q.obs,1.3,
08LB078,2022-01-20,H.obs,0.93,
08LB078,2022-01-20,Q.obs,1.38,
08LB078,2022-01-21,H.obs,0.928,
08LB078,2022-01-21,Q.obs,1.37,
08LB078,2022-01-22,H.obs,0.924,
08LB078,2022-01-22,Q.obs,1.32,
08LB078,2022-01-23,H.obs,0.921,
08LB078,2022-01-23,Q.obs,1.29,
08LB078,2022-01-24,Q.obs,1.25,
08LB078,2022-01-24,H.obs,0.917,
08LB078,2022-01-25,H.obs,0.914,
08LB078,2022-01-25,Q.obs,1.21,
08LB078,2022-01-26,Q.obs,1.16,
08LB078,2022-01-26,H.obs,0.909,
08LB078,2022-01-27,Q.obs,1.17,
08LB078,2022-01-27,H.obs,0.909,
08LB078,2022-01-28,Q.obs,1.13,
08LB078,2022-01-28,H.obs,0.905,
08LB078,2022-01-29,H.obs,0.914,
08LB078,2022-01-29,Q.obs,1.1,B
08LB078,2022-01-30,H.obs,0.902,
08LB078,2022-01-30,Q.obs,1.1,
08LB078,2022-01-31,Q.obs,1.11,
08LB078,2022-01-31,H.obs,0.903,
08LB078,2022-02-01,Q.obs,1.1,B
08LB078,2022-02-01,H.obs,0.903,
08LB078,2022-02-02,H.obs,0.938,
08LB078,2022-02-02,Q.obs,1.09,B
08LB078,2022-02-03,Q.obs,1.09,B
08LB078,2022-02-03,H.obs,0.934,
08LB078,2022-02-04,H.obs,0.938,
08LB078,2022-02-04,Q.obs,1.1,B
08LB078,2022-02-05,H.obs,0.912,
08LB078,2022-02-05,Q.obs,1.17,B
08LB078,2022-02-06,H.obs,0.91,
08LB078,2022-02-06,Q.obs,1.18,
08LB078,2022-02-07,H.obs,0.906,
08LB078,2022-02-07,Q.obs,1.14,
08LB078,2022-02-08,H.obs,0.904,
08LB078,2022-02-08,Q.obs,1.12,
08LB078,2022-02-09,Q.obs,1.19,
08LB078,2022-02-09,H.obs,0.912,
08LB078,2022-02-10,Q.obs,1.25,
08LB078,2022-02-10,H.obs,0.917,
08LB078,2022-02-11,Q.obs,1.21,
08LB078,2022-02-11,H.obs,0.913,
08LB078,2022-02-12,Q.obs,1.06,B
08LB078,2022-02-12,H.obs,0.914,
08LB078,2022-02-13,Q.obs,1.11,B
08LB078,2022-02-13,H.obs,0.91,
08LB078,2022-02-14,Q.obs,1.15,
08LB078,2022-02-14,H.obs,0.907,
08LB078,2022-02-15,Q.obs,1.12,
08LB078,2022-02-15,H.obs,0.904,
08LB078,2022-02-16,H.obs,0.903,
08LB078,2022-02-16,Q.obs,1.11,
08LB078,2022-02-17,Q.obs,1.15,
08LB078,2022-02-17,H.obs,0.907,
08LB078,2022-02-18,Q.obs,1.24,
08LB078,2022-02-18,H.obs,0.916,
08LB078,2022-02-19,H.obs,0.92,
08LB078,2022-02-19,Q.obs,1.28,
08LB078,2022-02-20,H.obs,0.922,
08LB078,2022-02-20,Q.obs,1.3,
08LB078,2022-02-21,H.obs,0.904,
08LB078,2022-02-21,Q.obs,1.11,B
08LB078,2022-02-22,H.obs,0.9,
08LB078,2022-02-22,Q.obs,0.584,B
08LB078,2022-02-23,Q.obs,0.536,B
08LB078,2022-02-23,H.obs,1.014,
08LB078,2022-02-24,Q.obs,0.55,B
08LB078,2022-02-24,H.obs,1.07,
08LB078,2022-02-25,H.obs,1.101,
08LB078,2022-02-25,Q.obs,0.563,B
08LB078,2022-02-26,H.obs,1.209,
08LB078,2022-02-26,Q.obs,0.577,B
08LB078,2022-02-27,H.obs,1.158,
08LB078,2022-02-27,Q.obs,0.606,B
08LB078,2022-02-28,H.obs,0.927,
08LB078,2022-02-28,Q.obs,0.904,B
08LB078,2022-03-01,H.obs,0.914,
08LB078,2022-03-01,Q.obs,1.19,B
08LB078,2022-03-02,H.obs,0.91,
08LB078,2022-03-02,Q.obs,1.18,
08LB078,2022-03-03,Q.obs,1.14,
08LB078,2022-03-03,H.obs,0.906,
08LB078,2022-03-04,Q.obs,1.11,
08LB078,2022-03-04,H.obs,0.903,
08LB078,2022-03-05,Q.obs,1.08,
08LB078,2022-03-05,H.obs,0.9,
08LB078,2022-03-06,Q.obs,1.05,
08LB078,2022-03-06,H.obs,0.896,
08LB078,2022-03-07,Q.obs,1.06,
08LB078,2022-03-07,H.obs,0.897,
08LB078,2022-03-08,H.obs,0.892,
08LB078,2022-03-08,Q.obs,1.01,
08LB078,2022-03-09,H.obs,0.886,
08LB078,2022-03-09,Q.obs,0.842,B
08LB078,2022-03-10,H.obs,0.895,
08LB078,2022-03-10,Q.obs,0.884,B
08LB078,2022-03-11,H.obs,0.897,
08LB078,2022-03-11,Q.obs,1.05,
08LB078,2022-03-12,H.obs,0.891,
08LB078,2022-03-12,Q.obs,0.996,
08LB078,2022-03-13,Q.obs,1.01,
08LB078,2022-03-13,H.obs,0.892,
08LB078,2022-03-14,Q.obs,1.01,
08LB078,2022-03-14,H.obs,0.892,
08LB078,2022-03-15,Q.obs,1.04,
08LB078,2022-03-15,H.obs,0.896,
08LB078,2022-03-16,Q.obs,1.04,
08LB078,2022-03-16,H.obs,0.896,
08LB078,2022-03-17,H.obs,0.897,
08LB078,2022-03-17,Q.obs,1.06,
08LB078,2022-03-18,Q.obs,1.11,
08LB078,2022-03-18,H.obs,0.903,
08LB078,2022-03-19,H.obs,0.909,
08LB078,2022-03-19,Q.obs,1.17,
08LB078,2022-03-20,Q.obs,1.22,
08LB078,2022-03-20,H.obs,0.914,
08LB078,2022-03-21,H.obs,0.918,
08LB078,2022-03-21,Q.obs,1.25,
08LB078,2022-03-22,Q.obs,1.41,
08LB078,2022-03-22,H.obs,0.932,
08LB078,2022-03-23,Q.obs,1.63,
08LB078,2022-03-23,H.obs,0.952,
08LB078,2022-03-24,Q.obs,1.95,
08LB078,2022-03-24,H.obs,0.977,
08LB078,2022-03-25,H.obs,0.977,
08LB078,2022-03-25,Q.obs,1.94,
08LB078,2022-03-26,Q.obs,2.0,
08LB078,2022-03-26,H.obs,0.981,
08LB078,2022-03-27,H.obs,0.996,
08LB078,2022-03-27,Q.obs,2.19,
08LB078,2022-03-28,Q.obs,2.46,
08LB078,2022-03-28,H.obs,1.014,
08LB078,2022-03-29,Q.obs,2.68,
08LB078,2022-03-29,H.obs,1.029,
08LB078,2022-03-30,Q.obs,2.92,
08LB078,2022-03-30,H.obs,1.044,
08LB078,2022-03-31,H.obs,1.056,
08LB078,2022-03-31,Q.obs,3.12,
08LB078,2022-04-01,Q.obs,3.08,
08LB078,2022-04-01,H.obs,1.054,
08LB078,2022-04-02,Q.obs,3.06,
08LB078,2022-04-02,H.obs,1.053,
08LB078,2022-04-03,Q.obs,3.19,
08LB078,2022-04-03,H.obs,1.06,
08LB078,2022-04-04,Q.obs,3.36,
08LB078,2022-04-04,H.obs,1.07,
08LB078,2022-04-05,H.obs,1.066,
08LB078,2022-04-05,Q.obs,3.29,
08LB078,2022-04-06,Q.obs,3.21,
08LB078,2022-04-06,H.obs,1.061,
08LB078,2022-04-07,H.obs,1.06,
08LB078,2022-04-07,Q.obs,3.18,
08LB078,2022-04-08,H.obs,1.072,
08LB078,2022-04-08,Q.obs,3.4,
08LB078,2022-04-09,H.obs,1.09,
08LB078,2022-04-09,Q.obs,3.72,
08LB078,2022-04-10,H.obs,1.085,
08LB078,2022-04-10,Q.obs,3.64,
08LB078,2022-04-11,Q.obs,3.55,
08LB078,2022-04-11,H.obs,1.08,
08LB078,2022-04-12,H.obs,1.073,
08LB078,2022-04-12,Q.obs,3.41,
08LB078,2022-04-13,H.obs,1.064,
08LB078,2022-04-13,Q.obs,3.25,
08LB078,2022-04-14,H.obs,1.057,
08LB078,2022-04-14,Q.obs,3.14,
08LB078,2022-04-15,H.obs,1.056,
08LB078,2022-04-15,Q.obs,3.12,
08LB078,2022-04-16,Q.obs,3.02,
08LB078,2022-04-16,H.obs,1.05,
08LB078,2022-04-17,Q.obs,2.95,
08LB078,2022-04-17,H.obs,1.046,
08LB078,2022-04-18,H.obs,1.044,
08LB078,2022-04-18,Q.obs,2.93,
08LB078,2022-04-19,H.obs,1.055,
08LB078,2022-04-19,Q.obs,3.09,
08LB078,2022-04-20,H.obs,1.051,
08LB078,2022-04-20,Q.obs,3.04,
08LB078,2022-04-21,Q.obs,3.13,
08LB078,2022-04-21,H.obs,1.057,
08LB078,2022-04-22,H.obs,1.063,
08LB078,2022-04-22,Q.obs,3.24,
08LB078,2022-04-23,Q.obs,3.38,
08LB078,2022-04-23,H.obs,1.071,
08LB078,2022-04-24,H.obs,1.094,
08LB078,2022-04-24,Q.obs,3.8,
08LB078,2022-04-25,H.obs,1.133,
08LB078,2022-04-25,Q.obs,4.57,
08LB078,2022-04-26,H.obs,1.189,
08LB078,2022-04-26,Q.obs,5.8,
08LB078,2022-04-27,H.obs,1.198,
08LB078,2022-04-27,Q.obs,6.03,
08LB078,2022-04-28,Q.obs,6.07,
08LB078,2022-04-28,H.obs,1.2,
08LB078,2022-04-29,H.obs,1.201,
08LB078,2022-04-29,Q.obs,6.08,
08LB078,2022-04-30,H.obs,1.208,
08LB078,2022-04-30,Q.obs,6.27,
08LB078,2022-05-01,Q.obs,6.62,
08LB078,2022-05-01,H.obs,1.222,
08LB078,2022-05-02,H.obs,1.262,
08LB078,2022-05-02,Q.obs,7.69,
08LB078,2022-05-03,H.obs,1.328,
08LB078,2022-05-03,Q.obs,9.61,
08LB078,2022-05-04,H.obs,1.38,
08LB078,2022-05-04,Q.obs,11.3,
08LB078,2022-05-05,H.obs,1.427,
08LB078,2022-05-05,Q.obs,13.0,
08LB078,2022-05-06,Q.obs,17.3,
08LB078,2022-05-06,H.obs,1.534,
08LB078,2022-05-07,Q.obs,20.6,A
08LB078,2022-05-07,H.obs,1.609,A
08LB078,2022-05-08,H.obs,1.613,A
08LB078,2022-05-08,Q.obs,20.8,A
08LB078,2022-05-09,Q.obs,20.1,
08LB078,2022-05-09,H.obs,1.599,
08LB078,2022-05-10,Q.obs,19.7,
08LB078,2022-05-10,H.obs,1.59,
08LB078,2022-05-11,Q.obs,18.9,
08LB078,2022-05-11,H.obs,1.571,
08LB078,2022-05-12,Q.obs,17.7,
08LB078,2022-05-12,H.obs,1.545,
08LB078,2022-05-13,Q.obs,17.6,A
08LB078,2022-05-13,H.obs,1.543,A
08LB078,2022-05-14,Q.obs,17.7,
08LB078,2022-05-14,H.obs,1.546,
08LB078,2022-05-15,H.obs,1.544,A
08LB078,2022-05-15,Q.obs,17.7,A
08LB078,2022-05-16,H.obs,1.571,A
08LB078,2022-05-16,Q.obs,18.9,A
08LB078,2022-05-17,H.obs,1.618,
08LB078,2022-05-17,Q.obs,21.1,
08LB078,2022-05-18,Q.obs,22.0,A
08LB078,2022-05-18,H.obs,1.639,A
08LB078,2022-05-19,H.obs,1.64,A
08LB078,2022-05-19,Q.obs,22.1,A
08LB078,2022-05-20,H.obs,1.617,A
08LB078,2022-05-20,Q.obs,21.0,A
08LB078,2022-05-21,H.obs,1.609,
08LB078,2022-05-21,Q.obs,20.6,
08LB078,2022-05-22,H.obs,1.589,
08LB078,2022-05-22,Q.obs,19.7,
08LB078,2022-05-23,Q.obs,19.5,
08LB078,2022-05-23,H.obs,1.585,
08LB078,2022-05-24,Q.obs,19.7,
08LB078,2022-05-24,H.obs,1.589,
08LB078,2022-05-25,H.obs,1.597,
08LB078,2022-05-25,Q.obs,20.0,
08LB078,2022-05-26,H.obs,1.614,
08LB078,2022-05-26,Q.obs,20.8,
08LB078,2022-05-27,H.obs,1.652,
08LB078,2022-05-27,Q.obs,22.7,
08LB078,2022-05-28,H.obs,1.66,
08LB078,2022-05-28,Q.obs,23.1,
08LB078,2022-05-29,Q.obs,22.0,
08LB078,2022-05-29,H.obs,1.638,
08LB078,2022-05-30,H.obs,1.621,
08LB078,2022-05-30,Q.obs,21.2,
08LB078,2022-05-31,Q.obs,20.0,
08LB078,2022-05-31,H.obs,1.596,
08LB078,2022-06-01,Q.obs,19.8,
08LB078,2022-06-01,H.obs,1.592,
08LB078,2022-06-02,Q.obs,19.5,
08LB078,2022-06-02,H.obs,1.585,
08LB078,2022-06-03,Q.obs,19.4,
08LB078,2022-06-03,H.obs,1.582,
08LB078,2022-06-04,H.obs,1.624,
08LB078,2022-06-04,Q.obs,21.3,
08LB078,2022-06-05,H.obs,1.62,
08LB078,2022-06-05,Q.obs,21.1,
08LB078,2022-06-06,H.obs,1.637,
08LB078,2022-06-06,Q.obs,20.7,E
08LB078,2022-06-07,Q.obs,20.5,E
08LB078,2022-06-07,H.obs,1.697,
08LB078,2022-06-08,Q.obs,20.3,E
08LB078,2022-06-08,H.obs,1.688,
08LB078,2022-06-09,H.obs,1.767,
08LB078,2022-06-09,Q.obs,20.0,E
08LB078,2022-06-10,Q.obs,19.8,E
08LB078,2022-06-10,H.obs,1.825,
08LB078,2022-06-11,H.obs,1.918,
08LB078,2022-06-11,Q.obs,19.6,E
08LB078,2022-06-12,H.obs,1.876,
08LB078,2022-06-12,Q.obs,19.4,E
08LB078,2022-06-13,Q.obs,19.1,E
08LB078,2022-06-13,H.obs,1.769,
08LB078,2022-06-14,H.obs,1.69,
08LB078,2022-06-14,Q.obs,19.2,E
08LB078,2022-06-15,H.obs,1.643,
08LB078,2022-06-15,Q.obs,19.1,E
08LB078,2022-06-16,H.obs,1.687,
08LB078,2022-06-16,Q.obs,18.7,E
08LB078,2022-06-17,H.obs,1.901,
08LB078,2022-06-17,Q.obs,18.5,E
08LB078,2022-06-18,H.obs,1.742,
08LB078,2022-06-18,Q.obs,18.4,E
08LB078,2022-06-19,H.obs,1.608,
08LB078,2022-06-19,Q.obs,18.7,E
08LB078,2022-06-20,Q.obs,17.6,
08LB078,2022-06-20,H.obs,1.541,
08LB078,2022-06-21,Q.obs,17.1,E
08LB078,2022-06-21,H.obs,1.53,
08LB078,2022-06-22,H.obs,1.744,
08LB078,2022-06-22,Q.obs,16.5,E
08LB078,2022-06-23,Q.obs,14.7,E
08LB078,2022-06-23,H.obs,2.091,
08LB078,2022-06-24,Q.obs,13.1,E
08LB078,2022-06-24,H.obs,1.971,
08LB078,2022-06-25,Q.obs,11.7,E
08LB078,2022-06-25,H.obs,1.567,
08LB078,2022-06-26,H.obs,1.332,
08LB078,2022-06-26,Q.obs,9.71,E
08LB078,2022-06-27,Q.obs,8.91,E
08LB078,2022-06-27,H.obs,1.307,
08LB078,2022-06-28,H.obs,1.407,
08LB078,2022-06-28,Q.obs,8.8,E
08LB078,2022-06-29,H.obs,1.563,
08LB078,2022-06-29,Q.obs,8.41,E
08LB078,2022-06-30,H.obs,1.553,
08LB078,2022-06-30,Q.obs,8.03,E
08LB078,2022-07-01,H.obs,1.385,
08LB078,2022-07-01,Q.obs,7.65,E
08LB078,2022-07-02,Q.obs,7.39,E
08LB078,2022-07-02,H.obs,1.334,
08LB078,2022-07-03,Q.obs,7.16,E
08LB078,2022-07-03,H.obs,1.334,
08LB078,2022-07-04,H.obs,1.348,
08LB078,2022-07-04,Q.obs,7.1,E
08LB078,2022-07-05,Q.obs,7.49,E
08LB078,2022-07-05,H.obs,1.487,
08LB078,2022-07-06,H.obs,1.615,
08LB078,2022-07-06,Q.obs,7.58,E
08LB078,2022-07-07,H.obs,1.502,
08LB078,2022-07-07,Q.obs,7.15,E
08LB078,2022-07-08,Q.obs,6.72,E
08LB078,2022-07-08,H.obs,1.452,
08LB078,2022-07-09,H.obs,1.505,
08LB078,2022-07-09,Q.obs,6.28,E
08LB078,2022-07-10,H.obs,1.519,
08LB078,2022-07-10,Q.obs,5.84,E
08LB078,2022-07-11,Q.obs,5.41,E
08LB078,2022-07-11,H.obs,1.33,
08LB078,2022-07-12,H.obs,1.224,
08LB078,2022-07-12,Q.obs,5.08,E
08LB078,2022-07-13,H.obs,1.25,
08LB078,2022-07-13,Q.obs,4.81,E
08LB078,2022-07-14,H.obs,1.247,
08LB078,2022-07-14,Q.obs,4.54,E
08LB078,2022-07-15,Q.obs,4.27,E
08LB078,2022-07-15,H.obs,1.143,
08LB078,2022-07-16,Q.obs,3.98,
08LB078,2022-07-16,H.obs,1.104,
08LB078,2022-07-17,H.obs,1.09,
08LB078,2022-07-17,Q.obs,3.73,
08LB078,2022-07-18,Q.obs,3.52,
08LB078,2022-07-18,H.obs,1.079,
08LB078,2022-07-19,Q.obs,3.45,
08LB078,2022-07-19,H.obs,1.075,
08LB078,2022-07-20,Q.obs,3.3,
08LB078,2022-07-20,H.obs,1.067,
08LB078,2022-07-21,Q.obs,3.22,
08LB078,2022-07-21,H.obs,1.062,
08LB078,2022-07-22,H.obs,1.056,
08LB078,2022-07-22,Q.obs,3.12,
08LB078,2022-07-23,H.obs,1.039,
08LB078,2022-07-23,Q.obs,2.83,
08LB078,2022-07-24,Q.obs,2.64,
08LB078,2022-07-24,H.obs,1.028,
08LB078,2022-07-25,Q.obs,2.48,
08LB078,2022-07-25,H.obs,1.018,
08LB078,2022-07-26,H.obs,1.007,
08LB078,2022-07-26,Q.obs,2.31,
08LB078,2022-07-27,H.obs,1.001,
08LB078,2022-07-27,Q.obs,2.21,
08LB078,2022-07-28,H.obs,0.995,
08LB078,2022-07-28,Q.obs,2.12,
08LB078,2022-07-29,H.obs,0.986,
08LB078,2022-07-29,Q.obs,1.99,
08LB078,2022-07-30,Q.obs,1.87,
08LB078,2022-07-30,H.obs,0.978,
08LB078,2022-07-31,Q.obs,1.77,
08LB078,2022-07-31,H.obs,0.971,
08LB078,2022-08-01,H.obs,0.963,
08LB078,2022-08-01,Q.obs,1.66,
08LB078,2022-08-02,Q.obs,1.54,
08LB078,2022-08-02,H.obs,0.954,
08LB078,2022-08-03,H.obs,0.949,
08LB078,2022-08-03,Q.obs,1.47,
08LB078,2022-08-04,H.obs,0.982,
08LB078,2022-08-04,Q.obs,1.9,
08LB078,2022-08-05,H.obs,0.99,
08LB078,2022-08-05,Q.obs,2.02,
