 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08LC002,2022-01-01,Q.obs,59.5,E
08LC002,2022-01-02,Q.obs,58.5,E
08LC002,2022-01-03,Q.obs,57.5,E
08LC002,2022-01-04,Q.obs,56.5,E
08LC002,2022-01-05,Q.obs,55.5,E
08LC002,2022-01-06,Q.obs,54.5,E
08LC002,2022-01-07,H.obs,2.143,A
08LC002,2022-01-07,Q.obs,53.5,E
08LC002,2022-01-08,Q.obs,52.5,
08LC002,2022-01-08,H.obs,2.136,
08LC002,2022-01-09,Q.obs,52.0,
08LC002,2022-01-09,H.obs,2.131,
08LC002,2022-01-10,H.obs,2.125,
08LC002,2022-01-10,Q.obs,51.5,
08LC002,2022-01-11,Q.obs,51.3,
08LC002,2022-01-11,H.obs,2.123,
08LC002,2022-01-12,Q.obs,52.1,
08LC002,2022-01-12,H.obs,2.132,
08LC002,2022-01-13,Q.obs,52.8,
08LC002,2022-01-13,H.obs,2.14,
08LC002,2022-01-14,H.obs,2.141,
08LC002,2022-01-14,Q.obs,52.9,
08LC002,2022-01-15,Q.obs,52.8,
08LC002,2022-01-15,H.obs,2.139,
08LC002,2022-01-16,Q.obs,52.4,
08LC002,2022-01-16,H.obs,2.136,
08LC002,2022-01-17,Q.obs,52.0,
08LC002,2022-01-17,H.obs,2.131,
08LC002,2022-01-18,Q.obs,51.6,
08LC002,2022-01-18,H.obs,2.127,
08LC002,2022-01-19,H.obs,2.121,
08LC002,2022-01-19,Q.obs,51.1,
08LC002,2022-01-20,H.obs,2.127,
08LC002,2022-01-20,Q.obs,51.6,
08LC002,2022-01-21,H.obs,2.124,
08LC002,2022-01-21,Q.obs,51.3,
08LC002,2022-01-22,Q.obs,51.0,
08LC002,2022-01-22,H.obs,2.12,
08LC002,2022-01-23,H.obs,2.115,
08LC002,2022-01-23,Q.obs,50.6,
08LC002,2022-01-24,Q.obs,50.1,
08LC002,2022-01-24,H.obs,2.11,
08LC002,2022-01-25,H.obs,2.106,
08LC002,2022-01-25,Q.obs,49.7,
08LC002,2022-01-26,H.obs,2.101,
08LC002,2022-01-26,Q.obs,49.3,
08LC002,2022-01-27,H.obs,2.095,
08LC002,2022-01-27,Q.obs,48.8,
08LC002,2022-01-28,H.obs,2.09,
08LC002,2022-01-28,Q.obs,48.3,
08LC002,2022-01-29,H.obs,2.083,
08LC002,2022-01-29,Q.obs,47.7,
08LC002,2022-01-30,H.obs,2.087,
08LC002,2022-01-30,Q.obs,48.1,
08LC002,2022-01-31,Q.obs,48.1,
08LC002,2022-01-31,H.obs,2.088,
08LC002,2022-02-01,H.obs,2.086,
08LC002,2022-02-01,Q.obs,47.9,
08LC002,2022-02-02,Q.obs,46.8,
08LC002,2022-02-02,H.obs,2.073,
08LC002,2022-02-03,H.obs,2.073,
08LC002,2022-02-03,Q.obs,46.9,
08LC002,2022-02-04,Q.obs,46.6,
08LC002,2022-02-04,H.obs,2.07,
08LC002,2022-02-05,Q.obs,46.4,
08LC002,2022-02-05,H.obs,2.068,
08LC002,2022-02-06,H.obs,2.068,
08LC002,2022-02-06,Q.obs,46.4,
08LC002,2022-02-07,H.obs,2.068,
08LC002,2022-02-07,Q.obs,46.4,
08LC002,2022-02-08,Q.obs,46.3,
08LC002,2022-02-08,H.obs,2.067,
08LC002,2022-02-09,H.obs,2.07,
08LC002,2022-02-09,Q.obs,46.6,
08LC002,2022-02-10,H.obs,2.072,
08LC002,2022-02-10,Q.obs,46.7,
08LC002,2022-02-11,Q.obs,46.9,
08LC002,2022-02-11,H.obs,2.074,
08LC002,2022-02-12,H.obs,2.072,
08LC002,2022-02-12,Q.obs,46.7,
08LC002,2022-02-13,H.obs,2.069,
08LC002,2022-02-13,Q.obs,46.5,
08LC002,2022-02-14,H.obs,2.066,
08LC002,2022-02-14,Q.obs,46.2,
08LC002,2022-02-15,H.obs,2.062,
08LC002,2022-02-15,Q.obs,45.9,
08LC002,2022-02-16,H.obs,2.059,
08LC002,2022-02-16,Q.obs,45.6,
08LC002,2022-02-17,H.obs,2.056,
08LC002,2022-02-17,Q.obs,45.4,
08LC002,2022-02-18,Q.obs,44.8,
08LC002,2022-02-18,H.obs,2.049,
08LC002,2022-02-19,H.obs,2.04,
08LC002,2022-02-19,Q.obs,44.0,
08LC002,2022-02-20,H.obs,2.034,
08LC002,2022-02-20,Q.obs,43.5,
08LC002,2022-02-21,Q.obs,42.8,
08LC002,2022-02-21,H.obs,2.026,
08LC002,2022-02-22,Q.obs,41.2,
08LC002,2022-02-22,H.obs,2.007,
08LC002,2022-02-23,Q.obs,38.7,E
08LC002,2022-02-23,H.obs,1.981,A
08LC002,2022-02-24,Q.obs,38.6,
08LC002,2022-02-24,H.obs,1.976,
08LC002,2022-02-25,Q.obs,37.6,
08LC002,2022-02-25,H.obs,1.964,
08LC002,2022-02-26,Q.obs,36.9,
08LC002,2022-02-26,H.obs,1.955,
08LC002,2022-02-27,Q.obs,36.7,
08LC002,2022-02-27,H.obs,1.952,
08LC002,2022-02-28,H.obs,1.949,
08LC002,2022-02-28,Q.obs,36.4,
08LC002,2022-03-01,Q.obs,36.6,
08LC002,2022-03-01,H.obs,1.951,
08LC002,2022-03-02,H.obs,1.95,
08LC002,2022-03-02,Q.obs,36.5,
08LC002,2022-03-03,H.obs,1.953,
08LC002,2022-03-03,Q.obs,36.7,
08LC002,2022-03-04,H.obs,1.957,
08LC002,2022-03-04,Q.obs,37.1,
08LC002,2022-03-05,Q.obs,37.1,
08LC002,2022-03-05,H.obs,1.958,
08LC002,2022-03-06,Q.obs,36.8,
08LC002,2022-03-06,H.obs,1.953,
08LC002,2022-03-07,Q.obs,36.5,
08LC002,2022-03-07,H.obs,1.95,
08LC002,2022-03-08,Q.obs,36.3,
08LC002,2022-03-08,H.obs,1.948,
08LC002,2022-03-09,Q.obs,35.5,
08LC002,2022-03-09,H.obs,1.938,
08LC002,2022-03-10,Q.obs,35.0,
08LC002,2022-03-10,H.obs,1.931,
08LC002,2022-03-11,H.obs,1.928,
08LC002,2022-03-11,Q.obs,34.8,
08LC002,2022-03-12,Q.obs,34.7,
08LC002,2022-03-12,H.obs,1.927,
08LC002,2022-03-13,Q.obs,34.7,
08LC002,2022-03-13,H.obs,1.927,
08LC002,2022-03-14,Q.obs,35.0,
08LC002,2022-03-14,H.obs,1.931,
08LC002,2022-03-15,Q.obs,37.2,
08LC002,2022-03-15,H.obs,1.958,
08LC002,2022-03-16,H.obs,1.984,
08LC002,2022-03-16,Q.obs,39.2,
08LC002,2022-03-17,Q.obs,39.8,
08LC002,2022-03-17,H.obs,1.99,
08LC002,2022-03-18,H.obs,2.01,
08LC002,2022-03-18,Q.obs,41.4,
08LC002,2022-03-19,Q.obs,43.6,
08LC002,2022-03-19,H.obs,2.035,
08LC002,2022-03-20,H.obs,2.068,
08LC002,2022-03-20,Q.obs,46.4,
08LC002,2022-03-21,H.obs,2.067,
08LC002,2022-03-21,Q.obs,46.3,
08LC002,2022-03-22,H.obs,2.083,
08LC002,2022-03-22,Q.obs,47.7,
08LC002,2022-03-23,H.obs,2.113,
08LC002,2022-03-23,Q.obs,50.4,
08LC002,2022-03-24,Q.obs,54.0,
08LC002,2022-03-24,H.obs,2.153,
08LC002,2022-03-25,Q.obs,54.5,
08LC002,2022-03-25,H.obs,2.158,
08LC002,2022-03-26,H.obs,2.168,
08LC002,2022-03-26,Q.obs,55.4,
08LC002,2022-03-27,Q.obs,57.7,
08LC002,2022-03-27,H.obs,2.192,
08LC002,2022-03-28,Q.obs,63.5,
08LC002,2022-03-28,H.obs,2.253,
08LC002,2022-03-29,Q.obs,67.3,
08LC002,2022-03-29,H.obs,2.291,
08LC002,2022-03-30,Q.obs,67.7,
08LC002,2022-03-30,H.obs,2.296,
08LC002,2022-03-31,Q.obs,67.5,
08LC002,2022-03-31,H.obs,2.294,
08LC002,2022-04-01,H.obs,2.287,
08LC002,2022-04-01,Q.obs,66.9,
08LC002,2022-04-02,Q.obs,66.7,
08LC002,2022-04-02,H.obs,2.285,
08LC002,2022-04-03,Q.obs,67.2,
08LC002,2022-04-03,H.obs,2.29,
08LC002,2022-04-04,Q.obs,69.2,
08LC002,2022-04-04,H.obs,2.311,
08LC002,2022-04-05,Q.obs,70.0,
08LC002,2022-04-05,H.obs,2.319,
08LC002,2022-04-06,Q.obs,69.8,
08LC002,2022-04-06,H.obs,2.316,
08LC002,2022-04-07,H.obs,2.31,
08LC002,2022-04-07,Q.obs,69.2,
08LC002,2022-04-08,Q.obs,70.1,
08LC002,2022-04-08,H.obs,2.319,
08LC002,2022-04-09,Q.obs,72.6,
08LC002,2022-04-09,H.obs,2.344,
08LC002,2022-04-10,Q.obs,71.5,
08LC002,2022-04-10,H.obs,2.333,
08LC002,2022-04-11,H.obs,2.321,
08LC002,2022-04-11,Q.obs,70.3,
08LC002,2022-04-12,Q.obs,68.9,
08LC002,2022-04-12,H.obs,2.308,
08LC002,2022-04-13,Q.obs,67.9,
08LC002,2022-04-13,H.obs,2.297,
08LC002,2022-04-14,Q.obs,66.9,
08LC002,2022-04-14,H.obs,2.287,
08LC002,2022-04-15,Q.obs,66.0,
08LC002,2022-04-15,H.obs,2.278,
08LC002,2022-04-16,H.obs,2.268,
08LC002,2022-04-16,Q.obs,65.0,
08LC002,2022-04-17,H.obs,2.259,
08LC002,2022-04-17,Q.obs,64.1,
08LC002,2022-04-18,Q.obs,63.0,
08LC002,2022-04-18,H.obs,2.248,
08LC002,2022-04-19,Q.obs,63.8,
08LC002,2022-04-19,H.obs,2.256,
08LC002,2022-04-20,H.obs,2.25,
08LC002,2022-04-20,Q.obs,63.2,
