 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08LD001,2022-01-01,Q.obs,45.0,E
08LD001,2022-01-02,Q.obs,44.1,E
08LD001,2022-01-03,Q.obs,43.3,E
08LD001,2022-01-04,Q.obs,42.5,E
08LD001,2022-01-05,Q.obs,41.8,E
08LD001,2022-01-06,Q.obs,41.0,E
08LD001,2022-01-07,Q.obs,40.2,E
08LD001,2022-01-08,Q.obs,39.5,E
08LD001,2022-01-09,Q.obs,38.8,E
08LD001,2022-01-10,Q.obs,38.0,E
08LD001,2022-01-11,Q.obs,37.4,E
08LD001,2022-01-12,Q.obs,37.3,
08LD001,2022-01-13,Q.obs,37.8,
08LD001,2022-01-14,Q.obs,37.7,
08LD001,2022-01-15,Q.obs,37.1,
08LD001,2022-01-16,Q.obs,36.7,
08LD001,2022-01-17,Q.obs,36.2,
08LD001,2022-01-18,Q.obs,36.0,
08LD001,2022-01-19,Q.obs,35.5,
08LD001,2022-01-20,Q.obs,35.4,
08LD001,2022-01-21,Q.obs,34.9,
08LD001,2022-01-22,Q.obs,34.4,
08LD001,2022-01-23,Q.obs,33.8,
08LD001,2022-01-24,Q.obs,33.5,
08LD001,2022-01-25,Q.obs,33.0,
08LD001,2022-01-26,Q.obs,32.5,
08LD001,2022-01-27,Q.obs,32.1,
08LD001,2022-01-28,Q.obs,31.7,
08LD001,2022-01-29,Q.obs,31.3,
08LD001,2022-01-30,Q.obs,30.9,
08LD001,2022-01-31,Q.obs,30.6,
08LD001,2022-02-01,Q.obs,30.3,
08LD001,2022-02-02,Q.obs,29.8,
08LD001,2022-02-03,Q.obs,29.6,
08LD001,2022-02-04,Q.obs,29.3,
08LD001,2022-02-05,Q.obs,28.8,
08LD001,2022-02-06,Q.obs,28.6,
08LD001,2022-02-07,Q.obs,28.1,
08LD001,2022-02-08,Q.obs,27.9,
08LD001,2022-02-09,Q.obs,27.8,
08LD001,2022-02-10,Q.obs,27.5,
08LD001,2022-02-11,Q.obs,27.3,
08LD001,2022-02-12,Q.obs,26.9,
08LD001,2022-02-13,Q.obs,26.6,
08LD001,2022-02-14,Q.obs,26.3,
08LD001,2022-02-15,Q.obs,26.0,
08LD001,2022-02-16,Q.obs,25.8,
08LD001,2022-02-17,Q.obs,25.5,
08LD001,2022-02-18,Q.obs,25.5,
08LD001,2022-02-19,Q.obs,25.3,
08LD001,2022-02-20,Q.obs,25.2,
08LD001,2022-02-21,Q.obs,25.2,
08LD001,2022-02-22,Q.obs,24.8,
08LD001,2022-02-23,Q.obs,24.2,
08LD001,2022-02-24,Q.obs,23.8,
08LD001,2022-02-25,Q.obs,23.5,
08LD001,2022-02-26,Q.obs,23.3,
08LD001,2022-02-27,Q.obs,23.2,
08LD001,2022-02-28,Q.obs,23.1,
08LD001,2022-03-01,Q.obs,23.1,
08LD001,2022-03-02,Q.obs,22.9,
08LD001,2022-03-03,Q.obs,22.8,
08LD001,2022-03-04,Q.obs,22.6,
08LD001,2022-03-05,Q.obs,22.5,
08LD001,2022-03-06,Q.obs,22.3,
08LD001,2022-03-07,Q.obs,22.0,
08LD001,2022-03-08,Q.obs,22.1,
08LD001,2022-03-09,Q.obs,21.7,
08LD001,2022-03-10,Q.obs,21.4,
08LD001,2022-03-11,Q.obs,21.3,
08LD001,2022-03-12,Q.obs,21.2,
08LD001,2022-03-13,Q.obs,21.0,
08LD001,2022-03-14,Q.obs,20.9,
08LD001,2022-03-15,Q.obs,20.7,
08LD001,2022-03-16,Q.obs,20.7,
08LD001,2022-03-17,Q.obs,20.7,
08LD001,2022-03-18,Q.obs,20.8,
08LD001,2022-03-19,Q.obs,20.8,
08LD001,2022-03-20,Q.obs,20.7,
08LD001,2022-03-21,Q.obs,20.9,
08LD001,2022-03-22,Q.obs,21.1,
08LD001,2022-03-23,Q.obs,21.1,
08LD001,2022-03-24,Q.obs,21.3,
08LD001,2022-03-25,Q.obs,21.6,
08LD001,2022-03-26,Q.obs,21.8,
08LD001,2022-03-27,Q.obs,22.2,
08LD001,2022-03-28,Q.obs,22.7,
08LD001,2022-03-29,Q.obs,23.4,
08LD001,2022-03-30,Q.obs,24.2,
08LD001,2022-03-31,Q.obs,25.1,
08LD001,2022-04-01,Q.obs,26.1,
08LD001,2022-04-02,Q.obs,26.7,
08LD001,2022-04-03,Q.obs,27.7,
08LD001,2022-04-04,Q.obs,28.4,
08LD001,2022-04-05,Q.obs,29.2,
08LD001,2022-04-06,Q.obs,30.2,
08LD001,2022-04-07,Q.obs,30.9,
08LD001,2022-04-08,Q.obs,31.4,
08LD001,2022-04-09,Q.obs,32.3,
08LD001,2022-04-10,Q.obs,33.4,
08LD001,2022-04-11,Q.obs,34.4,
08LD001,2022-04-12,Q.obs,34.8,
08LD001,2022-04-13,Q.obs,35.1,
08LD001,2022-04-14,Q.obs,35.5,
08LD001,2022-04-15,Q.obs,35.7,
08LD001,2022-04-16,Q.obs,35.9,
08LD001,2022-04-17,Q.obs,36.0,
08LD001,2022-04-18,Q.obs,36.0,
08LD001,2022-04-19,Q.obs,36.2,
08LD001,2022-04-20,Q.obs,36.4,
08LD001,2022-04-21,Q.obs,36.3,
08LD001,2022-04-22,Q.obs,36.4,
08LD001,2022-04-23,Q.obs,36.5,
08LD001,2022-04-24,Q.obs,36.7,
08LD001,2022-04-25,Q.obs,37.0,
08LD001,2022-04-26,Q.obs,37.7,
08LD001,2022-04-27,Q.obs,38.5,
08LD001,2022-04-28,Q.obs,39.7,
08LD001,2022-04-29,Q.obs,40.6,
08LD001,2022-04-30,Q.obs,41.5,
08LD001,2022-05-01,Q.obs,42.2,
08LD001,2022-05-02,Q.obs,43.1,
08LD001,2022-05-03,Q.obs,44.0,
08LD001,2022-05-04,Q.obs,45.8,
08LD001,2022-05-05,Q.obs,49.2,
08LD001,2022-05-06,Q.obs,54.8,
08LD001,2022-05-07,Q.obs,62.2,
08LD001,2022-05-08,Q.obs,68.3,
08LD001,2022-05-09,Q.obs,73.4,
08LD001,2022-05-10,Q.obs,77.0,
08LD001,2022-05-11,Q.obs,79.9,
08LD001,2022-05-12,Q.obs,82.3,
08LD001,2022-05-13,Q.obs,84.2,
08LD001,2022-05-14,Q.obs,86.0,
08LD001,2022-05-15,Q.obs,87.5,
08LD001,2022-05-16,Q.obs,88.5,
08LD001,2022-05-17,Q.obs,90.7,
08LD001,2022-05-18,Q.obs,93.3,
08LD001,2022-05-19,Q.obs,96.1,
08LD001,2022-05-20,Q.obs,98.7,
08LD001,2022-05-21,Q.obs,100.0,
08LD001,2022-05-22,Q.obs,102.0,
08LD001,2022-05-23,Q.obs,103.0,
08LD001,2022-05-24,Q.obs,105.0,
08LD001,2022-05-25,Q.obs,107.0,
08LD001,2022-05-26,Q.obs,111.0,
08LD001,2022-05-27,Q.obs,115.0,
08LD001,2022-05-28,Q.obs,121.0,
08LD001,2022-05-29,Q.obs,128.0,
08LD001,2022-05-30,Q.obs,133.0,
08LD001,2022-05-31,Q.obs,138.0,
08LD001,2022-06-01,Q.obs,145.0,
08LD001,2022-06-02,Q.obs,151.0,
08LD001,2022-06-03,Q.obs,159.0,
08LD001,2022-06-04,Q.obs,167.0,
08LD001,2022-06-05,Q.obs,177.0,
08LD001,2022-06-06,Q.obs,187.0,
08LD001,2022-06-07,Q.obs,199.0,
08LD001,2022-06-08,Q.obs,208.0,
08LD001,2022-06-09,Q.obs,217.0,
08LD001,2022-06-10,Q.obs,226.0,
08LD001,2022-06-11,Q.obs,234.0,
08LD001,2022-06-12,Q.obs,242.0,
08LD001,2022-06-13,Q.obs,250.0,
08LD001,2022-06-14,Q.obs,255.0,
08LD001,2022-06-15,Q.obs,260.0,
08LD001,2022-06-16,Q.obs,263.0,
08LD001,2022-06-17,Q.obs,269.0,
08LD001,2022-06-18,Q.obs,271.0,
08LD001,2022-06-19,Q.obs,271.0,
08LD001,2022-06-20,Q.obs,271.0,
08LD001,2022-06-21,Q.obs,270.0,
08LD001,2022-06-22,Q.obs,272.0,
08LD001,2022-06-23,Q.obs,279.0,
08LD001,2022-06-24,Q.obs,290.0,
08LD001,2022-06-25,Q.obs,293.0,
08LD001,2022-06-26,Q.obs,287.0,
08LD001,2022-06-27,Q.obs,281.0,
08LD001,2022-06-28,Q.obs,278.0,
08LD001,2022-06-29,Q.obs,278.0,
08LD001,2022-06-30,Q.obs,279.0,
08LD001,2022-07-01,Q.obs,278.0,
08LD001,2022-07-02,Q.obs,274.0,
08LD001,2022-07-03,Q.obs,271.0,
08LD001,2022-07-04,Q.obs,268.0,
08LD001,2022-07-05,Q.obs,267.0,
08LD001,2022-07-06,Q.obs,268.0,
08LD001,2022-07-07,Q.obs,267.0,
08LD001,2022-07-08,Q.obs,265.0,
08LD001,2022-07-09,Q.obs,263.0,
08LD001,2022-07-10,Q.obs,260.0,
08LD001,2022-07-11,Q.obs,255.0,
08LD001,2022-07-12,Q.obs,249.0,A
08LD001,2022-07-13,Q.obs,244.0,
08LD001,2022-07-14,Q.obs,241.0,
08LD001,2022-07-15,Q.obs,237.0,
08LD001,2022-07-16,Q.obs,231.0,
08LD001,2022-07-17,Q.obs,225.0,
08LD001,2022-07-18,Q.obs,220.0,
08LD001,2022-07-19,Q.obs,215.0,
08LD001,2022-07-20,Q.obs,211.0,
08LD001,2022-07-21,Q.obs,205.0,
08LD001,2022-07-22,Q.obs,200.0,
08LD001,2022-07-23,Q.obs,195.0,
08LD001,2022-07-24,Q.obs,189.0,
08LD001,2022-07-25,Q.obs,184.0,
08LD001,2022-07-26,Q.obs,178.0,
08LD001,2022-07-27,Q.obs,172.0,
08LD001,2022-07-28,Q.obs,167.0,
08LD001,2022-07-29,Q.obs,165.0,
08LD001,2022-07-30,Q.obs,163.0,
08LD001,2022-07-31,Q.obs,159.0,
08LD001,2022-08-01,Q.obs,154.0,
08LD001,2022-08-02,Q.obs,153.0,
08LD001,2022-08-03,Q.obs,149.0,
08LD001,2022-08-04,Q.obs,147.0,
08LD001,2022-08-05,Q.obs,148.0,
08LD001,2022-08-06,Q.obs,148.0,
08LD001,2022-08-07,Q.obs,145.0,
08LD001,2022-08-08,Q.obs,141.0,
08LD001,2022-08-09,Q.obs,137.0,
08LD001,2022-08-10,Q.obs,133.0,
08LD001,2022-08-11,Q.obs,130.0,
08LD001,2022-08-12,Q.obs,127.0,
08LD001,2022-08-13,Q.obs,123.0,
08LD001,2022-08-14,Q.obs,121.0,
08LD001,2022-08-15,Q.obs,119.0,
08LD001,2022-08-16,Q.obs,116.0,
08LD001,2022-08-17,Q.obs,113.0,
08LD001,2022-08-18,Q.obs,110.0,
08LD001,2022-08-19,Q.obs,107.0,
08LD001,2022-08-20,Q.obs,105.0,
08LD001,2022-08-21,Q.obs,103.0,
08LD001,2022-08-22,Q.obs,101.0,
08LD001,2022-08-23,Q.obs,99.4,
08LD001,2022-08-24,Q.obs,96.9,
08LD001,2022-08-25,Q.obs,94.0,
08LD001,2022-08-26,Q.obs,92.6,
08LD001,2022-08-27,Q.obs,91.9,
08LD001,2022-08-28,Q.obs,90.1,
08LD001,2022-08-29,Q.obs,90.3,
08LD001,2022-08-30,Q.obs,88.0,
08LD001,2022-08-31,Q.obs,85.9,
08LD001,2022-09-01,Q.obs,84.8,
08LD001,2022-09-02,Q.obs,83.3,
08LD001,2022-09-03,Q.obs,81.4,
08LD001,2022-09-04,Q.obs,78.8,
08LD001,2022-09-05,Q.obs,78.4,
08LD001,2022-09-06,Q.obs,77.6,
08LD001,2022-09-07,Q.obs,75.4,
08LD001,2022-09-08,Q.obs,73.2,
08LD001,2022-09-09,Q.obs,71.6,
08LD001,2022-09-10,Q.obs,69.2,
08LD001,2022-09-11,Q.obs,67.2,
08LD001,2022-09-12,Q.obs,65.6,
08LD001,2022-09-13,Q.obs,63.5,
08LD001,2022-09-14,Q.obs,62.0,
08LD001,2022-09-15,Q.obs,61.1,
08LD001,2022-09-16,Q.obs,60.0,
