 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08LE031,2022-01-01,Q.obs,259.0,B
08LE031,2022-01-01,H.obs,2.677,
08LE031,2022-01-02,H.obs,2.641,
08LE031,2022-01-02,Q.obs,256.0,B
08LE031,2022-01-03,Q.obs,252.0,B
08LE031,2022-01-03,H.obs,2.551,
08LE031,2022-01-04,Q.obs,250.0,B
08LE031,2022-01-04,H.obs,2.468,
08LE031,2022-01-05,Q.obs,248.0,B
08LE031,2022-01-05,H.obs,2.56,
08LE031,2022-01-06,H.obs,2.463,
08LE031,2022-01-06,Q.obs,246.0,B
08LE031,2022-01-07,H.obs,2.408,
08LE031,2022-01-07,Q.obs,244.0,B
08LE031,2022-01-08,H.obs,2.349,
08LE031,2022-01-08,Q.obs,243.0,B
08LE031,2022-01-09,H.obs,2.282,
08LE031,2022-01-09,Q.obs,242.0,B
08LE031,2022-01-10,H.obs,2.178,
08LE031,2022-01-10,Q.obs,240.0,B
08LE031,2022-01-11,H.obs,2.073,
08LE031,2022-01-11,Q.obs,236.0,B
08LE031,2022-01-12,H.obs,1.996,
08LE031,2022-01-12,Q.obs,229.0,B
08LE031,2022-01-13,Q.obs,221.0,B
08LE031,2022-01-13,H.obs,1.938,
08LE031,2022-01-14,Q.obs,212.0,
08LE031,2022-01-14,H.obs,1.896,
08LE031,2022-01-15,Q.obs,208.0,
08LE031,2022-01-15,H.obs,1.875,
08LE031,2022-01-16,H.obs,1.858,
08LE031,2022-01-16,Q.obs,205.0,
08LE031,2022-01-17,Q.obs,202.0,
08LE031,2022-01-17,H.obs,1.843,
08LE031,2022-01-18,Q.obs,202.0,
08LE031,2022-01-18,H.obs,1.844,
08LE031,2022-01-19,Q.obs,198.0,
08LE031,2022-01-19,H.obs,1.821,
08LE031,2022-01-20,Q.obs,196.0,
08LE031,2022-01-20,H.obs,1.815,
08LE031,2022-01-21,Q.obs,197.0,
08LE031,2022-01-21,H.obs,1.818,
08LE031,2022-01-22,H.obs,1.799,
08LE031,2022-01-22,Q.obs,193.0,
08LE031,2022-01-23,Q.obs,191.0,
08LE031,2022-01-23,H.obs,1.787,
08LE031,2022-01-24,H.obs,1.78,
08LE031,2022-01-24,Q.obs,189.0,
08LE031,2022-01-25,Q.obs,186.0,
08LE031,2022-01-25,H.obs,1.761,
08LE031,2022-01-26,Q.obs,184.0,
08LE031,2022-01-26,H.obs,1.754,
08LE031,2022-01-27,Q.obs,181.0,
08LE031,2022-01-27,H.obs,1.738,
08LE031,2022-01-28,H.obs,1.726,
08LE031,2022-01-28,Q.obs,179.0,
