 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08LF023,2022-01-01,H.obs,3.607,
08LF023,2022-01-02,H.obs,3.575,
08LF023,2022-01-03,H.obs,3.569,
08LF023,2022-01-04,H.obs,3.552,
08LF023,2022-01-05,H.obs,3.486,
08LF023,2022-01-06,H.obs,3.405,
08LF023,2022-01-07,H.obs,3.383,
08LF023,2022-01-08,H.obs,3.367,
08LF023,2022-01-09,H.obs,3.345,
08LF023,2022-01-10,H.obs,3.344,
08LF023,2022-01-11,H.obs,3.336,
08LF023,2022-01-12,H.obs,3.333,
08LF023,2022-01-13,H.obs,3.318,
08LF023,2022-01-14,H.obs,3.284,
08LF023,2022-01-15,H.obs,3.234,
08LF023,2022-01-16,H.obs,3.179,
08LF023,2022-01-17,H.obs,3.083,
08LF023,2022-01-18,H.obs,2.975,
08LF023,2022-01-19,H.obs,2.786,
08LF023,2022-01-20,H.obs,2.664,
08LF023,2022-01-21,H.obs,2.568,
08LF023,2022-01-22,H.obs,2.522,
08LF023,2022-01-23,H.obs,2.502,
08LF023,2022-01-24,H.obs,2.481,
08LF023,2022-01-25,H.obs,2.462,
08LF023,2022-01-26,H.obs,2.442,
08LF023,2022-01-27,H.obs,2.427,
08LF023,2022-01-28,H.obs,2.402,
08LF023,2022-01-29,H.obs,2.373,
08LF023,2022-01-30,H.obs,2.355,
08LF023,2022-01-31,H.obs,2.358,
08LF023,2022-02-01,H.obs,2.356,
08LF023,2022-02-02,H.obs,2.354,
08LF023,2022-02-03,H.obs,2.342,
08LF023,2022-02-04,H.obs,2.314,
08LF023,2022-02-05,H.obs,2.301,
08LF023,2022-02-06,H.obs,2.309,
08LF023,2022-02-07,H.obs,2.307,
08LF023,2022-02-08,H.obs,2.304,
08LF023,2022-02-09,H.obs,2.294,
08LF023,2022-02-10,H.obs,2.29,
08LF023,2022-02-11,H.obs,2.297,
08LF023,2022-02-12,H.obs,2.287,
08LF023,2022-02-13,H.obs,2.27,
08LF023,2022-02-14,H.obs,2.271,
08LF023,2022-02-15,H.obs,2.262,
08LF023,2022-02-16,H.obs,2.254,
08LF023,2022-02-17,H.obs,2.249,
08LF023,2022-02-18,H.obs,2.246,
08LF023,2022-02-19,H.obs,2.25,
08LF023,2022-02-20,H.obs,2.257,
08LF023,2022-02-21,H.obs,2.316,
08LF023,2022-02-22,H.obs,2.335,
08LF023,2022-02-23,H.obs,2.347,
08LF023,2022-02-24,H.obs,2.238,
08LF023,2022-02-25,H.obs,2.278,
08LF023,2022-02-26,H.obs,2.267,
08LF023,2022-02-27,H.obs,2.178,
08LF023,2022-02-28,H.obs,2.178,
08LF023,2022-03-01,H.obs,2.192,
08LF023,2022-03-02,H.obs,2.188,
08LF023,2022-03-03,H.obs,2.18,
08LF023,2022-03-04,H.obs,2.181,
08LF023,2022-03-05,H.obs,2.19,
08LF023,2022-03-06,H.obs,2.174,
08LF023,2022-03-07,H.obs,2.163,
08LF023,2022-03-08,H.obs,2.162,
08LF023,2022-03-09,H.obs,2.146,
08LF023,2022-03-10,H.obs,2.13,
08LF023,2022-03-11,H.obs,2.118,
08LF023,2022-03-12,H.obs,2.112,
08LF023,2022-03-13,H.obs,2.118,
08LF023,2022-03-14,H.obs,2.13,
08LF023,2022-03-15,H.obs,2.126,
08LF023,2022-03-16,H.obs,2.125,
08LF023,2022-03-17,H.obs,2.125,
08LF023,2022-03-18,H.obs,2.132,
08LF023,2022-03-19,H.obs,2.137,
08LF023,2022-03-20,H.obs,2.147,
08LF023,2022-03-21,H.obs,2.159,
08LF023,2022-03-22,H.obs,2.169,
08LF023,2022-03-23,H.obs,2.183,
08LF023,2022-03-24,H.obs,2.214,
08LF023,2022-03-25,H.obs,2.255,
08LF023,2022-03-26,H.obs,2.29,
08LF023,2022-03-27,H.obs,2.307,
08LF023,2022-03-28,H.obs,2.326,
08LF023,2022-03-29,H.obs,2.37,
08LF023,2022-03-30,H.obs,2.461,
08LF023,2022-03-31,H.obs,2.529,
08LF023,2022-04-01,H.obs,2.551,
08LF023,2022-04-02,H.obs,2.548,
08LF023,2022-04-03,H.obs,2.54,
08LF023,2022-04-04,H.obs,2.552,
08LF023,2022-04-05,H.obs,2.576,
08LF023,2022-04-06,H.obs,2.599,
08LF023,2022-04-07,H.obs,2.604,
08LF023,2022-04-08,H.obs,2.594,
08LF023,2022-04-09,H.obs,2.62,
08LF023,2022-04-10,H.obs,2.653,
08LF023,2022-04-11,H.obs,2.673,
08LF023,2022-04-12,H.obs,2.666,
08LF023,2022-04-13,H.obs,2.647,
08LF023,2022-04-14,H.obs,2.631,
08LF023,2022-04-15,H.obs,2.615,
08LF023,2022-04-16,H.obs,2.604,
08LF023,2022-04-17,H.obs,2.591,
08LF023,2022-04-18,H.obs,2.58,
08LF023,2022-04-19,H.obs,2.574,
08LF023,2022-04-20,H.obs,2.578,
08LF023,2022-04-21,H.obs,2.577,
08LF023,2022-04-22,H.obs,2.575,
08LF023,2022-04-23,H.obs,2.576,
08LF023,2022-04-24,H.obs,2.59,
08LF023,2022-04-25,H.obs,2.617,
08LF023,2022-04-26,H.obs,2.675,
08LF023,2022-04-27,H.obs,2.763,
08LF023,2022-04-28,H.obs,2.834,
08LF023,2022-04-29,H.obs,2.862,
08LF023,2022-04-30,H.obs,2.869,
08LF023,2022-05-01,H.obs,2.882,
08LF023,2022-05-02,H.obs,2.908,
08LF023,2022-05-03,H.obs,2.968,
08LF023,2022-05-04,H.obs,3.103,
08LF023,2022-05-05,H.obs,3.284,
08LF023,2022-05-06,H.obs,3.527,
08LF023,2022-05-07,H.obs,3.975,
08LF023,2022-05-08,H.obs,4.186,
08LF023,2022-05-09,H.obs,4.157,
08LF023,2022-05-10,H.obs,4.102,
08LF023,2022-05-11,H.obs,4.057,
08LF023,2022-05-12,H.obs,4.03,
08LF023,2022-05-13,H.obs,4.019,
08LF023,2022-05-14,H.obs,4.018,
08LF023,2022-05-15,H.obs,4.014,
08LF023,2022-05-16,H.obs,4.007,
08LF023,2022-05-17,H.obs,4.082,
08LF023,2022-05-18,H.obs,4.225,
08LF023,2022-05-19,H.obs,4.312,
08LF023,2022-05-20,H.obs,4.329,
08LF023,2022-05-21,H.obs,4.312,
08LF023,2022-05-22,H.obs,4.293,
08LF023,2022-05-23,H.obs,4.298,
08LF023,2022-05-24,H.obs,4.355,
08LF023,2022-05-25,H.obs,4.44,
08LF023,2022-05-26,H.obs,4.559,
08LF023,2022-05-27,H.obs,4.686,
08LF023,2022-05-28,H.obs,4.904,
08LF023,2022-05-29,H.obs,5.13,
08LF023,2022-05-30,H.obs,5.185,
08LF023,2022-05-31,H.obs,5.215,
08LF023,2022-06-01,H.obs,5.309,
08LF023,2022-06-02,H.obs,5.45,
08LF023,2022-06-03,H.obs,5.602,
08LF023,2022-06-04,H.obs,5.781,
08LF023,2022-06-05,H.obs,6.009,
08LF023,2022-06-06,H.obs,6.203,
08LF023,2022-06-07,H.obs,6.402,
08LF023,2022-06-08,H.obs,6.574,
08LF023,2022-06-09,H.obs,6.692,
08LF023,2022-06-10,H.obs,6.833,
08LF023,2022-06-11,H.obs,6.977,
08LF023,2022-06-12,H.obs,7.115,
08LF023,2022-06-13,H.obs,7.182,
08LF023,2022-06-14,H.obs,7.18,
08LF023,2022-06-15,H.obs,7.165,
08LF023,2022-06-16,H.obs,7.148,
08LF023,2022-06-17,H.obs,7.195,
08LF023,2022-06-18,H.obs,7.323,
08LF023,2022-06-19,H.obs,7.308,
08LF023,2022-06-20,H.obs,7.243,
08LF023,2022-06-21,H.obs,7.22,
08LF023,2022-06-22,H.obs,7.278,
08LF023,2022-06-23,H.obs,7.455,
08LF023,2022-06-24,H.obs,7.691,
08LF023,2022-06-25,H.obs,7.741,
08LF023,2022-06-26,H.obs,7.532,
08LF023,2022-06-27,H.obs,7.293,
08LF023,2022-06-28,H.obs,7.191,
08LF023,2022-06-29,H.obs,7.226,
08LF023,2022-06-30,H.obs,7.325,
08LF023,2022-07-01,H.obs,7.333,
08LF023,2022-07-02,H.obs,7.245,
08LF023,2022-07-03,H.obs,7.175,
08LF023,2022-07-04,H.obs,7.133,
08LF023,2022-07-05,H.obs,7.135,
08LF023,2022-07-06,H.obs,7.224,
08LF023,2022-07-07,H.obs,7.297,
08LF023,2022-07-08,H.obs,7.254,
08LF023,2022-07-09,H.obs,7.212,
08LF023,2022-07-10,H.obs,7.209,
08LF023,2022-07-11,H.obs,7.176,
08LF023,2022-07-12,H.obs,7.026,
08LF023,2022-07-13,H.obs,6.892,
08LF023,2022-07-14,H.obs,6.848,
08LF023,2022-07-15,H.obs,6.786,
08LF023,2022-07-16,H.obs,6.634,
08LF023,2022-07-17,H.obs,6.505,
08LF023,2022-07-18,H.obs,6.415,
08LF023,2022-07-19,H.obs,6.293,
08LF023,2022-07-20,H.obs,6.168,
08LF023,2022-07-21,H.obs,6.06,
08LF023,2022-07-22,H.obs,5.936,
08LF023,2022-07-23,H.obs,5.823,
