 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MA003,2022-01-01,Q.obs,8.85,
08MA003,2022-01-01,H.obs,1.289,
08MA003,2022-01-02,H.obs,1.281,
08MA003,2022-01-02,Q.obs,8.63,
08MA003,2022-01-03,Q.obs,8.43,
08MA003,2022-01-03,H.obs,1.275,
08MA003,2022-01-04,Q.obs,8.36,
08MA003,2022-01-04,H.obs,1.272,
08MA003,2022-01-05,H.obs,1.269,
08MA003,2022-01-05,Q.obs,8.28,
08MA003,2022-01-06,H.obs,1.269,
08MA003,2022-01-06,Q.obs,8.28,
08MA003,2022-01-07,H.obs,1.265,
08MA003,2022-01-07,Q.obs,8.18,
08MA003,2022-01-08,H.obs,1.27,
08MA003,2022-01-08,Q.obs,8.3,
08MA003,2022-01-09,H.obs,1.267,
08MA003,2022-01-09,Q.obs,8.21,
08MA003,2022-01-10,Q.obs,8.15,
08MA003,2022-01-10,H.obs,1.264,
08MA003,2022-01-11,Q.obs,7.91,
08MA003,2022-01-11,H.obs,1.255,
08MA003,2022-01-12,H.obs,1.252,
08MA003,2022-01-12,Q.obs,7.83,
08MA003,2022-01-13,Q.obs,7.85,
08MA003,2022-01-13,H.obs,1.253,
08MA003,2022-01-14,Q.obs,7.9,
08MA003,2022-01-14,H.obs,1.255,
08MA003,2022-01-15,H.obs,1.245,
08MA003,2022-01-15,Q.obs,7.63,
08MA003,2022-01-16,H.obs,1.243,
08MA003,2022-01-16,Q.obs,7.57,
08MA003,2022-01-17,H.obs,1.244,
08MA003,2022-01-17,Q.obs,7.6,
08MA003,2022-01-18,H.obs,1.235,
08MA003,2022-01-18,Q.obs,7.37,
08MA003,2022-01-19,H.obs,1.245,
08MA003,2022-01-19,Q.obs,7.64,
08MA003,2022-01-20,Q.obs,7.53,A
08MA003,2022-01-20,H.obs,1.241,A
08MA003,2022-01-21,Q.obs,7.04,
08MA003,2022-01-21,H.obs,1.238,
08MA003,2022-01-22,H.obs,1.238,
08MA003,2022-01-22,Q.obs,6.95,
08MA003,2022-01-23,H.obs,1.233,
08MA003,2022-01-23,Q.obs,6.81,
08MA003,2022-01-24,Q.obs,6.72,
08MA003,2022-01-24,H.obs,1.229,
08MA003,2022-01-25,Q.obs,6.67,
08MA003,2022-01-25,H.obs,1.227,
08MA003,2022-01-26,Q.obs,6.53,
08MA003,2022-01-26,H.obs,1.221,
08MA003,2022-01-27,H.obs,1.224,
08MA003,2022-01-27,Q.obs,6.61,
08MA003,2022-01-28,H.obs,1.216,
08MA003,2022-01-28,Q.obs,6.41,
08MA003,2022-01-29,H.obs,1.211,
08MA003,2022-01-29,Q.obs,6.29,
08MA003,2022-01-30,H.obs,1.209,
08MA003,2022-01-30,Q.obs,6.24,
08MA003,2022-01-31,Q.obs,6.34,
08MA003,2022-01-31,H.obs,1.213,
08MA003,2022-02-01,Q.obs,6.17,
08MA003,2022-02-01,H.obs,1.206,
08MA003,2022-02-02,Q.obs,6.45,
08MA003,2022-02-02,H.obs,1.218,
08MA003,2022-02-03,Q.obs,6.4,
08MA003,2022-02-03,H.obs,1.216,
08MA003,2022-02-04,Q.obs,6.27,
08MA003,2022-02-04,H.obs,1.21,
08MA003,2022-02-05,Q.obs,6.01,
