 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MB012,2022-01-01,Q.obs,38.3,B
08MB012,2022-01-01,H.obs,2.413,
08MB012,2022-01-02,Q.obs,39.6,B
08MB012,2022-01-02,H.obs,2.681,
08MB012,2022-01-03,Q.obs,40.3,B
08MB012,2022-01-03,H.obs,2.509,
08MB012,2022-01-04,Q.obs,40.9,B
08MB012,2022-01-04,H.obs,2.42,
08MB012,2022-01-05,Q.obs,41.0,B
08MB012,2022-01-05,H.obs,2.32,
08MB012,2022-01-06,Q.obs,40.7,B
08MB012,2022-01-06,H.obs,2.331,
08MB012,2022-01-07,Q.obs,40.1,B
08MB012,2022-01-07,H.obs,2.404,
08MB012,2022-01-08,H.obs,2.431,
08MB012,2022-01-08,Q.obs,39.8,B
08MB012,2022-01-09,H.obs,2.437,
08MB012,2022-01-09,Q.obs,39.5,B
08MB012,2022-01-10,H.obs,2.58,
08MB012,2022-01-10,Q.obs,39.2,B
08MB012,2022-01-11,H.obs,2.651,
08MB012,2022-01-11,Q.obs,39.0,B
08MB012,2022-01-12,Q.obs,38.7,B
08MB012,2022-01-12,H.obs,2.565,
08MB012,2022-01-13,Q.obs,38.5,B
08MB012,2022-01-13,H.obs,2.504,
08MB012,2022-01-14,Q.obs,38.3,B
08MB012,2022-01-14,H.obs,2.396,
08MB012,2022-01-15,Q.obs,38.2,B
08MB012,2022-01-15,H.obs,2.376,
08MB012,2022-01-16,H.obs,2.376,
08MB012,2022-01-16,Q.obs,38.0,B
08MB012,2022-01-17,Q.obs,37.8,B
08MB012,2022-01-17,H.obs,2.355,
08MB012,2022-01-18,H.obs,2.379,
08MB012,2022-01-18,Q.obs,37.7,B
08MB012,2022-01-19,Q.obs,37.5,B
08MB012,2022-01-19,H.obs,2.324,A
08MB012,2022-01-20,H.obs,2.304,
08MB012,2022-01-20,Q.obs,37.4,B
08MB012,2022-01-21,Q.obs,37.2,B
08MB012,2022-01-21,H.obs,2.343,
08MB012,2022-01-22,Q.obs,37.1,B
08MB012,2022-01-22,H.obs,2.344,
08MB012,2022-01-23,Q.obs,36.9,B
08MB012,2022-01-23,H.obs,2.316,
08MB012,2022-01-24,H.obs,2.312,
08MB012,2022-01-24,Q.obs,36.8,B
08MB012,2022-01-25,H.obs,2.279,
08MB012,2022-01-25,Q.obs,36.7,B
08MB012,2022-01-26,H.obs,2.295,
08MB012,2022-01-26,Q.obs,36.5,B
08MB012,2022-01-27,Q.obs,36.4,B
08MB012,2022-01-27,H.obs,2.275,
08MB012,2022-01-28,H.obs,2.265,
08MB012,2022-01-28,Q.obs,36.2,B
08MB012,2022-01-29,H.obs,2.303,
08MB012,2022-01-29,Q.obs,36.1,B
08MB012,2022-01-30,H.obs,2.319,
08MB012,2022-01-30,Q.obs,36.0,B
08MB012,2022-01-31,Q.obs,35.8,B
08MB012,2022-01-31,H.obs,2.307,
08MB012,2022-02-01,Q.obs,35.7,B
08MB012,2022-02-01,H.obs,2.254,
08MB012,2022-02-02,H.obs,2.272,
08MB012,2022-02-02,Q.obs,35.6,B
08MB012,2022-02-03,Q.obs,35.4,B
08MB012,2022-02-03,H.obs,2.242,
