 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MC018,2022-01-01,Q.obs,314.0,B
08MC018,2022-01-02,Q.obs,318.0,B
08MC018,2022-01-03,H.obs,3.595,A
08MC018,2022-01-03,Q.obs,322.0,B
08MC018,2022-01-04,Q.obs,327.0,B
08MC018,2022-01-04,H.obs,3.874,
08MC018,2022-01-05,H.obs,4.337,
08MC018,2022-01-05,Q.obs,330.0,B
08MC018,2022-01-06,H.obs,4.542,
08MC018,2022-01-06,Q.obs,333.0,B
08MC018,2022-01-07,Q.obs,336.0,B
08MC018,2022-01-07,H.obs,4.868,
08MC018,2022-01-08,H.obs,4.933,
08MC018,2022-01-08,Q.obs,337.0,B
08MC018,2022-01-09,Q.obs,339.0,B
08MC018,2022-01-09,H.obs,4.965,
08MC018,2022-01-10,Q.obs,339.0,B
08MC018,2022-01-10,H.obs,5.171,
08MC018,2022-01-11,H.obs,5.052,
08MC018,2022-01-11,Q.obs,339.0,B
08MC018,2022-01-12,Q.obs,339.0,B
08MC018,2022-01-12,H.obs,5.02,
08MC018,2022-01-13,Q.obs,339.0,B
08MC018,2022-01-13,H.obs,4.812,
08MC018,2022-01-14,Q.obs,340.0,B
08MC018,2022-01-14,H.obs,4.728,A
08MC018,2022-01-15,Q.obs,342.0,B
08MC018,2022-01-15,H.obs,4.611,A
08MC018,2022-01-16,H.obs,4.484,
08MC018,2022-01-16,Q.obs,343.0,B
08MC018,2022-01-17,Q.obs,343.0,B
08MC018,2022-01-17,H.obs,4.416,A
08MC018,2022-01-18,Q.obs,343.0,B
08MC018,2022-01-19,H.obs,3.974,A
08MC018,2022-01-19,Q.obs,345.0,B
08MC018,2022-01-20,Q.obs,348.0,B
08MC018,2022-01-20,H.obs,4.031,
08MC018,2022-01-21,H.obs,4.139,A
08MC018,2022-01-21,Q.obs,350.0,B
08MC018,2022-01-22,Q.obs,353.0,B
08MC018,2022-01-22,H.obs,4.126,A
08MC018,2022-01-23,H.obs,4.307,
08MC018,2022-01-23,Q.obs,356.0,B
08MC018,2022-01-24,H.obs,4.302,
08MC018,2022-01-24,Q.obs,360.0,B
08MC018,2022-01-25,H.obs,4.251,
08MC018,2022-01-25,Q.obs,362.0,B
08MC018,2022-01-26,H.obs,4.189,
08MC018,2022-01-26,Q.obs,364.0,B
08MC018,2022-01-27,Q.obs,368.0,B
08MC018,2022-01-27,H.obs,4.095,
08MC018,2022-01-28,Q.obs,370.0,B
08MC018,2022-01-28,H.obs,3.99,
08MC018,2022-01-29,Q.obs,373.0,B
08MC018,2022-01-29,H.obs,3.921,
08MC018,2022-01-30,H.obs,3.833,
08MC018,2022-01-30,Q.obs,376.0,B
08MC018,2022-01-31,Q.obs,379.0,B
08MC018,2022-01-31,H.obs,3.755,
08MC018,2022-02-01,H.obs,3.694,
08MC018,2022-02-01,Q.obs,379.0,B
08MC018,2022-02-02,Q.obs,379.0,B
08MC018,2022-02-02,H.obs,3.697,
08MC018,2022-02-03,Q.obs,379.0,B
08MC018,2022-02-03,H.obs,3.685,
08MC018,2022-02-04,Q.obs,377.0,B
08MC018,2022-02-04,H.obs,3.673,
08MC018,2022-02-05,Q.obs,377.0,B
08MC018,2022-02-05,H.obs,3.656,
08MC018,2022-02-06,Q.obs,377.0,B
08MC018,2022-02-06,H.obs,3.631,
08MC018,2022-02-07,Q.obs,380.0,B
08MC018,2022-02-07,H.obs,3.602,
08MC018,2022-02-08,Q.obs,383.0,B
08MC018,2022-02-08,H.obs,3.628,
08MC018,2022-02-09,Q.obs,387.0,B
08MC018,2022-02-09,H.obs,3.654,
08MC018,2022-02-10,Q.obs,391.0,B
08MC018,2022-02-10,H.obs,3.777,
08MC018,2022-02-11,H.obs,3.857,
08MC018,2022-02-11,Q.obs,394.0,B
08MC018,2022-02-12,Q.obs,401.0,B
