 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MD013,2022-01-01,Q.obs,369.0,B
08MD013,2022-01-01,H.obs,4.154,
08MD013,2022-01-02,H.obs,4.142,
08MD013,2022-01-02,Q.obs,392.0,B
08MD013,2022-01-03,Q.obs,422.0,B
08MD013,2022-01-03,H.obs,4.297,
08MD013,2022-01-04,Q.obs,433.0,B
08MD013,2022-01-04,H.obs,4.317,
08MD013,2022-01-05,Q.obs,427.0,B
08MD013,2022-01-05,H.obs,4.396,
08MD013,2022-01-06,H.obs,4.407,
08MD013,2022-01-06,Q.obs,421.0,B
08MD013,2022-01-07,H.obs,4.394,
08MD013,2022-01-07,Q.obs,415.0,B
08MD013,2022-01-08,H.obs,4.352,
08MD013,2022-01-08,Q.obs,412.0,B
08MD013,2022-01-09,H.obs,4.243,
08MD013,2022-01-09,Q.obs,427.0,B
08MD013,2022-01-10,H.obs,4.109,
08MD013,2022-01-10,Q.obs,446.0,B
08MD013,2022-01-11,H.obs,4.183,
08MD013,2022-01-11,Q.obs,470.0,B
08MD013,2022-01-12,H.obs,4.242,
08MD013,2022-01-12,Q.obs,503.0,B
08MD013,2022-01-13,Q.obs,527.0,B
08MD013,2022-01-13,H.obs,4.265,
08MD013,2022-01-14,Q.obs,533.0,B
08MD013,2022-01-14,H.obs,4.292,
08MD013,2022-01-15,Q.obs,552.0,B
08MD013,2022-01-15,H.obs,4.276,
08MD013,2022-01-16,H.obs,4.266,
08MD013,2022-01-16,Q.obs,560.0,
08MD013,2022-01-17,Q.obs,548.0,
08MD013,2022-01-17,H.obs,4.241,
08MD013,2022-01-18,Q.obs,555.0,
08MD013,2022-01-18,H.obs,4.256,
08MD013,2022-01-19,Q.obs,563.0,
08MD013,2022-01-19,H.obs,4.273,
08MD013,2022-01-20,Q.obs,550.0,
08MD013,2022-01-20,H.obs,4.246,
08MD013,2022-01-21,Q.obs,546.0,
08MD013,2022-01-21,H.obs,4.236,
08MD013,2022-01-22,H.obs,4.314,
08MD013,2022-01-22,Q.obs,584.0,
08MD013,2022-01-23,Q.obs,623.0,
08MD013,2022-01-23,H.obs,4.395,
08MD013,2022-01-24,H.obs,4.475,
08MD013,2022-01-24,Q.obs,663.0,
08MD013,2022-01-25,Q.obs,679.0,
08MD013,2022-01-25,H.obs,4.508,
08MD013,2022-01-26,Q.obs,649.0,
08MD013,2022-01-26,H.obs,4.447,
08MD013,2022-01-27,Q.obs,625.0,
08MD013,2022-01-27,H.obs,4.399,
08MD013,2022-01-28,H.obs,4.338,
08MD013,2022-01-28,Q.obs,595.0,
08MD013,2022-01-29,H.obs,4.296,
08MD013,2022-01-29,Q.obs,575.0,
08MD013,2022-01-30,Q.obs,572.0,
08MD013,2022-01-30,H.obs,4.29,
08MD013,2022-01-31,H.obs,4.276,
08MD013,2022-01-31,Q.obs,565.0,
08MD013,2022-02-01,H.obs,4.249,
08MD013,2022-02-01,Q.obs,552.0,
08MD013,2022-02-02,H.obs,4.193,
08MD013,2022-02-02,Q.obs,525.0,
08MD013,2022-02-03,Q.obs,493.0,
08MD013,2022-02-03,H.obs,4.125,
08MD013,2022-02-04,H.obs,4.112,
08MD013,2022-02-04,Q.obs,486.0,
08MD013,2022-02-05,H.obs,4.146,
08MD013,2022-02-05,Q.obs,502.0,
08MD013,2022-02-06,Q.obs,501.0,
08MD013,2022-02-06,H.obs,4.144,
08MD013,2022-02-07,Q.obs,491.0,
08MD013,2022-02-07,H.obs,4.122,
08MD013,2022-02-08,H.obs,4.109,
08MD013,2022-02-08,Q.obs,485.0,
08MD013,2022-02-09,Q.obs,486.0,
08MD013,2022-02-09,H.obs,4.112,
08MD013,2022-02-10,H.obs,4.133,
08MD013,2022-02-10,Q.obs,496.0,
08MD013,2022-02-11,Q.obs,519.0,
08MD013,2022-02-11,H.obs,4.181,
08MD013,2022-02-12,Q.obs,522.0,
08MD013,2022-02-12,H.obs,4.187,
08MD013,2022-02-13,Q.obs,548.0,
08MD013,2022-02-13,H.obs,4.241,
08MD013,2022-02-14,Q.obs,590.0,
08MD013,2022-02-14,H.obs,4.327,
08MD013,2022-02-15,Q.obs,659.0,
08MD013,2022-02-15,H.obs,4.468,
08MD013,2022-02-16,Q.obs,681.0,
08MD013,2022-02-16,H.obs,4.512,
08MD013,2022-02-17,Q.obs,722.0,
08MD013,2022-02-17,H.obs,4.593,
08MD013,2022-02-18,Q.obs,740.0,
08MD013,2022-02-18,H.obs,4.629,
08MD013,2022-02-19,H.obs,4.595,
08MD013,2022-02-19,Q.obs,722.0,
08MD013,2022-02-20,H.obs,4.51,
08MD013,2022-02-20,Q.obs,680.0,
08MD013,2022-02-21,H.obs,4.461,
08MD013,2022-02-21,Q.obs,656.0,
08MD013,2022-02-22,Q.obs,615.0,
08MD013,2022-02-22,H.obs,4.378,
08MD013,2022-02-23,Q.obs,611.0,
08MD013,2022-02-23,H.obs,4.371,
08MD013,2022-02-24,H.obs,4.438,
08MD013,2022-02-24,Q.obs,644.0,
08MD013,2022-02-25,H.obs,4.525,
08MD013,2022-02-25,Q.obs,688.0,
08MD013,2022-02-26,H.obs,4.516,
08MD013,2022-02-26,Q.obs,683.0,
08MD013,2022-02-27,H.obs,4.438,
08MD013,2022-02-27,Q.obs,644.0,
08MD013,2022-02-28,H.obs,4.472,
08MD013,2022-02-28,Q.obs,661.0,
08MD013,2022-03-01,Q.obs,640.0,
08MD013,2022-03-01,H.obs,4.428,
08MD013,2022-03-02,Q.obs,627.0,
08MD013,2022-03-02,H.obs,4.404,
08MD013,2022-03-03,Q.obs,613.0,
08MD013,2022-03-03,H.obs,4.374,
08MD013,2022-03-04,Q.obs,599.0,
08MD013,2022-03-04,H.obs,4.346,
08MD013,2022-03-05,Q.obs,598.0,
08MD013,2022-03-05,H.obs,4.344,
08MD013,2022-03-06,Q.obs,585.0,
08MD013,2022-03-06,H.obs,4.317,
08MD013,2022-03-07,Q.obs,565.0,
08MD013,2022-03-07,H.obs,4.277,
08MD013,2022-03-08,Q.obs,567.0,
08MD013,2022-03-08,H.obs,4.28,
08MD013,2022-03-09,Q.obs,550.0,
08MD013,2022-03-09,H.obs,4.245,
08MD013,2022-03-10,Q.obs,526.0,
08MD013,2022-03-10,H.obs,4.196,
08MD013,2022-03-11,Q.obs,521.0,
08MD013,2022-03-11,H.obs,4.185,
08MD013,2022-03-12,Q.obs,521.0,
08MD013,2022-03-12,H.obs,4.184,
08MD013,2022-03-13,Q.obs,514.0,
08MD013,2022-03-13,H.obs,4.17,
08MD013,2022-03-14,Q.obs,519.0,
08MD013,2022-03-14,H.obs,4.182,
08MD013,2022-03-15,H.obs,4.159,
08MD013,2022-03-15,Q.obs,509.0,
08MD013,2022-03-16,H.obs,4.194,
08MD013,2022-03-16,Q.obs,525.0,
08MD013,2022-03-17,H.obs,4.217,
08MD013,2022-03-17,Q.obs,536.0,
08MD013,2022-03-18,H.obs,4.253,
08MD013,2022-03-18,Q.obs,554.0,
08MD013,2022-03-19,Q.obs,564.0,
08MD013,2022-03-19,H.obs,4.274,
08MD013,2022-03-20,Q.obs,576.0,
08MD013,2022-03-20,H.obs,4.298,
08MD013,2022-03-21,Q.obs,589.0,
08MD013,2022-03-21,H.obs,4.325,
08MD013,2022-03-22,Q.obs,614.0,
08MD013,2022-03-22,H.obs,4.376,
08MD013,2022-03-23,Q.obs,658.0,
08MD013,2022-03-23,H.obs,4.464,
08MD013,2022-03-24,Q.obs,708.0,
08MD013,2022-03-24,H.obs,4.566,
08MD013,2022-03-25,Q.obs,789.0,
08MD013,2022-03-25,H.obs,4.726,
08MD013,2022-03-26,Q.obs,888.0,
08MD013,2022-03-26,H.obs,4.92,
08MD013,2022-03-27,Q.obs,924.0,
08MD013,2022-03-27,H.obs,4.99,
08MD013,2022-03-28,H.obs,5.039,
08MD013,2022-03-28,Q.obs,949.0,
08MD013,2022-03-29,Q.obs,975.0,
08MD013,2022-03-29,H.obs,5.087,
08MD013,2022-03-30,Q.obs,973.0,
08MD013,2022-03-30,H.obs,5.084,
08MD013,2022-03-31,Q.obs,998.0,
08MD013,2022-03-31,H.obs,5.132,
08MD013,2022-04-01,Q.obs,1020.0,
08MD013,2022-04-01,H.obs,5.177,
08MD013,2022-04-02,H.obs,5.222,
08MD013,2022-04-02,Q.obs,1050.0,
08MD013,2022-04-03,H.obs,5.287,
08MD013,2022-04-03,Q.obs,1080.0,
08MD013,2022-04-04,Q.obs,1090.0,
08MD013,2022-04-04,H.obs,5.305,
08MD013,2022-04-05,H.obs,5.264,
08MD013,2022-04-05,Q.obs,1070.0,
08MD013,2022-04-06,Q.obs,1050.0,
08MD013,2022-04-06,H.obs,5.234,
08MD013,2022-04-07,H.obs,5.197,
08MD013,2022-04-07,Q.obs,1030.0,
08MD013,2022-04-08,H.obs,5.225,
08MD013,2022-04-08,Q.obs,1050.0,
08MD013,2022-04-09,H.obs,5.285,
08MD013,2022-04-09,Q.obs,1080.0,
08MD013,2022-04-10,Q.obs,1230.0,
08MD013,2022-04-10,H.obs,5.577,
08MD013,2022-04-11,Q.obs,1430.0,
08MD013,2022-04-11,H.obs,5.935,
08MD013,2022-04-12,Q.obs,1490.0,
08MD013,2022-04-12,H.obs,6.05,
08MD013,2022-04-13,Q.obs,1390.0,
08MD013,2022-04-13,H.obs,5.871,
08MD013,2022-04-14,H.obs,5.632,
08MD013,2022-04-14,Q.obs,1260.0,
08MD013,2022-04-15,Q.obs,1160.0,
08MD013,2022-04-15,H.obs,5.437,
08MD013,2022-04-16,Q.obs,1070.0,
08MD013,2022-04-16,H.obs,5.274,
08MD013,2022-04-17,Q.obs,993.0,
08MD013,2022-04-17,H.obs,5.122,
08MD013,2022-04-18,H.obs,5.026,
08MD013,2022-04-18,Q.obs,943.0,
08MD013,2022-04-19,Q.obs,912.0,
08MD013,2022-04-19,H.obs,4.967,
08MD013,2022-04-20,Q.obs,900.0,
08MD013,2022-04-20,H.obs,4.944,
08MD013,2022-04-21,Q.obs,880.0,
08MD013,2022-04-21,H.obs,4.904,
08MD013,2022-04-22,H.obs,4.876,
08MD013,2022-04-22,Q.obs,866.0,
08MD013,2022-04-23,H.obs,4.877,
08MD013,2022-04-23,Q.obs,866.0,
08MD013,2022-04-24,Q.obs,891.0,
08MD013,2022-04-24,H.obs,4.926,
08MD013,2022-04-25,H.obs,5.071,
08MD013,2022-04-25,Q.obs,966.0,
08MD013,2022-04-26,Q.obs,1090.0,
08MD013,2022-04-26,H.obs,5.299,
08MD013,2022-04-27,H.obs,5.638,
08MD013,2022-04-27,Q.obs,1270.0,
08MD013,2022-04-28,H.obs,5.977,
08MD013,2022-04-28,Q.obs,1450.0,
08MD013,2022-04-29,H.obs,6.152,
08MD013,2022-04-29,Q.obs,1550.0,
08MD013,2022-04-30,Q.obs,1550.0,
08MD013,2022-04-30,H.obs,6.162,
08MD013,2022-05-01,H.obs,6.169,
08MD013,2022-05-01,Q.obs,1560.0,
08MD013,2022-05-02,H.obs,6.222,
08MD013,2022-05-02,Q.obs,1590.0,
08MD013,2022-05-03,H.obs,6.387,
08MD013,2022-05-03,Q.obs,1680.0,
08MD013,2022-05-04,H.obs,6.624,
08MD013,2022-05-04,Q.obs,1810.0,
08MD013,2022-05-05,H.obs,6.953,
08MD013,2022-05-05,Q.obs,2000.0,
08MD013,2022-05-06,H.obs,7.497,
08MD013,2022-05-06,Q.obs,2320.0,
08MD013,2022-05-07,Q.obs,2780.0,
08MD013,2022-05-07,H.obs,8.276,
08MD013,2022-05-08,Q.obs,3220.0,
08MD013,2022-05-08,H.obs,9.008,
08MD013,2022-05-09,Q.obs,3330.0,
08MD013,2022-05-09,H.obs,9.188,
08MD013,2022-05-10,Q.obs,3170.0,
08MD013,2022-05-10,H.obs,8.925,
08MD013,2022-05-11,Q.obs,2970.0,
08MD013,2022-05-11,H.obs,8.6,
08MD013,2022-05-12,Q.obs,2780.0,
08MD013,2022-05-12,H.obs,8.269,
08MD013,2022-05-13,Q.obs,2640.0,
08MD013,2022-05-13,H.obs,8.037,
08MD013,2022-05-14,Q.obs,2560.0,
08MD013,2022-05-14,H.obs,7.903,
08MD013,2022-05-15,Q.obs,2500.0,
08MD013,2022-05-15,H.obs,7.804,
08MD013,2022-05-16,H.obs,7.668,
08MD013,2022-05-16,Q.obs,2420.0,
08MD013,2022-05-17,Q.obs,2400.0,
08MD013,2022-05-17,H.obs,7.641,
08MD013,2022-05-18,Q.obs,2500.0,
08MD013,2022-05-18,H.obs,7.804,
08MD013,2022-05-19,Q.obs,2620.0,
08MD013,2022-05-19,H.obs,8.013,
