 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MF072,2022-03-26,H.obs,22.374,A
08MF072,2022-03-27,H.obs,22.473,
08MF072,2022-03-28,H.obs,22.616,
08MF072,2022-03-29,H.obs,22.7,
08MF072,2022-03-30,H.obs,22.701,
08MF072,2022-03-31,H.obs,22.692,
08MF072,2022-04-01,H.obs,22.719,
08MF072,2022-04-02,H.obs,22.738,
08MF072,2022-04-03,H.obs,22.763,
08MF072,2022-04-04,H.obs,22.846,
08MF072,2022-04-05,H.obs,22.841,
08MF072,2022-04-06,H.obs,22.808,
08MF072,2022-04-07,H.obs,22.789,
08MF072,2022-04-08,H.obs,22.857,
08MF072,2022-04-09,H.obs,22.887,
08MF072,2022-04-10,H.obs,22.895,
08MF072,2022-04-11,H.obs,23.02,
08MF072,2022-04-12,H.obs,23.168,
08MF072,2022-04-13,H.obs,23.2,
08MF072,2022-04-14,H.obs,23.106,
08MF072,2022-04-15,H.obs,22.987,
08MF072,2022-04-16,H.obs,22.887,
08MF072,2022-04-17,H.obs,22.798,
08MF072,2022-04-18,H.obs,22.719,
08MF072,2022-04-19,H.obs,22.677,
08MF072,2022-04-20,H.obs,22.599,
08MF072,2022-04-21,H.obs,22.614,
08MF072,2022-04-22,H.obs,22.599,
08MF072,2022-04-23,H.obs,22.585,
08MF072,2022-04-24,H.obs,22.592,
08MF072,2022-04-25,H.obs,22.647,
08MF072,2022-04-26,H.obs,22.747,
08MF072,2022-04-27,H.obs,22.866,
08MF072,2022-04-28,H.obs,23.03,
08MF072,2022-04-29,H.obs,23.196,
08MF072,2022-04-30,H.obs,23.286,
08MF072,2022-05-01,H.obs,23.306,
08MF072,2022-05-02,H.obs,23.337,
08MF072,2022-05-03,H.obs,23.399,
08MF072,2022-05-04,H.obs,23.509,
08MF072,2022-05-05,H.obs,23.697,
08MF072,2022-05-06,H.obs,23.847,
08MF072,2022-05-07,H.obs,24.037,
08MF072,2022-05-08,H.obs,24.292,
08MF072,2022-05-09,H.obs,24.521,
08MF072,2022-05-10,H.obs,24.612,
08MF072,2022-05-11,H.obs,24.566,
08MF072,2022-05-12,H.obs,24.494,
