 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MG005,2022-01-01,Q.obs,36.1,B
08MG005,2022-01-01,H.obs,2.657,
08MG005,2022-01-02,Q.obs,36.0,B
08MG005,2022-01-02,H.obs,2.659,
08MG005,2022-01-03,Q.obs,36.0,B
08MG005,2022-01-03,H.obs,2.675,
08MG005,2022-01-04,Q.obs,35.9,B
08MG005,2022-01-04,H.obs,2.687,
08MG005,2022-01-05,Q.obs,35.9,B
08MG005,2022-01-05,H.obs,2.616,
08MG005,2022-01-06,Q.obs,35.8,B
08MG005,2022-01-06,H.obs,2.581,
08MG005,2022-01-07,Q.obs,35.7,B
08MG005,2022-01-07,H.obs,2.594,
08MG005,2022-01-08,H.obs,2.576,
08MG005,2022-01-08,Q.obs,35.7,B
08MG005,2022-01-09,H.obs,2.602,
08MG005,2022-01-09,Q.obs,35.6,B
08MG005,2022-01-10,H.obs,2.574,
08MG005,2022-01-10,Q.obs,35.6,B
08MG005,2022-01-11,H.obs,2.606,
08MG005,2022-01-11,Q.obs,35.5,B
08MG005,2022-01-12,Q.obs,35.4,B
08MG005,2022-01-12,H.obs,2.657,
08MG005,2022-01-13,Q.obs,35.4,B
08MG005,2022-01-13,H.obs,2.706,
08MG005,2022-01-14,Q.obs,35.3,B
08MG005,2022-01-14,H.obs,2.637,
08MG005,2022-01-15,Q.obs,35.3,B
08MG005,2022-01-15,H.obs,2.586,
08MG005,2022-01-16,H.obs,2.528,
08MG005,2022-01-16,Q.obs,35.2,B
08MG005,2022-01-17,Q.obs,35.2,B
08MG005,2022-01-17,H.obs,2.505,
08MG005,2022-01-18,H.obs,2.492,
08MG005,2022-01-18,Q.obs,35.1,B
08MG005,2022-01-19,Q.obs,35.0,B
08MG005,2022-01-19,H.obs,2.465,
08MG005,2022-01-20,H.obs,2.242,
08MG005,2022-01-20,Q.obs,35.0,B
08MG005,2022-01-21,Q.obs,35.0,B
08MG005,2022-01-21,H.obs,1.911,
08MG005,2022-01-22,Q.obs,34.6,
08MG005,2022-01-22,H.obs,1.888,
08MG005,2022-01-23,Q.obs,33.6,
08MG005,2022-01-23,H.obs,1.877,
08MG005,2022-01-24,H.obs,1.867,
08MG005,2022-01-24,Q.obs,32.7,
08MG005,2022-01-25,H.obs,1.855,
08MG005,2022-01-25,Q.obs,31.7,
08MG005,2022-01-26,H.obs,1.853,
