 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08MH053,2022-01-01,H.obs,0.68,A
08MH053,2022-01-02,H.obs,0.727,
08MH053,2022-01-03,H.obs,1.038,
08MH053,2022-01-04,H.obs,0.869,A
08MH053,2022-01-05,H.obs,0.672,A
08MH053,2022-01-06,H.obs,0.742,A
08MH053,2022-01-07,H.obs,0.56,
08MH053,2022-01-08,H.obs,0.039,
08MH053,2022-01-09,H.obs,0.105,
08MH053,2022-01-10,H.obs,0.168,
08MH053,2022-01-11,H.obs,0.305,
08MH053,2022-01-12,H.obs,0.417,
08MH053,2022-01-13,H.obs,0.378,
08MH053,2022-01-14,H.obs,0.262,
08MH053,2022-01-15,H.obs,0.424,A
08MH053,2022-01-16,H.obs,0.397,
08MH053,2022-01-17,H.obs,0.431,
08MH053,2022-01-18,H.obs,0.45,
08MH053,2022-01-19,H.obs,0.376,A
08MH053,2022-01-20,H.obs,0.511,A
08MH053,2022-01-21,H.obs,0.182,A
08MH053,2022-01-22,H.obs,0.11,A
08MH053,2022-01-23,H.obs,-0.046,
08MH053,2022-01-24,H.obs,-0.036,
08MH053,2022-01-25,H.obs,-0.031,
08MH053,2022-01-26,H.obs,0.016,
08MH053,2022-01-27,H.obs,0.288,A
08MH053,2022-01-28,H.obs,0.517,A
08MH053,2022-01-29,H.obs,0.605,A
08MH053,2022-01-30,H.obs,0.684,A
08MH053,2022-01-31,H.obs,0.623,A
08MH053,2022-02-01,H.obs,0.606,A
08MH053,2022-02-02,H.obs,0.45,A
08MH053,2022-02-03,H.obs,0.358,A
08MH053,2022-02-04,H.obs,0.284,A
08MH053,2022-02-05,H.obs,-0.104,
08MH053,2022-02-06,H.obs,-0.1,
08MH053,2022-02-07,H.obs,0.001,
08MH053,2022-02-08,H.obs,-0.081,
08MH053,2022-02-09,H.obs,-0.075,
08MH053,2022-02-10,H.obs,-0.045,
08MH053,2022-02-11,H.obs,-0.065,
08MH053,2022-02-12,H.obs,0.167,A
08MH053,2022-02-13,H.obs,0.12,
08MH053,2022-02-14,H.obs,0.416,
08MH053,2022-02-15,H.obs,0.307,
08MH053,2022-02-16,H.obs,0.254,
08MH053,2022-02-17,H.obs,0.207,
08MH053,2022-02-18,H.obs,0.172,A
08MH053,2022-02-19,H.obs,0.086,
08MH053,2022-02-20,H.obs,0.084,
08MH053,2022-02-21,H.obs,-0.017,
08MH053,2022-02-22,H.obs,-0.13,
08MH053,2022-02-23,H.obs,-0.092,
08MH053,2022-02-24,H.obs,0.126,A
08MH053,2022-02-25,H.obs,0.211,A
08MH053,2022-02-26,H.obs,0.36,A
08MH053,2022-02-27,H.obs,0.562,A
08MH053,2022-02-28,H.obs,0.614,A
08MH053,2022-03-01,H.obs,0.515,
08MH053,2022-03-02,H.obs,0.381,
08MH053,2022-03-03,H.obs,0.212,
08MH053,2022-03-04,H.obs,0.15,
08MH053,2022-03-05,H.obs,0.041,
08MH053,2022-03-06,H.obs,-0.048,
08MH053,2022-03-07,H.obs,-0.058,
08MH053,2022-03-08,H.obs,0.001,
08MH053,2022-03-09,H.obs,-0.018,
08MH053,2022-03-10,H.obs,-0.013,
08MH053,2022-03-11,H.obs,0.007,
08MH053,2022-03-12,H.obs,0.177,
08MH053,2022-03-13,H.obs,0.304,
08MH053,2022-03-14,H.obs,0.318,
08MH053,2022-03-15,H.obs,0.32,
08MH053,2022-03-16,H.obs,0.194,
08MH053,2022-03-17,H.obs,0.229,
08MH053,2022-03-18,H.obs,0.228,
08MH053,2022-03-19,H.obs,0.282,
08MH053,2022-03-20,H.obs,0.166,
08MH053,2022-03-21,H.obs,0.133,
08MH053,2022-03-22,H.obs,0.257,A
08MH053,2022-03-23,H.obs,0.149,
08MH053,2022-03-24,H.obs,0.295,A
08MH053,2022-03-25,H.obs,0.304,A
08MH053,2022-03-26,H.obs,0.15,
08MH053,2022-03-27,H.obs,0.222,
08MH053,2022-03-28,H.obs,0.221,
08MH053,2022-03-29,H.obs,0.119,
08MH053,2022-03-30,H.obs,0.214,
08MH053,2022-03-31,H.obs,0.18,
08MH053,2022-04-01,H.obs,0.184,
08MH053,2022-04-02,H.obs,0.165,
08MH053,2022-04-03,H.obs,0.248,
08MH053,2022-04-04,H.obs,0.514,
08MH053,2022-04-05,H.obs,0.335,A
08MH053,2022-04-06,H.obs,0.176,A
08MH053,2022-04-07,H.obs,0.077,
08MH053,2022-04-08,H.obs,0.175,
08MH053,2022-04-09,H.obs,0.088,
08MH053,2022-04-10,H.obs,0.123,
08MH053,2022-04-11,H.obs,0.204,
08MH053,2022-04-12,H.obs,0.131,
08MH053,2022-04-13,H.obs,0.141,
08MH053,2022-04-14,H.obs,0.189,
08MH053,2022-04-15,H.obs,0.149,
08MH053,2022-04-16,H.obs,0.192,
08MH053,2022-04-17,H.obs,0.144,
08MH053,2022-04-18,H.obs,0.393,
08MH053,2022-04-19,H.obs,0.558,A
08MH053,2022-04-20,H.obs,0.671,A
08MH053,2022-04-21,H.obs,0.612,A
08MH053,2022-04-22,H.obs,0.397,A
08MH053,2022-04-23,H.obs,0.269,A
08MH053,2022-04-24,H.obs,0.137,
08MH053,2022-04-25,H.obs,0.191,
08MH053,2022-04-26,H.obs,0.199,
08MH053,2022-04-27,H.obs,0.166,
08MH053,2022-04-28,H.obs,0.186,
08MH053,2022-04-29,H.obs,0.165,
08MH053,2022-04-30,H.obs,0.253,
08MH053,2022-05-01,H.obs,0.228,
08MH053,2022-05-02,H.obs,0.306,
08MH053,2022-05-03,H.obs,0.331,A
08MH053,2022-05-04,H.obs,0.169,
08MH053,2022-05-05,H.obs,0.311,
08MH053,2022-05-06,H.obs,0.294,
08MH053,2022-05-07,H.obs,0.282,
08MH053,2022-05-08,H.obs,0.296,
08MH053,2022-05-09,H.obs,0.265,
08MH053,2022-05-10,H.obs,0.195,
08MH053,2022-05-11,H.obs,0.196,
08MH053,2022-05-12,H.obs,0.333,
08MH053,2022-05-13,H.obs,0.256,
08MH053,2022-05-14,H.obs,0.33,
08MH053,2022-05-15,H.obs,0.393,
08MH053,2022-05-16,H.obs,0.641,A
08MH053,2022-05-17,H.obs,0.651,A
08MH053,2022-05-18,H.obs,0.679,A
08MH053,2022-05-19,H.obs,0.554,A
08MH053,2022-05-20,H.obs,0.387,A
08MH053,2022-05-21,H.obs,0.131,
08MH053,2022-05-22,H.obs,0.089,
08MH053,2022-05-23,H.obs,0.133,
08MH053,2022-05-24,H.obs,0.173,
08MH053,2022-05-25,H.obs,0.251,
08MH053,2022-05-26,H.obs,0.309,
08MH053,2022-05-27,H.obs,0.388,
08MH053,2022-05-28,H.obs,0.406,
08MH053,2022-05-29,H.obs,0.396,
08MH053,2022-05-30,H.obs,0.338,
08MH053,2022-05-31,H.obs,0.328,
08MH053,2022-06-01,H.obs,0.369,
08MH053,2022-06-02,H.obs,0.388,
08MH053,2022-06-03,H.obs,0.456,
