 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08NA002,2022-01-01,Q.obs,27.2,B
08NA002,2022-01-01,H.obs,0.837,
08NA002,2022-01-02,H.obs,0.843,
08NA002,2022-01-02,Q.obs,27.3,B
08NA002,2022-01-03,Q.obs,27.4,B
08NA002,2022-01-03,H.obs,0.856,
08NA002,2022-01-04,Q.obs,27.4,B
08NA002,2022-01-04,H.obs,0.887,
08NA002,2022-01-05,Q.obs,27.5,B
08NA002,2022-01-05,H.obs,0.916,
08NA002,2022-01-06,H.obs,0.933,
08NA002,2022-01-06,Q.obs,27.6,B
08NA002,2022-01-07,H.obs,0.949,
08NA002,2022-01-07,Q.obs,27.7,B
08NA002,2022-01-08,H.obs,0.95,
08NA002,2022-01-08,Q.obs,27.7,B
08NA002,2022-01-09,H.obs,0.937,
08NA002,2022-01-09,Q.obs,27.8,B
08NA002,2022-01-10,H.obs,0.926,
08NA002,2022-01-10,Q.obs,27.9,B
08NA002,2022-01-11,H.obs,0.919,
08NA002,2022-01-11,Q.obs,28.0,B
08NA002,2022-01-12,H.obs,0.908,
08NA002,2022-01-12,Q.obs,28.0,B
08NA002,2022-01-13,Q.obs,28.1,B
08NA002,2022-01-13,H.obs,0.9,
08NA002,2022-01-14,Q.obs,28.2,B
08NA002,2022-01-14,H.obs,0.892,
08NA002,2022-01-15,Q.obs,28.3,B
08NA002,2022-01-15,H.obs,0.884,
08NA002,2022-01-16,H.obs,0.872,
08NA002,2022-01-16,Q.obs,28.3,B
08NA002,2022-01-17,Q.obs,28.4,B
08NA002,2022-01-17,H.obs,0.855,
08NA002,2022-01-18,Q.obs,28.5,B
08NA002,2022-01-18,H.obs,0.834,
08NA002,2022-01-19,Q.obs,28.6,B
08NA002,2022-01-19,H.obs,0.818,
08NA002,2022-01-20,Q.obs,28.6,B
08NA002,2022-01-20,H.obs,0.795,
08NA002,2022-01-21,Q.obs,28.7,B
08NA002,2022-01-21,H.obs,0.758,
08NA002,2022-01-22,H.obs,0.725,
08NA002,2022-01-22,Q.obs,28.7,B
08NA002,2022-01-23,Q.obs,28.6,B
08NA002,2022-01-23,H.obs,0.725,
08NA002,2022-01-24,H.obs,0.729,
08NA002,2022-01-24,Q.obs,28.5,B
08NA002,2022-01-25,Q.obs,28.4,B
08NA002,2022-01-25,H.obs,0.725,
08NA002,2022-01-26,Q.obs,28.3,B
08NA002,2022-01-26,H.obs,0.712,
08NA002,2022-01-27,Q.obs,28.2,B
08NA002,2022-01-27,H.obs,0.689,
08NA002,2022-01-28,H.obs,0.671,
08NA002,2022-01-28,Q.obs,28.1,B
08NA002,2022-01-29,H.obs,0.655,
08NA002,2022-01-29,Q.obs,28.0,B
08NA002,2022-01-30,Q.obs,27.8,B
08NA002,2022-01-30,H.obs,0.644,
08NA002,2022-01-31,H.obs,0.636,
08NA002,2022-01-31,Q.obs,27.5,B
08NA002,2022-02-01,H.obs,0.629,
08NA002,2022-02-01,Q.obs,27.3,B
08NA002,2022-02-02,H.obs,0.643,
08NA002,2022-02-02,Q.obs,27.2,B
08NA002,2022-02-03,Q.obs,27.1,B
08NA002,2022-02-03,H.obs,0.59,
08NA002,2022-02-04,H.obs,0.547,
08NA002,2022-02-04,Q.obs,27.0,B
08NA002,2022-02-05,H.obs,0.557,
08NA002,2022-02-05,Q.obs,26.9,B
08NA002,2022-02-06,Q.obs,26.8,B
08NA002,2022-02-06,H.obs,0.585,
08NA002,2022-02-07,Q.obs,26.8,B
08NA002,2022-02-07,H.obs,0.609,
08NA002,2022-02-08,H.obs,0.616,
08NA002,2022-02-08,Q.obs,26.6,B
08NA002,2022-02-09,Q.obs,26.3,B
08NA002,2022-02-09,H.obs,0.603,
08NA002,2022-02-10,H.obs,0.595,
08NA002,2022-02-10,Q.obs,26.0,B
08NA002,2022-02-11,Q.obs,25.7,B
08NA002,2022-02-11,H.obs,0.594,
08NA002,2022-02-12,Q.obs,25.6,B
08NA002,2022-02-12,H.obs,0.595,
08NA002,2022-02-13,Q.obs,25.4,B
08NA002,2022-02-13,H.obs,0.588,
