 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08NB017,2022-01-01,H.obs,742.239,
08NB017,2022-01-02,H.obs,741.946,
08NB017,2022-01-03,H.obs,741.674,
08NB017,2022-01-04,H.obs,741.37,
08NB017,2022-01-05,H.obs,741.047,
08NB017,2022-01-06,H.obs,740.701,
08NB017,2022-01-07,H.obs,740.407,
08NB017,2022-01-08,H.obs,740.128,
08NB017,2022-01-09,H.obs,739.83,
08NB017,2022-01-10,H.obs,739.572,
08NB017,2022-01-11,H.obs,739.354,
08NB017,2022-01-12,H.obs,739.168,
08NB017,2022-01-13,H.obs,738.975,
08NB017,2022-01-14,H.obs,738.785,
08NB017,2022-01-15,H.obs,738.646,
08NB017,2022-01-16,H.obs,738.495,
08NB017,2022-01-17,H.obs,738.327,
08NB017,2022-01-18,H.obs,738.165,
08NB017,2022-01-19,H.obs,737.965,
08NB017,2022-01-20,H.obs,737.801,
08NB017,2022-01-21,H.obs,737.703,
08NB017,2022-01-22,H.obs,737.569,
08NB017,2022-01-23,H.obs,737.393,
08NB017,2022-01-24,H.obs,737.178,
08NB017,2022-01-25,H.obs,736.948,
08NB017,2022-01-26,H.obs,736.718,
08NB017,2022-01-27,H.obs,736.429,
08NB017,2022-01-28,H.obs,736.143,
08NB017,2022-01-29,H.obs,735.871,
08NB017,2022-01-30,H.obs,735.652,
08NB017,2022-01-31,H.obs,735.497,
08NB017,2022-02-01,H.obs,735.255,
08NB017,2022-02-02,H.obs,734.931,
08NB017,2022-02-03,H.obs,734.612,
08NB017,2022-02-04,H.obs,734.31,
08NB017,2022-02-05,H.obs,734.105,
08NB017,2022-02-06,H.obs,733.87,
08NB017,2022-02-07,H.obs,733.654,
08NB017,2022-02-08,H.obs,733.444,
08NB017,2022-02-09,H.obs,733.23,
08NB017,2022-02-10,H.obs,733.067,
08NB017,2022-02-11,H.obs,732.874,
08NB017,2022-02-12,H.obs,732.696,
08NB017,2022-02-13,H.obs,732.524,
08NB017,2022-02-14,H.obs,732.365,
08NB017,2022-02-15,H.obs,732.21,
08NB017,2022-02-16,H.obs,732.06,
08NB017,2022-02-17,H.obs,731.905,
08NB017,2022-02-18,H.obs,731.735,
08NB017,2022-02-19,H.obs,731.602,
08NB017,2022-02-20,H.obs,731.509,
08NB017,2022-02-21,H.obs,731.301,
08NB017,2022-02-22,H.obs,730.957,
08NB017,2022-02-23,H.obs,730.591,
08NB017,2022-02-24,H.obs,730.199,
08NB017,2022-02-25,H.obs,729.826,
08NB017,2022-02-26,H.obs,729.475,
