 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08ND025,2022-01-01,Q.obs,1510,
08ND025,2022-01-02,Q.obs,1740,
08ND025,2022-01-03,Q.obs,1910,
08ND025,2022-01-04,Q.obs,1690,
08ND025,2022-01-05,Q.obs,1690,
08ND025,2022-01-06,Q.obs,1620,
08ND025,2022-01-07,Q.obs,1160,
08ND025,2022-01-08,Q.obs,1040,
08ND025,2022-01-09,Q.obs,1090,
08ND025,2022-01-10,Q.obs,1410,
08ND025,2022-01-11,Q.obs,990,
08ND025,2022-01-12,Q.obs,1180,
08ND025,2022-01-13,Q.obs,1080,
08ND025,2022-01-14,Q.obs,808,
08ND025,2022-01-15,Q.obs,775,
08ND025,2022-01-16,Q.obs,836,
08ND025,2022-01-17,Q.obs,1050,
08ND025,2022-01-18,Q.obs,1000,
08ND025,2022-01-19,Q.obs,919,
08ND025,2022-01-20,Q.obs,676,
08ND025,2022-01-21,Q.obs,788,
08ND025,2022-01-22,Q.obs,741,
08ND025,2022-01-23,Q.obs,958,
08ND025,2022-01-24,Q.obs,1290,
08ND025,2022-01-25,Q.obs,1100,
08ND025,2022-01-26,Q.obs,1340,
08ND025,2022-01-27,Q.obs,1370,
08ND025,2022-01-28,Q.obs,1270,
08ND025,2022-01-29,Q.obs,1150,
08ND025,2022-01-30,Q.obs,825,
08ND025,2022-01-31,Q.obs,1080,
08ND025,2022-02-01,Q.obs,1370,
08ND025,2022-02-02,Q.obs,1680,
08ND025,2022-02-03,Q.obs,1480,
08ND025,2022-02-04,Q.obs,1020,
08ND025,2022-02-05,Q.obs,853,
08ND025,2022-02-06,Q.obs,990,
08ND025,2022-02-07,Q.obs,1160,
08ND025,2022-02-08,Q.obs,939,
08ND025,2022-02-09,Q.obs,942,
08ND025,2022-02-10,Q.obs,902,
08ND025,2022-02-11,Q.obs,917,
08ND025,2022-02-12,Q.obs,730,
08ND025,2022-02-13,Q.obs,839,
08ND025,2022-02-14,Q.obs,816,
08ND025,2022-02-15,Q.obs,704,
08ND025,2022-02-16,Q.obs,761,
08ND025,2022-02-17,Q.obs,642,
08ND025,2022-02-18,Q.obs,917,
08ND025,2022-02-19,Q.obs,650,
08ND025,2022-02-20,Q.obs,630,
08ND025,2022-02-21,Q.obs,1270,
08ND025,2022-02-22,Q.obs,1590,
08ND025,2022-02-23,Q.obs,1640,
08ND025,2022-02-24,Q.obs,1520,
08ND025,2022-02-25,Q.obs,1640,
08ND025,2022-02-26,Q.obs,1600,
08ND025,2022-02-27,Q.obs,885,
08ND025,2022-02-28,Q.obs,1020,
08ND025,2022-03-01,Q.obs,912,
08ND025,2022-03-02,Q.obs,823,
08ND025,2022-03-03,Q.obs,816,
08ND025,2022-03-04,Q.obs,742,
08ND025,2022-03-05,Q.obs,451,
08ND025,2022-03-06,Q.obs,480,
08ND025,2022-03-07,Q.obs,787,
08ND025,2022-03-08,Q.obs,697,
08ND025,2022-03-09,Q.obs,771,
08ND025,2022-03-10,Q.obs,745,
08ND025,2022-03-11,Q.obs,510,
08ND025,2022-03-12,Q.obs,424,
08ND025,2022-03-13,Q.obs,642,
08ND025,2022-03-14,Q.obs,790,
08ND025,2022-03-15,Q.obs,560,
08ND025,2022-03-16,Q.obs,532,
08ND025,2022-03-17,Q.obs,759,
08ND025,2022-03-18,Q.obs,694,
08ND025,2022-03-19,Q.obs,753,
08ND025,2022-03-20,Q.obs,406,
08ND025,2022-03-21,Q.obs,729,
08ND025,2022-03-22,Q.obs,501,
08ND025,2022-03-23,Q.obs,500,
08ND025,2022-03-24,Q.obs,675,
08ND025,2022-03-25,Q.obs,716,
08ND025,2022-03-26,Q.obs,590,
08ND025,2022-03-27,Q.obs,431,
08ND025,2022-03-28,Q.obs,619,
08ND025,2022-03-29,Q.obs,303,
08ND025,2022-03-30,Q.obs,285,
08ND025,2022-03-31,Q.obs,484,
08ND025,2022-04-01,Q.obs,805,
08ND025,2022-04-02,Q.obs,444,
08ND025,2022-04-03,Q.obs,453,
08ND025,2022-04-04,Q.obs,775,
08ND025,2022-04-05,Q.obs,732,
08ND025,2022-04-06,Q.obs,1110,
08ND025,2022-04-07,Q.obs,1200,
08ND025,2022-04-08,Q.obs,953,
08ND025,2022-04-09,Q.obs,1030,
08ND025,2022-04-10,Q.obs,1140,
08ND025,2022-04-11,Q.obs,1030,
08ND025,2022-04-12,Q.obs,1340,
08ND025,2022-04-13,Q.obs,1030,
08ND025,2022-04-14,Q.obs,947,
08ND025,2022-04-15,Q.obs,1490,
08ND025,2022-04-16,Q.obs,1540,
08ND025,2022-04-17,Q.obs,1390,
08ND025,2022-04-18,Q.obs,1370,
08ND025,2022-04-19,Q.obs,981,
08ND025,2022-04-20,Q.obs,851,
08ND025,2022-04-21,Q.obs,1020,
08ND025,2022-04-22,Q.obs,602,
08ND025,2022-04-23,Q.obs,436,
08ND025,2022-04-24,Q.obs,594,
08ND025,2022-04-25,Q.obs,753,
08ND025,2022-04-26,Q.obs,733,
08ND025,2022-04-27,Q.obs,596,
08ND025,2022-04-28,Q.obs,745,
08ND025,2022-04-29,Q.obs,555,
08ND025,2022-04-30,Q.obs,572,
08ND025,2022-05-01,Q.obs,620,
08ND025,2022-05-02,Q.obs,622,
08ND025,2022-05-03,Q.obs,351,
08ND025,2022-05-04,Q.obs,589,
08ND025,2022-05-05,Q.obs,692,
08ND025,2022-05-06,Q.obs,524,
08ND025,2022-05-07,Q.obs,376,
08ND025,2022-05-08,Q.obs,310,
08ND025,2022-05-09,Q.obs,455,
08ND025,2022-05-10,Q.obs,309,
08ND025,2022-05-11,Q.obs,344,
08ND025,2022-05-12,Q.obs,395,
08ND025,2022-05-13,Q.obs,301,
08ND025,2022-05-14,Q.obs,287,
08ND025,2022-05-15,Q.obs,418,
08ND025,2022-05-16,Q.obs,260,
08ND025,2022-05-17,Q.obs,272,
08ND025,2022-05-18,Q.obs,359,
08ND025,2022-05-19,Q.obs,267,
08ND025,2022-05-20,Q.obs,282,
08ND025,2022-05-21,Q.obs,265,
08ND025,2022-05-22,Q.obs,258,
08ND025,2022-05-23,Q.obs,259,
08ND025,2022-05-24,Q.obs,285,
08ND025,2022-05-25,Q.obs,259,
08ND025,2022-05-26,Q.obs,378,
08ND025,2022-05-27,Q.obs,283,
08ND025,2022-05-28,Q.obs,310,
08ND025,2022-05-29,Q.obs,256,
08ND025,2022-05-30,Q.obs,542,
08ND025,2022-05-31,Q.obs,612,
08ND025,2022-06-01,Q.obs,895,
08ND025,2022-06-02,Q.obs,1080,
08ND025,2022-06-03,Q.obs,881,
08ND025,2022-06-04,Q.obs,615,
08ND025,2022-06-05,Q.obs,281,
08ND025,2022-06-06,Q.obs,449,
08ND025,2022-06-07,Q.obs,771,
08ND025,2022-06-08,Q.obs,756,
08ND025,2022-06-09,Q.obs,1230,
08ND025,2022-06-10,Q.obs,949,
08ND025,2022-06-11,Q.obs,955,
08ND025,2022-06-12,Q.obs,1330,
08ND025,2022-06-13,Q.obs,672,
08ND025,2022-06-14,Q.obs,737,
08ND025,2022-06-15,Q.obs,1100,
08ND025,2022-06-16,Q.obs,1170,
08ND025,2022-06-17,Q.obs,1170,
08ND025,2022-06-18,Q.obs,635,
08ND025,2022-06-19,Q.obs,439,
08ND025,2022-06-20,Q.obs,1150,
08ND025,2022-06-21,Q.obs,1210,
08ND025,2022-06-22,Q.obs,1020,
08ND025,2022-06-23,Q.obs,1200,
08ND025,2022-06-24,Q.obs,1390,
08ND025,2022-06-25,Q.obs,753,
08ND025,2022-06-26,Q.obs,1010,
08ND025,2022-06-27,Q.obs,1450,
08ND025,2022-06-28,Q.obs,921,
08ND025,2022-06-29,Q.obs,1160,
08ND025,2022-06-30,Q.obs,1020,
08ND025,2022-07-01,Q.obs,986,
08ND025,2022-07-02,Q.obs,1020,
08ND025,2022-07-03,Q.obs,456,
08ND025,2022-07-04,Q.obs,967,
08ND025,2022-07-05,Q.obs,1310,
08ND025,2022-07-06,Q.obs,1310,
08ND025,2022-07-07,Q.obs,919,
08ND025,2022-07-08,Q.obs,1090,
08ND025,2022-07-09,Q.obs,468,
08ND025,2022-07-10,Q.obs,691,
08ND025,2022-07-11,Q.obs,1290,
08ND025,2022-07-12,Q.obs,1340,
08ND025,2022-07-13,Q.obs,584,
08ND025,2022-07-14,Q.obs,1260,
08ND025,2022-07-15,Q.obs,1320,
08ND025,2022-07-16,Q.obs,1180,
08ND025,2022-07-17,Q.obs,905,
08ND025,2022-07-18,Q.obs,1240,
08ND025,2022-07-19,Q.obs,1420,
08ND025,2022-07-20,Q.obs,1210,
08ND025,2022-07-21,Q.obs,1360,
08ND025,2022-07-22,Q.obs,1410,
08ND025,2022-07-23,Q.obs,1580,
08ND025,2022-07-24,Q.obs,1340,
08ND025,2022-07-25,Q.obs,1560,
08ND025,2022-07-26,Q.obs,1700,
08ND025,2022-07-27,Q.obs,1670,
08ND025,2022-07-28,Q.obs,1570,
08ND025,2022-07-29,Q.obs,1610,
08ND025,2022-07-30,Q.obs,1610,
08ND025,2022-07-31,Q.obs,1480,
08ND025,2022-08-01,Q.obs,1550,
08ND025,2022-08-02,Q.obs,1460,
08ND025,2022-08-03,Q.obs,1470,
08ND025,2022-08-04,Q.obs,1460,
08ND025,2022-08-05,Q.obs,1610,
08ND025,2022-08-06,Q.obs,1410,
08ND025,2022-08-07,Q.obs,1380,
08ND025,2022-08-08,Q.obs,1750,
08ND025,2022-08-09,Q.obs,1680,
08ND025,2022-08-10,Q.obs,1070,
08ND025,2022-08-11,Q.obs,1430,
08ND025,2022-08-12,Q.obs,1500,
08ND025,2022-08-13,Q.obs,1150,
08ND025,2022-08-14,Q.obs,1180,
08ND025,2022-08-15,Q.obs,1530,
08ND025,2022-08-16,Q.obs,1580,
08ND025,2022-08-17,Q.obs,1680,
08ND025,2022-08-18,Q.obs,1700,
08ND025,2022-08-19,Q.obs,1570,
08ND025,2022-08-20,Q.obs,874,
08ND025,2022-08-21,Q.obs,1080,
08ND025,2022-08-22,Q.obs,1310,
08ND025,2022-08-23,Q.obs,1520,
08ND025,2022-08-24,Q.obs,1590,
08ND025,2022-08-25,Q.obs,1470,
08ND025,2022-08-26,Q.obs,523,
08ND025,2022-08-27,Q.obs,293,
08ND025,2022-08-28,Q.obs,831,
08ND025,2022-08-29,Q.obs,1170,
08ND025,2022-08-30,Q.obs,1410,
08ND025,2022-08-31,Q.obs,1610,
08ND025,2022-09-01,Q.obs,1450,
08ND025,2022-09-02,Q.obs,1420,
08ND025,2022-09-03,Q.obs,777,
08ND025,2022-09-04,Q.obs,577,
08ND025,2022-09-05,Q.obs,711,
08ND025,2022-09-06,Q.obs,1150,
08ND025,2022-09-07,Q.obs,537,
08ND025,2022-09-08,Q.obs,931,
08ND025,2022-09-09,Q.obs,767,
08ND025,2022-09-10,Q.obs,620,
08ND025,2022-09-11,Q.obs,668,
08ND025,2022-09-12,Q.obs,830,
08ND025,2022-09-13,Q.obs,656,
08ND025,2022-09-14,Q.obs,831,
08ND025,2022-09-15,Q.obs,590,
08ND025,2022-09-16,Q.obs,516,
08ND025,2022-09-17,Q.obs,432,
08ND025,2022-09-18,Q.obs,340,
08ND025,2022-09-19,Q.obs,758,
08ND025,2022-09-20,Q.obs,747,
08ND025,2022-09-21,Q.obs,925,
08ND025,2022-09-22,Q.obs,379,
08ND025,2022-09-23,Q.obs,492,
08ND025,2022-09-24,Q.obs,382,
08ND025,2022-09-25,Q.obs,425,
08ND025,2022-09-26,Q.obs,794,
08ND025,2022-09-27,Q.obs,755,
08ND025,2022-09-28,Q.obs,400,
08ND025,2022-09-29,Q.obs,313,
08ND025,2022-09-30,Q.obs,370,
08ND025,2022-10-01,Q.obs,332,
08ND025,2022-10-02,Q.obs,350,
08ND025,2022-10-03,Q.obs,338,
08ND025,2022-10-04,Q.obs,311,
08ND025,2022-10-05,Q.obs,442,
08ND025,2022-10-06,Q.obs,467,
08ND025,2022-10-07,Q.obs,451,
08ND025,2022-10-08,Q.obs,455,
08ND025,2022-10-09,Q.obs,299,
08ND025,2022-10-10,Q.obs,297,
08ND025,2022-10-11,Q.obs,351,
08ND025,2022-10-12,Q.obs,517,
08ND025,2022-10-13,Q.obs,402,
08ND025,2022-10-14,Q.obs,357,
08ND025,2022-10-15,Q.obs,348,
08ND025,2022-10-16,Q.obs,387,
08ND025,2022-10-17,Q.obs,596,
08ND025,2022-10-18,Q.obs,777,
08ND025,2022-10-19,Q.obs,777,
08ND025,2022-10-20,Q.obs,305,
08ND025,2022-10-21,Q.obs,328,
08ND025,2022-10-22,Q.obs,318,
08ND025,2022-10-23,Q.obs,292,
08ND025,2022-10-24,Q.obs,341,
08ND025,2022-10-25,Q.obs,424,
08ND025,2022-10-26,Q.obs,299,
08ND025,2022-10-27,Q.obs,304,
08ND025,2022-10-28,Q.obs,317,
08ND025,2022-10-29,Q.obs,278,
08ND025,2022-10-30,Q.obs,290,
08ND025,2022-10-31,Q.obs,301,
08ND025,2022-11-01,Q.obs,342,
08ND025,2022-11-02,Q.obs,606,
08ND025,2022-11-03,Q.obs,934,
08ND025,2022-11-04,Q.obs,760,
08ND025,2022-11-05,Q.obs,505,
08ND025,2022-11-06,Q.obs,788,
08ND025,2022-11-07,Q.obs,1020,
08ND025,2022-11-08,Q.obs,1350,
08ND025,2022-11-09,Q.obs,1140,
08ND025,2022-11-10,Q.obs,1120,
08ND025,2022-11-11,Q.obs,1090,
08ND025,2022-11-12,Q.obs,1140,
08ND025,2022-11-13,Q.obs,1160,
08ND025,2022-11-14,Q.obs,1220,
08ND025,2022-11-15,Q.obs,1320,
08ND025,2022-11-16,Q.obs,1390,
08ND025,2022-11-17,Q.obs,1290,
08ND025,2022-11-18,Q.obs,1370,
08ND025,2022-11-19,Q.obs,1110,
08ND025,2022-11-20,Q.obs,1160,
08ND025,2022-11-21,Q.obs,966,
08ND025,2022-11-22,Q.obs,803,
08ND025,2022-11-23,Q.obs,939,
08ND025,2022-11-24,Q.obs,654,
08ND025,2022-11-25,Q.obs,681,
08ND025,2022-11-26,Q.obs,798,
08ND025,2022-11-27,Q.obs,667,
08ND025,2022-11-28,Q.obs,1130,
08ND025,2022-11-29,Q.obs,1450,
08ND025,2022-11-30,Q.obs,1510,
08ND025,2022-12-01,Q.obs,1580,
08ND025,2022-12-02,Q.obs,1410,
08ND025,2022-12-03,Q.obs,1140,
08ND025,2022-12-04,Q.obs,1400,
08ND025,2022-12-05,Q.obs,1480,
08ND025,2022-12-06,Q.obs,1510,
08ND025,2022-12-07,Q.obs,1430,
08ND025,2022-12-08,Q.obs,1340,
08ND025,2022-12-09,Q.obs,1070,
08ND025,2022-12-10,Q.obs,1040,
08ND025,2022-12-11,Q.obs,865,
08ND025,2022-12-12,Q.obs,1010,
08ND025,2022-12-13,Q.obs,1460,
08ND025,2022-12-14,Q.obs,1250,
08ND025,2022-12-15,Q.obs,1390,
08ND025,2022-12-16,Q.obs,1350,
08ND025,2022-12-17,Q.obs,1360,
08ND025,2022-12-18,Q.obs,1450,
08ND025,2022-12-19,Q.obs,1820,
08ND025,2022-12-20,Q.obs,1770,
08ND025,2022-12-21,Q.obs,1760,
08ND025,2022-12-22,Q.obs,1930,
08ND025,2022-12-23,Q.obs,1780,
08ND025,2022-12-24,Q.obs,1170,
08ND025,2022-12-25,Q.obs,721,
08ND025,2022-12-26,Q.obs,328,
08ND025,2022-12-27,Q.obs,398,
08ND025,2022-12-28,Q.obs,373,
08ND025,2022-12-29,Q.obs,720,
08ND025,2022-12-30,Q.obs,688,
08ND025,2022-12-31,Q.obs,335,
08ND025,2023-01-01,Q.obs,502,
08ND025,2023-01-02,Q.obs,1070,
08ND025,2023-01-03,Q.obs,1210,
08ND025,2023-01-04,Q.obs,1080,
08ND025,2023-01-05,Q.obs,1070,
08ND025,2023-01-06,Q.obs,760,
08ND025,2023-01-07,Q.obs,1040,
08ND025,2023-01-08,Q.obs,957,
08ND025,2023-01-09,Q.obs,1260,
08ND025,2023-01-10,Q.obs,1340,
08ND025,2023-01-11,Q.obs,1350,
08ND025,2023-01-12,Q.obs,1010,
08ND025,2023-01-13,Q.obs,941,
08ND025,2023-01-14,Q.obs,853,
08ND025,2023-01-15,Q.obs,953,
08ND025,2023-01-16,Q.obs,1100,
08ND025,2023-01-17,Q.obs,1110,
08ND025,2023-01-18,Q.obs,1250,
08ND025,2023-01-19,Q.obs,1340,
08ND025,2023-01-20,Q.obs,1320,
08ND025,2023-01-21,Q.obs,1360,
08ND025,2023-01-22,Q.obs,1280,
08ND025,2023-01-23,Q.obs,1150,
08ND025,2023-01-24,Q.obs,1180,
08ND025,2023-01-25,Q.obs,1050,
