 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08NE126,2022-01-01,Q.obs,2020,
08NE126,2022-01-02,Q.obs,1910,
08NE126,2022-01-03,Q.obs,1910,
08NE126,2022-01-04,Q.obs,1920,
08NE126,2022-01-05,Q.obs,1880,
08NE126,2022-01-06,Q.obs,1850,
08NE126,2022-01-07,Q.obs,1850,
08NE126,2022-01-08,Q.obs,1700,
08NE126,2022-01-09,Q.obs,1620,
08NE126,2022-01-10,Q.obs,1610,
08NE126,2022-01-11,Q.obs,1600,
08NE126,2022-01-12,Q.obs,1600,
08NE126,2022-01-13,Q.obs,1590,
08NE126,2022-01-14,Q.obs,1580,
08NE126,2022-01-15,Q.obs,1560,
08NE126,2022-01-16,Q.obs,1540,
08NE126,2022-01-17,Q.obs,1520,
08NE126,2022-01-18,Q.obs,1530,
08NE126,2022-01-19,Q.obs,1540,
08NE126,2022-01-20,Q.obs,1530,
08NE126,2022-01-21,Q.obs,1540,
08NE126,2022-01-22,Q.obs,1760,
08NE126,2022-01-23,Q.obs,1840,
08NE126,2022-01-24,Q.obs,1840,
08NE126,2022-01-25,Q.obs,1890,
08NE126,2022-01-26,Q.obs,1890,
08NE126,2022-01-27,Q.obs,1860,
08NE126,2022-01-28,Q.obs,1820,
08NE126,2022-01-29,Q.obs,1730,
08NE126,2022-01-30,Q.obs,1700,
08NE126,2022-01-31,Q.obs,1700,
08NE126,2022-02-01,Q.obs,1700,
08NE126,2022-02-02,Q.obs,1700,
08NE126,2022-02-03,Q.obs,1700,
08NE126,2022-02-04,Q.obs,1690,
08NE126,2022-02-05,Q.obs,1500,
08NE126,2022-02-06,Q.obs,1400,
08NE126,2022-02-07,Q.obs,1390,
08NE126,2022-02-08,Q.obs,1400,
08NE126,2022-02-09,Q.obs,1410,
08NE126,2022-02-10,Q.obs,1410,
08NE126,2022-02-11,Q.obs,1420,
08NE126,2022-02-12,Q.obs,1410,
08NE126,2022-02-13,Q.obs,1410,
08NE126,2022-02-14,Q.obs,1410,
08NE126,2022-02-15,Q.obs,1410,
08NE126,2022-02-16,Q.obs,1410,
08NE126,2022-02-17,Q.obs,1420,
08NE126,2022-02-18,Q.obs,1420,
08NE126,2022-02-19,Q.obs,1430,
08NE126,2022-02-20,Q.obs,1430,
08NE126,2022-02-21,Q.obs,1430,
08NE126,2022-02-22,Q.obs,1430,
08NE126,2022-02-23,Q.obs,1430,
08NE126,2022-02-24,Q.obs,1430,
08NE126,2022-02-25,Q.obs,1430,
08NE126,2022-02-26,Q.obs,1400,
08NE126,2022-02-27,Q.obs,1400,
08NE126,2022-02-28,Q.obs,1110,
08NE126,2022-03-01,Q.obs,976,
08NE126,2022-03-02,Q.obs,982,
08NE126,2022-03-03,Q.obs,983,
08NE126,2022-03-04,Q.obs,983,
08NE126,2022-03-05,Q.obs,920,
08NE126,2022-03-06,Q.obs,881,
08NE126,2022-03-07,Q.obs,932,
08NE126,2022-03-08,Q.obs,978,
08NE126,2022-03-09,Q.obs,979,
08NE126,2022-03-10,Q.obs,980,
08NE126,2022-03-11,Q.obs,972,
08NE126,2022-03-12,Q.obs,699,
08NE126,2022-03-13,Q.obs,593,
08NE126,2022-03-14,Q.obs,597,
08NE126,2022-03-15,Q.obs,602,
08NE126,2022-03-16,Q.obs,604,
08NE126,2022-03-17,Q.obs,612,
08NE126,2022-03-18,Q.obs,615,
08NE126,2022-03-19,Q.obs,616,
08NE126,2022-03-20,Q.obs,617,
08NE126,2022-03-21,Q.obs,627,
08NE126,2022-03-22,Q.obs,630,
08NE126,2022-03-23,Q.obs,629,
08NE126,2022-03-24,Q.obs,630,
08NE126,2022-03-25,Q.obs,635,
08NE126,2022-03-26,Q.obs,625,
08NE126,2022-03-27,Q.obs,615,
08NE126,2022-03-28,Q.obs,618,
08NE126,2022-03-29,Q.obs,624,
08NE126,2022-03-30,Q.obs,625,
08NE126,2022-03-31,Q.obs,624,
08NE126,2022-04-01,Q.obs,624,
08NE126,2022-04-02,Q.obs,582,
08NE126,2022-04-03,Q.obs,565,
08NE126,2022-04-04,Q.obs,573,
08NE126,2022-04-05,Q.obs,588,
08NE126,2022-04-06,Q.obs,601,
08NE126,2022-04-07,Q.obs,612,
08NE126,2022-04-08,Q.obs,597,
08NE126,2022-04-09,Q.obs,370,
08NE126,2022-04-10,Q.obs,287,
08NE126,2022-04-11,Q.obs,286,
08NE126,2022-04-12,Q.obs,285,
08NE126,2022-04-13,Q.obs,287,
08NE126,2022-04-14,Q.obs,285,
08NE126,2022-04-15,Q.obs,285,
08NE126,2022-04-16,Q.obs,440,
08NE126,2022-04-17,Q.obs,512,
08NE126,2022-04-18,Q.obs,512,
08NE126,2022-04-19,Q.obs,512,
08NE126,2022-04-20,Q.obs,512,
08NE126,2022-04-21,Q.obs,711,
08NE126,2022-04-22,Q.obs,847,
08NE126,2022-04-23,Q.obs,847,
08NE126,2022-04-24,Q.obs,846,
08NE126,2022-04-25,Q.obs,846,
08NE126,2022-04-26,Q.obs,847,
08NE126,2022-04-27,Q.obs,847,
08NE126,2022-04-28,Q.obs,848,
08NE126,2022-04-29,Q.obs,848,
08NE126,2022-04-30,Q.obs,749,
08NE126,2022-05-01,Q.obs,706,
08NE126,2022-05-02,Q.obs,699,
08NE126,2022-05-03,Q.obs,695,
08NE126,2022-05-04,Q.obs,662,
08NE126,2022-05-05,Q.obs,671,
08NE126,2022-05-06,Q.obs,680,
08NE126,2022-05-07,Q.obs,680,
08NE126,2022-05-08,Q.obs,680,
08NE126,2022-05-09,Q.obs,680,
08NE126,2022-05-10,Q.obs,681,
08NE126,2022-05-11,Q.obs,682,
08NE126,2022-05-12,Q.obs,680,
08NE126,2022-05-13,Q.obs,680,
08NE126,2022-05-14,Q.obs,680,
08NE126,2022-05-15,Q.obs,680,
08NE126,2022-05-16,Q.obs,680,
08NE126,2022-05-17,Q.obs,680,
08NE126,2022-05-18,Q.obs,680,
08NE126,2022-05-19,Q.obs,680,
08NE126,2022-05-20,Q.obs,680,
08NE126,2022-05-21,Q.obs,680,
08NE126,2022-05-22,Q.obs,680,
08NE126,2022-05-23,Q.obs,680,
08NE126,2022-05-24,Q.obs,680,
08NE126,2022-05-25,Q.obs,680,
08NE126,2022-05-26,Q.obs,680,
08NE126,2022-05-27,Q.obs,657,
08NE126,2022-05-28,Q.obs,810,
08NE126,2022-05-29,Q.obs,886,
08NE126,2022-05-30,Q.obs,887,
08NE126,2022-05-31,Q.obs,905,
08NE126,2022-06-01,Q.obs,914,
08NE126,2022-06-02,Q.obs,901,
08NE126,2022-06-03,Q.obs,891,
08NE126,2022-06-04,Q.obs,877,
08NE126,2022-06-05,Q.obs,877,
08NE126,2022-06-06,Q.obs,877,
08NE126,2022-06-07,Q.obs,877,
08NE126,2022-06-08,Q.obs,877,
08NE126,2022-06-09,Q.obs,877,
08NE126,2022-06-10,Q.obs,778,
08NE126,2022-06-11,Q.obs,606,
08NE126,2022-06-12,Q.obs,564,
08NE126,2022-06-13,Q.obs,625,
08NE126,2022-06-14,Q.obs,709,
08NE126,2022-06-15,Q.obs,709,
08NE126,2022-06-16,Q.obs,707,
08NE126,2022-06-17,Q.obs,707,
08NE126,2022-06-18,Q.obs,630,
08NE126,2022-06-19,Q.obs,595,
08NE126,2022-06-20,Q.obs,598,
08NE126,2022-06-21,Q.obs,600,
08NE126,2022-06-22,Q.obs,599,
08NE126,2022-06-23,Q.obs,792,
08NE126,2022-06-24,Q.obs,1310,
08NE126,2022-06-25,Q.obs,1670,
08NE126,2022-06-26,Q.obs,1760,
08NE126,2022-06-27,Q.obs,1760,
08NE126,2022-06-28,Q.obs,1660,
08NE126,2022-06-29,Q.obs,1590,
08NE126,2022-06-30,Q.obs,1590,
08NE126,2022-07-01,Q.obs,1590,
08NE126,2022-07-02,Q.obs,1590,
08NE126,2022-07-03,Q.obs,1590,
08NE126,2022-07-04,Q.obs,1590,
08NE126,2022-07-05,Q.obs,1870,
08NE126,2022-07-06,Q.obs,2010,
08NE126,2022-07-07,Q.obs,2020,
08NE126,2022-07-08,Q.obs,2020,
08NE126,2022-07-09,Q.obs,2070,
08NE126,2022-07-10,Q.obs,2090,
08NE126,2022-07-11,Q.obs,2100,
08NE126,2022-07-12,Q.obs,2100,
08NE126,2022-07-13,Q.obs,2100,
08NE126,2022-07-14,Q.obs,2100,
08NE126,2022-07-15,Q.obs,2100,
08NE126,2022-07-16,Q.obs,2180,
08NE126,2022-07-17,Q.obs,2210,
08NE126,2022-07-18,Q.obs,2210,
08NE126,2022-07-19,Q.obs,2210,
08NE126,2022-07-20,Q.obs,2210,
08NE126,2022-07-21,Q.obs,2210,
08NE126,2022-07-22,Q.obs,2210,
08NE126,2022-07-23,Q.obs,2290,
08NE126,2022-07-24,Q.obs,2320,
08NE126,2022-07-25,Q.obs,2320,
08NE126,2022-07-26,Q.obs,2320,
08NE126,2022-07-27,Q.obs,2320,
08NE126,2022-07-28,Q.obs,2320,
08NE126,2022-07-29,Q.obs,2320,
08NE126,2022-07-30,Q.obs,2200,
08NE126,2022-07-31,Q.obs,2150,
08NE126,2022-08-01,Q.obs,2150,
08NE126,2022-08-02,Q.obs,2150,
08NE126,2022-08-03,Q.obs,2150,
08NE126,2022-08-04,Q.obs,2150,
08NE126,2022-08-05,Q.obs,2210,
08NE126,2022-08-06,Q.obs,2580,
08NE126,2022-08-07,Q.obs,2700,
08NE126,2022-08-08,Q.obs,2700,
08NE126,2022-08-09,Q.obs,2700,
08NE126,2022-08-10,Q.obs,2700,
08NE126,2022-08-11,Q.obs,2700,
08NE126,2022-08-12,Q.obs,2700,
08NE126,2022-08-13,Q.obs,2700,
08NE126,2022-08-14,Q.obs,2700,
08NE126,2022-08-15,Q.obs,2700,
08NE126,2022-08-16,Q.obs,2700,
08NE126,2022-08-17,Q.obs,2700,
08NE126,2022-08-18,Q.obs,2700,
08NE126,2022-08-19,Q.obs,2700,
08NE126,2022-08-20,Q.obs,2400,
08NE126,2022-08-21,Q.obs,2200,
08NE126,2022-08-22,Q.obs,2170,
08NE126,2022-08-23,Q.obs,2170,
08NE126,2022-08-24,Q.obs,2160,
08NE126,2022-08-25,Q.obs,2170,
08NE126,2022-08-26,Q.obs,2170,
08NE126,2022-08-27,Q.obs,1870,
08NE126,2022-08-28,Q.obs,1490,
08NE126,2022-08-29,Q.obs,1390,
08NE126,2022-08-30,Q.obs,1390,
08NE126,2022-08-31,Q.obs,1390,
08NE126,2022-09-01,Q.obs,1390,
08NE126,2022-09-02,Q.obs,1390,
08NE126,2022-09-03,Q.obs,1690,
08NE126,2022-09-04,Q.obs,2050,
08NE126,2022-09-05,Q.obs,2140,
08NE126,2022-09-06,Q.obs,2140,
08NE126,2022-09-07,Q.obs,2140,
08NE126,2022-09-08,Q.obs,2130,
08NE126,2022-09-09,Q.obs,2070,
08NE126,2022-09-10,Q.obs,1700,
08NE126,2022-09-11,Q.obs,1380,
08NE126,2022-09-12,Q.obs,1290,
08NE126,2022-09-13,Q.obs,1290,
08NE126,2022-09-14,Q.obs,1290,
08NE126,2022-09-15,Q.obs,1290,
08NE126,2022-09-16,Q.obs,1290,
08NE126,2022-09-17,Q.obs,1260,
08NE126,2022-09-18,Q.obs,1250,
08NE126,2022-09-19,Q.obs,1250,
08NE126,2022-09-20,Q.obs,1250,
08NE126,2022-09-21,Q.obs,1250,
08NE126,2022-09-22,Q.obs,1240,
08NE126,2022-09-23,Q.obs,1230,
08NE126,2022-09-24,Q.obs,1210,
08NE126,2022-09-25,Q.obs,1250,
08NE126,2022-09-26,Q.obs,1250,
08NE126,2022-09-27,Q.obs,1230,
08NE126,2022-09-28,Q.obs,1220,
08NE126,2022-09-29,Q.obs,1190,
08NE126,2022-09-30,Q.obs,1170,
08NE126,2022-10-01,Q.obs,853,
08NE126,2022-10-02,Q.obs,670,
08NE126,2022-10-03,Q.obs,646,
08NE126,2022-10-04,Q.obs,646,
08NE126,2022-10-05,Q.obs,646,
08NE126,2022-10-06,Q.obs,646,
08NE126,2022-10-07,Q.obs,646,
08NE126,2022-10-08,Q.obs,843,
08NE126,2022-10-09,Q.obs,988,
08NE126,2022-10-10,Q.obs,969,
08NE126,2022-10-11,Q.obs,958,
08NE126,2022-10-12,Q.obs,843,
08NE126,2022-10-13,Q.obs,791,
08NE126,2022-10-14,Q.obs,779,
08NE126,2022-10-15,Q.obs,770,
08NE126,2022-10-16,Q.obs,947,
08NE126,2022-10-17,Q.obs,1010,
08NE126,2022-10-18,Q.obs,1010,
