 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08NG065,2022-01-01,Q.obs,39.7,B
08NG065,2022-01-01,H.obs,1.849,
08NG065,2022-01-02,H.obs,2.05,
08NG065,2022-01-02,Q.obs,39.4,B
08NG065,2022-01-03,Q.obs,39.6,B
08NG065,2022-01-03,H.obs,2.113,
08NG065,2022-01-04,Q.obs,40.3,B
08NG065,2022-01-04,H.obs,2.074,
08NG065,2022-01-05,Q.obs,41.0,B
08NG065,2022-01-05,H.obs,2.108,
08NG065,2022-01-06,H.obs,2.184,
08NG065,2022-01-06,Q.obs,41.8,B
08NG065,2022-01-07,H.obs,2.318,
08NG065,2022-01-07,Q.obs,42.5,B
08NG065,2022-01-08,H.obs,2.239,
08NG065,2022-01-08,Q.obs,43.2,B
08NG065,2022-01-09,H.obs,2.096,
08NG065,2022-01-09,Q.obs,44.0,B
08NG065,2022-01-10,H.obs,1.969,
08NG065,2022-01-10,Q.obs,44.8,B
08NG065,2022-01-11,H.obs,1.792,
08NG065,2022-01-11,Q.obs,46.3,B
08NG065,2022-01-12,H.obs,1.741,
08NG065,2022-01-12,Q.obs,48.0,B
08NG065,2022-01-13,Q.obs,49.8,B
08NG065,2022-01-13,H.obs,1.691,
08NG065,2022-01-14,Q.obs,51.5,B
08NG065,2022-01-14,H.obs,1.676,
08NG065,2022-01-15,Q.obs,51.7,B
08NG065,2022-01-15,H.obs,1.362,
08NG065,2022-01-16,H.obs,1.093,
08NG065,2022-01-16,Q.obs,51.5,B
08NG065,2022-01-17,Q.obs,51.3,B
08NG065,2022-01-17,H.obs,0.88,
08NG065,2022-01-18,Q.obs,51.1,B
08NG065,2022-01-18,H.obs,0.758,
08NG065,2022-01-19,Q.obs,50.9,B
08NG065,2022-01-19,H.obs,0.713,
08NG065,2022-01-20,Q.obs,50.8,B
08NG065,2022-01-20,H.obs,0.656,
08NG065,2022-01-21,Q.obs,50.6,B
08NG065,2022-01-21,H.obs,0.602,
08NG065,2022-01-22,H.obs,0.593,
08NG065,2022-01-22,Q.obs,51.1,B
08NG065,2022-01-23,Q.obs,52.7,
08NG065,2022-01-23,H.obs,0.612,
08NG065,2022-01-24,H.obs,0.612,
08NG065,2022-01-24,Q.obs,52.7,
08NG065,2022-01-25,Q.obs,50.6,
08NG065,2022-01-25,H.obs,0.587,
08NG065,2022-01-26,Q.obs,48.6,
08NG065,2022-01-26,H.obs,0.564,
08NG065,2022-01-27,Q.obs,48.0,
08NG065,2022-01-27,H.obs,0.556,
08NG065,2022-01-28,H.obs,0.542,
08NG065,2022-01-28,Q.obs,46.8,
08NG065,2022-01-29,H.obs,0.503,
08NG065,2022-01-29,Q.obs,43.6,
08NG065,2022-01-30,Q.obs,42.1,
08NG065,2022-01-30,H.obs,0.484,
08NG065,2022-01-31,H.obs,0.508,
08NG065,2022-01-31,Q.obs,44.0,
08NG065,2022-02-01,H.obs,0.531,
08NG065,2022-02-01,Q.obs,45.9,
08NG065,2022-02-02,H.obs,0.527,
08NG065,2022-02-02,Q.obs,45.6,
08NG065,2022-02-03,Q.obs,38.7,
08NG065,2022-02-03,H.obs,0.44,
