 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08NH127,2022-01-01,H.obs,569.314,
08NH127,2022-01-02,H.obs,569.085,
08NH127,2022-01-03,H.obs,568.863,
08NH127,2022-01-04,H.obs,568.634,
08NH127,2022-01-05,H.obs,568.411,
08NH127,2022-01-06,H.obs,568.181,
08NH127,2022-01-07,H.obs,567.959,
08NH127,2022-01-08,H.obs,567.721,
08NH127,2022-01-09,H.obs,567.488,
08NH127,2022-01-10,H.obs,567.241,
08NH127,2022-01-11,H.obs,566.959,
08NH127,2022-01-12,H.obs,566.676,
08NH127,2022-01-13,H.obs,566.39,
08NH127,2022-01-14,H.obs,566.096,
08NH127,2022-01-15,H.obs,565.806,
08NH127,2022-01-16,H.obs,565.515,
08NH127,2022-01-17,H.obs,565.226,
08NH127,2022-01-18,H.obs,564.928,
08NH127,2022-01-19,H.obs,564.622,
08NH127,2022-01-20,H.obs,564.319,
08NH127,2022-01-21,H.obs,564.011,
08NH127,2022-01-22,H.obs,563.698,
08NH127,2022-01-23,H.obs,563.387,
08NH127,2022-01-24,H.obs,563.07,
08NH127,2022-01-25,H.obs,562.749,
08NH127,2022-01-26,H.obs,562.421,
08NH127,2022-01-27,H.obs,562.092,
08NH127,2022-01-28,H.obs,561.757,
08NH127,2022-01-29,H.obs,561.418,
08NH127,2022-01-30,H.obs,561.086,
08NH127,2022-01-31,H.obs,560.754,
08NH127,2022-02-01,H.obs,560.425,
08NH127,2022-02-02,H.obs,560.158,
08NH127,2022-02-03,H.obs,559.892,
08NH127,2022-02-04,H.obs,559.634,
08NH127,2022-02-05,H.obs,559.373,
08NH127,2022-02-06,H.obs,559.106,
08NH127,2022-02-07,H.obs,558.833,
08NH127,2022-02-08,H.obs,558.561,
08NH127,2022-02-09,H.obs,558.29,
08NH127,2022-02-10,H.obs,558.013,
08NH127,2022-02-11,H.obs,557.737,
08NH127,2022-02-12,H.obs,557.455,
08NH127,2022-02-13,H.obs,557.171,
08NH127,2022-02-14,H.obs,556.886,
08NH127,2022-02-15,H.obs,556.596,
08NH127,2022-02-16,H.obs,556.305,
08NH127,2022-02-17,H.obs,556.01,
