 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
08NJ158,2022-01-01,Q.obs,1150,
08NJ158,2022-01-02,Q.obs,1100,
08NJ158,2022-01-03,Q.obs,1040,
08NJ158,2022-01-04,Q.obs,983,
08NJ158,2022-01-05,Q.obs,943,
08NJ158,2022-01-06,Q.obs,937,
08NJ158,2022-01-07,Q.obs,915,
08NJ158,2022-01-08,Q.obs,920,
08NJ158,2022-01-09,Q.obs,934,
08NJ158,2022-01-10,Q.obs,983,
08NJ158,2022-01-11,Q.obs,1050,
08NJ158,2022-01-12,Q.obs,1040,
08NJ158,2022-01-13,Q.obs,1100,
08NJ158,2022-01-14,Q.obs,1130,
08NJ158,2022-01-15,Q.obs,1150,
08NJ158,2022-01-16,Q.obs,1140,
08NJ158,2022-01-17,Q.obs,1110,
08NJ158,2022-01-18,Q.obs,1080,
08NJ158,2022-01-19,Q.obs,1060,
08NJ158,2022-01-20,Q.obs,1060,
08NJ158,2022-01-21,Q.obs,1060,
08NJ158,2022-01-22,Q.obs,1040,
08NJ158,2022-01-23,Q.obs,1030,
08NJ158,2022-01-24,Q.obs,1010,
08NJ158,2022-01-25,Q.obs,1010,
08NJ158,2022-01-26,Q.obs,997,
08NJ158,2022-01-27,Q.obs,1010,
08NJ158,2022-01-28,Q.obs,1020,
08NJ158,2022-01-29,Q.obs,971,
08NJ158,2022-01-30,Q.obs,929,
08NJ158,2022-01-31,Q.obs,929,
08NJ158,2022-02-01,Q.obs,892,
08NJ158,2022-02-02,Q.obs,892,
08NJ158,2022-02-03,Q.obs,810,
08NJ158,2022-02-04,Q.obs,810,
08NJ158,2022-02-05,Q.obs,807,
08NJ158,2022-02-06,Q.obs,841,
08NJ158,2022-02-07,Q.obs,841,
08NJ158,2022-02-08,Q.obs,838,
08NJ158,2022-02-09,Q.obs,793,
08NJ158,2022-02-10,Q.obs,838,
08NJ158,2022-02-11,Q.obs,838,
08NJ158,2022-02-12,Q.obs,838,
08NJ158,2022-02-13,Q.obs,838,
08NJ158,2022-02-14,Q.obs,841,
08NJ158,2022-02-15,Q.obs,801,
08NJ158,2022-02-16,Q.obs,801,
08NJ158,2022-02-17,Q.obs,801,
08NJ158,2022-02-18,Q.obs,782,
08NJ158,2022-02-19,Q.obs,767,
08NJ158,2022-02-20,Q.obs,767,
08NJ158,2022-02-21,Q.obs,767,
08NJ158,2022-02-22,Q.obs,765,
08NJ158,2022-02-23,Q.obs,765,
08NJ158,2022-02-24,Q.obs,765,
08NJ158,2022-02-25,Q.obs,767,
08NJ158,2022-02-26,Q.obs,711,
08NJ158,2022-02-27,Q.obs,708,
08NJ158,2022-02-28,Q.obs,711,
08NJ158,2022-03-01,Q.obs,711,
08NJ158,2022-03-02,Q.obs,711,
08NJ158,2022-03-03,Q.obs,595,
08NJ158,2022-03-04,Q.obs,549,
08NJ158,2022-03-05,Q.obs,561,
08NJ158,2022-03-06,Q.obs,544,
08NJ158,2022-03-07,Q.obs,589,
08NJ158,2022-03-08,Q.obs,629,
08NJ158,2022-03-09,Q.obs,631,
08NJ158,2022-03-10,Q.obs,631,
