 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
09AE003,2022-01-01,Q.obs,20.1,B
09AE003,2022-01-01,H.obs,1.267,A
09AE003,2022-01-02,H.obs,1.248,A
09AE003,2022-01-02,Q.obs,19.1,B
09AE003,2022-01-03,Q.obs,18.1,B
09AE003,2022-01-03,H.obs,1.271,A
09AE003,2022-01-04,Q.obs,17.1,B
09AE003,2022-01-04,H.obs,1.215,A
09AE003,2022-01-05,Q.obs,16.1,B
09AE003,2022-01-05,H.obs,1.162,A
09AE003,2022-01-06,H.obs,1.147,A
09AE003,2022-01-06,Q.obs,15.3,B
09AE003,2022-01-07,H.obs,1.115,A
09AE003,2022-01-07,Q.obs,15.0,B
09AE003,2022-01-08,H.obs,1.095,A
09AE003,2022-01-08,Q.obs,14.8,B
09AE003,2022-01-09,H.obs,1.079,A
09AE003,2022-01-09,Q.obs,14.7,B
09AE003,2022-01-10,H.obs,1.113,A
09AE003,2022-01-10,Q.obs,14.6,B
09AE003,2022-01-11,H.obs,1.098,A
09AE003,2022-01-11,Q.obs,14.8,B
09AE003,2022-01-12,H.obs,1.12,A
09AE003,2022-01-12,Q.obs,15.2,B
09AE003,2022-01-13,Q.obs,15.5,B
09AE003,2022-01-13,H.obs,1.111,A
09AE003,2022-01-14,Q.obs,15.8,B
09AE003,2022-01-14,H.obs,1.113,A
09AE003,2022-01-15,Q.obs,16.2,B
09AE003,2022-01-15,H.obs,1.204,A
09AE003,2022-01-16,H.obs,1.153,A
09AE003,2022-01-16,Q.obs,16.3,B
09AE003,2022-01-17,Q.obs,16.5,B
09AE003,2022-01-17,H.obs,1.163,A
09AE003,2022-01-18,Q.obs,16.6,B
09AE003,2022-01-18,H.obs,1.176,A
09AE003,2022-01-19,Q.obs,16.8,B
09AE003,2022-01-19,H.obs,1.163,A
09AE003,2022-01-20,Q.obs,16.9,B
09AE003,2022-01-20,H.obs,1.159,A
09AE003,2022-01-21,Q.obs,17.1,B
09AE003,2022-01-21,H.obs,1.164,A
09AE003,2022-01-22,H.obs,1.179,A
09AE003,2022-01-22,Q.obs,17.2,B
09AE003,2022-01-23,Q.obs,17.1,B
09AE003,2022-01-23,H.obs,1.187,A
09AE003,2022-01-24,H.obs,1.184,A
09AE003,2022-01-24,Q.obs,16.9,B
09AE003,2022-01-25,Q.obs,16.8,B
09AE003,2022-01-25,H.obs,1.204,A
09AE003,2022-01-26,Q.obs,16.6,B
09AE003,2022-01-26,H.obs,1.179,A
09AE003,2022-01-27,Q.obs,16.4,B
09AE003,2022-01-27,H.obs,1.174,A
09AE003,2022-01-28,H.obs,1.163,A
09AE003,2022-01-28,Q.obs,16.2,B
09AE003,2022-01-29,H.obs,1.155,A
09AE003,2022-01-29,Q.obs,16.0,B
09AE003,2022-01-30,Q.obs,15.5,B
09AE003,2022-01-30,H.obs,1.148,A
09AE003,2022-01-31,H.obs,1.146,A
09AE003,2022-01-31,Q.obs,15.0,B
09AE003,2022-02-01,H.obs,1.102,A
09AE003,2022-02-01,Q.obs,14.6,B
09AE003,2022-02-02,H.obs,1.069,A
09AE003,2022-02-02,Q.obs,14.4,B
09AE003,2022-02-03,Q.obs,14.3,B
09AE003,2022-02-03,H.obs,1.078,A
09AE003,2022-02-04,H.obs,1.119,A
09AE003,2022-02-04,Q.obs,14.3,B
09AE003,2022-02-05,H.obs,1.117,A
09AE003,2022-02-05,Q.obs,14.2,B
09AE003,2022-02-06,Q.obs,14.2,B
09AE003,2022-02-06,H.obs,1.203,A
09AE003,2022-02-07,Q.obs,14.1,B
09AE003,2022-02-07,H.obs,1.176,
09AE003,2022-02-08,H.obs,1.16,
09AE003,2022-02-08,Q.obs,14.1,B
09AE003,2022-02-09,Q.obs,14.0,B
09AE003,2022-02-09,H.obs,1.162,
09AE003,2022-02-10,H.obs,1.155,
09AE003,2022-02-10,Q.obs,14.0,B
09AE003,2022-02-11,Q.obs,14.0,B
09AE003,2022-02-11,H.obs,1.151,
09AE003,2022-02-12,Q.obs,13.9,B
09AE003,2022-02-12,H.obs,1.152,
09AE003,2022-02-13,Q.obs,13.9,B
09AE003,2022-02-13,H.obs,1.147,
09AE003,2022-02-14,Q.obs,13.8,B
09AE003,2022-02-14,H.obs,1.136,
09AE003,2022-02-15,Q.obs,13.8,B
09AE003,2022-02-15,H.obs,1.136,
09AE003,2022-02-16,Q.obs,13.7,B
09AE003,2022-02-16,H.obs,1.125,
09AE003,2022-02-17,Q.obs,13.7,B
09AE003,2022-02-17,H.obs,1.117,
09AE003,2022-02-18,Q.obs,13.6,B
09AE003,2022-02-18,H.obs,1.128,
09AE003,2022-02-19,H.obs,1.121,
09AE003,2022-02-19,Q.obs,13.6,B
09AE003,2022-02-20,H.obs,1.116,
09AE003,2022-02-20,Q.obs,13.6,B
09AE003,2022-02-21,H.obs,1.096,
09AE003,2022-02-21,Q.obs,13.5,B
09AE003,2022-02-22,Q.obs,13.5,B
09AE003,2022-02-22,H.obs,1.097,
09AE003,2022-02-23,Q.obs,13.4,B
09AE003,2022-02-23,H.obs,1.12,
09AE003,2022-02-24,H.obs,1.1,
09AE003,2022-02-24,Q.obs,13.4,B
09AE003,2022-02-25,H.obs,1.098,
09AE003,2022-02-25,Q.obs,13.3,B
09AE003,2022-02-26,H.obs,1.103,
09AE003,2022-02-26,Q.obs,13.3,B
09AE003,2022-02-27,H.obs,1.095,
09AE003,2022-02-27,Q.obs,13.3,B
09AE003,2022-02-28,H.obs,1.079,
09AE003,2022-02-28,Q.obs,13.2,B
09AE003,2022-03-01,Q.obs,13.2,B
09AE003,2022-03-01,H.obs,1.096,
09AE003,2022-03-02,Q.obs,13.1,B
09AE003,2022-03-02,H.obs,1.079,
09AE003,2022-03-03,Q.obs,13.1,B
09AE003,2022-03-03,H.obs,1.066,
09AE003,2022-03-04,Q.obs,13.0,B
09AE003,2022-03-04,H.obs,1.059,
09AE003,2022-03-05,Q.obs,13.0,B
09AE003,2022-03-05,H.obs,1.051,
09AE003,2022-03-06,Q.obs,13.0,B
09AE003,2022-03-06,H.obs,1.043,
09AE003,2022-03-07,Q.obs,12.9,B
09AE003,2022-03-07,H.obs,1.036,
09AE003,2022-03-08,Q.obs,12.9,B
09AE003,2022-03-08,H.obs,1.026,
09AE003,2022-03-09,Q.obs,12.8,B
09AE003,2022-03-09,H.obs,1.023,
09AE003,2022-03-10,Q.obs,12.8,B
09AE003,2022-03-10,H.obs,1.028,
09AE003,2022-03-11,Q.obs,12.7,B
09AE003,2022-03-11,H.obs,1.03,
09AE003,2022-03-12,Q.obs,12.7,B
09AE003,2022-03-12,H.obs,1.038,
09AE003,2022-03-13,Q.obs,12.7,B
09AE003,2022-03-13,H.obs,1.035,
09AE003,2022-03-14,Q.obs,12.6,B
09AE003,2022-03-14,H.obs,1.024,
09AE003,2022-03-15,H.obs,1.046,
09AE003,2022-03-15,Q.obs,12.6,B
09AE003,2022-03-16,H.obs,1.066,
09AE003,2022-03-16,Q.obs,12.5,B
09AE003,2022-03-17,H.obs,1.059,
09AE003,2022-03-17,Q.obs,12.5,B
09AE003,2022-03-18,H.obs,1.05,
09AE003,2022-03-18,Q.obs,12.5,B
09AE003,2022-03-19,Q.obs,12.4,B
