 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
10BE001,2022-01-01,Q.obs,387.0,B
10BE001,2022-01-01,H.obs,10.101,
10BE001,2022-01-02,H.obs,10.086,
10BE001,2022-01-02,Q.obs,385.0,B
10BE001,2022-01-03,Q.obs,384.0,B
10BE001,2022-01-03,H.obs,10.085,
10BE001,2022-01-04,Q.obs,382.0,B
10BE001,2022-01-04,H.obs,10.084,
10BE001,2022-01-05,Q.obs,381.0,B
10BE001,2022-01-05,H.obs,10.121,
10BE001,2022-01-06,H.obs,10.136,
10BE001,2022-01-06,Q.obs,379.0,B
10BE001,2022-01-07,H.obs,10.15,
10BE001,2022-01-07,Q.obs,377.0,B
10BE001,2022-01-08,H.obs,10.127,
10BE001,2022-01-08,Q.obs,376.0,B
10BE001,2022-01-09,H.obs,10.11,
10BE001,2022-01-09,Q.obs,374.0,B
10BE001,2022-01-10,H.obs,10.118,
10BE001,2022-01-10,Q.obs,373.0,B
10BE001,2022-01-11,H.obs,10.122,
10BE001,2022-01-11,Q.obs,371.0,B
10BE001,2022-01-12,H.obs,10.104,
10BE001,2022-01-12,Q.obs,370.0,B
10BE001,2022-01-13,Q.obs,368.0,B
10BE001,2022-01-13,H.obs,10.083,
10BE001,2022-01-14,Q.obs,367.0,B
10BE001,2022-01-14,H.obs,10.062,
10BE001,2022-01-15,Q.obs,365.0,B
10BE001,2022-01-15,H.obs,10.049,
10BE001,2022-01-16,H.obs,10.053,
10BE001,2022-01-16,Q.obs,363.0,B
10BE001,2022-01-17,Q.obs,362.0,B
10BE001,2022-01-17,H.obs,10.051,
10BE001,2022-01-18,Q.obs,360.0,B
10BE001,2022-01-18,H.obs,10.042,
10BE001,2022-01-19,Q.obs,359.0,B
10BE001,2022-01-19,H.obs,10.037,
10BE001,2022-01-20,Q.obs,357.0,B
10BE001,2022-01-20,H.obs,10.042,
10BE001,2022-01-21,Q.obs,356.0,B
10BE001,2022-01-21,H.obs,10.049,
10BE001,2022-01-22,H.obs,10.053,
10BE001,2022-01-22,Q.obs,354.0,B
10BE001,2022-01-23,Q.obs,353.0,B
10BE001,2022-01-23,H.obs,10.067,
10BE001,2022-01-24,H.obs,10.093,
10BE001,2022-01-24,Q.obs,351.0,B
10BE001,2022-01-25,Q.obs,350.0,B
10BE001,2022-01-25,H.obs,10.072,
10BE001,2022-01-26,Q.obs,349.0,B
10BE001,2022-01-26,H.obs,10.092,
10BE001,2022-01-27,Q.obs,347.0,B
10BE001,2022-01-27,H.obs,10.058,
10BE001,2022-01-28,H.obs,10.06,
10BE001,2022-01-28,Q.obs,346.0,B
10BE001,2022-01-29,H.obs,10.071,
10BE001,2022-01-29,Q.obs,344.0,B
10BE001,2022-01-30,H.obs,10.076,
10BE001,2022-01-30,Q.obs,343.0,B
10BE001,2022-01-31,Q.obs,341.0,B
10BE001,2022-01-31,H.obs,10.066,A
10BE001,2022-02-01,Q.obs,340.0,B
10BE001,2022-02-01,H.obs,10.096,A
10BE001,2022-02-02,Q.obs,338.0,B
10BE001,2022-02-02,H.obs,10.048,A
10BE001,2022-02-03,Q.obs,337.0,B
10BE001,2022-02-03,H.obs,10.042,A
10BE001,2022-02-04,Q.obs,336.0,B
10BE001,2022-02-04,H.obs,10.043,A
10BE001,2022-02-05,Q.obs,334.0,B
10BE001,2022-02-05,H.obs,10.041,A
10BE001,2022-02-06,Q.obs,333.0,B
10BE001,2022-02-06,H.obs,10.031,
10BE001,2022-02-07,H.obs,10.01,
10BE001,2022-02-07,Q.obs,331.0,B
10BE001,2022-02-08,Q.obs,330.0,B
10BE001,2022-02-08,H.obs,10.024,
10BE001,2022-02-09,H.obs,10.012,
10BE001,2022-02-09,Q.obs,329.0,B
10BE001,2022-02-10,H.obs,10.056,
10BE001,2022-02-10,Q.obs,327.0,B
10BE001,2022-02-11,H.obs,10.052,
10BE001,2022-02-11,Q.obs,326.0,B
10BE001,2022-02-12,H.obs,10.074,
10BE001,2022-02-12,Q.obs,324.0,B
10BE001,2022-02-13,H.obs,10.082,
10BE001,2022-02-13,Q.obs,323.0,B
10BE001,2022-02-14,Q.obs,322.0,B
10BE001,2022-02-14,H.obs,10.065,
10BE001,2022-02-15,Q.obs,320.0,B
10BE001,2022-02-15,H.obs,10.073,A
10BE001,2022-02-16,H.obs,10.089,A
10BE001,2022-02-16,Q.obs,319.0,B
10BE001,2022-02-17,Q.obs,318.0,B
10BE001,2022-02-17,H.obs,10.109,
10BE001,2022-02-18,Q.obs,316.0,B
10BE001,2022-02-18,H.obs,10.103,A
10BE001,2022-02-19,Q.obs,315.0,B
10BE001,2022-02-19,H.obs,10.112,A
10BE001,2022-02-20,Q.obs,314.0,B
10BE001,2022-02-20,H.obs,10.109,A
10BE001,2022-02-21,H.obs,10.103,A
10BE001,2022-02-21,Q.obs,312.0,B
10BE001,2022-02-22,H.obs,10.087,A
10BE001,2022-02-22,Q.obs,311.0,B
10BE001,2022-02-23,H.obs,10.074,A
10BE001,2022-02-23,Q.obs,310.0,B
10BE001,2022-02-24,Q.obs,309.0,B
10BE001,2022-02-24,H.obs,10.05,A
10BE001,2022-02-25,H.obs,10.042,
10BE001,2022-02-25,Q.obs,307.0,B
10BE001,2022-02-26,H.obs,10.055,
10BE001,2022-02-26,Q.obs,306.0,B
10BE001,2022-02-27,Q.obs,305.0,B
10BE001,2022-02-27,H.obs,10.061,
10BE001,2022-02-28,Q.obs,303.0,B
10BE001,2022-02-28,H.obs,10.05,
10BE001,2022-03-01,H.obs,10.055,
10BE001,2022-03-01,Q.obs,302.0,B
10BE001,2022-03-02,H.obs,10.061,
10BE001,2022-03-02,Q.obs,301.0,B
10BE001,2022-03-03,H.obs,10.051,
10BE001,2022-03-03,Q.obs,300.0,B
10BE001,2022-03-04,H.obs,10.047,
10BE001,2022-03-04,Q.obs,298.0,B
10BE001,2022-03-05,H.obs,10.039,
10BE001,2022-03-05,Q.obs,297.0,B
10BE001,2022-03-06,H.obs,10.05,
10BE001,2022-03-06,Q.obs,296.0,B
10BE001,2022-03-07,Q.obs,295.0,B
10BE001,2022-03-07,H.obs,10.06,
10BE001,2022-03-08,H.obs,10.022,
10BE001,2022-03-08,Q.obs,293.0,B
10BE001,2022-03-09,Q.obs,292.0,B
10BE001,2022-03-09,H.obs,10.003,
10BE001,2022-03-10,H.obs,9.994,
10BE001,2022-03-10,Q.obs,291.0,B
10BE001,2022-03-11,H.obs,10.0,
10BE001,2022-03-11,Q.obs,290.0,B
10BE001,2022-03-12,Q.obs,288.0,B
10BE001,2022-03-12,H.obs,9.999,A
10BE001,2022-03-13,H.obs,9.995,A
10BE001,2022-03-13,Q.obs,287.0,B
10BE001,2022-03-14,Q.obs,286.0,B
10BE001,2022-03-14,H.obs,9.967,
10BE001,2022-03-15,H.obs,9.958,
10BE001,2022-03-15,Q.obs,285.0,B
10BE001,2022-03-16,H.obs,9.967,
10BE001,2022-03-16,Q.obs,284.0,B
10BE001,2022-03-17,Q.obs,282.0,B
10BE001,2022-03-17,H.obs,9.957,
10BE001,2022-03-18,H.obs,9.95,
10BE001,2022-03-18,Q.obs,281.0,B
10BE001,2022-03-19,Q.obs,280.0,B
10BE001,2022-03-19,H.obs,9.944,
10BE001,2022-03-20,Q.obs,279.0,B
10BE001,2022-03-20,H.obs,9.949,
10BE001,2022-03-21,H.obs,9.947,
10BE001,2022-03-21,Q.obs,278.0,B
10BE001,2022-03-22,H.obs,9.941,
10BE001,2022-03-22,Q.obs,277.0,B
10BE001,2022-03-23,Q.obs,275.0,B
10BE001,2022-03-23,H.obs,9.935,
10BE001,2022-03-24,Q.obs,274.0,B
10BE001,2022-03-24,H.obs,9.934,
10BE001,2022-03-25,Q.obs,273.0,B
10BE001,2022-03-25,H.obs,9.933,
10BE001,2022-03-26,Q.obs,272.0,B
10BE001,2022-03-26,H.obs,9.943,
10BE001,2022-03-27,Q.obs,271.0,B
10BE001,2022-03-27,H.obs,9.952,
10BE001,2022-03-28,Q.obs,270.0,B
10BE001,2022-03-28,H.obs,9.943,
10BE001,2022-03-29,Q.obs,269.0,B
10BE001,2022-03-29,H.obs,9.95,
10BE001,2022-03-30,H.obs,9.964,
10BE001,2022-03-30,Q.obs,267.0,B
10BE001,2022-03-31,H.obs,9.97,
10BE001,2022-03-31,Q.obs,266.0,B
10BE001,2022-04-01,Q.obs,265.0,B
10BE001,2022-04-01,H.obs,9.968,
10BE001,2022-04-02,H.obs,9.967,
10BE001,2022-04-02,Q.obs,264.0,B
10BE001,2022-04-03,H.obs,9.962,
10BE001,2022-04-03,Q.obs,263.0,B
10BE001,2022-04-04,H.obs,9.958,
10BE001,2022-04-04,Q.obs,262.0,B
10BE001,2022-04-05,H.obs,9.961,
10BE001,2022-04-05,Q.obs,261.0,B
10BE001,2022-04-06,Q.obs,260.0,B
10BE001,2022-04-06,H.obs,9.956,
10BE001,2022-04-07,Q.obs,259.0,B
10BE001,2022-04-07,H.obs,9.952,
10BE001,2022-04-08,Q.obs,258.0,B
10BE001,2022-04-08,H.obs,9.946,
10BE001,2022-04-09,H.obs,9.944,
10BE001,2022-04-09,Q.obs,257.0,B
10BE001,2022-04-10,Q.obs,256.0,B
10BE001,2022-04-10,H.obs,9.944,
10BE001,2022-04-11,Q.obs,255.0,B
10BE001,2022-04-11,H.obs,9.931,
10BE001,2022-04-12,H.obs,9.911,
