 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
10CD001,2022-01-01,Q.obs,32.1,B
10CD001,2022-01-02,Q.obs,31.8,B
10CD001,2022-01-03,Q.obs,31.6,B
10CD001,2022-01-04,Q.obs,31.3,B
10CD001,2022-01-05,Q.obs,31.0,B
10CD001,2022-01-06,Q.obs,30.7,B
10CD001,2022-01-07,Q.obs,30.4,B
10CD001,2022-01-08,Q.obs,30.2,B
10CD001,2022-01-09,Q.obs,29.9,B
10CD001,2022-01-10,Q.obs,29.6,B
10CD001,2022-01-11,Q.obs,29.4,B
10CD001,2022-01-12,Q.obs,29.1,B
10CD001,2022-01-13,Q.obs,28.9,B
10CD001,2022-01-14,Q.obs,28.6,B
10CD001,2022-01-15,Q.obs,28.4,B
10CD001,2022-01-16,Q.obs,28.1,B
10CD001,2022-01-17,Q.obs,27.9,B
10CD001,2022-01-18,Q.obs,27.6,B
10CD001,2022-01-19,Q.obs,27.4,B
10CD001,2022-01-20,Q.obs,27.1,B
10CD001,2022-01-21,Q.obs,26.9,B
10CD001,2022-01-22,Q.obs,26.6,B
10CD001,2022-01-23,Q.obs,26.4,B
10CD001,2022-01-24,Q.obs,26.2,B
10CD001,2022-01-25,Q.obs,25.9,B
10CD001,2022-01-26,Q.obs,25.7,B
10CD001,2022-01-27,Q.obs,25.5,B
10CD001,2022-01-28,Q.obs,25.3,B
10CD001,2022-01-29,Q.obs,25.0,B
10CD001,2022-01-30,Q.obs,24.8,B
10CD001,2022-01-31,Q.obs,24.6,B
10CD001,2022-02-01,Q.obs,24.4,B
10CD001,2022-02-02,Q.obs,24.2,B
10CD001,2022-02-03,Q.obs,23.9,B
10CD001,2022-02-04,Q.obs,23.7,B
10CD001,2022-02-05,Q.obs,23.5,B
10CD001,2022-02-06,Q.obs,23.3,B
10CD001,2022-02-07,Q.obs,23.1,B
10CD001,2022-02-08,Q.obs,22.9,B
10CD001,2022-02-09,Q.obs,22.7,B
10CD001,2022-02-10,Q.obs,22.5,B
10CD001,2022-02-11,Q.obs,22.4,B
10CD001,2022-02-12,Q.obs,22.4,B
10CD001,2022-02-13,Q.obs,22.3,B
10CD001,2022-02-14,Q.obs,22.3,B
10CD001,2022-02-15,Q.obs,22.2,B
10CD001,2022-02-16,Q.obs,22.2,B
10CD001,2022-02-17,Q.obs,22.2,B
10CD001,2022-02-18,Q.obs,22.1,B
10CD001,2022-02-19,Q.obs,22.1,B
10CD001,2022-02-20,Q.obs,22.0,B
10CD001,2022-02-21,Q.obs,22.0,B
10CD001,2022-02-22,Q.obs,22.0,B
10CD001,2022-02-23,Q.obs,21.9,B
10CD001,2022-02-24,Q.obs,21.9,B
10CD001,2022-02-25,Q.obs,21.8,B
10CD001,2022-02-26,Q.obs,21.8,B
10CD001,2022-02-27,Q.obs,21.8,B
10CD001,2022-02-28,Q.obs,21.7,B
10CD001,2022-03-01,Q.obs,21.7,B
10CD001,2022-03-02,Q.obs,21.6,B
10CD001,2022-03-03,Q.obs,21.6,B
10CD001,2022-03-04,Q.obs,21.6,B
10CD001,2022-03-05,Q.obs,21.5,B
10CD001,2022-03-06,Q.obs,21.5,B
10CD001,2022-03-07,Q.obs,21.5,B
10CD001,2022-03-08,Q.obs,21.4,B
10CD001,2022-03-09,Q.obs,21.4,B
10CD001,2022-03-10,Q.obs,21.3,B
10CD001,2022-03-11,Q.obs,21.3,B
10CD001,2022-03-12,Q.obs,21.3,B
10CD001,2022-03-13,Q.obs,21.2,B
10CD001,2022-03-14,Q.obs,21.2,B
10CD001,2022-03-15,Q.obs,21.1,B
10CD001,2022-03-16,Q.obs,21.1,B
10CD001,2022-03-17,Q.obs,21.1,B
10CD001,2022-03-18,Q.obs,21.0,B
10CD001,2022-03-19,Q.obs,21.0,B
10CD001,2022-03-20,Q.obs,20.9,B
10CD001,2022-03-21,Q.obs,20.9,B
10CD001,2022-03-22,Q.obs,20.9,B
10CD001,2022-03-23,Q.obs,20.8,B
10CD001,2022-03-24,Q.obs,20.8,B
10CD001,2022-03-25,Q.obs,20.7,B
10CD001,2022-03-26,Q.obs,20.7,B
10CD001,2022-03-27,Q.obs,20.7,B
10CD001,2022-03-28,Q.obs,20.6,B
10CD001,2022-03-29,Q.obs,20.6,B
10CD001,2022-03-30,Q.obs,20.6,B
10CD001,2022-03-31,Q.obs,21.3,B
10CD001,2022-04-01,Q.obs,22.0,B
10CD001,2022-04-02,Q.obs,22.8,B
10CD001,2022-04-03,Q.obs,23.6,B
10CD001,2022-04-04,Q.obs,24.4,B
10CD001,2022-04-05,Q.obs,25.1,B
10CD001,2022-04-06,Q.obs,25.9,B
10CD001,2022-04-07,Q.obs,26.7,B
10CD001,2022-04-08,Q.obs,27.5,B
10CD001,2022-04-09,Q.obs,28.3,B
10CD001,2022-04-10,Q.obs,29.0,B
10CD001,2022-04-11,Q.obs,29.8,B
10CD001,2022-04-12,Q.obs,30.6,B
10CD001,2022-04-13,Q.obs,31.5,B
10CD001,2022-04-14,Q.obs,32.7,B
10CD001,2022-04-15,Q.obs,33.9,B
10CD001,2022-04-16,Q.obs,35.0,B
10CD001,2022-04-17,Q.obs,36.2,B
10CD001,2022-04-18,Q.obs,37.4,B
10CD001,2022-04-19,Q.obs,38.6,B
10CD001,2022-04-20,Q.obs,39.7,B
10CD001,2022-04-21,Q.obs,41.0,B
10CD001,2022-04-22,Q.obs,43.2,B
10CD001,2022-04-23,Q.obs,45.6,B
10CD001,2022-04-24,Q.obs,47.9,B
10CD001,2022-04-25,Q.obs,50.2,B
10CD001,2022-04-26,Q.obs,52.6,B
10CD001,2022-04-27,Q.obs,57.2,B
10CD001,2022-04-28,Q.obs,63.1,B
10CD001,2022-04-29,Q.obs,69.1,B
10CD001,2022-04-30,Q.obs,75.6,B
10CD001,2022-04-30,H.obs,0.481,A
10CD001,2022-05-01,Q.obs,87.9,B
10CD001,2022-05-01,H.obs,0.485,
10CD001,2022-05-02,H.obs,0.329,
10CD001,2022-05-02,Q.obs,106.0,B
10CD001,2022-05-03,H.obs,0.315,A
10CD001,2022-05-03,Q.obs,131.0,B
10CD001,2022-05-04,H.obs,0.29,
10CD001,2022-05-04,Q.obs,164.0,B
10CD001,2022-05-05,H.obs,0.641,
10CD001,2022-05-05,Q.obs,212.0,B
10CD001,2022-05-06,H.obs,0.802,
10CD001,2022-05-06,Q.obs,299.0,B
10CD001,2022-05-07,H.obs,0.909,
10CD001,2022-05-07,Q.obs,332.0,B
10CD001,2022-05-08,H.obs,0.9,
10CD001,2022-05-08,Q.obs,347.0,B
10CD001,2022-05-09,H.obs,0.747,
10CD001,2022-05-09,Q.obs,301.0,
10CD001,2022-05-10,H.obs,0.541,
10CD001,2022-05-10,Q.obs,242.0,
10CD001,2022-05-11,H.obs,0.698,
10CD001,2022-05-11,Q.obs,286.0,
10CD001,2022-05-12,H.obs,0.933,
10CD001,2022-05-12,Q.obs,358.0,
10CD001,2022-05-13,H.obs,1.3,
10CD001,2022-05-13,Q.obs,487.0,
10CD001,2022-05-14,H.obs,1.536,
10CD001,2022-05-14,Q.obs,579.0,
10CD001,2022-05-15,Q.obs,683.0,
10CD001,2022-05-15,H.obs,1.78,
10CD001,2022-05-16,Q.obs,670.0,
10CD001,2022-05-16,H.obs,1.751,
10CD001,2022-05-17,Q.obs,698.0,
10CD001,2022-05-17,H.obs,1.813,
10CD001,2022-05-18,Q.obs,662.0,
10CD001,2022-05-18,H.obs,1.733,
10CD001,2022-05-19,Q.obs,560.0,
10CD001,2022-05-19,H.obs,1.49,
10CD001,2022-05-20,Q.obs,487.0,
10CD001,2022-05-20,H.obs,1.303,
10CD001,2022-05-21,H.obs,1.161,
10CD001,2022-05-21,Q.obs,435.0,
10CD001,2022-05-22,H.obs,1.092,
10CD001,2022-05-22,Q.obs,411.0,
10CD001,2022-05-23,Q.obs,409.0,
10CD001,2022-05-23,H.obs,1.086,
10CD001,2022-05-24,H.obs,1.117,
10CD001,2022-05-24,Q.obs,420.0,
10CD001,2022-05-25,Q.obs,492.0,
10CD001,2022-05-25,H.obs,1.316,
10CD001,2022-05-26,H.obs,1.361,
10CD001,2022-05-26,Q.obs,509.0,
10CD001,2022-05-27,H.obs,1.244,
10CD001,2022-05-27,Q.obs,465.0,
10CD001,2022-05-28,H.obs,1.145,
10CD001,2022-05-28,Q.obs,429.0,
10CD001,2022-05-29,Q.obs,426.0,
10CD001,2022-05-29,H.obs,1.133,
10CD001,2022-05-30,H.obs,1.143,
10CD001,2022-05-30,Q.obs,429.0,
10CD001,2022-05-31,H.obs,1.11,
10CD001,2022-05-31,Q.obs,417.0,
10CD001,2022-06-01,H.obs,1.06,
10CD001,2022-06-01,Q.obs,400.0,
10CD001,2022-06-02,H.obs,1.047,
10CD001,2022-06-02,Q.obs,395.0,
10CD001,2022-06-03,Q.obs,408.0,
10CD001,2022-06-03,H.obs,1.082,
10CD001,2022-06-04,H.obs,1.165,
10CD001,2022-06-04,Q.obs,437.0,
10CD001,2022-06-05,Q.obs,476.0,
10CD001,2022-06-05,H.obs,1.273,
10CD001,2022-06-06,H.obs,1.39,
10CD001,2022-06-06,Q.obs,520.0,
10CD001,2022-06-07,H.obs,1.541,
10CD001,2022-06-07,Q.obs,581.0,
10CD001,2022-06-08,H.obs,1.58,
10CD001,2022-06-08,Q.obs,597.0,
10CD001,2022-06-09,Q.obs,613.0,
10CD001,2022-06-09,H.obs,1.618,
10CD001,2022-06-10,Q.obs,694.0,
10CD001,2022-06-10,H.obs,1.804,
10CD001,2022-06-11,Q.obs,903.0,
10CD001,2022-06-11,H.obs,2.241,
10CD001,2022-06-12,H.obs,2.127,
10CD001,2022-06-12,Q.obs,846.0,
10CD001,2022-06-13,H.obs,1.834,
10CD001,2022-06-13,Q.obs,707.0,
10CD001,2022-06-14,Q.obs,601.0,
10CD001,2022-06-14,H.obs,1.589,
10CD001,2022-06-15,H.obs,1.408,
10CD001,2022-06-15,Q.obs,528.0,
10CD001,2022-06-16,Q.obs,502.0,
10CD001,2022-06-16,H.obs,1.342,
10CD001,2022-06-17,Q.obs,529.0,
10CD001,2022-06-17,H.obs,1.412,
10CD001,2022-06-18,Q.obs,563.0,
10CD001,2022-06-18,H.obs,1.496,
10CD001,2022-06-19,Q.obs,593.0,
10CD001,2022-06-19,H.obs,1.57,
10CD001,2022-06-20,Q.obs,610.0,
10CD001,2022-06-20,H.obs,1.611,
10CD001,2022-06-21,Q.obs,615.0,
10CD001,2022-06-21,H.obs,1.624,
10CD001,2022-06-22,Q.obs,669.0,
10CD001,2022-06-22,H.obs,1.746,
10CD001,2022-06-23,Q.obs,1110.0,
10CD001,2022-06-23,H.obs,2.609,
10CD001,2022-06-24,Q.obs,1600.0,
10CD001,2022-06-24,H.obs,3.424,
10CD001,2022-06-25,Q.obs,1260.0,
10CD001,2022-06-25,H.obs,2.876,
10CD001,2022-06-26,H.obs,2.494,
10CD001,2022-06-26,Q.obs,1040.0,
