 ID,Date,Parameter,Value/Valeur,Symbol/Symbole
10DA001,2022-06-16,Q.obs,291.0,A
10DA001,2022-06-16,H.obs,7.054,A
10DA001,2022-08-31,Q.obs,30.8,A
10DA001,2022-08-31,H.obs,5.804,A
10DA001,2022-09-01,Q.obs,30.3,
10DA001,2022-09-01,H.obs,5.799,
10DA001,2022-09-02,Q.obs,32.0,
10DA001,2022-09-02,H.obs,5.818,
10DA001,2022-09-03,Q.obs,31.8,
10DA001,2022-09-03,H.obs,5.816,
10DA001,2022-09-04,Q.obs,29.7,
10DA001,2022-09-04,H.obs,5.791,
10DA001,2022-09-05,Q.obs,29.6,
10DA001,2022-09-05,H.obs,5.79,
10DA001,2022-09-06,H.obs,5.79,
10DA001,2022-09-06,Q.obs,29.6,
10DA001,2022-09-07,H.obs,5.794,
10DA001,2022-09-07,Q.obs,29.9,
10DA001,2022-09-08,H.obs,5.779,
10DA001,2022-09-08,Q.obs,28.6,
10DA001,2022-09-09,H.obs,5.755,
10DA001,2022-09-09,Q.obs,26.7,
10DA001,2022-09-10,Q.obs,25.8,
10DA001,2022-09-10,H.obs,5.744,
10DA001,2022-09-11,Q.obs,26.9,
10DA001,2022-09-11,H.obs,5.757,
10DA001,2022-09-12,Q.obs,26.1,
10DA001,2022-09-12,H.obs,5.747,
10DA001,2022-09-13,Q.obs,24.3,
10DA001,2022-09-13,H.obs,5.724,
10DA001,2022-09-14,H.obs,5.705,
10DA001,2022-09-14,Q.obs,23.0,
10DA001,2022-09-15,Q.obs,21.5,
10DA001,2022-09-15,H.obs,5.683,
10DA001,2022-09-16,H.obs,5.704,
10DA001,2022-09-16,Q.obs,22.9,
10DA001,2022-09-17,Q.obs,23.6,
10DA001,2022-09-17,H.obs,5.714,
10DA001,2022-09-18,H.obs,5.711,
10DA001,2022-09-18,Q.obs,23.4,
10DA001,2022-09-19,Q.obs,23.3,
10DA001,2022-09-19,H.obs,5.709,
10DA001,2022-09-20,Q.obs,23.1,
10DA001,2022-09-20,H.obs,5.706,
10DA001,2022-09-21,Q.obs,22.8,
