 ID,Date,Parameter,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation,Grade/Classification,Qualifiers/Qualificatifs
08MF073,2025-04-07 05:20:00+00:00,H.obs,6.543,,,Provisional/Provisoire,,
08MF073,2025-04-07 05:25:00+00:00,H.obs,6.55,,,Provisional/Provisoire,,
08MF073,2025-04-07 05:30:00+00:00,H.obs,6.545,,,Provisional/Provisoire,,
08MF073,2025-04-07 05:40:00+00:00,H.obs,6.545,,,Provisional/Provisoire,,
08MF073,2025-04-07 05:45:00+00:00,H.obs,6.543,,,Provisional/Provisoire,,
08MF073,2025-04-07 05:50:00+00:00,H.obs,6.546,,,Provisional/Provisoire,,
08MF073,2025-04-07 05:55:00+00:00,H.obs,6.548,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:00:00+00:00,H.obs,6.545,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:05:00+00:00,H.obs,6.554,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:10:00+00:00,H.obs,6.548,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:15:00+00:00,H.obs,6.554,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:20:00+00:00,H.obs,6.544,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:25:00+00:00,H.obs,6.549,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:30:00+00:00,H.obs,6.55,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:35:00+00:00,H.obs,6.553,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:40:00+00:00,H.obs,6.554,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:45:00+00:00,H.obs,6.553,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:50:00+00:00,H.obs,6.55,,,Provisional/Provisoire,,
08MF073,2025-04-07 06:55:00+00:00,H.obs,6.556,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:00:00+00:00,H.obs,6.552,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:05:00+00:00,H.obs,6.552,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:10:00+00:00,H.obs,6.554,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:15:00+00:00,H.obs,6.552,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:20:00+00:00,H.obs,6.556,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:25:00+00:00,H.obs,6.556,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:30:00+00:00,H.obs,6.553,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:35:00+00:00,H.obs,6.56,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:40:00+00:00,H.obs,6.555,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:45:00+00:00,H.obs,6.554,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:50:00+00:00,H.obs,6.563,,,Provisional/Provisoire,,
08MF073,2025-04-07 07:55:00+00:00,H.obs,6.56,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:00:00+00:00,H.obs,6.556,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:05:00+00:00,H.obs,6.555,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:10:00+00:00,H.obs,6.556,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:15:00+00:00,H.obs,6.565,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:20:00+00:00,H.obs,6.569,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:25:00+00:00,H.obs,6.563,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:30:00+00:00,H.obs,6.57,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:35:00+00:00,H.obs,6.557,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:40:00+00:00,H.obs,6.567,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:45:00+00:00,H.obs,6.571,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:50:00+00:00,H.obs,6.571,,,Provisional/Provisoire,,
08MF073,2025-04-07 08:55:00+00:00,H.obs,6.564,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:00:00+00:00,H.obs,6.577,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:05:00+00:00,H.obs,6.567,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:10:00+00:00,H.obs,6.574,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:15:00+00:00,H.obs,6.569,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:20:00+00:00,H.obs,6.572,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:25:00+00:00,H.obs,6.565,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:30:00+00:00,H.obs,6.571,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:35:00+00:00,H.obs,6.578,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:40:00+00:00,H.obs,6.571,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:45:00+00:00,H.obs,6.581,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:50:00+00:00,H.obs,6.577,,,Provisional/Provisoire,,
08MF073,2025-04-07 09:55:00+00:00,H.obs,6.58,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:00:00+00:00,H.obs,6.577,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:05:00+00:00,H.obs,6.58,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:10:00+00:00,H.obs,6.575,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:15:00+00:00,H.obs,6.578,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:20:00+00:00,H.obs,6.586,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:25:00+00:00,H.obs,6.586,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:30:00+00:00,H.obs,6.583,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:35:00+00:00,H.obs,6.588,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:40:00+00:00,H.obs,6.585,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:45:00+00:00,H.obs,6.589,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:50:00+00:00,H.obs,6.596,,,Provisional/Provisoire,,
08MF073,2025-04-07 10:55:00+00:00,H.obs,6.593,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:00:00+00:00,H.obs,6.591,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:05:00+00:00,H.obs,6.592,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:10:00+00:00,H.obs,6.589,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:15:00+00:00,H.obs,6.594,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:20:00+00:00,H.obs,6.591,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:25:00+00:00,H.obs,6.6,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:30:00+00:00,H.obs,6.605,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:35:00+00:00,H.obs,6.595,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:40:00+00:00,H.obs,6.599,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:45:00+00:00,H.obs,6.607,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:50:00+00:00,H.obs,6.596,,,Provisional/Provisoire,,
08MF073,2025-04-07 11:55:00+00:00,H.obs,6.601,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:00:00+00:00,H.obs,6.609,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:05:00+00:00,H.obs,6.604,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:10:00+00:00,H.obs,6.616,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:15:00+00:00,H.obs,6.607,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:20:00+00:00,H.obs,6.605,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:25:00+00:00,H.obs,6.61,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:30:00+00:00,H.obs,6.61,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:35:00+00:00,H.obs,6.613,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:40:00+00:00,H.obs,6.607,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:45:00+00:00,H.obs,6.618,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:50:00+00:00,H.obs,6.622,,,Provisional/Provisoire,,
08MF073,2025-04-07 12:55:00+00:00,H.obs,6.621,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:00:00+00:00,H.obs,6.617,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:05:00+00:00,H.obs,6.619,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:10:00+00:00,H.obs,6.622,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:15:00+00:00,H.obs,6.616,,,Provisional/Provisoire,,
